"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"25","GTLM","Bill Auberlen","1","2:25.794","3:40.593","Green","Track","32.639","32.828","23.946","8.170","6.529","6.679","12.197","7.370","6.482","5.371","0.486","3.097","168.350"
"85","PC","Misha Goikhberg","1","2:32.900","3:42.349","Green","Track","33.192","35.101","26.375","8.282","6.960","7.275","12.656","7.156","6.670","5.569","0.493","3.171","165.960"
"911","GTLM","Patrick Pilet","1","2:30.843","3:46.460","Green","Track","32.730","33.503","26.239","8.398","6.587","7.771","12.766","7.482","6.539","5.325","0.476","3.027","171.887"
"912","GTLM","Earl Bamber","1","2:30.874","3:47.289","Green","Track","32.768","33.923","25.626","8.521","6.887","7.676","12.330","7.413","6.564","5.505","0.490","3.171","166.976"
"66","GTLM","Dirk Mueller","1","2:35.434","3:51.093","Green","Track","34.680","35.828","26.946","8.685","6.543","6.731","13.080","7.639","6.469","5.311","0.480","3.042","170.455"
"63","GTD","Alessandro Balzan","1","2:33.753","3:56.654","Green","Track","34.219","35.127","26.399","8.471","6.497","6.695","13.109","7.500","6.467","5.595","0.500","3.174","163.636"
"48","GTD","Bryce Miller","1","2:25.038","3:56.942","Green","Track","31.168","34.183","25.059","8.201","6.545","6.278","11.371","7.195","6.259","5.217","0.000","3.082","0.000"
"50","P","Jim Pace","1","2:32.084","3:58.554","Green","Track","33.913","35.026","26.587","8.827","6.628","6.955","12.239","7.221","6.217","5.078","0.454","2.939","180.216"
"5","P","Joao Barbosa","1","1:55.046","4:04.101","Green","Track","13.735","25.182","22.238","7.265","5.901","6.453","13.304","6.869","5.948","4.897","0.440","2.814","185.950"
"0","P","Andy Meyrick","1","1:46.186","4:04.360","Green","Track","11.856","23.516","19.929","7.029","5.720","5.732","12.037","6.603","5.780","4.808","0.432","2.744","189.394"
"31","P","Dane Cameron","1","1:51.274","4:05.291","Green","Track","12.951","24.664","21.064","7.208","5.871","5.873","12.654","7.050","5.910","4.827","0.434","2.768","188.521"
"3","GTLM","?? Driver 4 ??","1","2:26.866","4:07.956","Green","Track","30.819","33.792","25.908","8.086","6.391","6.644","12.535","7.540","6.437","5.240","0.472","3.002","173.344"
"37","P","Kirill Ladygin","1","2:46.214","4:08.352","Green","Pit","33.238","35.234","27.572","8.434","6.220","6.225","11.966","6.964","6.105","9.736","0.000","0.000","0.000"
"55","P","Jonathan Bomarito","1","1:49.931","4:09.013","Green","Track","13.392","24.998","21.496","7.274","5.800","5.637","10.844","6.602","5.881","4.806","0.433","2.768","188.957"
"38","PC","Kyle Marcelli","1","1:52.541","4:18.112","Green","Track","12.841","25.091","21.738","7.868","6.285","5.919","10.623","6.916","6.399","5.330","0.478","3.053","171.168"
"2","P","Scott Sharp","1","1:48.837","4:20.149","Green","Track","12.995","24.769","21.571","7.216","5.774","5.780","10.535","6.529","5.736","4.761","0.000","2.742","0.000"
"54","PC","Colin Braun","1","2:34.620","4:21.506","Green","Track","29.707","29.407","23.677","7.680","6.276","6.686","0.000","0.000","9.308","6.460","0.536","3.339","152.646"
"72","GTLM","Gianmaria Bruni","1","1:51.836","4:39.416","Green","Track","12.392","25.169","21.007","7.833","6.323","6.007","10.846","7.197","6.325","5.240","0.472","3.025","173.344"
"51","GTD","Raffaele Gianmaria","1","1:51.819","4:43.536","Green","Track","12.069","25.187","21.377","7.823","6.310","5.981","10.912","7.186","6.296","5.224","0.468","2.986","174.825"
"73","GTD","Jorg Bergmeister","1","1:58.057","4:45.327","Green","Track","13.250","26.807","22.753","7.916","6.372","7.005","11.441","7.215","6.403","5.291","0.478","3.126","171.168"
"52","PC","Robert Alon","1","1:57.984","4:50.121","Green","Track","13.360","27.670","23.682","7.692","6.233","6.092","11.370","6.978","6.242","5.198","0.469","2.998","174.452"
"6","GTD","Robin Liddell","1","1:54.000","4:51.805","Green","Track","13.000","25.514","21.425","7.979","6.421","6.033","10.984","7.360","6.435","5.313","0.479","3.057","170.810"
"45","GTD","Tracy Krohn","1","1:57.325","4:54.532","Green","Track","13.845","26.453","22.204","8.114","6.502","6.111","11.322","7.348","6.482","5.361","0.485","3.098","168.697"
"9","GTD","Dion von Molke","1","1:56.126","5:01.778","Green","Track","13.211","25.671","22.044","8.115","6.538","6.276","11.347","7.434","6.515","5.394","0.485","3.096","168.697"
"20","PC","Johnny Mowlem","1","1:48.643","5:04.286","Green","Track","12.193","24.099","20.396","7.547","6.283","5.932","10.138","6.893","6.333","5.303","0.478","3.048","171.168"
"98","GTD","Mathias Lauda","1","1:52.151","5:07.583","Green","Track","12.248","25.542","21.247","7.821","6.341","5.970","10.612","7.193","6.361","5.284","0.477","3.055","171.527"
"28","GTD","Marc Basseng","1","2:01.894","5:17.602","Green","Track","14.407","26.893","23.535","7.907","6.900","6.969","12.113","7.166","6.271","5.462","0.557","3.714","146.891"
