"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"88","PC","Mark Kvamme","16","1:40.643","38:46.913","Green","Track","3.877","14.414","0.651","15.561","11.260","9.657","0.578","14.471","11.479","11.406","2.421","4.868","121.491","140.374"
"52","PC","Tom Kimber-Smith","17","1:29.435","38:47.068","Green","Track","3.263","11.939","0.539","13.143","10.285","9.200","0.544","13.045","10.275","9.969","2.308","4.925","146.736","149.148"
"22","GTD","Leh Keen","16","1:35.689","38:51.278","Green","Track","3.439","12.685","0.567","13.673","10.589","9.704","0.571","13.897","10.539","13.193","2.402","4.430","139.490","142.095"
"48","GTD","Madison Snow","13","1:42.575","38:57.689","Green","Track","9.433","14.448","0.591","14.888","11.082","9.898","0.579","13.849","10.371","10.547","2.410","4.479","133.826","140.132"
"5","P","Joao Barbosa","16","1:37.105","39:10.042","Green","Pit","3.153","11.286","0.519","12.831","10.017","8.807","0.522","13.078","9.760","10.030","5.678","11.424","152.391","155.434"
"8","PC","Renger Van Der Zande","14","6:02.591","39:17.608","Green","Pit","2.997","11.858","0.538","12.936","10.786","9.131","0.538","14.193","10.585","10.660","8.429","269.940","147.009","150.811"
"85","PC","Misha Goikhberg","19","1:28.644","39:18.333","Green","Track","3.306","11.913","0.536","13.553","10.004","9.215","0.544","13.277","10.193","9.645","2.260","4.198","147.558","149.148"
"23","GTD","Alex Riberas","15","1:45.936","39:31.368","Green","Pit","3.471","12.609","0.568","13.681","10.597","9.708","0.566","14.732","10.690","11.583","6.229","11.502","139.245","143.350"
"63","GTD","Christina Nielsen","16","1:34.523","39:38.264","Green","Track","3.534","12.997","0.568","13.840","10.839","9.729","0.565","14.212","10.731","10.665","2.406","4.437","139.245","143.604"
"73","GTD","Patrick Lindsey","16","1:32.594","39:45.967","Green","Track","3.553","12.574","0.564","13.547","10.449","9.670","0.565","13.540","10.360","10.855","2.438","4.479","140.232","143.604"
"6","GTD","Robin Liddell","12","4:31.577","39:49.588","Green","Pit","3.528","13.051","0.572","13.692","10.660","9.846","0.576","13.832","10.865","11.343","6.905","176.707","138.271","140.862"
"27","GTD","Lawrence DeGeorge","16","1:39.928","39:54.169","Green","Track","4.532","13.484","0.585","14.886","11.292","9.961","0.587","14.891","11.225","11.419","2.488","4.578","135.198","138.222"
"31","P","Dane Cameron","18","1:39.250","39:55.576","Green","Pit","3.293","12.253","0.534","13.140","9.749","8.877","0.529","13.510","10.163","9.905","5.865","11.432","148.110","153.377"
"54","PC","Colin Braun","15","1:26.467","39:57.466","Green","Track","3.096","11.853","0.544","12.787","9.845","9.114","0.542","12.933","9.987","9.379","2.217","4.170","145.388","149.698"
"16","GTD","Corey Lewis","15","1:33.177","40:05.632","Green","Track","3.426","12.736","0.569","13.680","10.501","9.809","0.575","13.987","10.465","10.551","2.420","4.458","139.000","141.107"
"97","GTD","Michael Marsal","16","3:30.182","40:13.719","Green","Track","111.064","18.584","0.610","14.516","11.073","10.097","0.608","15.119","10.791","10.679","2.499","4.542","129.657","133.448"
"10","P","Jordan Taylor","17","1:37.551","40:16.015","Green","Pit","3.029","11.317","0.525","12.687","9.858","8.920","0.525","12.914","10.297","10.705","5.359","11.415","150.649","154.545"
"52","PC","Tom Kimber-Smith","18","1:31.855","40:18.923","Green","Track","3.491","12.175","0.542","13.374","10.346","9.257","0.561","13.696","10.533","11.437","2.246","4.197","145.924","144.628"
"88","PC","Mark Kvamme","17","1:38.048","40:24.961","Green","Track","4.153","13.326","0.559","14.513","10.539","9.473","0.574","14.354","11.190","11.710","2.593","5.064","141.486","141.353"
"22","GTD","Leh Keen","17","1:33.839","40:25.117","Green","Track","3.420","12.635","0.564","13.713","10.618","9.623","0.565","13.532","10.349","11.213","2.541","5.066","140.232","143.604"
"48","GTD","Madison Snow","14","1:33.588","40:31.277","Green","Track","3.598","12.835","0.573","13.744","10.790","9.812","0.574","13.696","10.532","10.558","2.408","4.468","138.030","141.353"
"96","GTD","Jens Klingmann","16","3:53.839","40:38.487","Green","Track","143.353","14.184","0.580","14.087","10.555","9.815","0.574","13.452","10.292","10.088","2.394","4.465","136.364","141.353"
"8","PC","Renger Van Der Zande","15","1:38.127","40:55.735","Green","Track","9.705","13.907","0.548","14.072","10.359","9.209","0.544","13.242","10.029","10.009","2.279","4.224","144.326","149.148"
"33","GTD","Jeroen Bleekemolen","16","3:28.536","41:00.987","Green","Track","115.604","15.049","0.576","14.629","10.871","9.729","0.564","13.875","10.489","10.361","2.385","4.404","137.311","143.859"
"85","PC","Misha Goikhberg","20","1:43.542","41:01.875","Green","Pit","3.357","11.954","0.540","13.245","10.061","9.106","0.541","13.123","10.274","12.076","7.725","11.540","146.465","149.975"
"63","GTD","Christina Nielsen","17","1:34.758","41:13.022","Green","Track","3.461","13.350","0.570","13.940","10.770","9.759","0.567","14.063","10.693","10.650","2.452","4.483","138.756","143.098"
"73","GTD","Patrick Lindsey","17","1:39.793","41:25.760","Green","Track","3.646","14.071","0.774","15.203","11.488","10.510","0.733","15.015","10.986","10.529","2.401","4.437","102.185","110.691"
"27","GTD","Lawrence DeGeorge","17","1:39.964","41:34.133","Green","Track","3.865","13.690","0.579","15.298","11.380","10.016","0.584","14.883","11.294","11.198","2.494","4.683","136.599","138.932"
"6","GTD","Robin Liddell","13","1:47.001","41:36.589","Green","Track","10.339","15.939","0.649","16.218","11.527","9.967","0.583","13.762","10.477","10.574","2.449","4.517","121.866","139.170"
"16","GTD","Corey Lewis","16","1:32.964","41:38.596","Green","Track","3.621","12.748","0.570","13.708","10.472","9.839","0.572","13.601","10.343","10.601","2.429","4.460","138.756","141.847"
"52","PC","Tom Kimber-Smith","19","1:28.341","41:47.264","Green","Track","3.197","12.005","0.539","13.192","9.936","9.151","0.541","13.089","10.166","10.001","2.286","4.238","146.736","149.975"
"97","GTD","Michael Marsal","17","1:34.720","41:48.439","Green","Track","3.565","13.047","0.581","13.737","10.737","10.025","0.580","13.966","10.719","10.805","2.443","4.515","136.129","139.890"
"22","GTD","Leh Keen","18","1:33.169","41:58.286","Green","Track","3.763","12.812","0.566","13.665","10.828","9.658","0.565","13.759","10.490","10.241","2.395","4.427","139.737","143.604"
"88","PC","Mark Kvamme","18","1:36.781","42:01.742","Green","Track","4.393","13.459","0.552","14.256","10.775","9.446","0.575","14.251","10.795","11.182","2.373","4.724","143.281","141.107"
"48","GTD","Madison Snow","15","1:33.289","42:04.566","Green","Track","3.562","12.723","0.568","13.867","10.751","9.823","0.575","13.595","10.446","10.490","2.415","4.474","139.245","141.107"
"96","GTD","Jens Klingmann","17","1:31.728","42:10.215","Green","Track","3.366","12.716","0.571","13.424","10.426","9.826","0.573","13.462","10.366","10.104","2.416","4.478","138.513","141.599"
"8","PC","Renger Van Der Zande","16","1:26.551","42:22.286","Green","Track","3.090","11.820","0.538","12.650","9.924","9.159","0.540","12.914","9.870","9.617","2.245","0.000","147.009","150.253"
"33","GTD","Jeroen Bleekemolen","17","1:31.947","42:32.934","Green","Track","3.353","12.673","0.562","13.623","10.503","9.619","0.562","13.542","10.410","10.241","2.424","0.000","140.731","144.371"
"63","GTD","Christina Nielsen","18","1:33.633","42:46.655","Green","Track","3.466","12.957","0.567","13.788","10.661","9.685","0.566","13.672","10.842","10.560","2.417","0.000","139.490","143.350"
"38","PC","Kyle Marcelli","16","4:07.144","42:46.700","Green","Pit","3.260","11.736","0.536","13.489","11.402","9.242","0.580","14.432","10.787","11.056","7.366","0.000","147.558","139.890"
"9","GTD","Lawson Aschenbach","14","5:09.505","42:53.303","Green","Pit","3.401","12.813","0.576","13.427","10.477","9.900","0.580","13.738","10.907","11.014","6.149","0.000","137.311","139.890"
"23","GTD","Alex Riberas","16","3:24.010","42:55.378","Green","Track","111.211","14.766","0.589","14.660","10.867","9.827","0.574","13.949","10.309","10.390","2.415","0.000","134.280","141.353"
"54","PC","Colin Braun","16","3:09.490","43:06.956","Green","Pit","3.139","11.840","0.542","13.666","10.049","9.185","0.543","13.553","10.089","9.783","5.363","0.000","145.924","149.422"
"6","GTD","Robin Liddell","14","1:34.583","43:11.172","Green","Track","3.438","12.969","0.574","13.604","11.023","9.884","0.616","14.296","10.729","10.488","2.442","0.000","137.789","131.715"
"27","GTD","Lawrence DeGeorge","18","1:39.678","43:13.811","Green","Track","3.894","13.514","0.576","14.473","11.352","9.938","0.589","14.938","11.640","11.376","2.518","0.000","137.311","137.753"
"16","GTD","Corey Lewis","17","1:35.502","43:14.098","Green","Track","3.496","12.674","0.565","13.651","10.708","9.771","0.570","13.762","11.585","11.372","2.449","0.000","139.984","142.344"
"52","PC","Tom Kimber-Smith","19","1:27.901","43:15.165","Green","Track","3.244","11.918","0.540","13.157","9.970","9.144","0.542","13.016","10.202","9.682","2.276","0.000","146.465","149.698"
"97","GTD","Michael Marsal","18","1:34.329","43:22.768","Green","Track","3.415","13.245","0.581","13.670","10.632","9.851","0.577","13.956","10.908","10.543","2.439","0.000","136.129","140.618"
"22","GTD","Leh Keen","19","1:31.715","43:30.001","Green","Track","3.396","12.567","0.559","13.503","10.544","9.643","0.565","13.425","10.385","10.192","2.457","0.000","141.486","143.604"
"88","PC","Mark Kvamme","19","1:35.183","43:36.925","Green","Track","3.758","12.924","0.550","14.220","10.535","9.331","0.548","14.122","11.023","10.942","2.400","0.000","143.802","148.059"
"44","GTD","Andy Lally","13","4:52.941","43:38.989","Green","Track","193.357","14.372","0.917","15.655","10.718","9.903","0.582","14.456","10.603","13.545","3.642","0.000","86.250","139.410"
"8","PC","Renger Van Der Zande","17","1:26.770","43:49.056","Green","Track","3.055","11.671","0.536","12.839","9.923","9.079","0.539","13.057","9.959","9.729","2.222","0.000","147.558","150.531"
"31","P","Dane Cameron","19","3:55.187","43:50.763","Green","Track","150.391","13.097","0.544","13.489","9.964","8.894","0.524","12.898","9.783","9.405","2.158","0.000","145.388","154.840"
"96","GTD","Jens Klingmann","18","1:42.263","43:52.478","Green","Pit","3.311","12.657","0.571","13.492","10.384","9.821","0.572","13.461","10.360","10.348","5.686","0.000","138.513","141.847"
"33","GTD","Jeroen Bleekemolen","18","1:31.516","44:04.450","Green","Track","3.351","12.718","0.562","13.524","10.473","9.627","0.563","13.386","10.363","10.170","2.383","0.000","140.731","144.114"
"38","PC","Kyle Marcelli","17","1:39.232","44:25.932","Green","Track","9.561","14.685","0.556","13.896","10.415","9.157","0.541","13.564","10.121","10.263","2.271","4.202","142.250","149.975"
"10","P","Ricky Taylor","18","4:13.422","44:29.437","Green","Track","164.154","14.808","0.538","13.736","10.249","8.954","0.526","13.768","10.583","9.810","2.203","4.093","147.009","154.252"
"23","GTD","Alex Riberas","17","1:36.018","44:31.396","Green","Track","3.425","12.869","0.573","14.133","10.904","10.029","0.570","14.606","10.695","11.276","2.455","4.483","138.030","142.344"
"63","GTD","Christina Nielsen","19","1:49.062","44:35.717","Green","Pit","3.501","12.952","0.568","14.561","11.668","9.859","0.569","14.639","11.167","11.748","6.413","11.417","139.245","142.595"
"9","GTD","Lawson Aschenbach","15","1:42.848","44:36.151","Green","Track","9.494","15.133","0.589","14.443","10.603","10.026","0.585","13.954","10.592","10.457","2.440","4.532","134.280","138.695"
"54","PC","Colin Braun","17","1:36.135","44:43.091","Green","Track","9.561","13.167","0.541","13.078","10.064","9.189","0.575","13.373","10.419","9.753","2.233","4.182","146.194","141.107"
"6","GTD","Robin Liddell","15","1:33.328","44:44.500","Green","Track","3.443","12.899","0.575","13.525","10.612","9.839","0.577","13.640","10.501","10.764","2.446","4.507","137.549","140.618"
"16","GTD","Corey Lewis","18","1:33.596","44:47.694","Green","Track","3.981","13.008","0.570","13.731","10.546","9.780","0.569","13.596","10.436","10.498","2.417","4.464","138.756","142.595"
"97","GTD","Michael Marsal","19","1:34.805","44:57.573","Green","Track","3.591","12.980","0.579","13.691","10.735","10.094","0.579","14.337","10.626","10.650","2.440","4.503","136.599","140.132"
"52","PC","Tom Kimber-Smith","21","1:43.412","44:58.577","Green","Pit","3.762","13.568","0.552","13.599","10.422","9.193","0.541","13.522","10.289","10.588","5.810","11.566","143.281","149.975"
"22","GTD","Leh Keen","20","1:31.760","45:01.761","Green","Track","3.375","12.595","0.564","13.559","10.540","9.612","0.563","13.541","10.388","10.208","2.395","4.420","140.232","144.114"
"88","PC","Mark Kvamme","20","1:35.496","45:12.421","Green","Track","3.785","13.140","0.552","14.154","10.583","9.492","0.552","14.125","10.950","10.973","2.384","4.806","143.281","146.986"
"44","GTD","Andy Lally","14","1:36.263","45:15.252","Green","Track","3.634","12.878","0.576","13.674","10.648","9.829","0.573","15.898","10.884","10.717","2.437","4.515","137.311","141.599"
"8","PC","Renger Van Der Zande","18","1:26.475","45:15.531","Green","Track","3.103","11.682","0.537","12.731","9.922","9.068","0.535","12.962","9.877","9.681","2.229","4.148","147.283","151.657"
"31","P","Dane Cameron","20","1:25.059","45:15.822","Green","Track","3.136","11.343","0.521","12.812","9.799","8.853","0.520","12.758","9.651","9.485","2.145","4.036","151.806","156.031"
"48","GTD","Madison Snow","16","3:27.765","45:32.331","Green","Pit","3.548","12.749","0.569","13.893","10.749","9.749","0.571","13.814","10.485","10.955","5.924","114.759","139.000","142.095"
"33","GTD","Jeroen Bleekemolen","19","1:31.396","45:35.846","Green","Track","3.347","12.586","0.562","13.579","10.470","9.658","0.562","13.323","10.317","10.187","2.396","4.409","140.731","144.371"
"38","PC","Kyle Marcelli","18","1:28.172","45:54.104","Green","Track","3.246","11.813","0.542","13.293","10.174","9.113","0.540","13.132","9.942","9.936","2.254","4.187","145.924","150.253"
"10","P","Ricky Taylor","19","1:26.229","45:55.666","Green","Track","3.207","11.466","0.526","12.842","9.863","9.020","0.528","12.781","10.089","9.609","2.205","4.093","150.363","153.667"
"9","GTD","Lawson Aschenbach","16","1:32.359","46:08.510","Green","Track","3.418","12.775","0.577","13.572","10.417","9.898","0.579","13.457","10.393","10.336","2.424","4.513","137.073","140.132"
"54","PC","Colin Braun","18","1:26.211","46:09.302","Green","Track","3.108","11.780","0.541","12.825","9.807","9.113","0.539","12.749","9.882","9.462","2.232","4.173","146.194","150.531"
"23","GTD","Alex Riberas","18","1:43.649","46:15.045","Green","Pit","3.521","12.625","0.569","13.661","10.696","9.777","0.570","13.811","10.434","10.362","6.131","11.492","139.000","142.344"
"16","GTD","Corey Lewis","19","1:32.674","46:20.368","Green","Track","3.505","12.577","0.565","13.739","10.502","9.767","0.571","13.574","10.484","10.509","2.421","4.460","139.984","142.095"
"97","GTD","Michael Marsal","20","1:34.368","46:31.941","Green","Track","3.514","13.138","0.580","13.916","10.590","9.949","0.580","13.956","10.688","10.510","2.443","4.504","136.364","139.890"
"22","GTD","Leh Keen","21","1:31.490","46:33.251","Green","Track","3.388","12.620","0.564","13.534","10.518","9.616","0.564","13.409","10.258","10.255","2.370","4.394","140.232","143.859"
"31","P","Dane Cameron","21","1:29.997","46:45.819","Green","Track","3.582","12.223","0.563","13.711","10.306","8.870","0.528","14.824","9.887","9.337","2.141","4.025","140.481","153.667"
"44","GTD","Andy Lally","15","1:33.847","46:49.099","Green","Track","3.390","12.666","0.573","13.685","10.348","9.871","0.574","14.599","10.699","10.527","2.419","4.496","138.030","141.353"
"5","P","Christian Fittipaldi","17","7:41.265","46:51.307","Green","Track","363.376","17.612","0.761","16.985","11.127","9.055","0.581","14.302","10.209","10.023","2.346","4.888","103.930","139.650"
"88","PC","Mark Kvamme","21","1:39.492","46:51.913","Green","Track","3.717","13.399","0.554","14.251","10.555","9.490","0.577","16.146","11.596","11.114","2.458","5.635","142.763","140.618"
"27","GTD","Lawrence DeGeorge","19","3:55.410","47:09.221","Green","Pit","4.901","14.323","0.614","14.787","11.479","10.063","0.604","14.727","11.290","11.452","6.834","134.336","128.813","134.332"
"48","GTD","Bryan Sellers","17","1:44.061","47:16.392","Green","Track","8.363","15.560","0.588","14.734","10.918","9.939","0.577","14.707","10.730","10.950","2.473","4.522","134.508","140.618"
"33","GTD","Jeroen Bleekemolen","20","1:44.620","47:20.466","Green","Pit","3.327","12.695","0.563","14.039","10.925","9.714","0.564","13.742","10.696","10.857","6.147","11.351","140.481","143.859"
"10","P","Ricky Taylor","20","1:26.033","47:21.699","Green","Track","3.059","11.494","0.524","12.820","10.189","8.944","0.528","12.891","9.695","9.563","2.222","4.104","150.937","153.667"
"60","P","Oswaldo Negri Jr.","14","16:09.264","47:33.071","Green","Pit","4.152","14.544","0.715","15.432","11.466","9.562","0.688","15.070","10.906","10.817","6.947","868.965","110.617","117.931"
"73","GTD","Patrick Lindsey","18","6:08.229","47:33.989","Green","Pit","3.567","12.779","0.568","13.839","10.707","9.802","0.570","14.248","10.596","10.697","5.607","275.249","139.245","142.344"
"16","GTD","Corey Lewis","20","1:32.536","47:52.904","Green","Track","3.435","12.672","0.566","13.748","10.466","9.815","0.575","13.578","10.367","10.457","2.411","4.446","139.737","141.107"
"97","GTD","Michael Marsal","21","1:33.667","48:05.608","Green","Track","3.584","12.875","0.579","13.729","10.608","9.874","0.577","13.774","10.694","10.449","2.427","4.497","136.599","140.618"
"5","P","Christian Fittipaldi","18","1:26.983","48:18.290","Green","Track","3.632","11.692","0.525","13.045","9.865","8.881","0.531","13.243","9.905","9.460","2.154","4.050","150.649","152.799"
"22","GTD","Leh Keen","22","1:47.157","48:20.408","Green","Pit","3.460","12.739","0.566","14.547","10.888","9.671","0.590","14.336","10.913","11.232","6.133","12.082","139.737","137.519"
"44","GTD","Andy Lally","16","1:32.360","48:21.459","Green","Track","3.288","12.537","0.574","13.543","10.383","9.838","0.577","13.712","10.618","10.360","2.425","4.505","137.789","140.618"
"31","P","Dane Cameron","22","1:35.940","48:21.759","Green","Pit","3.101","11.080","0.514","12.587","9.580","8.883","0.523","12.661","9.671","9.614","6.323","11.403","153.873","155.136"
"55","P","Jonathan Bomarito","16","9:42.725","48:26.386","Green","Pit","3.414","11.845","0.533","13.058","9.972","9.034","0.539","13.657","10.576","11.179","6.808","492.110","148.388","150.531"
"88","PC","Mark Kvamme","22","1:36.528","48:28.441","Green","Track","4.025","13.053","0.549","14.325","10.809","9.544","0.573","14.311","10.912","11.078","2.396","4.953","144.064","141.599"
"85","PC","Misha Goikhberg","21","7:37.935","48:39.810","Green","Track","352.130","16.715","0.557","14.589","12.730","18.669","0.916","14.871","10.334","9.920","2.281","4.223","141.994","88.577"
"10","P","Ricky Taylor","21","1:25.456","48:47.155","Green","Track","3.154","11.396","0.525","12.696","9.933","8.949","0.528","12.780","9.756","9.464","2.192","4.083","150.649","153.667"
"27","GTD","Cedric Sbirrazzuoli","20","1:48.563","48:57.784","Green","Track","9.764","18.087","0.644","14.991","11.249","10.038","0.581","14.573","11.072","10.572","2.464","4.528","122.812","139.650"
"96","GTD","Jens Klingmann","19","5:11.960","49:04.438","Green","Track","221.186","14.277","0.580","13.984","10.564","9.881","0.578","13.560","10.383","10.080","2.413","4.474","136.364","140.374"
"48","GTD","Bryan Sellers","18","1:48.809","49:05.201","Green","Pit","3.694","13.311","0.577","14.115","10.888","9.827","0.598","14.304","11.195","11.160","7.820","11.320","137.073","135.680"
"54","PC","Colin Braun","19","3:07.791","49:17.093","Green","Pit","3.184","12.007","0.543","13.182","9.962","9.188","0.546","12.986","9.918","9.603","5.700","100.972","145.655","148.601"
"60","P","Katherine Legge","15","1:48.694","49:21.765","Green","Track","9.694","16.094","0.611","15.293","11.770","9.348","0.564","15.570","11.447","11.708","2.360","4.235","129.445","143.859"
"73","GTD","Jorg Bergmeister","19","1:50.908","49:24.897","Green","Track","10.361","15.699","0.604","14.962","11.383","9.806","0.598","19.282","10.743","10.613","2.416","4.441","130.945","135.680"
"16","GTD","Corey Lewis","21","1:32.652","49:25.556","Green","Track","3.429","12.534","0.566","13.624","10.559","9.790","0.574","13.579","10.551","10.568","2.424","4.454","139.737","141.353"
"97","GTD","Michael Marsal","22","1:33.723","49:39.331","Green","Track","3.478","13.043","0.579","13.586","10.544","9.956","0.578","13.972","10.472","10.555","2.445","4.515","136.599","140.374"
"5","P","Christian Fittipaldi","19","1:25.660","49:43.950","Green","Track","3.174","11.425","0.524","12.782","9.783","8.852","0.531","13.038","9.987","9.368","2.150","4.046","150.937","152.799"
"6","GTD","Robin Liddell","16","5:03.654","49:48.154","Green","Pit","3.429","13.012","0.575","13.686","10.634","9.889","0.578","14.564","10.534","10.890","6.433","209.430","137.549","140.374"
"8","PC","Renger Van Der Zande","19","4:34.232","49:49.763","Green","Pit","3.463","12.835","0.626","14.640","11.131","9.705","0.722","15.937","10.588","11.173","7.607","175.805","126.343","112.377"
"44","GTD","Andy Lally","17","1:31.978","49:53.437","Green","Track","3.324","12.573","0.575","13.537","10.333","9.913","0.576","13.546","10.394","10.303","2.411","4.493","137.549","140.862"
"88","PC","Mark Kvamme","23","1:35.710","50:04.151","Green","Track","3.746","13.002","0.550","14.244","10.697","9.504","0.564","14.220","11.005","10.923","2.393","4.862","143.802","143.859"
