"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"31","P","Eric Curran","2","1:58.380","1:19:11.485","Green","Track","5.034","9.602","19.266","0.473","21.672","26.945","19.682","11.222","4.484","173.818"
"10","P","Ricky Taylor","2","1:58.493","1:19:19.229","Green","Track","5.052","9.528","19.350","0.477","21.776","27.013","19.526","11.270","4.501","172.360"
"90","P","Marc Goossens","2","1:59.248","1:19:23.910","Green","Track","5.050","9.591","19.502","0.474","22.085","26.873","19.683","11.470","4.520","173.451"
"60","P","John Pew","2","2:00.436","1:19:30.738","Green","Track","5.061","9.897","19.568","0.483","22.497","27.198","19.650","11.568","4.514","170.219"
"55","P","Jonathan Bomarito","2","1:56.512","1:20:24.339","Green","Track","5.058","9.569","19.162","0.479","21.564","25.824","19.277","11.097","4.482","171.641"
"0","P","Sean Rayhall","2","2:27.527","1:20:27.500","Green","Track","26.781","14.211","20.530","0.641","22.556","27.112","19.760","11.462","4.474","128.262"
"70","P","Tom Long","2","1:57.458","1:20:33.446","Green","Track","5.037","9.689","19.265","0.477","21.621","26.290","19.417","11.200","4.462","172.360"
"5","P","Christian Fittipaldi","3","1:55.960","1:21:04.109","Green","Track","5.000","9.215","18.885","0.471","21.357","26.249","19.231","11.079","4.473","174.556"
"31","P","Eric Curran","3","1:56.120","1:21:07.605","Green","Track","5.001","9.347","19.027","0.473","21.170","26.139","19.309","11.171","4.483","173.818"
"10","P","Ricky Taylor","3","1:55.685","1:21:14.914","Green","Track","5.029","9.291","18.933","0.476","21.264","25.900","19.086","11.212","4.494","172.722"
"90","P","Marc Goossens","3","1:57.355","1:21:21.265","Green","Track","5.029","9.333","19.226","0.474","21.476","26.495","19.395","11.415","4.512","173.451"
"60","P","John Pew","3","1:57.902","1:21:28.640","Green","Track","5.046","9.585","19.278","0.478","21.872","26.267","19.473","11.429","4.474","172.000"
"55","P","Jonathan Bomarito","3","1:54.941","1:22:19.280","Green","Track","5.048","9.237","18.844","0.482","21.154","25.530","19.135","11.043","4.468","170.572"
"0","P","Sean Rayhall","3","1:57.227","1:22:24.727","Green","Track","5.008","9.336","19.096","0.477","21.345","26.588","19.464","11.447","4.466","172.360"
"70","P","Tom Long","3","1:56.112","1:22:29.558","Green","Track","5.006","9.292","18.997","0.475","21.402","26.120","19.293","11.080","4.447","173.086"
