"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"5","P","Joao Barbosa","1","1:59.149","1:59.149","Green","Track","0.000","11.019","14.478","4.138","0.634","17.011","23.729","32.730","5.841","3.243","129.588"
"31","P","Eric Curran","1","2:02.485","2:02.485","Green","Track","0.000","11.343","15.177","4.404","0.677","16.732","23.804","33.567","5.811","3.213","121.358"
"55","P","Tristan Nunez","1","2:21.244","2:21.244","Green","Pit","0.000","11.533","14.684","4.014","0.628","16.826","24.051","32.948","7.357","16.106","130.827"
"10","P","Jordan Taylor","1","2:23.743","2:23.743","Green","Pit","0.000","11.658","15.837","4.825","0.746","17.850","24.117","34.530","10.684","12.433","110.133"
"97","GTD","Michael Marsal","1","2:24.517","2:24.517","Green","Track","458.939","13.763","16.139","4.349","0.578","16.703","24.014","34.730","6.366","3.464","142.144"
"8","PC","Renger Van Der Zande","1","2:29.514","2:29.514","Green","Track","0.000","11.888","15.177","4.142","0.580","18.214","23.373","33.154","6.038","3.313","141.654"
"96","GTD","Jens Klingmann","1","2:44.561","2:44.561","Green","Pit","0.000","14.518","16.592","4.954","0.658","17.284","24.570","35.068","9.028","18.688","124.862"
"23","GTD","Ian James","1","2:52.304","2:52.304","Green","Track","0.000","13.558","18.565","4.646","0.658","19.447","27.492","37.406","7.375","3.718","124.862"
"67","GTLM","Richard Westbrook","1","2:53.850","2:53.850","Green","Track","0.000","14.715","18.002","4.791","0.715","19.630","26.518","35.524","6.581","3.554","114.908"
"90","P","Ryan Dalziel","1","2:54.376","2:54.376","Green","Track","0.000","14.571","19.388","5.420","0.766","19.471","26.833","35.498","6.335","3.445","107.257"
"3","GTLM","Jan Magnussen","1","2:54.407","2:54.407","Green","Pit","0.000","12.944","17.974","4.703","0.700","19.726","26.329","36.388","8.507","15.762","117.370"
"4","GTLM","Tommy Milner","1","2:56.396","2:56.396","Green","Pit","0.000","12.557","17.355","4.772","0.702","19.562","26.934","36.675","9.135","15.756","117.036"
"44","GTD","Andy Lally","1","2:59.670","2:59.670","Green","Track","0.000","12.581","17.407","5.182","0.830","20.253","27.291","37.727","6.653","3.610","98.987"
"912","GTLM","Earl Bamber","1","3:01.496","3:01.496","Green","Pit","0.000","11.828","17.210","4.721","0.741","19.431","27.474","38.643","10.507","16.027","110.876"
"48","GTD","Bryan Sellers","1","3:01.802","3:01.802","Green","Track","19.656","12.302","16.015","4.452","0.745","20.178","26.429","37.365","6.986","3.585","110.281"
"911","GTLM","Nick Tandy","1","3:02.539","3:02.539","Green","Pit","0.000","13.638","16.378","4.656","0.759","19.195","25.940","36.998","10.743","15.991","108.246"
"88","PC","Mark Kvamme","1","3:04.121","3:04.121","Green","Pit","0.000","14.871","19.155","4.504","0.640","18.785","25.287","37.556","11.044","15.977","128.374"
"54","PC","Jonathan Bennett","1","3:05.634","3:05.634","Green","Pit","0.000","14.162","18.873","4.403","0.629","18.253","26.206","35.306","11.032","16.016","130.619"
"85","PC","Stephen Simpson","1","3:06.918","3:06.918","Green","Pit","0.000","14.568","17.713","4.828","0.733","19.545","25.092","34.707","9.236","16.025","112.086"
"16","GTD","Corey Lewis","1","3:07.774","3:07.774","Green","Track","20.467","13.464","16.970","4.964","0.785","18.548","26.755","37.661","6.959","3.561","104.661"
"60","P","Oswaldo Negri","1","3:11.689","3:11.689","Green","Pit","102.678","13.019","17.421","5.134","0.800","19.891","27.808","35.000","8.360","17.023","102.699"
"66","GTLM","Joey Hand","1","3:11.719","3:11.719","Green","Pit","0.000","13.952","17.652","4.809","0.742","19.845","28.182","36.469","8.474","15.877","110.727"
"33","GTD","Jeroen Bleekemolen","1","3:14.457","3:14.457","Green","Pit","0.000","14.418","17.471","4.745","0.704","20.090","25.586","37.207","8.641","15.918","116.703"
"9","GTD","Lawson Aschenbach","1","3:17.039","3:17.039","Green","Track","19.236","12.814","16.369","5.033","0.784","20.134","27.948","51.344","6.272","3.517","104.795"
"52","PC","Robert Alon","1","3:16.977","3:16.977","Green","Pit","0.000","13.483","15.895","4.926","0.820","20.485","27.013","36.893","10.060","16.489","100.194"
"63","GTD","Christina Nielsen","1","3:17.958","3:17.958","Green","Pit","0.000","14.395","19.813","5.219","0.744","21.261","29.735","40.843","9.679","16.189","110.429"
