"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"70","P","Joel Miller","7","13:55.036","24:59.420","Green","Pit","3.538","11.912","0.532","13.860","10.537","9.003","0.541","13.811","10.388","263.854","71.884","425.176","148.667","149.975"
"38","PC","James French","8","13:07.398","25:15.848","Green","Pit","3.181","12.422","0.545","13.723","10.385","9.162","0.628","15.134","11.337","15.977","10.647","684.257","145.121","129.198"
"60","P","Oswaldo Negri Jr.","8","13:18.790","25:44.078","Green","Track","574.701","14.020","0.540","14.642","10.615","9.168","0.555","13.665","10.169","9.643","2.205","4.118","146.465","146.192"
"5","P","Joao Barbosa","8","14:14.467","25:46.605","Green","Track","604.433","14.550","0.566","15.731","10.916","9.117","0.645","14.376","10.260","10.206","2.205","4.102","139.737","125.793"
"31","P","Dane Cameron","9","13:49.940","25:49.278","Green","Track","630.640","13.157","0.615","14.824","10.771","9.045","0.625","14.173","10.319","9.733","2.173","4.053","128.603","129.818"
"90","P","Ryan Dalziel","7","13:48.340","25:54.085","Green","Track","738.864","14.870","0.620","14.729","10.450","9.057","0.548","13.319","9.892","9.638","2.226","4.127","127.566","148.059"
"96","GTD","Jens Klingmann","8","14:36.523","25:55.310","Green","Pit","11.734","633.954","0.576","13.905","10.642","9.776","0.577","13.760","10.329","10.242","6.480","11.642","137.311","140.618"
"10","P","Jordan Taylor","8","15:01.589","25:58.151","Green","Track","811.719","13.654","0.566","15.230","11.104","9.273","0.584","13.177","10.004","9.949","2.211","4.118","139.737","138.932"
"23","GTD","Alex Riberas","8","14:34.868","26:01.436","Green","Track","671.198","16.192","0.734","16.410","11.247","10.062","0.692","14.863","10.556","10.475","2.459","4.508","107.753","117.249"
"44","GTD","Andy Lally","7","14:51.988","26:02.204","Green","Track","687.671","14.817","0.596","16.329","11.611","10.185","0.587","14.078","10.635","10.660","2.438","4.505","132.703","138.222"
"22","GTD","Leh Keen","8","14:06.146","26:03.662","Green","Track","621.802","16.251","0.643","17.406","11.825","10.012","0.637","14.384","11.029","10.986","2.432","4.438","123.003","127.373"
"33","GTD","Ben Keating","7","15:58.398","26:04.169","Green","Track","861.896","15.913","0.577","14.721","11.669","9.772","0.631","14.738","10.939","10.696","2.415","4.431","137.073","128.584"
"6","GTD","Andrew Davis","8","1:48.731","26:07.740","Green","Track","10.524","15.564","0.590","14.610","10.968","10.040","0.599","15.644","11.681","11.502","2.464","4.545","134.052","135.453"
"16","GTD","Corey Lewis","9","1:45.149","26:08.197","Green","Track","9.818","14.197","0.573","14.719","11.070","10.025","0.584","14.258","11.289","11.686","2.442","4.488","138.030","138.932"
"73","GTD","Jorg Bergmeister","8","1:45.535","26:10.790","Green","Track","9.658","14.347","0.586","15.961","11.908","10.044","0.618","14.504","10.611","10.432","2.409","4.457","134.967","131.289"
"48","GTD","Bryan Sellers","6","1:52.574","26:14.836","Green","Track","9.425","14.752","0.584","14.410","11.687","12.768","0.731","16.551","13.865","10.871","2.440","4.490","135.430","110.994"
"9","GTD","Lawson Aschenbach","8","1:58.397","26:19.093","Green","Track","9.707","17.238","0.985","16.764","11.792","13.581","0.874","16.469","11.672","12.272","2.479","4.564","80.295","92.833"
"97","GTD","Markus Palttala","8","14:23.136","26:27.432","Green","Track","611.075","14.416","0.574","14.404","10.988","9.827","0.585","15.217","10.606","10.503","2.391","4.418","137.789","138.695"
"8","PC","Alex Popow","8","14:45.118","26:30.250","Green","Pit","3.257","12.371","0.542","13.189","10.090","9.301","0.551","13.334","10.100","12.502","9.776","790.105","145.924","147.253"
"27","GTD","Lawrence DeGeorge","6","1:59.497","26:34.144","Green","Track","9.967","17.037","0.785","17.397","12.460","10.765","0.670","18.202","12.076","12.300","2.642","5.196","100.753","121.099"
"55","P","Jonathan Bomarito","9","1:43.175","26:34.318","Green","Track","9.624","15.039","0.624","16.019","10.904","9.026","0.558","14.026","10.317","10.522","2.220","4.296","126.748","145.406"
"70","P","Joel Miller","8","1:43.895","26:43.315","Green","Track","9.517","14.642","0.661","15.706","11.461","9.297","0.658","14.294","10.631","10.539","2.282","4.207","119.653","123.308"
