"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"007","GTD","James Davison","5","1:36.128","13:25.488","Green","Track","2.603","0.000","0.000","26.921","20.923","15.332","9.707","11.080","0.000"
"48","GTD","Bryan Sellers","5","1:41.959","13:27.110","Green","Track","2.392","0.000","0.000","33.136","20.868","15.419","9.114","11.176","0.000"
"88","PC","Mark Kvamme","5","1:50.611","13:28.408","Green","Track","2.382","0.000","0.000","32.236","24.516","16.983","10.535","11.241","0.000"
"6","GTD","Robin Liddell","4","1:27.112","14:14.461","Green","Track","1.792","0.000","0.000","26.247","20.172","14.515","8.653","11.183","0.000"
"22","GTD","Leh Keen","5","1:27.938","14:16.555","Green","Track","1.781","0.507","4.204","26.463","20.480","14.750","8.772","10.981","130.895"
"9","GTD","Lawson Aschenbach","5","1:27.755","14:17.504","Green","Track","1.799","0.000","0.000","26.362","20.432","14.633","8.656","11.261","0.000"
"54","PC","Jonathan Bennett","5","1:28.641","14:21.608","Green","Track","1.661","0.471","4.355","27.737","20.158","14.835","8.761","10.663","140.899"
"540","GTD","Timothy Pappas","6","1:29.937","14:28.678","Green","Track","1.788","0.000","0.000","26.954","20.836","15.190","9.102","11.180","0.000"
"97","GTD","Markus Palttala","6","1:28.828","14:29.006","Green","Track","1.773","0.508","4.046","26.359","20.648","15.250","9.052","11.192","130.637"
"85","PC","Misha Goikhberg","7","1:23.934","14:29.008","Green","Track","1.665","0.476","3.974","25.107","19.286","14.170","8.559","10.697","139.419"
"23","GTD","Mario Farnbacher","6","1:28.962","14:29.737","Green","Track","1.774","0.508","4.085","26.392","20.457","15.320","9.039","11.387","130.637"
"44","GTD","Andy Lally","7","1:27.021","14:33.027","Green","Track","1.778","0.507","4.035","26.226","20.181","14.568","8.731","10.995","130.895"
"52","PC","Tom Kimber-Smith","6","1:24.576","14:32.905","Green","Track","1.659","0.472","4.613","25.246","19.187","14.116","8.653","10.630","140.601"
"20","PC","Johnny Mowlem","6","1:22.682","14:38.455","Green","Track","1.650","0.466","4.015","25.036","19.110","13.830","8.233","10.342","142.411"
"63","GTD","Alessandro Balzan","6","1:28.282","14:38.472","Green","Track","1.748","0.500","4.093","26.951","20.291","14.709","8.755","11.235","132.727"
"96","GTD","Jens Klingmann","6","1:28.286","14:46.792","Green","Track","1.761","0.505","4.019","26.524","20.239","14.787","9.245","11.206","131.413"
"73","GTD","Jorg Bergmeister","6","1:27.259","14:47.157","Green","Track","1.769","0.000","0.000","26.249","20.138","14.474","8.747","11.297","0.000"
"33","GTD","Jeroen Bleekemolen","6","1:27.211","14:48.684","Green","Track","1.728","0.493","3.981","26.273","20.131","14.653","8.753","11.199","134.612"
"27","GTD","Lawrence DeGeorge","6","1:41.357","14:49.289","Green","Track","1.825","0.000","0.000","29.976","23.163","17.421","10.647","12.901","0.000"
"80","GTD","Mike Skeen","5","1:27.617","14:49.559","Green","Track","1.736","0.495","4.015","26.317","20.423","14.859","8.813","10.959","134.068"
"11","GTD","Townsend Bell","6","1:27.778","14:51.106","Green","Track","1.784","0.510","4.049","26.364","20.408","14.826","8.772","11.065","130.125"
"007","GTD","James Davison","6","1:28.210","14:53.698","Green","Track","1.756","0.500","4.126","26.668","20.418","14.900","8.791","11.051","132.727"
"48","GTD","Bryan Sellers","6","1:27.630","14:54.740","Green","Track","1.789","0.511","4.098","26.249","20.295","14.693","8.819","11.176","129.870"
"88","PC","Mark Kvamme","6","1:31.418","14:59.826","Finish","Track","1.701","0.490","4.663","27.393","21.792","15.459","9.142","10.778","135.436"
"6","GTD","Robin Liddell","5","1:26.896","15:41.357","Finish","Track","1.796","0.000","0.000","26.083","20.341","14.531","8.666","10.938","0.000"
"22","GTD","Leh Keen","6","1:27.484","15:44.039","Finish","Track","1.764","0.504","4.141","26.343","20.257","14.647","8.741","11.087","131.674"
"9","GTD","Lawson Aschenbach","6","1:27.470","15:44.974","Finish","Track","1.795","0.000","0.000","26.393","20.294","14.559","8.659","11.152","0.000"
"54","PC","Jonathan Bennett","6","1:25.083","15:46.691","Finish","Track","1.664","0.471","3.994","25.297","19.709","14.666","8.737","10.545","140.899"
"52","PC","Tom Kimber-Smith","7","1:25.115","15:58.020","Finish","Track","1.660","0.473","3.991","24.910","20.153","14.333","9.016","10.579","140.304"
"97","GTD","Markus Palttala","7","1:29.967","15:58.973","Finish","Track","1.763","0.508","4.394","27.303","20.522","14.770","9.500","11.207","130.637"
"23","GTD","Mario Farnbacher","7","1:30.884","16:00.621","Finish","Track","1.770","0.506","4.187","27.269","21.557","15.444","9.090","11.061","131.153"
"540","GTD","Timothy Pappas","7","1:31.743","16:00.421","Finish","Track","1.778","0.000","0.000","27.629","21.577","15.591","9.110","11.273","0.000"
"44","GTD","Andy Lally","8","1:28.100","16:01.127","Finish","Track","1.793","0.511","4.124","26.522","20.311","14.802","8.893","11.144","129.870"
"20","PC","Johnny Mowlem","7","1:22.603","16:01.058","Finish","Track","1.650","0.472","3.931","24.870","18.968","13.760","8.381","10.571","140.601"
"63","GTD","Alessandro Balzan","7","1:27.479","16:05.951","Finish","Track","1.762","0.500","4.154","26.401","20.157","14.746","8.736","11.023","132.727"
"96","GTD","Jens Klingmann","7","1:27.521","16:14.313","Finish","Track","1.767","0.507","4.006","26.590","20.144","14.597","8.683","11.227","130.895"
"73","GTD","Jorg Bergmeister","7","1:28.508","16:15.665","Finish","Track","1.774","0.000","0.000","26.589","20.603","15.067","8.955","10.948","0.000"
"33","GTD","Jeroen Bleekemolen","7","1:27.395","16:16.079","Finish","Track","1.736","0.497","3.988","26.388","20.171","14.769","8.903","10.943","133.528"
"80","GTD","Mike Skeen","6","1:27.096","16:16.655","Finish","Track","1.738","0.494","3.989","26.287","20.045","14.691","8.827","11.025","134.339"
"11","GTD","Townsend Bell","7","1:27.990","16:19.096","Finish","Track","1.777","0.508","4.129","26.692","20.311","14.726","8.778","11.069","130.637"
"007","GTD","James Davison","7","1:28.508","16:22.206","Finish","Track","1.767","0.499","4.130","26.684","20.736","14.906","8.803","10.983","132.993"
"48","GTD","Bryan Sellers","7","1:29.637","16:24.377","Finish","Track","1.791","0.512","4.086","26.323","21.029","15.876","8.892","11.128","129.616"
"27","GTD","Lawrence DeGeorge","7","1:39.339","16:28.628","Finish","Track","2.005","0.000","0.000","29.478","23.317","17.434","9.979","11.554","0.000"
"88","PC","Mark Kvamme","7","1:29.415","16:29.241","Finish","Track","1.697","0.486","4.405","26.137","21.276","15.335","9.247","10.832","136.551"
