"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"911","GTLM","Nick Tandy","5","1:43.576","34:37.072","Green","Track","3.253","8.539","12.114","3.816","0.494","13.754","21.177","31.319","5.723","3.387","166.314"
"68","GTLM","Alessandro Pier Guidi","4","1:42.899","34:43.212","Green","Track","3.249","8.491","12.262","3.863","0.501","13.215","20.902","31.329","5.709","3.378","163.990"
"66","GTLM","Joey Hand","4","1:41.969","34:48.753","Green","Track","3.189","8.390","12.071","3.796","0.490","13.440","20.829","30.856","5.589","3.319","167.672"
"25","GTLM","Dirk Werner","3","1:41.650","35:07.564","Green","Track","3.201","8.468","11.981","3.804","0.496","13.188","20.702","30.956","5.546","3.308","165.643"
"67","GTLM","Richard Westbrook","4","1:44.947","35:17.516","Green","Track","3.183","8.368","12.065","3.782","0.489","13.337","20.577","34.192","5.643","3.311","168.015"
"100","GTLM","John Edwards","3","1:42.109","35:28.226","Green","Track","3.214","8.471","12.089","3.819","0.496","13.332","20.870","30.846","5.636","3.336","165.643"
"4","GTLM","Tommy Milner","6","1:42.866","35:40.024","Green","Track","3.263","8.536","12.263","3.856","0.500","13.168","21.119","31.150","5.642","3.369","164.318"
"3","GTLM","Jan Magnussen","6","1:43.352","35:43.261","Green","Track","3.233","8.506","12.191","3.830","0.495","13.432","21.184","31.430","5.687","3.364","165.978"
"912","GTLM","Frederic Makowiecki","6","1:43.903","35:58.661","Green","Track","3.256","8.544","12.148","3.822","0.494","13.603","21.243","31.542","5.850","3.401","166.314"
"62","GTLM","Toni Vilander","6","1:43.757","36:01.975","Green","Track","3.246","8.532","12.209","3.847","0.499","13.422","21.275","31.529","5.834","3.364","164.647"
"911","GTLM","Nick Tandy","6","1:43.531","36:20.603","Green","Track","3.247","8.579","12.138","3.813","0.493","13.709","21.070","31.322","5.772","3.388","166.651"
"66","GTLM","Joey Hand","5","1:44.004","36:32.757","Green","Track","3.198","8.413","12.072","3.786","0.490","13.412","21.994","31.613","5.692","3.334","167.672"
"68","GTLM","Alessandro Pier Guidi","5","1:55.074","36:38.286","Green","Track","3.306","9.333","15.084","5.516","0.785","15.856","22.944","33.118","5.743","3.389","104.661"
"25","GTLM","Dirk Werner","4","1:41.816","36:49.380","Green","Track","3.200","8.483","11.991","3.796","0.493","13.378","20.857","30.787","5.529","3.302","166.651"
"67","GTLM","Richard Westbrook","5","1:41.255","36:58.771","Green","Track","3.187","8.389","12.044","3.771","0.488","13.274","20.636","30.731","5.452","3.283","168.359"
"100","GTLM","John Edwards","4","1:41.905","37:10.131","Green","Track","3.217","8.449","12.040","3.812","0.495","13.273","20.746","30.871","5.656","3.346","165.978"
"4","GTLM","Tommy Milner","7","1:42.794","37:22.818","Green","Track","3.256","8.490","12.300","3.858","0.499","13.156","21.045","31.204","5.621","3.365","164.647"
"3","GTLM","Jan Magnussen","7","1:43.135","37:26.396","Green","Track","3.233","8.559","12.199","3.822","0.493","13.414","21.118","31.252","5.680","3.365","166.651"
"912","GTLM","Frederic Makowiecki","7","1:44.059","37:42.720","Green","Track","3.270","8.558","12.151","3.813","0.493","13.457","21.243","31.878","5.800","3.396","166.651"
"62","GTLM","Toni Vilander","7","1:46.333","37:48.308","Green","Track","3.243","9.317","12.619","3.914","0.517","14.367","21.731","31.525","5.740","3.360","158.915"
"911","GTLM","Nick Tandy","7","1:43.675","38:04.278","Green","Track","3.251","8.564","12.147","3.814","0.493","13.620","21.016","31.479","5.867","3.424","166.651"
"66","GTLM","Joey Hand","6","1:43.495","38:16.252","Green","Track","3.214","8.591","12.245","3.814","0.496","13.651","21.260","31.286","5.620","3.318","165.643"
"68","GTLM","Alessandro Pier Guidi","6","1:42.856","38:21.142","Green","Track","3.274","8.413","12.258","3.873","0.502","13.190","20.911","31.348","5.676","3.411","163.664"
"25","GTLM","Dirk Werner","5","1:42.033","38:31.413","Green","Track","3.200","8.508","11.980","3.809","0.495","13.269","20.914","30.776","5.677","3.405","165.978"
"100","GTLM","John Edwards","5","1:42.136","38:52.267","Green","Track","3.229","8.423","12.018","3.824","0.496","13.381","20.805","30.883","5.708","3.369","165.643"
"67","GTLM","Richard Westbrook","6","1:59.757","38:58.528","Green","Pit","3.178","8.376","12.036","3.781","0.487","13.319","20.733","34.026","8.234","15.587","168.704"
"3","GTLM","Jan Magnussen","8","1:51.831","39:18.227","Green","Track","3.234","8.537","12.220","4.145","0.618","16.309","24.805","32.837","5.748","3.378","132.944"
"4","GTLM","Tommy Milner","8","2:01.864","39:24.682","Green","Pit","3.254","8.552","12.319","3.872","0.500","13.262","21.075","34.865","8.506","15.659","164.318"
"912","GTLM","Frederic Makowiecki","8","1:44.037","39:26.757","Green","Track","3.260","8.695","12.239","3.830","0.494","13.711","21.222","31.357","5.828","3.401","166.314"
"62","GTLM","Toni Vilander","8","1:43.239","39:31.547","Green","Track","3.253","8.504","12.252","3.853","0.499","13.524","21.131","31.182","5.674","3.367","164.647"
"911","GTLM","Nick Tandy","8","1:43.553","39:47.831","Green","Track","3.269","8.535","12.145","3.807","0.492","13.667","21.036","31.464","5.745","3.393","166.990"
"66","GTLM","Joey Hand","7","1:59.020","40:15.272","Finish","Pit","3.206","8.427","12.084","3.787","0.489","13.417","22.021","32.825","7.184","15.580","168.015"
"68","GTLM","Alessandro Pier Guidi","7","2:13.693","40:34.835","Finish","Pit","3.628","10.279","16.273","5.442","0.715","16.527","23.678","33.091","8.412","15.648","114.908"
"62","GTLM","Toni Vilander","9","1:43.182","41:14.729","Finish","Track","3.244","8.518","12.257","3.850","0.498","13.445","21.094","31.217","5.686","3.373","164.978"
"3","GTLM","Jan Magnussen","9","2:01.762","41:19.989","Finish","Pit","3.250","8.565","12.241","3.837","0.495","13.518","21.654","33.563","8.975","15.664","165.978"
"912","GTLM","Frederic Makowiecki","9","1:59.592","41:26.349","Finish","Pit","3.266","8.579","12.164","3.815","0.492","13.771","21.497","32.351","7.868","15.789","166.990"
"911","GTLM","Nick Tandy","9","1:43.435","41:31.266","Finish","Track","3.250","8.478","12.153","3.811","0.492","13.518","21.122","31.505","5.718","3.388","166.990"
"52","PC","Robert Alon","1","52:13.693","52:13.693","Green","Track","0.000","12.063","14.997","4.345","0.598","16.349","24.607","35.185","5.800","3.312","137.390"
"88","PC","Mark Kvamme","1","52:21.935","52:21.935","Green","Track","0.000","12.882","19.105","5.580","0.683","18.851","26.717","36.328","6.855","3.480","120.291"
"85","PC","Misha Goikhberg","1","52:25.259","52:25.259","Green","Track","0.000","11.728","17.323","6.274","0.835","17.888","26.544","37.206","6.200","3.477","98.394"
"20","PC","Johnny Mowlem","1","52:33.784","52:33.784","Green","Track","14.793","10.356","13.923","4.051","0.625","16.281","23.817","32.762","5.887","3.303","131.455"
"54","PC","Jonathan Bennett","1","53:02.731","53:02.731","Green","Track","0.000","10.428","14.249","3.994","0.514","15.933","22.366","32.410","5.781","3.302","159.843"
"38","PC","James French","1","53:29.184","53:29.184","Green","Track","15.640","11.957","15.102","4.197","0.673","16.890","24.765","33.707","5.684","3.289","122.079"
