"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"2","P","Luis Felipe Derani","52","1:56.788","1:37:00.094","Green","Track","14.660","10.292","12.814","3.764","0.514","14.700","21.061","30.572","5.304","3.107","159.843"
"60","P","Olivier Pla","52","2:29.140","1:37:00.571","Green","Track","46.882","10.381","12.590","3.804","0.568","14.727","21.137","30.573","5.336","3.142","144.646"
"73","GTD","Matthew McMurry","49","1:48.891","1:37:01.902","Green","Track","3.319","9.026","12.640","3.933","0.505","15.009","22.031","33.006","6.013","3.409","162.691"
"22","GTD","Cooper MacNeil","49","1:49.438","1:37:02.881","Green","Track","3.342","9.084","12.380","3.933","0.539","15.085","22.391","33.228","6.017","3.439","152.429"
"3","GTLM","Jan Magnussen","50","1:44.714","1:37:03.289","Green","Track","3.256","8.581","12.233","3.806","0.491","14.162","21.455","31.566","5.796","3.368","167.330"
"911","GTLM","Nick Tandy","50","1:44.468","1:37:04.490","Green","Track","3.234","8.618","12.226","3.820","0.492","13.809","21.624","31.538","5.734","3.373","166.990"
"44","GTD","John Potter","49","1:48.483","1:37:05.819","Green","Track","3.315","9.099","12.609","3.907","0.521","14.894","22.061","32.789","5.864","3.424","157.695"
"912","GTLM","Frederic Makowiecki","50","1:44.206","1:37:09.902","Green","Track","3.238","8.592","12.234","3.827","0.494","13.839","21.263","31.525","5.814","3.380","166.314"
"33","GTD","Ben Keating","49","1:47.633","1:37:10.868","Green","Track","3.288","9.062","12.354","3.816","0.490","14.382","22.144","32.722","5.979","3.396","167.672"
"54","PC","Jonathan Bennett","52","1:42.216","1:37:25.253","Green","Track","3.298","8.365","11.855","3.833","0.548","13.485","20.770","30.763","6.007","3.292","149.925"
"97","GTD","Michael Marsal","23","1:49.255","1:37:25.325","Green","Track","3.355","9.284","12.544","3.893","0.504","14.965","22.586","32.569","6.123","3.432","163.014"
"52","PC","Robert Alon","48","1:54.290","1:37:30.218","Green","Pit","3.173","8.300","11.941","3.790","0.490","12.758","20.126","30.457","7.303","15.952","167.672"
"540","GTD","Tim Pappas","49","1:48.942","1:37:32.178","Green","Track","3.491","9.219","12.588","3.928","0.507","14.568","22.394","32.760","6.021","3.466","162.049"
"48","GTD","Madison Snow","48","1:47.401","1:37:33.220","Green","Track","3.276","8.839","12.397","3.829","0.491","14.470","22.066","32.695","5.929","3.409","167.330"
"0","P","Katherine Legge","50","2:00.925","1:37:41.909","Green","Track","14.842","10.653","13.749","3.813","0.543","15.167","21.711","31.521","5.748","3.178","151.306"
"25","GTLM","Dirk Werner","51","1:42.444","1:38:11.512","Green","Track","3.223","8.525","12.114","3.831","0.498","13.428","21.050","30.854","5.600","3.321","164.978"
"67","GTLM","Richard Westbrook","51","1:42.793","1:38:13.830","Green","Track","3.208","8.425","12.105","3.783","0.496","13.446","20.901","31.443","5.665","3.321","165.643"
"85","PC","Misha Goikhberg","52","1:41.467","1:38:14.011","Green","Track","3.152","8.215","11.877","3.758","0.486","13.347","20.649","31.228","5.552","3.203","169.052"
"5","P","Joao Barbosa","53","1:40.431","1:38:23.397","Green","Track","3.041","8.128","11.470","3.607","0.462","12.830","20.312","31.881","5.538","3.162","177.834"
"6","GTD","Robin Liddell","50","1:47.884","1:38:24.843","Green","Track","3.294","8.850","12.550","3.902","0.504","13.988","21.952","33.266","6.134","3.444","163.014"
"23","GTD","Mario Farnbacher","50","1:47.548","1:38:24.893","Green","Track","3.292","8.835","12.422","3.865","0.505","14.066","22.043","33.065","6.067","3.388","162.691"
"90","P","Ryan Dalziel","53","1:38.131","1:38:24.938","Green","Track","3.042","8.127","11.500","3.609","0.466","12.813","20.284","29.485","5.642","3.163","176.307"
"9","GTD","Lawson Aschenbach","50","1:47.549","1:38:25.088","Green","Track","3.308","8.928","12.326","3.825","0.523","14.211","21.933","33.053","6.040","3.402","157.092"
"55","P","Tristan Nunez","53","1:36.159","1:38:25.049","Green","Track","3.009","7.960","11.447","3.650","0.477","12.258","19.654","29.155","5.426","3.123","172.241"
"10","P","Max Angelelli","53","2:24.815","1:38:27.327","Green","Track","42.877","10.225","12.519","3.721","0.490","13.885","21.719","30.623","5.563","3.193","167.672"
"31","P","Dane Cameron","53","1:38.459","1:38:34.274","Green","Track","3.022","8.141","11.522","3.589","0.461","12.713","20.781","29.810","5.304","3.116","178.219"
"96","GTD","Bret Curtis","48","2:02.771","1:35:24.514","Green","Track","131.284","12.197","14.819","4.641","0.616","18.795","25.029","39.969","8.948","0.000","133.375"
"68","GTLM","Daniel Serra","51","1:44.609","1:38:36.353","Green","Track","3.267","8.700","12.312","3.854","0.499","13.772","21.346","31.734","5.751","3.374","164.647"
"66","GTLM","Joey Hand","51","1:43.510","1:38:36.667","Green","Track","3.245","8.420","12.080","3.769","0.498","13.496","21.768","31.181","5.728","3.325","164.978"
"62","GTLM","Giancarlo Fisichella","51","1:43.530","1:38:38.362","Green","Track","3.221","8.570","12.327","3.838","0.497","13.338","21.066","31.655","5.678","3.340","165.310"
"16","GTD","Spencer Pumpelly","50","1:48.828","1:38:39.232","Green","Track","3.316","8.940","12.444","3.820","0.494","14.646","22.815","33.038","5.899","3.416","166.314"
"100","GTLM","John Edwards","51","1:42.965","1:38:39.803","Green","Track","3.210","8.581","12.182","3.799","0.492","13.376","21.077","31.230","5.694","3.324","166.990"
"2","P","Luis Felipe Derani","53","1:40.646","1:38:40.740","Green","Track","3.031","8.265","12.229","3.667","0.470","13.802","21.380","29.445","5.247","3.110","174.807"
"70","P","Joel Miller","53","2:30.653","1:38:42.373","Green","Track","46.147","10.231","13.763","3.799","0.559","14.858","21.833","31.004","5.368","3.091","146.975"
"60","P","Olivier Pla","53","1:42.377","1:38:42.948","Green","Track","3.045","8.177","11.928","3.686","0.491","13.786","21.498","30.896","5.678","3.192","167.330"
"88","PC","Remo Ruscitti","52","1:53.457","1:38:43.845","Green","Pit","3.120","8.303","11.839","3.723","0.482","13.027","20.333","30.026","6.663","15.941","170.455"
"4","GTLM","Oliver Gavin","51","1:45.321","1:38:44.238","Green","Track","3.227","8.695","12.298","3.841","0.497","13.989","22.318","31.378","5.712","3.366","165.310"
"63","GTD","Christina Nielsen","50","1:48.570","1:38:47.414","Green","Track","3.315","9.067","12.474","3.908","0.503","14.886","22.662","32.435","5.903","3.417","163.338"
"3","GTLM","Jan Magnussen","51","1:44.933","1:38:48.222","Green","Track","3.240","8.672","12.224","3.819","0.493","13.729","21.918","31.696","5.773","3.369","166.651"
"73","GTD","Matthew McMurry","50","1:47.306","1:38:49.208","Green","Track","3.292","8.957","12.455","3.841","0.493","14.068","22.112","32.786","5.913","3.389","166.651"
"911","GTLM","Nick Tandy","51","1:44.890","1:38:49.380","Green","Track","3.235","8.646","12.530","3.867","0.495","13.673","21.388","31.829","5.874","3.353","165.978"
"22","GTD","Cooper MacNeil","50","1:49.571","1:38:52.452","Green","Track","3.270","9.774","13.237","3.931","0.514","14.537","22.241","32.745","5.913","3.409","159.843"
"44","GTD","John Potter","50","1:47.333","1:38:53.152","Green","Track","3.281","8.990","12.526","3.879","0.497","14.055","22.074","32.432","6.123","3.476","165.310"
"912","GTLM","Frederic Makowiecki","51","1:44.162","1:38:54.064","Green","Track","3.235","8.614","12.278","3.816","0.492","13.827","21.327","31.381","5.821","3.371","166.990"
"33","GTD","Ben Keating","50","1:46.530","1:38:57.398","Green","Track","3.234","8.884","12.335","3.789","0.486","14.135","21.997","32.337","5.922","3.411","169.052"
"54","PC","Jonathan Bennett","53","1:40.988","1:39:06.241","Green","Track","3.243","8.419","11.937","3.816","0.536","13.467","20.733","30.158","5.468","3.211","153.282"
"97","GTD","Michael Marsal","24","1:48.443","1:39:13.768","Green","Track","3.491","9.121","12.502","3.888","0.501","14.647","22.525","32.410","5.963","3.395","163.990"
"38","PC","James French","53","2:28.111","1:39:19.815","Green","Pit","3.094","8.326","12.048","3.755","0.485","13.088","20.994","30.575","7.036","48.710","169.400"
"540","GTD","Tim Pappas","50","1:48.828","1:39:21.006","Green","Track","3.345","8.991","12.625","3.939","0.509","14.532","22.332","32.910","6.148","3.497","161.413"
"48","GTD","Madison Snow","49","1:47.951","1:39:21.171","Green","Track","3.260","8.909","12.456","3.837","0.493","14.711","22.070","32.759","6.034","3.422","166.651"
"0","P","Katherine Legge","51","1:43.070","1:39:24.979","Green","Track","3.042","8.544","12.146","3.742","0.491","14.296","21.312","30.787","5.557","3.153","167.330"
"8","PC","Alex Popow","53","2:41.156","1:39:30.560","Green","Track","52.239","10.310","13.578","4.146","0.586","15.728","22.803","32.683","5.790","3.293","140.203"
"25","GTLM","Dirk Werner","52","1:42.485","1:39:53.997","Green","Track","3.197","8.502","12.154","3.845","0.500","13.410","21.020","30.978","5.568","3.311","164.318"
