"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"5","P","Christian Fittipaldi","1","1:55.328","1:55.328","Green","Track","0.000","11.110","13.494","3.963","0.524","15.182","22.211","31.049","5.589","3.187","156.792"
"2","P","Scott Sharp","1","2:01.662","2:01.662","Green","Track","0.000","10.604","14.324","4.040","0.564","16.482","23.051","32.240","5.671","3.227","145.672"
"90","P","Marc Goossens","1","2:02.640","2:02.640","Green","Track","0.000","10.977","14.317","3.973","0.560","15.476","22.509","32.573","5.826","3.237","146.713"
"55","P","Jonathan Bomarito","1","2:10.114","2:10.114","Green","Track","0.000","12.051","15.160","4.105","0.618","16.457","23.476","32.441","6.110","3.215","132.944"
"10","P","Max Angelelli","1","2:10.120","2:10.120","Green","Track","0.000","12.235","17.435","5.134","0.744","17.277","24.539","34.795","6.364","3.658","110.429"
"96","GTD","Jens Klingmann","1","2:11.062","2:11.062","Green","Track","335.837","10.696","14.335","4.108","0.554","16.494","23.343","32.799","5.937","3.358","148.302"
"97","GTD","Markus Palttala","1","2:12.073","2:12.073","Green","Track","0.000","11.351","14.859","4.282","0.629","17.159","23.209","33.028","6.016","3.389","130.619"
"60","P","Olivier Pla","1","2:15.176","2:15.176","Green","Pit","0.000","10.922","14.284","4.104","0.601","16.485","22.590","32.034","7.908","16.099","136.704"
"31","P","Dane Cameron","1","2:20.604","2:20.604","Green","Track","0.000","11.274","13.584","4.046","0.566","15.297","22.032","31.757","5.597","3.192","145.157"
"54","PC","Colin Braun","1","2:21.095","2:21.095","Green","Track","0.000","10.921","13.440","4.003","0.521","14.757","21.297","31.610","5.657","3.252","157.695"
"44","GTD","Andy Lally","1","2:25.167","2:25.167","Green","Track","316.581","11.481","15.859","4.450","0.681","19.259","25.914","36.755","6.346","3.595","120.645"
"8","PC","Renger Van Der Zande","1","2:27.851","2:27.851","Green","Track","0.000","12.181","14.337","3.984","0.000","16.177","23.371","32.821","5.839","3.272","0.000"
"68","GTLM","Alessandro Pier Guidi","1","2:30.964","2:30.964","Green","Track","0.000","12.743","14.674","4.220","0.552","16.059","22.859","34.044","6.844","3.568","148.839"
"66","GTLM","Joey Hand","1","2:32.530","2:32.530","Green","Track","0.000","12.193","15.269","4.198","0.588","16.656","23.033","32.941","6.019","3.379","139.726"
"23","GTD","Mario Farnbacher","1","2:33.994","2:33.994","Green","Track","0.000","12.804","15.924","4.320","0.641","17.356","23.414","33.151","6.147","3.488","128.173"
