"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP1","SP4"
"90","P","Marc Goossens","23","4:20.651","50:47.080","Green","Track","270.615","14.611","0.598","14.730","10.185","9.153","0.553","13.281","10.102","9.745","2.198","132.259","146.720"
"5","P","Christian Fittipaldi","26","1:29.267","51:03.537","Green","Track","3.179","11.477","0.517","12.849","9.884","8.886","0.552","15.000","10.953","9.778","2.163","152.980","146.986"
"38","PC","Kyle Marcelli","21","1:33.422","51:04.986","Green","Track","3.403","12.098","0.537","13.559","10.488","9.135","0.562","15.430","11.273","10.448","2.241","147.283","144.371"
"85","PC","Misha Goikhberg","20","2:52.207","51:07.642","Green","Track","4.910","13.831","0.583","83.068","11.659","10.292","0.758","17.418","11.583","11.086","2.359","135.662","107.040"
"6","GTD","Andrew Davis","19","1:39.126","51:10.702","Green","Track","4.229","13.616","0.580","14.402","11.036","9.939","0.594","14.686","11.141","11.495","2.513","136.364","136.593"
"31","P","Eric Curran","26","1:29.266","51:22.499","Green","Track","3.254","11.630","0.511","13.705","10.629","9.008","0.549","13.459","10.124","10.137","2.201","154.777","147.789"
"63","GTD","Christina Nielsen","6","1:41.788","51:26.053","Green","Track","4.056","13.648","0.572","14.926","11.691","9.915","0.585","15.065","11.364","12.495","2.513","138.271","138.695"
"22","GTD","Cooper MacNeil","21","1:36.931","51:26.378","Green","Track","3.750","12.994","0.562","14.811","11.088","9.786","0.580","14.504","10.765","11.180","2.411","140.731","139.890"
"20","PC","Tomy Drissi","19","1:38.999","51:36.468","Green","Track","4.153","12.925","0.548","14.696","11.163","9.474","0.634","15.323","11.323","11.546","2.399","144.326","127.975"
"9","GTD","Matt Bell","22","1:34.043","51:36.591","Green","Track","3.628","12.885","0.568","13.713","10.421","9.925","0.579","13.543","10.527","11.154","2.498","139.245","140.132"
"96","GTD","Bret Curtis","19","1:35.704","51:39.630","Green","Track","3.590","13.048","0.568","14.573","10.852","9.884","0.574","13.796","11.105","10.789","2.452","139.245","141.353"
"16","GTD","Spencer Pumpelly","14","13:07.906","57:05.807","Green","Pit","3.499","12.828","0.565","13.683","10.371","9.815","0.571","14.411","11.257","11.437","0.000","139.984","142.095"
"73","GTD","Jorg Bergmeister","20","12:43.353","57:06.614","Green","Pit","3.848","13.228","0.571","14.240","10.838","9.706","0.568","13.795","10.571","11.490","0.000","138.513","142.846"
"54","PC","Jonathan Bennett","25","6:52.669","57:07.250","Green","Track","3.667","13.500","0.548","13.690","10.408","9.186","0.554","13.639","10.525","10.623","6.909","144.326","146.456"
"8","PC","Alex Popow","19","9:29.883","57:09.821","Green","Pit","3.331","12.085","0.534","13.273","10.116","9.210","0.545","84.604","12.285","13.522","6.673","148.110","148.874"
"88","PC","Ashley Freiberg","19","8:51.441","57:12.425","Green","Pit","4.001","12.721","0.538","14.875","11.144","9.179","0.634","15.936","11.367","11.528","8.113","147.009","127.975"
