"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"52","PC","Tom Kimber-Smith","10","1:14.913","14:53.095","Green","Track","2.919","20.508","22.877","11.120","0.425","6.842","4.017","6.205","160.695"
"97","GTD","Markus Palttala","10","1:18.591","14:56.380","Green","Track","3.044","20.554","24.303","11.582","0.438","7.751","4.199","6.720","155.926"
"10","P","Jordan Taylor","10","1:11.412","14:58.250","Green","Track","2.733","18.038","22.459","10.857","0.413","6.915","3.932","6.065","165.364"
"33","GTD","Jeroen Bleekemolen","9","1:28.371","15:01.287","Green","Track","9.623","23.438","24.253","11.685","0.438","7.898","4.366","6.670","155.926"
"48","GTD","Bryan Sellers","9","2:07.970","15:07.707","Green","Pit","3.060","20.554","24.879","11.562","0.433","8.121","6.747","52.614","157.726"
"38","PC","James French","10","1:30.574","15:08.397","Green","Track","9.656","26.946","24.279","11.221","0.428","7.569","4.120","6.355","159.569"
"67","GTLM","Richard Westbrook","10","1:17.687","15:11.252","Green","Track","3.021","20.302","23.870","11.731","0.441","7.645","4.207","6.470","154.865"
"5","P","Joao Barbosa","10","1:12.710","15:11.386","Green","Track","2.793","18.605","22.490","10.811","0.411","7.275","4.046","6.279","166.169"
"90","P","Ryan Dalziel","11","1:13.315","15:13.462","Green","Track","2.790","19.302","22.620","10.818","0.412","7.167","4.031","6.175","165.766"
"16","GTD","Corey Lewis","10","1:19.276","15:15.139","Green","Track","3.130","20.909","24.242","11.585","0.432","7.907","4.366","6.705","158.091"
"60","P","Oswaldo Negri","10","1:13.639","15:18.068","Green","Track","2.735","19.487","22.135","10.854","0.416","6.897","4.507","6.608","164.172"
"62","GTLM","Toni Vilander","9","1:19.440","15:19.563","Green","Track","3.115","20.530","24.326","11.826","0.446","8.125","4.399","6.673","153.129"
"73","GTD","Patrick Lindsey","10","1:20.910","15:20.151","Green","Track","3.118","21.224","24.934","11.732","0.439","8.196","4.398","6.869","155.571"
"20","PC","Johnny Mowlem","7","7:06.677","15:23.781","Green","Pit","3.119","20.168","22.786","11.200","0.429","7.494","6.081","355.400","159.197"
"44","GTD","Andy Lally","10","1:20.697","15:26.159","Green","Track","3.117","21.330","24.624","11.739","0.442","8.287","4.433","6.725","154.515"
"88","PC","Richard Bradley","10","1:13.515","15:28.842","Green","Track","2.799","19.247","22.546","11.125","0.425","7.021","3.979","6.373","160.695"
"100","GTLM","Lucas Luhr","10","2:08.954","15:31.888","Green","Track","36.064","29.451","29.056","11.726","0.442","7.812","5.568","8.835","154.515"
"54","PC","Jonathan Bennett","9","1:14.375","15:34.047","Green","Track","2.881","19.269","22.873","11.188","0.430","7.393","4.176","6.165","158.827"
"8","PC","Renger van der Zande","9","1:12.509","15:34.690","Green","Track","2.779","18.627","22.442","11.142","0.428","6.937","3.998","6.156","159.569"
"85","PC","Stephen Simpson","10","1:14.090","15:37.550","Green","Track","2.900","19.287","22.952","11.255","0.432","7.142","3.929","6.193","158.091"
"27","GTD","Fabio Babini","5","4:33.155","15:44.306","Green","Pit","3.135","21.057","25.605","11.744","0.437","8.680","6.519","195.978","156.283"
"0","P","Katherine Legge","9","1:55.554","15:45.982","Green","Pit","2.822","19.813","22.539","10.579","0.404","7.317","7.307","44.773","169.048"
"23","GTD","Mario Farnbacher","10","1:19.073","15:51.325","Green","Track","3.141","20.554","24.012","11.803","0.448","8.092","4.332","6.691","152.445"
"63","GTD","Alessandro Balzan","10","1:18.298","15:53.653","Green","Track","3.105","20.512","23.834","11.906","0.451","7.652","4.299","6.539","151.431"
"22","GTD","Leh Keen","10","1:28.007","15:56.777","Green","Pit","2.992","21.044","23.865","11.818","0.448","7.805","6.172","13.863","152.445"
"3","GTLM","Jan Magnussen","10","1:16.720","15:56.927","Green","Track","3.028","19.979","23.434","11.727","0.444","7.570","4.026","6.512","153.819"
"912","GTLM","Frederic Makowiecki","11","1:16.591","15:57.711","Green","Track","2.952","19.897","23.527","11.639","0.438","7.625","3.998","6.515","155.926"
"31","P","Dane Cameron","11","1:20.313","16:00.485","Green","Pit","2.752","17.820","21.965","10.815","0.414","6.951","6.099","13.497","164.965"
"911","GTLM","Patrick Pilet","10","1:20.171","16:02.818","Green","Track","3.098","22.295","24.124","11.716","0.442","7.753","4.187","6.556","154.515"
"66","GTLM","Joey Hand","10","1:18.090","16:08.725","Green","Track","3.093","20.376","23.866","11.725","0.445","7.694","4.310","6.581","153.473"
"52","PC","Tom Kimber-Smith","11","1:16.010","16:09.105","Green","Track","2.847","20.249","24.088","11.215","0.429","6.893","4.032","6.257","159.197"
"4","GTLM","Tommy Milner","11","1:18.605","16:10.706","Green","Track","3.225","20.614","24.270","11.703","0.441","7.754","4.146","6.452","154.865"
"10","P","Jordan Taylor","11","1:13.600","16:11.850","Green","Track","2.745","19.098","22.467","10.827","0.409","7.435","4.317","6.302","166.982"
"96","GTD","Bret Curtis","9","1:22.364","16:12.858","Green","Track","3.628","21.346","24.499","11.653","0.472","8.862","4.956","6.948","144.694"
"9","GTD","Lawson Aschenbach","11","1:21.557","16:13.424","Green","Track","3.297","22.302","24.630","11.801","0.451","8.013","4.359","6.704","151.431"
"97","GTD","Markus Palttala","11","1:18.229","16:14.609","Green","Track","3.015","20.906","23.760","11.509","0.434","7.699","4.199","6.707","157.363"
"33","GTD","Jeroen Bleekemolen","10","1:18.136","16:19.423","Green","Track","3.005","20.712","23.811","11.580","0.435","7.718","4.283","6.592","157.001"
"38","PC","James French","11","1:13.650","16:22.047","Green","Track","2.906","18.943","22.568","11.205","0.430","7.327","3.957","6.314","158.827"
"5","P","Joao Barbosa","11","1:11.829","16:23.215","Green","Track","2.838","18.486","22.221","10.810","0.414","7.088","3.853","6.119","164.965"
"90","P","Ryan Dalziel","12","1:12.097","16:25.559","Green","Track","2.771","18.720","22.374","10.871","0.411","6.993","3.886","6.071","166.169"
"67","GTLM","Richard Westbrook","11","1:17.614","16:28.866","Green","Track","3.232","20.201","23.900","11.714","0.439","7.533","4.181","6.414","155.571"
"60","P","Oswaldo Negri","11","1:11.290","16:29.358","Green","Track","2.718","18.250","22.289","10.809","0.414","6.817","3.919","6.074","164.965"
"16","GTD","Corey Lewis","11","1:19.174","16:34.313","Green","Track","3.135","21.197","23.989","11.585","0.431","7.907","4.319","6.611","158.458"
"62","GTLM","Toni Vilander","10","1:18.433","16:37.996","Green","Track","2.980","20.195","24.084","11.779","0.445","8.032","4.299","6.619","153.473"
"48","GTD","Madison Snow","10","1:31.433","16:39.140","Green","Track","9.502","24.743","24.566","12.321","0.518","8.636","4.452","6.695","131.845"
"73","GTD","Patrick Lindsey","11","1:19.539","16:39.690","Green","Track","3.135","21.009","24.185","11.697","0.437","7.928","4.363","6.785","156.283"
"88","PC","Richard Bradley","11","1:13.413","16:42.255","Green","Track","2.823","19.253","22.586","11.139","0.425","6.889","4.111","6.187","160.695"
"44","GTD","Andy Lally","11","1:21.194","16:47.353","Green","Track","3.086","21.347","25.145","11.738","0.441","8.167","4.406","6.864","154.865"
"100","GTLM","Lucas Luhr","11","1:17.325","16:49.213","Green","Track","3.069","20.179","23.546","11.607","0.439","7.578","4.244","6.663","155.571"
"54","PC","Jonathan Bennett","10","1:15.305","16:49.352","Green","Track","2.883","19.656","23.100","11.115","0.423","7.416","4.239","6.473","161.455"
"20","PC","Johnny Mowlem","8","1:26.883","16:50.664","Green","Track","9.663","23.552","24.159","11.211","0.427","7.395","4.118","6.358","159.943"
"85","PC","Stephen Simpson","11","1:14.033","16:51.583","Green","Track","2.850","19.087","22.861","11.208","0.427","7.199","4.092","6.309","159.943"
"6","GTD","Robin Liddell","10","2:49.880","16:52.394","Green","Pit","3.061","22.076","24.288","11.805","0.441","8.014","6.452","93.743","154.865"
"8","PC","Renger van der Zande","10","1:24.205","16:58.895","Green","Pit","2.787","19.763","22.861","11.009","0.418","7.402","6.483","13.482","163.386"
"23","GTD","Mario Farnbacher","11","1:18.676","17:10.001","Green","Track","3.151","20.705","23.882","11.809","0.448","7.842","4.212","6.627","152.445"
"0","P","Katherine Legge","10","1:25.407","17:11.389","Green","Track","9.750","23.926","22.860","10.556","0.402","7.457","4.230","6.226","169.889"
"3","GTLM","Jan Magnussen","11","1:16.899","17:13.826","Green","Track","2.969","20.343","23.486","11.626","0.439","7.520","4.012","6.504","155.571"
"25","GTLM","Bill Auberlen","11","3:19.279","17:15.235","Green","Track","121.121","24.197","23.823","11.568","0.437","7.408","4.065","6.660","156.283"
