"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"55","P","Jonathan Bomarito","1","1:35.172","1:35.172","Green","Track","0.000","6.218","25.404","22.364","7.114","0.529","20.167","0.938","163.688"
"5","P","Christian Fittipaldi","1","1:37.375","1:37.375","Green","Track","0.000","5.828","25.417","22.451","7.212","0.591","21.673","0.903","146.516"
"70","P","Tom Long","1","1:39.104","1:39.104","Green","Track","0.000","5.873","26.328","22.952","7.111","0.528","20.329","0.874","163.998"
"2","P","Johannes van Overbeek","1","1:49.814","1:49.814","Green","Track","593.808","6.485","29.256","23.952","7.192","0.536","20.475","0.946","161.550"
"6","GTD","Robin Liddell","1","1:50.484","1:50.484","Green","Track","600.767","6.352","29.726","24.288","7.811","0.571","21.191","1.028","151.648"
"68","GTLM","Andrea Bertolini","1","1:53.331","1:53.331","Green","Track","591.073","6.106","27.624","25.228","7.744","0.570","20.943","1.025","151.914"
"9","GTD","Lawson Aschenbach","1","1:53.904","1:53.904","Green","Track","591.716","6.000","29.014","25.830","8.163","0.583","21.146","0.989","148.526"
"10","P","Ricky Taylor","1","1:54.989","1:54.989","Green","Track","1068.195","6.781","30.352","26.988","8.602","0.647","22.056","1.010","133.834"
"20","PC","Johnny Mowlem","1","1:59.825","1:59.825","Green","Track","335.309","5.501","27.300","22.737","7.382","0.545","22.833","0.909","158.882"
"38","PC","James French","1","2:00.964","2:00.964","Green","Track","248.520","5.981","25.027","23.412","7.294","0.539","22.849","0.932","160.651"
"7","PC","James Dayson","1","2:02.571","2:02.571","Green","Track","435.440","6.207","27.872","24.504","8.043","0.684","26.631","1.142","126.595"
"31","P","Simon Pagenaud","1","2:05.122","2:05.122","Green","Track","0.000","5.832","25.965","22.720","7.187","0.532","19.979","0.957","162.765"
"44","GTD","John Potter","1","2:07.632","2:07.632","Green","Track","226.961","6.805","28.781","24.196","7.897","0.614","22.162","1.079","141.028"
"60","P","John Pew","1","2:12.032","2:12.032","Green","Pit","1092.884","6.703","31.306","29.278","8.657","0.693","28.002","10.245","124.951"
"90","P","Ryan Hunter-Reay","1","2:12.531","2:12.531","Green","Pit","380.027","6.561","27.421","24.296","7.575","0.594","24.890","9.970","145.776"
"8","PC","Alex Popow","1","2:13.134","2:13.134","Green","Track","816.045","6.795","28.590","23.582","7.448","0.553","20.474","0.957","156.584"
"52","PC","Tom Kimber-Smith","1","2:14.459","2:14.459","Green","Track","0.000","7.951","27.799","22.622","7.371","0.545","20.114","0.912","158.882"
"4","GTLM","Marcel Fassler","1","2:16.799","2:16.799","Green","Track","967.739","6.753","30.126","24.237","7.831","0.582","21.896","1.022","148.782"
"3","GTLM","Jan Magnussen","1","2:17.148","2:17.148","Green","Track","964.665","7.175","30.009","24.396","7.734","0.564","20.864","0.995","153.530"
"88","PC","Mark Kvamme","1","2:17.842","2:17.842","Green","Track","1450.485","7.711","29.050","24.459","7.681","0.579","21.065","0.982","149.553"
"33","GTD","Ben Keating","1","2:20.504","2:20.504","Green","Track","962.640","7.945","29.017","24.456","7.582","0.551","21.809","1.083","157.152"
"25","GTLM","Augusto Farfus","1","2:22.109","2:22.109","Green","Track","0.000","6.042","26.450","24.760","7.602","0.557","20.529","0.952","155.459"
"100","GTLM","John Edwards","1","2:23.291","2:23.291","Green","Track","0.000","6.077","26.180","24.605","7.608","0.558","21.542","0.967","155.181"
"48","GTD","Bryan Sellers","1","2:24.670","2:24.670","Green","Track","1261.593","5.683","27.962","26.407","7.697","0.559","21.639","1.026","154.903"
"66","GTLM","Sebastien Bourdais","1","2:26.794","2:26.794","Green","Track","395.942","6.500","29.668","25.513","7.916","0.647","24.951","1.060","133.834"
"62","GTLM","James Calado","1","2:29.880","2:29.880","Green","Track","1062.390","6.717","26.463","24.313","9.845","0.615","20.609","0.963","140.798"
"96","GTD","Bret Curtis","1","2:31.238","2:31.238","Green","Track","947.924","6.491","28.531","23.814","7.642","0.567","21.644","1.033","152.718"
"97","GTD","Michael Marsal","1","2:32.063","2:32.063","Green","Track","1347.375","6.246","26.899","23.850","7.633","0.557","21.641","1.044","155.459"
"16","GTD","Corey Lewis","1","2:33.089","2:33.089","Green","Track","23.703","6.166","26.558","23.449","7.651","0.554","20.423","1.006","156.301"
"73","GTD","Matthew McMurry","1","2:36.683","2:36.683","Green","Track","24.476","6.547","27.388","24.386","7.703","0.564","21.301","1.045","153.530"
"27","GTD","Luca Persiani","1","2:38.975","2:38.975","Green","Track","23.655","6.150","27.619","23.540","8.116","0.629","22.264","1.040","137.664"
"911","GTLM","Richard Lietz","1","2:39.974","2:39.974","Green","Track","1480.242","5.949","26.830","22.952","7.644","0.606","21.404","1.053","142.889"
"23","GTD","Ian James","1","2:47.276","2:47.276","Green","Track","565.086","6.676","29.210","24.299","7.757","0.572","22.216","1.144","151.383"
"0","P","Katherine Legge","1","2:54.281","2:54.281","Green","Track","1169.158","6.791","28.629","22.733","8.924","0.731","24.110","1.015","118.455"
