"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"66","GTLM","Hand/Muller ","1","1:50.655","2:03.985","Green","Track","3.269","0.000","0.000","31.494","23.113","16.708","9.961","11.390","0.000"
"90","P","Ryan Dalziel","1","1:48.415","2:04.279","Green","Track","5.659","1.196","9.795","31.304","22.836","16.866","9.630","11.129","55.488"
"0","P","Sean Rayhall","1","1:53.366","2:27.844","Green","Track","2.632","0.000","0.000","33.767","23.457","17.404","9.640","12.555","0.000"
"68","GTLM","Guidi/Serra ","1","1:44.749","3:11.835","Green","Track","2.411","3.730","7.861","30.581","22.839","16.472","9.442","11.413","17.792"
"31","P","Dane Cameron","1","1:27.927","3:14.960","Green","Track","1.645","0.491","4.915","26.777","19.901","15.275","8.491","10.432","135.160"
"5","P","Joao Barbosa","1","1:28.720","3:25.052","Green","Track","1.664","0.478","4.528","27.212","20.185","15.462","8.544","10.647","138.836"
"90","P","Ryan Dalziel","2","1:28.325","3:32.604","Green","Track","1.654","0.504","4.710","27.096","20.039","15.174","8.733","10.415","131.674"
"10","P","Ricky Taylor","1","1:37.044","3:40.051","Green","Track","2.187","0.633","5.607","29.461","22.276","15.715","9.644","11.521","104.840"
"3","GTLM","Antonio Garcia","1","3:19.467","3:46.055","Green","Pit","2.542","0.000","0.000","33.107","24.648","17.853","12.917","95.945","0.000"
"4","GTLM","Tommy Milner","1","3:39.957","4:05.491","Green","Pit","2.418","0.000","0.000","33.446","24.441","17.492","12.245","117.735","0.000"
"31","P","Dane Cameron","2","1:24.610","4:39.570","Green","Track","1.631","0.465","4.106","25.105","19.617","15.031","8.279","10.376","142.717"
"68","GTLM","Guidi/Serra ","2","1:29.149","4:40.984","Green","Track","1.783","0.502","4.581","26.801","20.669","15.454","8.652","10.707","132.198"
"5","P","Joao Barbosa","2","1:23.581","4:48.633","Green","Track","1.639","0.471","4.152","25.222","19.211","14.393","8.094","10.399","140.899"
"90","P","Ryan Dalziel","3","1:23.614","4:56.218","Green","Track","1.620","0.465","4.069","25.208","19.202","14.530","8.208","10.312","142.717"
"10","P","Ricky Taylor","2","1:32.242","5:12.293","Green","Track","1.908","0.552","4.780","28.474","21.856","15.005","9.163","10.504","120.224"
"100","GTLM","Lucas Luhr","1","4:46.327","5:17.753","Green","Pit","5.698","1.103","10.060","34.522","26.233","18.025","12.385","178.301","60.166"
"60","P","John Pew","1","4:43.805","5:21.380","Green","Pit","2.465","0.000","0.000","38.064","28.635","20.747","17.248","161.344","0.000"
"3","GTLM","Antonio Garcia","2","1:38.213","5:24.268","Green","Track","2.418","0.000","0.000","28.389","21.495","15.765","9.029","10.845","0.000"
"911","GTLM","Nick Tandy","1","4:55.689","5:28.045","Green","Pit","2.425","4.358","10.285","34.226","24.358","17.285","12.403","190.349","15.228"
"70","P","Joel Miller","1","4:06.432","5:30.616","Green","Pit","2.476","4.028","8.538","31.574","24.212","18.012","11.598","145.994","16.476"
"62","GTLM","Toni Vilander","1","4:54.331","5:32.689","Green","Pit","5.354","1.574","11.167","34.250","25.748","19.452","13.816","182.970","42.162"
"4","GTLM","Tommy Milner","2","1:41.090","5:46.581","Green","Track","2.435","0.000","0.000","29.291","22.007","16.260","9.492","11.125","0.000"
"912","GTLM","Earl Bamber","1","5:26.485","5:57.241","Green","Pit","2.423","4.102","9.554","33.350","25.332","18.989","11.972","220.763","16.178"
"66","GTLM","Hand/Muller ","2","3:56.281","6:00.266","Green","Pit","2.011","0.611","5.930","29.007","22.246","15.879","10.799","149.798","108.615"
"31","P","Dane Cameron","3","1:22.268","6:01.838","Green","Track","1.625","0.466","3.952","24.406","18.722","15.068","7.918","10.111","142.411"
"68","GTLM","Alessandro Pier Guidi","3","1:25.666","6:06.650","Green","Track","1.759","0.497","4.354","25.742","19.754","14.677","8.406","10.477","133.528"
"5","P","Joao Barbosa","3","1:21.165","6:09.798","Green","Track","1.627","0.467","3.930","24.248","18.543","14.020","7.914","10.416","142.106"
"67","GTLM","Richard Westbrook","1","1:59.466","6:10.827","Green","Track","2.418","0.000","0.000","35.348","25.885","19.486","11.154","12.311","0.000"
"90","P","Ryan Dalziel","4","1:21.385","6:17.603","Green","Track","1.620","0.462","3.884","24.323","18.694","14.102","7.971","10.329","143.644"
"10","P","Ricky Taylor","3","1:23.678","6:35.971","Green","Track","1.626","0.467","4.127","25.639","19.124","14.148","8.243","10.304","142.106"
"25","GTLM","Bill Auberlen","1","6:09.917","6:39.172","Green","Pit","5.091","0.912","7.515","32.242","24.157","16.868","12.579","270.553","72.767"
"3","GTLM","Antonio Garcia","3","1:26.669","6:50.937","Green","Track","1.767","0.504","4.381","26.120","20.032","14.677","8.551","10.637","131.674"
"100","GTLM","Lucas Luhr","2","1:41.800","6:59.553","Green","Track","5.255","0.919","7.535","29.251","21.786","16.300","9.462","11.292","72.213"
"911","GTLM","Nick Tandy","2","1:38.455","7:06.500","Green","Track","2.418","3.629","6.843","28.465","21.182","15.670","9.213","11.035","18.287"
"70","P","Joel Miller","2","1:38.056","7:08.672","Green","Track","2.484","3.446","7.088","29.042","20.689","15.317","9.132","10.858","19.258"
