"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"44","GTD","John Potter","5","2:11.178","12:13.120","Green","Track","1.499","21.117","25.025","9.466","10.072","0.471","4.750","0.425","23.885","25.535","8.933","142.468","157.888"
"16","GTD","Corey Lewis","5","2:10.174","12:19.117","Green","Track","1.481","20.636","25.088","9.640","9.953","0.468","4.678","0.416","23.454","25.501","8.859","143.381","161.304"
"33","GTD","Ben Keating","4","2:11.294","12:23.910","Green","Track","1.432","20.773","25.238","9.585","9.750","0.450","4.565","0.408","24.690","25.756","8.647","149.116","164.466"
"007","GTD","David Calvert-Jones","5","2:12.181","12:41.329","Green","Track","1.485","20.842","25.371","9.897","10.107","0.465","4.747","0.425","24.214","25.813","8.815","144.306","157.888"
"48","GTD","Madison Snow","5","2:09.841","12:43.515","Green","Track","1.469","20.623","25.081","9.433","9.917","0.463","4.644","0.414","23.570","25.538","8.689","144.929","162.083"
"27","GTD","Paolo Ruberti","5","2:10.070","12:53.875","Green","Track","1.472","20.482","25.276","9.530","9.909","0.460","4.649","0.415","23.299","25.666","8.912","145.875","161.692"
"80","GTD","Dan Knox","5","2:12.026","13:05.102","Green","Track","1.455","21.209","25.740","9.677","9.724","0.456","4.612","0.411","24.158","25.951","8.633","147.154","163.266"
"9","GTD","Lawson Aschenbach","5","2:09.672","13:22.870","Green","Track","1.483","20.657","24.814","9.485","9.988","0.464","4.706","0.422","23.512","25.384","8.757","144.617","159.010"
"63","GTD","Christina Nielsen","6","2:09.783","13:38.932","Green","Track","1.470","20.486","24.910","9.663","9.826","0.461","4.674","0.416","23.701","25.368","8.808","145.558","161.304"
"6","GTD","Andrew Davis","6","2:10.390","13:53.651","Green","Track","1.492","20.518","25.025","9.703","10.004","0.466","4.718","0.421","23.646","25.519","8.878","143.996","159.388"
"96","GTD","Bret Curtis","6","2:11.249","14:16.576","Green","Track","1.466","20.717","25.312","9.594","9.982","0.462","4.679","0.417","23.947","25.832","8.841","145.243","160.917"
"44","GTD","John Potter","6","2:11.196","14:24.316","Green","Track","1.501","20.903","25.134","9.596","10.031","0.470","4.741","0.425","23.871","25.340","9.184","142.771","157.888"
"16","GTD","Corey Lewis","6","2:10.655","14:29.772","Green","Track","1.484","20.720","25.050","9.632","10.017","0.467","4.671","0.417","23.832","25.502","8.863","143.688","160.917"
"33","GTD","Ben Keating","5","2:10.979","14:34.889","Green","Track","1.438","20.559","25.692","9.599","9.700","0.449","4.551","0.407","24.272","25.767","8.545","149.448","164.870"
"007","GTD","David Calvert-Jones","6","2:11.758","14:53.087","Green","Track","1.503","20.961","25.362","9.870","9.971","0.465","4.745","0.425","23.995","25.613","8.848","144.306","157.888"
"48","GTD","Madison Snow","6","2:10.230","14:53.745","Green","Track","1.473","20.617","25.209","9.478","9.932","0.463","4.641","0.413","23.578","25.707","8.719","144.929","162.475"
"27","GTD","Paolo Ruberti","6","2:10.877","15:04.752","Finish","Track","1.481","20.638","25.017","9.785","9.887","0.460","4.650","0.413","23.542","25.830","9.174","145.875","162.475"
"80","GTD","Dan Knox","6","2:11.536","15:16.638","Finish","Track","1.457","21.139","25.623","9.665","9.724","0.454","4.615","0.412","23.993","25.787","8.667","147.802","162.870"
"63","GTD","Christina Nielsen","7","2:09.807","15:48.739","Finish","Track","1.476","20.474","25.117","9.495","9.802","0.461","4.683","0.419","23.624","25.379","8.877","145.558","160.149"
"44","GTD","John Potter","7","2:11.089","16:35.405","Finish","Track","1.513","21.003","24.990","9.631","10.064","0.470","4.751","0.429","23.887","25.449","8.902","142.771","156.416"
"33","GTD","Ben Keating","6","2:11.648","16:46.537","Finish","Track","1.437","20.790","25.728","9.657","9.674","0.450","4.558","0.408","24.488","25.756","8.702","149.116","164.466"
"97","GTD","Michael Marsal","6","6:11.299","18:12.190","Finish","Pit","1.467","20.753","25.415","9.852","9.928","0.461","4.681","0.422","24.063","27.580","246.677","145.558","159.010"
"16","GTD","Corey Lewis","7","3:56.714","18:26.486","Finish","Pit","1.485","20.655","25.416","9.674","9.989","0.466","4.663","0.416","23.926","25.432","114.592","143.996","161.304"
"73","GTD","Patrick Lindsey","5","6:54.700","18:41.486","Finish","Pit","1.470","20.514","25.088","9.545","9.845","0.459","4.654","0.417","24.612","25.500","292.596","146.192","160.917"
"6","GTD","Andrew Davis","7","5:08.485","19:02.136","Finish","Pit","1.494","22.768","27.212","11.072","11.134","0.526","5.850","0.604","27.286","32.233","168.306","127.571","111.096"
"007","GTD","David Calvert-Jones","7","4:22.073","19:15.160","Finish","Pit","1.497","23.753","27.129","10.855","10.133","0.468","4.847","0.531","27.125","30.596","125.139","143.381","126.370"
"3","GTLM","Jan Magnussen","1","27:30.797","27:30.797","Green","Track","576.732","26.393","26.228","9.749","9.820","0.462","4.698","0.477","23.897","25.216","8.747","145.243","140.676"
"62","GTLM","Toni Vilander","1","27:39.347","27:39.347","Green","Track","5.961","27.221","26.485","9.621","9.840","0.460","4.715","0.481","23.680","25.313","8.570","145.875","139.506"
