"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"20","PC","Johnny Mowlem","7","1:19.058","17:37.099","Green","Track","5.947","3.750","21.130","20.898","7.194","0.535","18.747","0.857","161.852"
"100","GTLM","Kuno Wittmer","7","1:21.381","17:44.719","Green","Track","6.027","3.714","21.785","21.492","7.516","0.556","19.360","0.931","155.739"
"6","GTD","Andrew Davis","3","1:24.017","17:53.280","Green","Track","6.427","4.018","22.704","22.207","7.643","0.561","19.527","0.930","154.351"
"96","GTD","Bret Curtis","7","1:24.794","17:54.329","Green","Track","6.594","4.134","22.961","22.234","7.533","0.552","19.831","0.955","156.868"
"16","GTD","Richard Antinucci","8","1:22.831","17:58.347","Green","Track","6.192","3.973","22.152","21.962","7.534","0.550","19.529","0.939","157.438"
"62","GTLM","James Calado","8","1:19.844","18:01.508","Green","Track","6.007","3.748","21.214","21.121","7.527","0.557","18.786","0.884","155.459"
"44","GTD","John Potter","7","1:24.475","18:08.026","Green","Track","6.346","3.980","22.612","22.373","7.638","0.560","20.012","0.954","154.627"
"10","P","Ricky Taylor","9","1:16.203","18:10.068","Green","Track","5.414","3.365","21.022","20.156","6.963","0.517","17.947","0.819","167.487"
"73","GTD","Jorg Bergmeister","8","1:22.118","18:13.871","Green","Track","6.097","3.812","21.987","21.917","7.582","0.557","19.248","0.918","155.459"
"27","GTD","Luca Persiani","6","1:25.347","18:15.802","Green","Track","6.354","4.012","22.670","22.865","7.533","0.549","20.404","0.960","157.725"
"52","PC","Tom Kimber-Smith","7","1:18.396","18:16.743","Green","Track","5.792","3.601","20.809","20.806","7.258","0.540","18.736","0.854","160.354"
"5","P","Joao Barbosa","8","1:14.928","18:18.192","Green","Track","5.446","3.380","19.574","20.208","7.023","0.519","17.954","0.824","166.842"
"38","PC","Kyle Marcelli","9","1:18.617","18:29.713","Green","Track","5.681","3.507","21.364","20.821","7.271","0.540","18.589","0.844","160.354"
"67","GTLM","Ryan Briscoe","9","1:21.686","18:31.054","Green","Track","5.958","3.704","22.490","21.749","7.520","0.551","18.824","0.890","157.152"
"9","GTD","Matt Bell","7","2:27.840","18:35.919","Green","Track","58.272","6.574","28.807","24.181","7.686","0.559","20.757","1.004","154.903"
"90","P","Ryan Hunter-Reay","9","1:16.385","18:39.330","Green","Track","5.512","3.396","19.840","20.608","7.063","0.519","18.542","0.905","166.842"
"97","GTD","Markus Palttala","9","1:22.248","18:39.676","Green","Track","5.999","3.808","21.860","22.111","7.527","0.553","19.443","0.947","156.584"
"48","GTD","Bryan Sellers","9","1:21.820","18:40.642","Green","Track","6.139","3.877","21.912","21.762","7.447","0.542","19.212","0.929","159.762"
"23","GTD","Alex Riberas","7","1:31.354","18:45.050","Green","Pit","6.108","3.858","21.904","21.933","7.567","0.553","19.957","9.474","156.584"
"2","P","Luis Felipe Derani","9","1:17.001","18:50.541","Green","Track","5.608","3.423","20.215","21.029","7.015","0.523","18.322","0.866","165.566"
"4","GTLM","Marcel Fassler","7","2:39.628","18:53.480","Green","Track","75.171","6.017","27.690","22.335","7.553","0.555","19.403","0.904","156.020"
"20","PC","Johnny Mowlem","8","1:17.773","18:54.872","Green","Track","5.789","3.667","20.520","20.687","7.175","0.532","18.555","0.848","162.765"
"66","GTLM","Joey Hand","10","1:28.883","18:57.890","Green","Pit","5.912","3.653","21.666","21.412","7.509","0.552","18.971","9.208","156.868"
"100","GTLM","Kuno Wittmer","8","1:20.940","19:05.659","Green","Track","6.006","3.692","21.848","21.336","7.537","0.557","19.053","0.911","155.459"
"88","PC","Richard Bradley","8","2:45.756","19:11.566","Green","Track","82.267","5.858","24.418","21.624","8.975","0.727","21.020","0.867","119.107"
"6","GTD","Andrew Davis","4","1:22.427","19:15.707","Green","Track","6.065","3.824","22.009","22.005","7.612","0.559","19.432","0.921","154.903"
"62","GTLM","James Calado","9","1:22.539","19:24.047","Green","Track","5.896","3.680","21.535","22.148","7.599","0.570","20.227","0.884","151.914"
"10","P","Ricky Taylor","10","1:17.046","19:27.114","Green","Track","5.421","3.434","21.419","20.480","6.989","0.517","17.965","0.821","167.487"
"31","P","Simon Pagenaud","8","2:20.253","19:33.683","Green","Pit","52.547","5.661","23.041","21.941","7.058","0.523","20.035","9.447","165.566"
"3","GTLM","Jan Magnussen","9","2:19.070","19:34.374","Green","Track","58.174","5.665","24.625","22.208","7.564","0.553","19.363","0.918","156.584"
"73","GTD","Jorg Bergmeister","9","1:21.667","19:35.538","Green","Track","6.018","3.833","21.652","21.898","7.542","0.552","19.251","0.921","156.868"
"5","P","Joao Barbosa","9","1:19.396","19:37.588","Green","Track","5.430","3.444","21.456","22.530","6.997","0.515","18.200","0.824","168.138"
"27","GTD","Luca Persiani","7","1:23.218","19:39.020","Green","Track","6.120","3.887","22.085","22.457","7.533","0.548","19.662","0.926","158.013"
"25","GTLM","Augusto Farfus","7","3:14.192","19:40.714","Green","Track","115.687","5.516","22.919","21.781","7.511","0.555","19.328","0.895","156.020"
"44","GTD","John Potter","8","1:35.355","19:43.381","Green","Pit","6.297","3.984","23.679","22.615","7.651","0.560","21.234","9.335","154.627"
"52","PC","Tom Kimber-Smith","8","1:29.332","19:46.075","Green","Pit","5.754","3.683","21.816","21.719","7.273","0.539","19.104","9.444","160.651"
"38","PC","Kyle Marcelli","10","1:17.706","19:47.419","Green","Track","5.644","3.374","20.692","20.811","7.259","0.540","18.541","0.845","160.354"
"67","GTLM","Ryan Briscoe","10","1:21.136","19:52.190","Green","Track","5.940","3.700","22.054","21.721","7.544","0.553","18.734","0.890","156.584"
"90","P","Ryan Hunter-Reay","10","1:19.856","19:59.186","Green","Track","5.764","3.471","21.499","20.973","7.046","0.520","19.749","0.834","166.521"
"9","GTD","Matt Bell","8","1:25.424","20:01.343","Finish","Track","6.411","4.194","23.543","22.343","7.563","0.553","19.855","0.962","156.584"
"97","GTD","Markus Palttala","10","1:22.023","20:01.699","Finish","Track","6.027","3.860","21.947","21.917","7.474","0.546","19.332","0.920","158.591"
"48","GTD","Bryan Sellers","10","1:21.840","20:02.482","Finish","Track","6.038","3.867","22.001","21.823","7.436","0.542","19.196","0.937","159.762"
