"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"100","GTLM","Lucas Luhr","8","1:50.825","15:38.600","Green","Track","25.941","16.410","12.620","15.681","11.291","0.515","22.757","5.389","0.221","158.870"
"27","GTD","Cedric Sbirrazzuoli","8","1:47.775","15:44.477","Green","Track","21.779","16.255","13.338","16.271","11.071","0.504","22.924","5.413","0.220","162.338"
"33","GTD","Jeroen Bleekemolen","7","1:47.145","15:48.640","Green","Track","22.048","16.120","12.659","16.008","11.040","0.505","23.180","5.366","0.219","162.016"
"16","GTD","Corey Lewis","7","1:51.726","16:01.676","Green","Track","25.845","16.396","13.353","15.775","11.093","0.505","23.130","5.409","0.220","162.016"
"3","GTLM","Antonio Garcia","8","1:50.275","16:10.697","Green","Track","25.443","15.761","12.769","16.384","11.100","0.507","22.733","5.358","0.220","161.377"
"4","GTLM","Oliver Gavin","8","1:56.659","16:21.283","Green","Track","26.373","16.238","12.553","19.772","11.217","0.514","24.340","5.430","0.222","159.179"
"96","GTD","Bret Curtis","8","1:52.644","16:21.898","Green","Track","22.530","17.265","13.106","17.806","11.118","0.532","24.656","5.410","0.221","153.794"
"44","GTD","John Potter","8","2:00.379","16:22.257","Green","Track","28.892","18.055","14.927","16.941","11.208","0.511","24.207","5.417","0.221","160.114"
"9","GTD","Lawson Aschenbach","8","1:47.397","16:38.219","Green","Track","21.989","16.318","12.881","15.837","11.191","0.511","23.042","5.409","0.219","160.114"
"25","GTLM","Bill Auberlen","8","1:45.336","16:38.351","Green","Track","21.861","15.757","12.432","15.393","10.981","0.505","22.786","5.399","0.222","162.016"
"62","GTLM","Toni Vilander","9","1:44.827","16:39.696","Green","Track","21.502","15.533","12.536","15.586","11.117","0.511","22.469","5.353","0.220","160.114"
"23","GTD","Alex Riberas","7","1:58.529","16:45.567","Green","Track","32.319","16.453","13.099","15.883","11.318","0.522","23.216","5.494","0.225","156.740"
"48","GTD","Bryan Sellers","7","1:46.306","16:49.786","Green","Track","22.013","16.062","12.841","15.578","11.066","0.504","22.631","5.391","0.220","162.338"
"80","GTD","Mike Skeen","7","2:26.391","16:53.377","Green","Pit","22.403","16.180","12.556","15.885","11.065","0.509","25.848","41.048","0.897","160.743"
"911","GTLM","Patrick Pilet","8","1:46.086","16:55.588","Green","Track","22.425","16.085","12.598","15.374","11.094","0.508","22.396","5.386","0.220","161.059"
"912","GTLM","Earl Bamber","8","1:47.074","17:02.306","Green","Track","24.400","15.546","12.340","15.410","11.031","0.506","22.255","5.366","0.220","161.696"
"66","GTLM","Joey Hand","6","3:28.804","17:02.907","Green","Pit","21.625","15.687","12.784","15.958","11.105","0.512","25.115","105.142","0.876","159.801"
"97","GTD","Markus Palttala","7","1:55.083","17:04.885","Green","Track","25.747","16.649","13.449","16.182","12.657","0.654","24.072","5.449","0.224","125.104"
"6","GTD","Robin Liddell","8","1:47.354","17:12.595","Green","Track","22.051","16.055","13.076","15.839","11.231","0.515","22.903","5.462","0.222","158.870"
"100","GTLM","Lucas Luhr","9","1:44.856","17:23.456","Green","Track","21.552","15.592","12.562","15.655","11.101","0.510","22.289","5.374","0.221","160.428"
"27","GTD","Cedric Sbirrazzuoli","9","1:47.867","17:32.344","Green","Track","21.787","16.080","13.195","16.265","11.174","0.506","23.187","5.452","0.221","161.696"
"33","GTD","Jeroen Bleekemolen","8","1:46.127","17:34.767","Green","Track","21.765","16.032","12.565","15.772","10.991","0.504","22.916","5.363","0.219","162.338"
"16","GTD","Corey Lewis","8","1:46.843","17:48.519","Green","Track","22.223","16.126","12.934","15.539","11.053","0.503","22.838","5.407","0.220","162.660"
"3","GTLM","Antonio Garcia","9","1:46.006","17:56.703","Green","Track","21.776","15.906","12.744","15.858","11.080","0.506","22.570","5.348","0.218","161.696"
"4","GTLM","Oliver Gavin","9","1:46.311","18:07.594","Green","Track","22.137","15.964","12.703","15.632","11.100","0.508","22.677","5.370","0.220","161.059"
"96","GTD","Bret Curtis","9","1:49.111","18:11.009","Green","Track","22.513","16.564","12.839","15.934","11.060","0.507","24.059","5.414","0.221","161.377"
"44","GTD","John Potter","9","1:49.073","18:11.330","Green","Track","22.678","16.597","12.967","15.709","11.171","0.510","23.730","5.489","0.222","160.428"
"25","GTLM","Bill Auberlen","9","1:44.585","18:22.936","Green","Track","21.654","15.838","12.368","15.362","11.070","0.510","22.222","5.341","0.220","160.428"
"62","GTLM","Toni Vilander","10","1:46.218","18:25.914","Green","Track","21.711","16.412","12.998","15.556","11.180","0.513","22.275","5.353","0.220","159.490"
"23","GTD","Alex Riberas","8","1:47.528","18:33.095","Green","Track","22.011","16.089","12.947","15.710","11.305","0.521","23.218","5.502","0.225","157.041"
"48","GTD","Bryan Sellers","8","1:45.653","18:35.439","Green","Track","21.600","15.941","12.773","15.576","11.045","0.503","22.604","5.391","0.220","162.660"
"911","GTLM","Patrick Pilet","9","1:44.314","18:39.902","Green","Track","21.302","15.541","12.377","15.182","11.068","0.508","22.734","5.382","0.220","161.059"
"80","GTD","Mike Skeen","8","1:49.972","18:43.349","Green","Track","25.306","16.207","12.628","15.674","11.019","0.508","23.034","5.375","0.221","161.059"
"912","GTLM","Earl Bamber","9","1:45.861","18:48.167","Green","Track","21.379","15.429","12.403","15.861","11.057","0.506","23.666","5.340","0.220","161.696"
"97","GTD","Markus Palttala","8","1:46.743","18:51.628","Red","Track","21.882","16.163","12.570","15.558","11.190","0.514","23.223","5.421","0.222","159.179"
"66","GTLM","Dirk Mueller","7","1:51.565","18:54.472","Red","Track","25.853","16.285","13.206","16.469","11.160","0.512","22.508","5.353","0.219","159.801"
"6","GTD","Robin Liddell","9","1:46.601","18:59.196","Red","Track","21.731","15.918","12.969","15.667","11.267","0.515","22.851","5.461","0.222","158.870"
