"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"68","GTLM","Alessandro Pier Guidi","67","1:25.843","1:44:05.661","Green","Track","1.741","0.492","3.993","26.038","19.846","14.456","8.468","10.809","134.885"
"5","P","Joao Barbosa","64","1:20.278","1:44:06.933","Green","Track","1.613","0.462","3.743","23.860","18.380","13.941","7.926","10.353","143.644"
"55","P","Jonathan Bomarito","68","1:23.151","1:44:17.477","Green","Track","1.610","0.461","4.039","25.104","19.049","14.264","8.228","10.396","143.956"
"62","GTLM","Giancarlo Fisichella","67","1:27.234","1:44:23.507","Green","Track","1.746","0.497","4.001","26.273","20.274","14.874","8.554","11.015","133.528"
"912","GTLM","Frederic Makowiecki","67","1:25.987","1:44:23.608","Green","Track","1.727","0.488","4.005","25.698","19.817","14.838","8.650","10.764","135.991"
"100","GTLM","John Edwards","67","1:27.140","1:44:29.586","Green","Track","1.749","0.496","4.063","26.177","19.961","14.945","8.686","11.063","133.798"
"911","GTLM","Patrick Pilet","67","1:25.630","1:44:31.968","Green","Track","1.736","0.494","3.997","25.796","19.644","14.639","8.663","10.661","134.339"
"0","P","Katherine Legge","68","1:24.370","1:44:38.980","Green","Track","1.578","0.451","3.833","25.708","19.919","14.486","8.159","10.236","147.148"
"4","GTLM","Oliver Gavin","67","1:27.600","1:44:40.778","Green","Track","1.743","0.497","4.040","26.635","20.036","15.165","8.638","10.846","133.528"
"25","GTLM","Bill Auberlen","67","1:29.227","1:44:42.018","Green","Track","1.746","0.494","4.044","27.425","20.550","15.110","8.837","11.021","134.339"
"60","P","Oswaldo Negri","69","1:21.744","1:44:54.013","Green","Track","1.614","0.000","0.000","24.657","18.585","14.161","8.063","10.370","0.000"
"66","GTLM","Joey Hand","68","1:27.070","1:45:11.853","Green","Track","1.729","0.492","4.131","26.271","20.124","14.654","8.756","10.913","134.885"
"67","GTLM","Richard Westbrook","68","1:26.127","1:45:12.045","Green","Track","1.725","0.491","4.226","25.916","19.911","14.538","8.544","10.776","135.160"
"10","P","Jordan Taylor","67","1:20.285","1:45:12.779","Green","Track","1.627","0.465","3.747","24.063","18.398","13.707","7.978","10.300","142.717"
"90","P","Marc Goossens","69","1:22.663","1:45:19.869","Green","Track","1.617","0.461","3.750","24.948","18.938","14.161","8.179","10.609","143.956"
"31","P","Eric Curran","69","1:22.328","1:45:20.256","Green","Track","1.611","0.463","3.779","24.651","18.901","14.329","8.138","10.456","143.334"
"3","GTLM","Antonio Garcia","68","1:26.721","1:45:26.462","Green","Track","1.736","0.494","4.119","25.995","19.954","14.740","8.835","10.848","134.339"
"5","P","Joao Barbosa","65","1:22.737","1:45:29.670","Green","Track","1.605","0.461","3.768","25.109","19.024","14.170","8.187","10.413","143.956"
"68","GTLM","Alessandro Pier Guidi","68","1:26.830","1:45:32.491","Green","Track","1.740","0.489","4.014","25.999","20.291","14.802","8.551","10.944","135.713"
"55","P","Jonathan Bomarito","69","1:23.379","1:45:40.856","Green","Track","1.610","0.460","3.905","25.297","19.056","14.338","8.260","10.453","144.269"
"62","GTLM","Giancarlo Fisichella","68","1:27.228","1:45:50.735","Green","Track","1.733","0.494","3.991","26.634","19.964","14.953","8.538","10.921","134.339"
"912","GTLM","Frederic Makowiecki","68","1:27.270","1:45:50.878","Green","Track","1.741","0.499","4.197","26.707","19.993","14.841","8.624","10.668","132.993"
"100","GTLM","John Edwards","68","1:27.461","1:45:57.047","Green","Track","1.735","0.491","4.015","26.398","19.968","15.031","8.690","11.133","135.160"
"911","GTLM","Patrick Pilet","68","1:25.687","1:45:57.655","Green","Track","1.730","0.492","3.986","25.862","19.614","14.640","8.653","10.710","134.885"
"0","P","Katherine Legge","69","1:21.986","1:46:00.966","Green","Track","1.580","0.453","3.721","24.451","19.115","14.295","8.097","10.274","146.498"
"4","GTLM","Oliver Gavin","68","1:25.018","1:46:05.796","Green","Track","1.737","0.492","4.034","25.529","19.603","14.383","8.479","10.761","134.885"
"25","GTLM","Bill Auberlen","68","1:26.828","1:46:08.846","Green","Track","1.733","0.491","4.021","26.231","20.021","14.770","8.618","10.943","135.160"
"60","P","Oswaldo Negri","70","1:22.158","1:46:16.171","Green","Track","1.607","0.460","3.859","24.747","18.629","14.278","8.126","10.452","144.269"
"10","P","Jordan Taylor","68","1:22.901","1:46:35.680","Green","Track","1.615","0.462","4.135","25.458","18.766","13.922","8.225","10.318","143.644"
"67","GTLM","Richard Westbrook","69","1:26.868","1:46:38.913","Green","Track","1.715","0.487","4.192","25.984","20.380","14.709","8.642","10.759","136.270"
"66","GTLM","Joey Hand","69","1:29.305","1:46:41.158","Green","Track","1.749","0.499","4.477","27.292","20.439","15.026","8.780","11.043","132.993"
"90","P","Marc Goossens","70","1:23.495","1:46:43.364","Green","Track","1.611","0.463","3.727","25.112","19.145","14.466","8.288","10.683","143.334"
"31","P","Eric Curran","70","1:23.424","1:46:43.680","Green","Track","1.601","0.461","3.717","25.140","18.844","14.643","8.220","10.798","143.956"
"5","P","Joao Barbosa","66","1:21.554","1:46:51.224","Green","Track","1.607","0.458","3.781","24.150","19.212","13.937","8.033","10.376","144.899"
"3","GTLM","Antonio Garcia","69","1:27.477","1:46:53.939","Green","Track","1.737","0.494","4.157","26.082","20.270","14.916","8.912","10.909","134.339"
"68","GTLM","Alessandro Pier Guidi","69","1:26.082","1:46:58.573","Green","Track","1.743","0.492","4.028","26.060","19.791","14.597","8.480","10.891","134.885"
"55","P","Jonathan Bomarito","70","1:23.759","1:47:04.615","Green","Track","1.603","0.460","3.944","25.358","19.146","14.432","8.373","10.443","144.269"
"62","GTLM","Giancarlo Fisichella","69","1:27.415","1:47:18.150","Green","Track","1.724","0.492","4.004","26.734","20.086","14.733","8.680","10.962","134.885"
"912","GTLM","Frederic Makowiecki","69","1:27.974","1:47:18.852","Green","Track","1.724","0.489","4.051","26.880","20.923","14.622","8.633","10.652","135.713"
"100","GTLM","John Edwards","69","1:27.961","1:47:25.008","Green","Track","1.740","0.494","4.079","26.498","19.950","15.531","8.640","11.029","134.339"
"911","GTLM","Patrick Pilet","69","1:27.651","1:47:25.306","Green","Track","1.728","0.493","4.056","26.275","19.935","15.595","8.753","10.816","134.612"
"0","P","Katherine Legge","70","1:24.582","1:47:25.548","Green","Track","1.579","0.447","3.742","24.521","20.012","14.794","8.851","10.636","148.465"
"4","GTLM","Oliver Gavin","69","1:25.726","1:47:31.522","Green","Track","1.733","0.500","4.024","25.666","19.824","14.572","8.596","10.811","132.727"
"25","GTLM","Bill Auberlen","69","1:27.217","1:47:36.063","Green","Track","1.734","0.491","4.031","26.230","20.048","14.949","8.693","11.041","135.160"
"60","P","Oswaldo Negri","71","1:22.751","1:47:38.922","Green","Track","1.606","0.461","3.839","24.978","18.726","14.473","8.175","10.493","143.956"
"10","P","Jordan Taylor","69","1:21.350","1:47:57.030","Green","Track","1.632","0.467","4.196","24.223","18.541","13.959","8.025","10.307","142.106"
"67","GTLM","Richard Westbrook","70","1:26.553","1:48:05.466","Green","Track","1.730","0.491","4.266","25.848","20.055","14.769","8.674","10.720","135.160"
"90","P","Marc Goossens","71","1:24.451","1:48:07.815","Green","Track","1.622","0.463","3.779","25.411","20.138","14.350","8.206","10.482","143.334"
"31","P","Eric Curran","71","1:24.695","1:48:08.375","Green","Track","1.605","0.462","3.828","25.375","20.117","14.538","8.261","10.509","143.644"
"66","GTLM","Joey Hand","70","1:29.352","1:48:10.510","Green","Track","1.729","0.493","4.151","26.709","21.352","15.101","8.873","10.944","134.612"
"5","P","Joao Barbosa","67","1:20.875","1:48:12.099","Green","Track","1.620","0.464","3.820","24.115","18.581","13.875","8.003","10.397","143.025"
"3","GTLM","Antonio Garcia","70","1:27.239","1:48:21.178","Green","Track","1.747","0.495","4.208","26.193","20.141","14.725","8.791","10.939","134.068"
"68","GTLM","Alessandro Pier Guidi","70","1:26.345","1:48:24.918","Green","Track","1.746","0.492","4.033","26.093","19.963","14.621","8.504","10.893","134.885"
"55","P","Jonathan Bomarito","71","1:23.813","1:48:28.428","Green","Track","1.614","0.461","3.924","25.239","19.142","14.532","8.342","10.559","143.956"
"62","GTLM","Giancarlo Fisichella","70","1:26.741","1:48:44.891","Green","Track","1.749","0.499","4.013","26.191","20.002","14.736","8.553","10.998","132.993"
"912","GTLM","Frederic Makowiecki","70","1:26.219","1:48:45.071","Green","Track","1.731","0.490","4.027","25.837","20.042","14.744","8.645","10.703","135.436"
"0","P","Katherine Legge","71","1:28.148","1:48:53.696","Green","Track","1.604","0.460","4.135","27.029","20.737","15.099","8.617","10.467","144.269"
"100","GTLM","John Edwards","70","1:29.112","1:48:54.120","Green","Track","1.744","0.495","4.122","27.125","20.642","15.115","8.678","11.191","134.068"
"911","GTLM","Patrick Pilet","70","1:29.144","1:48:54.450","Green","Track","1.730","0.492","4.165","27.341","20.945","14.907","8.799","10.765","134.885"
"4","GTLM","Oliver Gavin","70","1:25.950","1:48:57.472","Green","Track","1.745","0.496","4.036","25.861","19.917","14.551","8.540","10.804","133.798"
"60","P","Oswaldo Negri","72","1:23.094","1:49:02.016","Green","Track","1.618","0.461","3.861","25.099","18.751","14.643","8.210","10.451","143.956"
"25","GTLM","Bill Auberlen","70","1:28.436","1:49:04.499","Green","Track","1.752","0.497","4.062","26.236","20.046","15.983","8.742","11.118","133.528"
"10","P","Jordan Taylor","70","1:21.295","1:49:18.325","Green","Track","1.631","0.467","4.203","24.401","18.553","13.734","7.978","10.328","142.106"
"90","P","Marc Goossens","72","1:24.281","1:49:32.096","Green","Track","1.618","0.462","3.765","25.301","19.323","14.706","8.315","10.791","143.644"
"31","P","Eric Curran","72","1:23.983","1:49:32.358","Green","Track","1.616","0.463","3.887","24.972","19.222","14.724","8.508","10.591","143.334"
"67","GTLM","Richard Westbrook","71","1:27.703","1:49:33.169","Green","Track","1.730","0.492","4.232","25.821","20.094","14.801","8.630","11.903","134.885"
"5","P","Joao Barbosa","68","1:23.389","1:49:35.488","Green","Track","1.610","0.463","3.780","25.755","19.001","14.141","8.089","10.550","143.334"
"66","GTLM","Joey Hand","71","1:28.820","1:49:39.330","Green","Track","1.730","0.493","4.171","26.921","20.532","15.145","8.790","11.038","134.612"
"3","GTLM","Antonio Garcia","71","1:27.466","1:49:48.644","Green","Track","1.742","0.498","4.147","26.343","20.179","14.740","8.904","10.913","133.260"
