"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"5","P","Christian Fittipaldi","1","46:40.708","46:40.708","Green","Track","1631.903","14.588","0.596","15.279","11.564","9.403","0.667","14.797","10.642","10.555","2.218","4.215","132.703","121.644"
"31","P","Eric Curran","1","46:43.661","46:43.661","Green","Track","1624.878","14.610","0.593","16.430","12.076","9.658","0.735","15.793","11.183","10.761","2.239","4.209","133.374","110.390"
"90","P","Marc Goossens","1","46:46.309","46:46.309","Green","Track","1435.897","15.971","0.697","15.836","11.395","9.372","0.643","14.746","11.164","10.325","2.305","4.285","113.473","126.184"
"10","P","Ricky Taylor","1","46:53.993","46:53.993","Green","Track","1602.815","18.347","0.905","17.271","11.989","9.294","0.602","15.955","10.898","10.153","2.283","4.215","87.393","134.778"
"60","P","Katherine Legge","1","46:59.860","46:59.860","Green","Track","9.720","16.855","0.781","17.582","12.588","9.382","0.597","15.354","11.726","11.414","2.336","4.206","101.269","135.907"
"70","P","Tom Long","1","47:17.437","47:17.437","Green","Track","9.679","16.372","0.927","17.305","11.843","9.437","0.611","15.109","11.019","10.879","2.260","4.250","85.319","132.793"
"55","P","Tristan Nunez","1","47:39.615","47:39.615","Green","Track","9.716","18.584","0.701","16.625","12.111","9.418","0.662","15.537","11.133","10.960","2.301","4.449","112.826","122.562"
"5","P","Christian Fittipaldi","2","1:28.837","48:09.545","Green","Track","3.417","11.947","0.536","13.592","10.435","9.030","0.573","13.608","10.001","9.502","2.152","4.044","147.558","141.599"
"31","P","Eric Curran","2","1:29.876","48:13.537","Green","Track","3.572","11.942","0.547","13.863","10.458","8.925","0.611","13.824","10.123","9.789","2.174","4.048","144.590","132.793"
"90","P","Marc Goossens","2","1:30.218","48:16.527","Green","Track","3.330","12.303","0.538","13.933","10.258","9.048","0.547","13.939","10.310","9.698","2.202","4.112","147.009","148.330"
"10","P","Ricky Taylor","2","1:28.358","48:22.351","Green","Track","3.393","11.878","0.532","13.950","10.357","8.972","0.530","12.924","9.882","9.605","2.223","4.112","148.667","153.087"
"60","P","Katherine Legge","2","1:30.154","48:30.014","Green","Track","3.481","12.352","0.539","13.325","10.465","9.031","0.526","13.449","10.501","10.106","2.230","4.149","146.736","154.252"
"70","P","Tom Long","2","1:30.272","48:47.709","Green","Track","3.451","12.102","0.536","14.025","10.476","9.020","0.537","13.681","10.182","9.960","2.193","4.109","147.558","151.092"
"55","P","Tristan Nunez","2","1:31.688","49:11.303","Green","Track","3.835","12.366","0.547","14.420","10.555","9.035","0.550","13.670","10.329","10.037","2.200","4.144","144.590","147.521"
"5","P","Christian Fittipaldi","3","1:25.204","49:34.749","Green","Track","3.142","11.441","0.521","12.853","9.787","8.919","0.531","12.889","9.662","9.294","2.136","4.029","151.806","152.799"
"31","P","Eric Curran","3","1:26.348","49:39.885","Green","Track","3.129","11.695","0.525","13.362","9.943","8.808","0.538","13.051","9.777","9.307","2.167","4.046","150.649","150.811"
"90","P","Marc Goossens","3","1:27.922","49:44.449","Green","Track","3.174","11.797","0.530","13.439","10.104","8.953","0.530","13.222","10.517","9.410","2.170","4.076","149.228","153.087"
