"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"912","GTLM","Earl Bamber","9","5:25.526","27:48.031","Green","Track","201.156","9.464","26.070","16.521","28.196","28.111","0.546","11.227","1.476","2.759","155.261","117.024"
"33","GTD","Marc Miller","9","2:03.574","27:51.046","Green","Track","5.816","6.102","25.131","15.323","27.267","28.122","0.544","11.036","1.481","2.752","155.832","116.629"
"66","GTLM","Joey Hand","9","6:50.562","27:57.651","Green","Pit","6.000","6.186","25.120","15.325","27.125","29.303","0.548","11.673","3.133","286.149","154.695","55.132"
"31","P","Dane Cameron","11","1:54.442","28:02.109","Green","Track","5.389","5.141","23.947","14.424","25.160","26.140","0.511","9.827","1.351","2.552","165.896","127.851"
"25","GTLM","Dirk Werner","8","2:00.681","28:04.744","Green","Track","5.685","5.464","24.404","15.174","26.720","28.008","0.542","10.509","1.455","2.720","156.407","118.713"
"38","PC","Kyle Marcelli","7","2:21.318","28:08.093","Green","Track","23.284","10.035","25.182","15.020","26.075","26.813","0.531","10.358","1.395","2.625","159.647","123.819"
"9","GTD","Matt Bell","9","2:25.858","28:14.927","Green","Track","22.785","9.520","25.882","15.488","27.526","28.518","0.555","11.207","0.000","0.000","152.744","0.000"
"45","GTD","Pierre Kaffer","8","7:55.117","28:17.006","Green","Track","340.047","12.655","29.071","17.212","31.202","29.051","0.555","11.042","1.487","2.795","152.744","116.158"
"27","GTD","Paolo Ruberti","9","2:04.802","28:26.232","Green","Track","5.920","6.022","25.518","15.562","27.405","28.385","0.552","11.102","0.000","0.000","153.574","0.000"
"100","GTLM","Lucas Luhr","8","1:59.784","28:27.371","Green","Track","5.703","5.575","24.518","15.190","26.431","27.201","0.543","10.436","1.455","2.732","156.119","118.713"
"20","PC","Johnny Mowlem","8","7:33.989","28:29.735","Green","Track","336.896","9.100","24.979","15.142","26.321","26.788","0.529","10.242","1.388","2.604","160.251","124.443"
"54","PC","Jonathan Bennett","10","4:57.268","28:39.635","Green","Track","177.470","9.752","25.716","15.171","26.673","27.207","0.529","10.681","0.000","0.000","160.251","0.000"
"16","GTD","Spencer Pumpelly","7","12:51.623","28:40.932","Green","Track","645.360","10.513","26.920","15.850","28.014","28.588","0.552","11.490","1.517","2.819","153.574","113.861"
"5","P","Joao Barbosa","10","1:54.271","28:41.955","Green","Track","5.418","5.243","23.223","14.915","25.106","25.920","0.517","10.038","1.346","2.545","163.970","128.326"
"8","PC","David H Hansson","9","2:09.048","28:43.283","Green","Pit","5.412","5.746","24.331","14.917","25.755","26.297","0.607","11.844","4.093","10.046","139.659","42.201"
