"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"60","P","Oswaldo Negri","1","1:38.488","1:46.285","Green","Track","3.089","0.000","0.000","27.730","20.583","0.000","8.952","10.544","0.000"
"90","P","Ryan Dalziel","1","1:44.454","2:00.623","Green","Track","5.139","0.918","7.520","29.036","23.233","0.000","10.109","11.198","72.292"
"66","GTLM","Dirk Muller","1","1:48.052","2:02.295","Green","Track","2.885","0.000","0.000","29.898","25.420","0.000","9.268","12.257","0.000"
"4","GTLM","Tommy Milner","1","1:40.207","2:04.633","Green","Track","2.408","0.000","0.000","29.574","21.948","15.830","9.196","10.909","0.000"
"25","GTLM","Bill Auberlen","1","1:36.840","2:05.517","Green","Track","5.031","0.847","7.006","28.586","20.811","15.112","8.772","10.675","78.351"
"100","GTLM","John Edwards","1","1:37.419","2:07.023","Green","Track","5.147","0.000","0.000","27.591","20.856","15.202","9.812","10.806","0.000"
"3","GTLM","Jan Magnussen","1","1:42.343","2:07.873","Green","Track","2.406","0.000","0.000","29.585","22.084","16.326","9.382","10.997","0.000"
"68","GTLM","Alessandro Pier Guidi","1","1:42.092","2:09.512","Green","Track","2.437","0.000","0.000","29.352","22.719","16.512","9.115","11.010","0.000"
"62","GTLM","Giancarlo Fisichella","1","1:37.056","2:12.720","Green","Track","4.884","0.848","6.629","27.746","22.069","15.385","8.751","10.744","78.259"
"912","GTLM","Earl Bamber","1","1:44.385","2:14.960","Green","Track","2.423","0.000","0.000","29.350","23.379","16.522","9.112","10.847","0.000"
"0","P","Katherine Legge","1","1:38.276","2:28.683","Green","Track","2.518","0.000","0.000","28.454","20.440","16.033","8.916","10.301","0.000"
"911","GTLM","Nick Tandy","1","1:36.327","2:39.711","Green","Track","2.420","3.519","6.491","27.698","21.193","15.284","9.068","10.654","18.859"
"60","P","Oswaldo Negri","2","1:23.280","3:09.565","Green","Track","1.613","0.461","4.180","25.281","19.041","14.289","8.220","10.195","143.956"
"10","P","Jordan Taylor","1","1:26.318","3:11.216","Green","Track","1.733","0.494","4.288","26.693","19.675","14.456","8.503","10.476","134.339"
"67","GTLM","Richard Westbrook","1","1:25.791","3:13.487","Green","Track","1.751","0.498","4.208","25.824","19.923","14.514","8.486","10.587","133.260"
"31","P","Dane Cameron","1","2:42.965","3:24.184","Green","Pit","2.528","0.000","0.000","29.490","21.783","16.144","10.129","71.313","0.000"
"90","P","Ryan Dalziel","2","1:26.243","3:26.866","Green","Track","1.733","0.500","4.485","26.298","19.723","14.664","8.613","10.227","132.727"
"66","GTLM","Dirk Muller","2","1:26.420","3:28.715","Green","Track","1.749","0.499","4.247","26.250","19.946","14.579","8.604","10.546","132.993"
"25","GTLM","Bill Auberlen","2","1:25.276","3:30.793","Green","Track","1.719","0.486","4.090","25.588","19.973","14.426","8.399","10.595","136.551"
"4","GTLM","Tommy Milner","2","1:27.602","3:32.235","Green","Track","1.758","0.505","4.335","25.993","21.057","14.721","8.558","10.675","131.413"
"100","GTLM","John Edwards","2","1:25.735","3:32.758","Green","Track","1.724","0.489","4.126","25.528","19.672","14.723","8.600","10.873","135.713"
"3","GTLM","Jan Magnussen","2","1:26.916","3:34.789","Green","Track","1.753","0.499","4.170","26.087","20.157","14.952","8.571","10.727","132.993"
