"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"31","P","Scott Pruett","87","2:09.483","6:00:42.600","Green","Track","5.721","6.244","26.966","16.180","28.544","28.723","0.528","12.300","1.531","2.746","160.554","112.820"
"24","P","Daniel Morad","87","2:08.489","6:00:48.968","Green","Track","5.619","6.379","26.001","16.625","28.743","28.946","0.522","11.485","1.480","2.689","162.400","116.708"
"33","GTD","Ben Keating","79","2:21.573","6:00:51.671","Green","Track","6.318","7.185","29.928","17.656","30.843","31.448","0.563","12.970","1.681","2.981","150.573","102.753"
"60","P","Oswaldo Negri","87","2:08.426","6:00:58.768","Green","Track","5.752","6.264","26.478","16.048","29.033","28.074","0.534","12.059","1.487","2.697","158.750","116.158"
"90","P","Ryan Dalziel","87","2:08.402","6:00:59.879","Green","Track","5.756","6.161","26.525","16.409","28.515","28.461","0.535","11.870","1.480","2.690","158.454","116.708"
"81","P","Nicolas Lapierre","86","2:06.487","6:01:02.215","Green","Track","5.733","5.941","25.987","16.048","27.890","28.187","0.560","11.955","1.483","2.703","151.380","116.472"
"10","P","Ricky Taylor","87","2:09.457","6:01:04.444","Green","Track","5.689","6.251","26.333","16.545","29.062","28.946","0.529","11.903","1.492","2.707","160.251","115.769"
"0","P","Katherine Legge","87","2:10.249","6:01:15.475","Green","Track","5.906","6.824","26.956","16.276","29.120","28.663","0.518","11.840","1.478","2.668","163.654","116.866"
"96","GTD","Jens Klingmann","83","2:13.662","6:01:18.164","Green","Track","6.063","6.693","27.236","16.668","29.464","30.374","0.565","12.066","1.603","2.930","150.040","107.753"
"20","PC","Don Yount","81","2:10.544","6:01:18.749","Green","Track","6.012","6.333","26.316","16.769","29.143","28.850","0.610","12.202","1.535","2.774","138.972","112.526"
"911","GTLM","Nick Tandy","86","2:12.558","6:01:23.296","Green","Track","6.092","6.621","26.972","16.447","29.466","29.642","0.562","12.253","1.598","2.905","150.841","108.090"
"912","GTLM","Michael Christensen","86","2:13.121","6:01:28.191","Green","Track","6.094","6.941","26.790","16.619","29.485","30.069","0.561","12.083","1.585","2.894","151.110","108.976"
"54","PC","Colin Braun","86","2:10.177","6:01:31.867","Green","Track","5.849","6.779","26.406","16.384","28.483","29.080","0.571","12.411","1.486","2.728","148.464","116.236"
"22","GTD","Cooper MacNeil","83","3:12.586","6:01:35.725","Green","Pit","6.265","6.907","27.710","16.787","30.486","32.556","0.637","14.384","4.641","52.213","133.081","37.218"
"8","PC","Renger van der Zande","80","2:07.759","6:01:38.127","Green","Track","5.839","6.260","26.463","16.377","28.179","28.633","0.539","11.200","1.511","2.758","157.278","114.313"
"70","P","Ben Devlin","86","2:08.478","6:01:40.115","Green","Track","5.829","6.168","25.839","16.721","28.480","28.643","0.536","11.980","1.536","2.746","158.158","112.453"
"3","GTLM","Jan Magnussen","86","2:15.860","6:01:44.616","Green","Track","6.099","6.750","27.775","17.825","29.723","30.168","0.569","12.400","1.625","2.926","148.985","106.294"
"55","P","Tristan Nunez","86","2:11.621","6:01:47.721","Green","Track","5.962","6.468","26.543","16.595","28.675","29.880","0.543","12.518","1.618","2.819","156.119","106.754"
"4","GTLM","Marcel Fassler","86","2:15.575","6:01:48.244","Green","Track","6.076","6.609","27.488","17.215","29.573","30.777","0.571","12.762","1.604","2.900","148.464","107.685"
"67","GTLM","Scott Dixon","86","2:14.424","6:01:49.654","Green","Track","6.095","6.705","27.130","17.336","29.511","30.211","0.557","12.332","1.611","2.936","152.195","107.217"
"62","GTLM","Davide Rigon","86","2:13.601","6:01:50.655","Green","Track","6.157","6.719","27.167","16.776","29.436","30.177","0.559","12.113","1.597","2.900","151.651","108.157"
"52","PC","Robert Alon","86","2:12.978","6:01:51.069","Green","Track","5.993","6.596","27.102","17.268","29.570","29.139","0.596","12.414","1.535","2.765","142.236","112.526"
"88","PC","Michael Lyons","86","2:14.962","6:01:54.300","Green","Track","5.983","6.742","27.304","17.271","29.575","30.039","0.549","12.983","1.630","2.886","154.413","105.968"
"50","P","Dorsey Schroeder","81","2:12.052","6:02:00.623","Green","Track","5.896","6.284","27.121","16.275","29.431","29.545","0.540","12.569","1.587","2.804","156.987","108.839"
"38","PC","Kyle Marcelli","86","2:08.884","6:02:05.068","Green","Track","5.758","6.427","26.193","15.824","29.522","28.681","0.541","11.686","1.493","2.759","156.696","115.691"
"16","GTD","Corey Lewis","84","2:14.861","6:02:06.571","Green","Track","6.107","6.713","27.149","16.703","29.625","30.625","0.589","12.795","1.619","2.936","143.927","106.688"
"51","GTD","Matteo Cressoni","84","2:15.378","6:02:08.334","Green","Track","6.071","7.268","27.089","16.632","30.099","30.744","0.561","12.392","1.608","2.914","151.110","107.417"
"100","GTLM","Kuno Wittmer","86","2:04.099","6:02:09.817","Green","Track","6.017","6.160","25.267","15.402","27.277","27.758","0.552","11.430","1.484","2.752","153.574","116.393"
"85","PC","Misha Goikhberg","82","2:15.250","6:02:15.150","Green","Track","6.165","7.050","27.130","16.582","30.105","30.191","0.579","13.093","1.557","2.798","146.412","110.936"
"9","GTD","Matt Bell","84","2:15.348","6:02:20.927","Green","Track","6.257","7.210","27.212","16.757","29.821","30.369","0.563","12.638","1.597","2.924","150.573","108.157"
"48","GTD","Madison Snow","84","2:16.597","6:02:22.530","Green","Track","6.225","7.242","27.574","16.775","29.727","31.078","0.561","12.876","1.609","2.930","151.110","107.351"
"2","P","Luis Felipe Derani","87","2:01.363","6:02:22.759","Green","Track","5.669","6.083","24.548","15.776","26.030","27.665","0.520","11.098","1.397","2.577","163.024","123.642"
"73","GTD","Matthew McMurry","84","2:15.714","6:02:27.221","Green","Track","6.080","6.832","27.348","16.930","29.952","30.872","0.557","12.622","1.612","2.909","152.195","107.151"
