"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"31","P","Dane Cameron","1","2:06.732","2:06.732","Green","Track","0.000","12.432","20.684","0.498","22.902","27.532","20.126","11.373","4.537","165.092"
"5","P","Joao Barbosa","1","2:08.132","2:08.132","Green","Track","0.000","12.423","20.351","0.504","23.491","27.461","20.163","11.421","4.493","163.127"
"0","P","Katherine Legge","1","2:17.219","2:17.219","Green","Track","0.000","15.474","21.770","0.559","24.813","29.262","20.707","11.822","4.487","147.077"
"10","P","Jordan Taylor","1","2:21.955","2:21.955","Green","Track","0.000","14.405","22.625","0.541","24.794","29.281","21.353","11.734","4.686","151.970"
"85","PC","Misha Goikhberg","1","2:23.630","2:23.630","Green","Track","0.000","13.591","22.697","0.675","26.034","30.596","22.423","12.252","4.708","121.801"
"55","P","Jonathan Bomarito","1","2:23.669","2:23.669","Green","Track","0.000","14.061","20.831","0.505","23.341","27.811","20.369","11.565","4.420","162.804"
"70","P","Joel Miller","1","2:24.718","2:24.718","Green","Track","0.000","13.245","21.150","0.492","23.620","27.813","20.225","11.652","4.482","167.106"
"60","P","John Pew","1","2:38.599","2:38.599","Green","Track","0.000","16.542","23.315","0.650","27.103","30.021","21.515","12.146","4.516","126.486"
"90","P","Ryan Dalziel","1","2:39.325","2:39.325","Green","Track","0.000","13.934","22.481","0.607","24.673","29.352","21.122","11.766","4.562","135.446"
"63","GTD","Alessandro Balzan","1","2:47.835","2:47.835","Green","Track","0.000","14.375","23.698","0.669","26.535","34.009","23.487","13.176","5.022","122.894"
"77","GTD","Gunnar Jeannette","1","2:49.007","2:49.007","Green","Track","0.000","14.397","24.469","0.605","26.567","32.546","23.234","13.001","5.129","135.894"
"20","PC","Bruno Junqueira","1","2:51.326","2:51.326","Green","Track","115.256","13.527","22.046","0.607","25.408","31.010","22.786","11.951","4.696","135.446"
"9","GTD","Lawson Aschenbach","1","2:52.805","2:52.805","Green","Track","0.000","15.534","25.539","0.603","25.845","30.727","24.693","12.520","4.941","136.345"
"96","GTD","Jens Klingmann","1","2:53.473","2:53.473","Green","Track","332.692","15.300","23.655","0.578","25.770","31.975","23.354","12.679","4.919","142.242"
"73","GTD","Patrick Lindsey","1","2:54.275","2:54.275","Green","Track","242.824","14.467","22.725","0.671","26.404","31.364","23.187","13.036","4.958","122.527"
"4","GTLM","Oliver Gavin","1","2:57.006","2:57.006","Green","Track","0.000","15.925","22.639","0.532","25.033","30.423","21.963","12.377","4.916","154.541"
"7","PC","Gustavo Yacaman","1","2:59.682","2:59.682","Green","Track","0.000","13.711","21.634","0.550","25.524","29.342","21.777","12.947","4.699","149.483"
"52","PC","Tom Kimber-Smith","1","2:59.753","2:59.753","Green","Track","0.000","13.983","21.895","0.566","24.792","29.052","21.952","12.785","4.626","145.258"
"3","GTLM","Jan Magnussen","1","3:00.671","3:00.671","Green","Track","0.000","16.379","22.896","0.574","25.419","30.599","23.148","12.462","4.918","143.233"
"88","PC","Richard Bradley","1","3:01.208","3:01.208","Green","Track","0.000","14.556","21.775","0.586","26.376","31.486","21.876","12.196","4.687","140.300"
"100","GTLM","John Edwards","1","3:01.715","3:01.715","Green","Track","0.000","13.607","21.789","0.515","24.395","29.575","21.685","12.200","4.819","159.643"
"912","GTLM","Earl Bamber","1","3:05.165","3:05.165","Green","Track","0.000","13.521","22.416","0.540","25.196","30.177","22.846","13.065","4.896","152.252"
"911","GTLM","Patrick Pilet","1","3:07.806","3:07.806","Green","Track","0.000","13.722","22.281","0.546","24.762","29.920","24.415","13.110","4.874","150.579"
"33","GTD","Ben Keating","1","3:09.931","3:09.931","Green","Track","0.000","14.463","22.647","0.516","25.603","31.251","22.523","12.672","4.878","159.333"
"6","GTD","Andrew Davis","1","3:18.280","3:18.280","Green","Track","0.000","16.071","24.717","0.580","25.620","31.297","22.392","12.621","4.962","141.752"
"23","GTD","Mario Farnbacher","1","3:18.594","3:18.594","Green","Track","23.729","13.983","22.956","0.546","25.424","31.230","22.347","12.566","4.971","150.579"
"97","GTD","Michael Marsal","1","3:19.892","3:19.892","Green","Track","0.000","15.942","24.968","0.556","25.981","31.623","22.520","12.745","4.949","147.870"
"22","GTD","Sven Muller","1","3:23.331","3:23.331","Green","Track","23.550","14.810","24.419","0.609","25.996","31.699","22.825","12.724","4.944","135.001"
"26","PC","Don Yount","1","3:24.950","3:24.950","Green","Track","142.516","15.717","22.253","0.574","26.061","31.060","22.424","12.198","4.665","143.233"
"27","GTD","Luca Persiani","1","3:40.692","3:40.692","Green","Track","0.000","17.374","25.438","0.573","26.668","32.690","23.048","12.536","4.920","143.483"
"66","GTLM","Joey Hand","1","3:48.443","3:48.443","Green","Track","384.779","16.272","23.479","0.621","25.868","30.562","21.772","12.068","4.857","132.393"
"38","PC","Kyle Marcelli","1","3:48.828","3:48.828","Green","Track","0.000","13.560","22.355","0.572","25.188","29.879","21.447","11.868","4.665","143.734"
