"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"66","GTLM","Joey Hand","7","1:22.709","13:43.453","Green","Track","0.639","7.112","8.138","11.855","8.218","10.577","12.153","16.869","1.708","5.440","129.108"
"55","P","Jonathan Bomarito","7","1:29.005","13:46.009","Green","Pit","0.591","6.709","7.138","10.729","7.670","9.774","11.498","15.975","3.782","15.139","139.594"
"60","P","John Pew","7","1:20.953","13:49.550","Green","Track","0.598","6.781","7.558","11.773","8.021","10.519","11.822","17.010","1.696","5.175","137.960"
"52","PC","Tom Kimber-Smith","7","3:40.044","13:57.635","Green","Track","0.000","0.000","15.187","13.110","9.124","11.130","12.835","18.108","1.721","5.287","0.000"
"54","PC","Jonathan Bennett","8","1:19.806","14:02.341","Green","Track","0.611","6.839","7.246","11.254","8.083","10.027","11.824","16.913","1.712","5.297","135.025"
"31","P","Eric Curran","8","1:17.675","14:04.675","Green","Track","0.593","6.656","7.438","11.156","7.625","9.861","11.357","16.358","1.589","5.042","139.123"
"0","P","Andy Meyrick","7","3:22.328","14:07.903","Green","Track","0.000","0.000","15.071","14.159","9.325","11.472","13.649","19.262","1.634","5.066","0.000"
"20","PC","Tomy Drissi","8","1:47.356","14:10.790","Green","Pit","0.611","6.909","8.779","13.082","9.932","13.094","13.384","20.114","5.398","16.053","135.025"
"90","P","Marc Goossens","6","5:52.325","14:14.708","Green","Track","0.000","0.000","14.289","12.150","8.023","10.236","11.425","15.964","1.621","5.103","0.000"
"911","GTLM","Patrick Pilet","8","1:20.145","14:17.278","Green","Track","0.644","7.141","7.311","11.055","8.008","10.220","12.098","16.547","1.672","5.449","128.106"
"10","P","Ricky Taylor","8","1:17.651","14:20.223","Green","Track","0.597","6.687","6.916","10.797","7.673","9.745","11.389","17.021","1.671","5.155","138.191"
"912","GTLM","Earl Bamber","8","1:19.526","14:20.494","Green","Track","0.642","7.100","7.039","10.864","7.815","9.972","12.229","16.688","1.693","5.484","128.505"
"85","PC","Misha Goikhberg","8","1:20.246","14:31.907","Green","Track","0.610","6.915","7.404","11.446","7.833","10.112","11.629","17.402","1.658","5.237","135.246"
"25","GTLM","Bill Auberlen","7","4:13.412","14:33.186","Green","Track","0.000","0.000","15.002","13.550","8.740","10.995","12.745","19.200","1.783","5.501","0.000"
"4","GTLM","Oliver Gavin","7","4:25.613","14:39.191","Green","Track","0.000","0.000","15.206","12.343","8.542","10.718","12.258","16.680","1.678","5.460","0.000"
"8","PC","Renger van der Zande","8","2:58.718","14:45.746","Green","Track","0.000","0.000","15.228","12.639","8.387","10.557","12.011","17.772","1.644","5.226","0.000"
"38","PC","Kyle Marcelli","9","1:18.103","14:47.737","Green","Track","0.603","6.794","7.209","11.025","7.806","10.002","11.827","16.110","1.606","5.121","136.816"
"70","P","Tom Long","7","1:21.139","14:53.479","Green","Track","0.589","6.603","7.833","12.110","8.040","10.264","11.787","17.206","1.665","5.042","140.068"
"66","GTLM","Joey Hand","8","1:21.004","15:04.457","Green","Track","0.635","7.084","7.828","11.414","8.063","10.277","11.907","16.615","1.729","5.452","129.921"
"60","P","John Pew","8","1:22.052","15:11.602","Green","Track","0.601","6.764","7.288","12.506","9.285","10.047","11.859","16.852","1.672","5.178","137.271"
"62","GTLM","Giancarlo Fisichella","8","1:32.219","15:12.214","Green","Pit","0.642","7.212","7.263","11.150","8.019","10.232","12.014","16.752","3.890","15.045","128.505"
"88","PC","Mark Kvamme","6","4:51.520","15:19.016","Green","Track","0.000","0.000","17.466","14.187","10.302","11.609","13.356","19.788","1.833","5.773","0.000"
"52","PC","Tom Kimber-Smith","8","1:21.634","15:19.269","Green","Track","0.615","6.909","7.895","12.011","8.075","10.231","12.041","16.962","1.673","5.222","134.146"
"31","P","Eric Curran","9","1:17.241","15:21.916","Green","Track","0.592","6.639","7.276","10.972","7.595","9.904","11.367","16.241","1.608","5.047","139.358"
"54","PC","Jonathan Bennett","9","1:20.803","15:23.144","Green","Track","0.612","6.846","7.274","11.341","7.927","10.178","11.818","17.820","1.715","5.272","134.804"
"0","P","Andy Meyrick","8","1:19.916","15:27.819","Green","Track","0.593","6.648","7.648","11.838","8.034","10.114","11.699","16.746","1.588","5.008","139.123"
"90","P","Marc Goossens","7","1:16.814","15:31.522","Green","Track","0.596","6.687","6.926","10.742","7.636","9.830","11.398","16.269","1.629","5.101","138.423"
"3","GTLM","Jan Magnussen","7","5:22.223","15:34.237","Green","Track","0.000","0.000","16.085","12.050","8.377","10.392","12.049","19.332","1.706","5.489","0.000"
"911","GTLM","Patrick Pilet","9","1:18.290","15:35.568","Green","Track","0.641","7.133","6.992","10.777","7.887","10.038","11.864","15.825","1.686","5.447","128.705"
"10","P","Ricky Taylor","9","1:16.821","15:37.044","Green","Track","0.603","6.785","6.877","10.708","7.652","10.129","11.459","15.888","1.627","5.093","136.816"
"912","GTLM","Earl Bamber","9","1:18.320","15:38.814","Green","Track","0.640","7.090","6.986","10.829","7.872","9.970","11.764","15.913","1.758","5.498","128.906"
"68","GTLM","Daniel Serra","9","2:31.216","15:48.999","Green","Track","0.000","0.000","15.544","12.849","8.639","10.653","12.504","16.862","1.761","5.514","0.000"
"85","PC","Misha Goikhberg","9","1:19.921","15:51.828","Green","Track","0.612","6.901","7.310","11.564","7.894","10.146","11.691","16.822","1.707","5.274","134.804"
"25","GTLM","Bill Auberlen","8","1:22.077","15:55.263","Green","Track","0.640","7.122","7.916","11.736","8.318","10.482","12.273","16.384","1.729","5.477","128.906"
"100","GTLM","Lucas Luhr","9","2:56.638","15:58.056","Green","Track","0.000","0.000","17.883","15.107","9.739","11.560","13.819","22.072","1.835","5.591","0.000"
"4","GTLM","Oliver Gavin","8","1:20.554","15:59.745","Green","Track","0.641","7.164","7.706","11.191","8.141","10.261","12.038","16.233","1.699","5.480","128.705"
"8","PC","Renger van der Zande","9","1:19.818","16:05.564","Green","Track","0.612","6.906","7.353","11.358","8.134","10.073","11.757","16.744","1.659","5.222","134.804"
"38","PC","Kyle Marcelli","10","1:18.108","16:05.845","Green","Track","0.601","6.777","7.046","11.022","7.876","9.916","11.759","16.352","1.634","5.125","137.271"
"66","GTLM","Joey Hand","9","1:20.014","16:24.471","Green","Track","0.634","7.110","7.415","11.264","8.130","10.114","11.830","16.335","1.726","5.456","130.126"
"70","P","Tom Long","8","1:36.913","16:30.392","Green","Pit","0.587","6.602","7.810","12.509","8.627","11.422","12.115","17.899","3.969","15.373","140.545"
"60","P","John Pew","9","1:19.317","16:30.919","Green","Track","0.600","6.787","7.271","11.427","7.957","9.915","11.688","16.694","1.759","5.219","137.500"
"52","PC","Tom Kimber-Smith","9","1:19.942","16:39.211","Green","Track","0.610","6.921","7.404","11.405","8.068","10.125","11.854","16.632","1.674","5.249","135.246"
"31","P","Eric Curran","10","1:19.088","16:41.004","Green","Track","0.000","0.000","7.460","12.177","7.961","10.059","11.377","16.166","1.589","5.055","0.000"
"0","P","Andy Meyrick","9","1:19.053","16:46.872","Green","Track","0.590","6.684","7.125","11.203","7.944","9.985","11.574","17.374","1.574","5.000","139.831"
"90","P","Marc Goossens","8","1:17.295","16:48.817","Green","Track","0.594","6.678","7.004","10.689","7.585","9.747","11.285","16.917","1.669","5.127","138.889"
"88","PC","Mark Kvamme","7","1:30.039","16:49.055","Green","Track","0.669","7.746","8.540","13.680","9.541","11.045","12.688","18.775","1.850","5.505","123.318"
"3","GTLM","Jan Magnussen","8","1:19.542","16:53.779","Green","Track","0.647","7.200","7.341","11.103","8.079","10.156","12.018","15.804","1.709","5.485","127.512"
"911","GTLM","Patrick Pilet","10","1:19.806","16:55.374","Green","Track","0.638","7.106","6.964","10.778","7.883","10.092","12.046","17.175","1.679","5.445","129.310"
"54","PC","Jonathan Bennett","10","1:33.324","16:56.468","Green","Pit","0.612","6.833","7.773","11.513","8.265","10.176","11.815","17.163","3.812","15.362","134.804"
"912","GTLM","Earl Bamber","10","1:30.658","17:09.472","Green","Pit","0.640","7.101","7.137","10.983","7.948","9.985","12.035","16.081","3.468","15.280","128.906"
"68","GTLM","Daniel Serra","10","1:21.329","17:10.328","Green","Track","0.640","7.144","7.460","11.770","8.117","10.241","12.203","16.571","1.714","5.469","128.906"
"85","PC","Misha Goikhberg","10","1:19.665","17:11.493","Green","Track","0.613","6.911","7.339","11.359","8.215","10.164","11.534","16.627","1.667","5.236","134.584"
"25","GTLM","Bill Auberlen","9","1:20.238","17:15.501","Green","Track","0.639","7.100","7.261","11.113","8.002","10.358","11.989","16.583","1.724","5.469","129.108"
"20","PC","Johnny Mowlem","9","3:06.091","17:16.881","Green","Track","0.000","0.000","15.305","14.243","9.333","11.403","12.536","19.425","1.783","5.299","0.000"
"10","P","Ricky Taylor","10","1:40.271","17:17.315","Green","Pit","0.597","7.412","10.032","12.817","8.561","11.164","13.113","17.740","3.587","15.248","138.191"
"4","GTLM","Oliver Gavin","9","1:19.285","17:19.030","Green","Track","0.643","7.141","7.273","10.984","7.991","10.099","11.952","16.054","1.689","5.459","128.305"
"38","PC","Kyle Marcelli","11","1:18.342","17:24.187","Green","Track","0.597","6.679","7.127","11.294","7.969","10.047","11.710","16.171","1.622","5.126","138.191"
"8","PC","Renger van der Zande","10","1:20.473","17:26.037","Green","Track","0.612","6.879","7.540","11.534","7.995","10.227","11.766","17.031","1.663","5.226","134.804"
"62","GTLM","Giancarlo Fisichella","9","2:15.301","17:27.515","Green","Track","0.000","0.000","14.124","12.830","8.549","10.748","13.036","18.834","1.713","5.490","0.000"
"100","GTLM","Lucas Luhr","10","1:36.636","17:34.692","Green","Track","0.647","7.152","7.866","16.047","10.029","13.038","12.848","21.699","1.781","5.529","127.512"
"66","GTLM","Joey Hand","10","1:20.136","17:44.607","Green","Track","0.636","7.092","7.570","11.214","8.042","10.120","11.919","16.401","1.709","5.433","129.717"
"5","P","Christian Fittipaldi","10","4:17.786","17:47.353","Green","Track","0.000","0.000","13.891","12.109","8.107","10.026","12.226","16.562","1.598","5.061","0.000"
"60","P","John Pew","10","1:18.993","17:49.912","Green","Track","0.601","6.780","7.150","11.379","7.884","10.207","11.696","16.524","1.653","5.119","137.271"
"52","PC","Tom Kimber-Smith","10","1:18.686","17:57.897","Green","Track","0.611","6.868","7.347","11.112","7.851","10.039","11.731","16.244","1.668","5.215","135.025"
"31","P","Eric Curran","11","1:17.157","17:58.161","Green","Track","0.590","6.647","7.292","10.981","7.672","9.901","11.326","16.124","1.598","5.026","139.831"
"0","P","Andy Meyrick","10","1:17.130","18:04.002","Green","Track","0.591","6.651","7.055","11.090","7.754","9.776","11.449","16.192","1.584","4.988","139.594"
"3","GTLM","Jan Magnussen","9","1:20.615","18:14.394","Green","Track","0.644","7.172","7.179","11.006","7.962","10.156","11.782","17.483","1.728","5.503","128.106"
"88","PC","Mark Kvamme","8","1:26.450","18:15.505","Green","Track","0.678","7.509","7.983","12.258","8.421","10.586","12.520","19.254","1.860","5.381","121.681"
"90","P","Marc Goossens","9","1:29.026","18:17.843","Green","Pit","0.595","6.670","6.996","10.704","7.832","9.790","11.343","15.947","3.902","15.247","138.655"
"911","GTLM","Patrick Pilet","11","1:23.155","18:18.529","Green","Track","0.640","7.099","6.993","10.708","7.995","10.004","11.908","20.677","1.683","5.448","128.906"
"85","PC","Misha Goikhberg","11","1:19.442","18:30.935","Green","Track","0.609","6.870","7.287","11.089","7.852","10.210","11.548","17.058","1.680","5.239","135.468"
"68","GTLM","Daniel Serra","11","1:21.931","18:32.259","Green","Track","0.638","7.132","7.235","11.104","7.943","10.353","12.187","18.198","1.707","5.434","129.310"
"25","GTLM","Bill Auberlen","10","1:18.589","18:34.090","Green","Track","0.637","7.090","7.106","10.914","7.866","10.094","11.804","15.901","1.723","5.454","129.513"
