"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"90","P","Marc Goossens","4","1:13.157","1:20:14.317","Green","Track","2.699","18.514","23.518","10.864","0.412","6.935","3.916","6.299","165.766"
"60","P","John Pew","4","1:12.671","1:20:25.424","Green","Track","2.757","18.647","22.606","10.908","0.419","7.140","4.085","6.109","162.996"
"55","P","Tristan Nunez","4","1:10.126","1:20:52.076","Green","Track","2.697","17.663","21.977","10.837","0.417","6.807","3.734","5.994","163.778"
"70","P","Tom Long","4","1:11.091","1:20:56.858","Green","Track","2.767","18.291","22.150","10.764","0.415","6.805","3.869","6.030","164.567"
"0","P","Katherine Legge","4","1:14.092","1:21:05.019","Green","Track","2.881","19.383","22.934","10.694","0.411","7.381","4.014","6.394","166.169"
"5","P","Christian Fittipaldi","5","1:10.990","1:21:13.494","Green","Track","2.769","17.824","22.307","10.857","0.411","6.819","3.936","6.067","166.169"
"10","P","Ricky Taylor","5","1:10.435","1:21:16.714","Green","Track","2.777","17.769","21.963","10.815","0.410","6.738","3.761","6.202","166.574"
"31","P","Eric Curran","5","1:11.248","1:21:19.800","Green","Track","2.758","18.089","22.332","10.849","0.410","6.991","3.825","5.994","166.574"
"90","P","Marc Goossens","5","1:11.883","1:21:26.200","Green","Track","2.758","18.304","22.495","10.871","0.413","6.953","3.976","6.113","165.364"
"60","P","John Pew","5","1:12.853","1:21:38.277","Green","Track","2.707","18.763","22.422","10.884","0.418","7.281","4.135","6.243","163.386"
"55","P","Tristan Nunez","5","1:10.136","1:22:02.212","Green","Track","2.654","17.622","21.935","10.849","0.417","6.807","3.858","5.994","163.778"
"70","P","Tom Long","5","1:10.964","1:22:07.822","Green","Track","2.752","18.186","22.131","10.829","0.417","6.776","3.839","6.034","163.778"
"0","P","Katherine Legge","5","1:14.274","1:22:19.293","Green","Track","2.899","19.252","23.149","10.742","0.411","7.473","4.102","6.246","166.169"
"5","P","Christian Fittipaldi","6","1:12.192","1:22:25.686","Green","Track","2.776","17.945","22.357","10.927","0.413","7.151","4.146","6.477","165.364"
"10","P","Ricky Taylor","6","1:13.351","1:22:30.065","Green","Track","2.735","17.939","23.455","11.363","0.418","7.173","4.072","6.196","163.386"
"31","P","Eric Curran","6","1:11.477","1:22:31.277","Green","Track","2.754","18.157","22.222","10.857","0.413","7.091","3.930","6.053","165.364"
"90","P","Marc Goossens","6","1:11.599","1:22:37.799","Green","Track","2.717","18.234","22.375","10.885","0.415","7.009","3.866","6.098","164.567"
"60","P","John Pew","6","1:12.698","1:22:50.975","Green","Track","2.789","18.697","22.348","10.924","0.420","7.156","4.211","6.153","162.608"
"55","P","Tristan Nunez","6","1:10.566","1:23:12.778","Green","Track","2.669","17.732","21.992","10.903","0.420","6.904","3.894","6.052","162.608"
"70","P","Tom Long","6","1:10.768","1:23:18.590","Green","Track","2.742","18.072","21.997","10.836","0.419","6.767","3.808","6.127","162.996"
"0","P","Katherine Legge","6","1:14.077","1:23:33.370","Green","Track","2.949","19.568","22.714","10.813","0.415","7.307","4.063","6.248","164.567"
"5","P","Christian Fittipaldi","7","1:14.602","1:23:40.288","Green","Track","3.089","20.565","22.865","10.918","0.414","6.752","3.876","6.123","164.965"
"10","P","Ricky Taylor","7","1:13.039","1:23:43.104","Green","Track","2.738","17.865","22.119","10.834","0.411","8.377","4.582","6.113","166.169"
"31","P","Eric Curran","7","1:13.550","1:23:44.827","Green","Track","2.760","18.184","22.428","10.939","0.418","8.316","4.302","6.203","163.386"
"90","P","Marc Goossens","7","1:11.496","1:23:49.295","Green","Track","2.706","18.069","22.326","10.910","0.413","6.974","3.939","6.159","165.364"
"60","P","John Pew","7","1:12.657","1:24:03.632","Green","Track","2.770","18.498","22.602","10.934","0.418","7.116","4.017","6.302","163.386"
"55","P","Tristan Nunez","7","1:13.765","1:24:26.543","Green","Track","2.885","18.732","23.051","11.032","0.442","7.704","3.910","6.009","154.515"
"70","P","Tom Long","7","1:10.869","1:24:29.459","Green","Track","2.757","18.091","22.083","10.840","0.417","6.692","3.934","6.055","163.778"
"5","P","Christian Fittipaldi","8","1:11.152","1:24:51.440","Green","Track","2.785","17.884","22.370","10.909","0.414","6.793","3.910","6.087","164.965"
"31","P","Eric Curran","8","1:12.007","1:24:56.834","Green","Track","2.773","18.283","22.368","10.896","0.412","7.083","4.096","6.096","165.766"
"90","P","Marc Goossens","8","1:11.820","1:25:01.115","Green","Track","2.712","18.294","22.398","10.878","0.412","6.926","3.944","6.256","165.766"
"10","P","Ricky Taylor","8","1:22.790","1:25:05.894","Green","Pit","2.723","17.994","22.185","10.862","0.412","7.980","7.272","13.362","165.766"
"60","P","John Pew","8","1:12.568","1:25:16.200","Green","Track","2.809","18.545","22.477","10.922","0.418","7.182","4.121","6.094","163.386"
"55","P","Tristan Nunez","8","1:10.398","1:25:36.941","Green","Track","2.688","17.651","22.077","10.873","0.419","6.778","3.837","6.075","162.996"
"70","P","Tom Long","8","1:10.821","1:25:40.280","Green","Track","2.741","18.117","22.072","10.809","0.415","6.634","3.873","6.160","164.567"
"5","P","Christian Fittipaldi","9","1:10.761","1:26:02.201","Green","Track","2.768","17.763","22.211","10.892","0.416","6.765","3.857","6.089","164.172"
"31","P","Eric Curran","9","1:11.518","1:26:08.352","Green","Track","2.755","18.061","22.445","10.886","0.413","6.968","3.874","6.116","165.364"
"90","P","Marc Goossens","9","1:11.610","1:26:12.725","Green","Track","2.737","18.154","22.383","10.889","0.411","6.931","3.894","6.211","166.169"
"60","P","John Pew","9","1:12.558","1:26:28.758","Green","Track","2.750","18.307","22.622","10.905","0.416","7.168","4.190","6.200","164.172"
