"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"100","GTLM","Lucas Luhr","9","1:26.088","18:19.152","Green","Track","1.750","0.494","4.043","25.799","19.806","14.713","8.594","10.889","134.339"
"5","P","Joao Barbosa","9","1:21.656","18:20.109","Green","Track","1.620","0.463","3.838","24.266","18.635","14.098","8.225","10.511","143.334"
"25","GTLM","Bill Auberlen","9","1:38.182","18:40.109","Green","Track","2.419","0.000","0.000","29.054","21.306","15.774","8.881","10.827","0.000"
"62","GTLM","Giancarlo Fisichella","9","1:25.024","18:41.689","Green","Track","1.744","0.497","4.044","25.567","19.655","14.329","8.424","10.764","133.528"
"66","GTLM","Joey Hand","8","1:24.504","18:43.998","Green","Track","1.738","0.495","4.071","25.399","19.523","14.140","8.445","10.693","134.068"
"4","GTLM","Oliver Gavin","10","1:24.365","18:51.710","Green","Track","1.743","0.497","4.023","25.302","19.508","14.146","8.412","10.734","133.528"
"10","P","Jordan Taylor","9","1:21.150","18:54.238","Green","Track","1.624","0.464","3.808","24.339","18.665","13.789","8.100","10.361","143.025"
"912","GTLM","Frederic Makowiecki","10","1:26.474","18:57.621","Green","Track","1.728","0.490","3.980","25.857","20.166","14.959","8.605","10.689","135.436"
"3","GTLM","Antonio Garcia","10","1:25.063","18:59.911","Finish","Track","1.743","0.497","4.001","25.416","19.699","14.523","8.379","10.805","133.528"
"31","P","Dane Cameron","10","1:20.684","19:10.332","Finish","Track","1.619","0.465","3.766","24.142","18.339","13.899","8.027","10.427","142.717"
"90","P","Marc Goossens","8","1:33.102","19:17.134","Finish","Track","2.424","5.673","7.852","25.749","18.983","14.012","8.122","10.287","11.698"
"60","P","John Pew","10","1:22.226","19:20.188","Finish","Track","1.615","0.462","3.960","24.348","18.691","14.587","8.145","10.418","143.644"
"911","GTLM","Patrick Pilet","9","1:25.992","19:23.748","Finish","Track","1.735","0.492","4.117","26.015","19.758","14.636","8.627","10.612","134.885"
"5","P","Joao Barbosa","10","1:24.738","19:44.847","Finish","Track","1.616","0.464","3.874","25.122","18.854","14.657","9.608","10.543","143.025"
"100","GTLM","Lucas Luhr","10","1:26.849","19:46.001","Finish","Track","1.745","0.492","3.974","25.941","20.186","14.588","8.840","11.083","134.885"
"0","P","Katherine Legge","10","1:30.379","19:49.349","Finish","Track","1.584","0.453","3.772","24.811","18.452","14.495","15.873","10.939","146.498"
"25","GTLM","Bill Auberlen","10","1:26.287","20:06.396","Finish","Track","1.736","0.492","4.126","25.947","20.016","14.661","8.568","10.741","134.885"
"62","GTLM","Giancarlo Fisichella","10","1:25.158","20:06.847","Finish","Track","1.732","0.494","3.984","25.481","19.597","14.514","8.542","10.814","134.339"
"66","GTLM","Joey Hand","9","1:24.352","20:08.350","Finish","Track","1.734","0.493","4.024","25.237","19.640","14.177","8.452","10.595","134.612"
"10","P","Jordan Taylor","10","1:21.931","20:16.169","Finish","Track","1.626","0.465","3.756","24.227","18.635","14.257","8.504","10.461","142.717"
"4","GTLM","Oliver Gavin","11","1:24.609","20:16.319","Finish","Track","1.740","0.504","4.012","25.262","19.494","14.220","8.487","10.890","131.674"
"912","GTLM","Frederic Makowiecki","11","1:25.370","20:22.991","Finish","Track","1.725","0.488","3.992","25.554","19.791","14.504","8.637","10.679","135.991"
"3","GTLM","Antonio Garcia","11","1:25.162","20:25.073","Finish","Track","1.751","0.497","4.000","25.504","19.545","14.246","8.739","10.880","133.528"
"70","P","T.Long/Miller ","8","5:44.547","21:35.141","Green","Pit","1.585","0.458","3.820","24.168","18.498","0.000","0.000","269.455","144.899"
"0","P","Legge/Rayhall ","11","3:38.192","21:40.588","Green","Pit","1.572","0.448","3.921","24.954","19.210","16.024","14.328","137.735","148.133"
"60","P","Pew/Negri ","11","4:13.833","21:47.068","Green","Pit","1.613","0.462","3.978","24.699","18.914","14.660","11.817","177.690","143.644"
"4","GTLM","Gavin/Milner ","11","3:19.867","20:16.319","Finish","Pit","1.751","0.500","4.115","25.713","19.656","14.593","9.788","123.751","132.727"
