"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"96","GTD","Bret Curtis","1","1:34.749","1:34.749","Green","Track","0.000","28.916","26.959","11.769","0.440","8.334","4.840","6.918","155.217"
"9","GTD","Lawson Aschenbach","1","1:35.027","1:35.027","Green","Track","0.000","27.965","26.621","11.964","0.444","8.166","4.682","6.921","153.819"
"44","GTD","Andy Lally","1","1:35.625","1:35.625","Green","Track","14.064","26.337","26.051","11.775","0.439","8.290","4.642","6.807","155.571"
"73","GTD","Patrick Lindsey","1","1:36.017","1:36.017","Green","Track","0.000","27.645","26.127","11.856","0.461","8.682","4.996","6.874","148.146"
"5","P","Christian Fittipaldi","1","1:36.913","1:36.913","Green","Track","0.000","25.756","24.478","10.927","0.408","8.071","4.335","6.310","167.391"
"6","GTD","Robin Liddell","1","1:39.758","1:39.758","Green","Track","0.000","27.221","26.208","13.387","0.719","10.515","4.695","6.859","94.987"
"31","P","Dane Cameron","1","1:39.975","1:39.975","Green","Track","0.000","27.376","24.916","10.907","0.417","7.987","4.495","6.341","163.778"
"4","GTLM","Tommy Milner","1","1:42.400","1:42.400","Green","Track","0.000","26.876","25.317","11.894","0.444","8.361","4.337","6.626","153.819"
"8","PC","Renger van der Zande","1","1:42.651","1:42.651","Green","Track","0.000","28.196","24.525","11.156","0.422","7.711","4.182","6.429","161.838"
"3","GTLM","Jan Magnussen","1","1:46.963","1:46.963","Green","Track","0.000","28.537","26.485","11.920","0.446","8.569","4.522","7.002","153.129"
"912","GTLM","Frederic Makowiecki","1","1:51.674","1:51.674","Green","Track","10.490","26.753","25.622","11.877","0.445","7.977","4.158","7.137","153.473"
"63","GTD","Alessandro Balzan","1","1:51.937","1:51.937","Green","Track","0.000","29.233","26.117","12.019","0.450","8.653","4.646","7.476","151.768"
"54","PC","Jonathan Bennett","1","1:52.136","1:52.136","Green","Track","10.398","25.605","26.066","11.198","0.425","7.610","4.148","6.337","160.695"
"911","GTLM","Patrick Pilet","1","1:53.859","1:53.859","Green","Track","10.721","26.584","26.610","11.974","0.447","8.185","4.431","6.900","152.786"
"88","PC","Mark Kvamme","1","1:56.541","1:56.541","Green","Track","0.000","31.048","28.526","12.036","0.524","10.550","4.726","7.098","130.335"
"22","GTD","Leh Keen","1","1:56.776","1:56.776","Green","Track","0.000","28.231","28.293","11.864","0.443","9.361","4.776","7.037","154.166"
"23","GTD","Alex Riberas","1","1:57.210","1:57.210","Green","Track","0.000","28.176","28.721","12.098","0.476","10.157","4.890","6.961","143.478"
"85","PC","Misha Goikhberg","1","1:57.559","1:57.559","Green","Track","10.115","27.047","26.409","11.365","0.461","8.904","4.728","6.869","148.146"
"48","GTD","Bryan Sellers","1","1:59.917","1:59.917","Green","Track","9.977","27.022","27.117","11.780","0.438","9.051","5.032","7.075","155.926"
"60","P","John Pew","1","2:01.624","2:01.624","Green","Track","11.102","29.986","27.901","11.312","0.567","10.086","5.007","6.864","120.451"
"55","P","Tristan Nunez","1","2:02.616","2:02.616","Green","Track","9.851","27.093","25.961","10.809","0.417","8.385","4.772","6.416","163.778"
"33","GTD","Jeroen Bleekemolen","1","2:04.368","2:04.368","Green","Track","11.855","28.219","27.088","11.827","0.441","9.449","5.982","7.526","154.865"
"70","P","Joel Miller","1","2:04.617","2:04.617","Green","Track","10.101","27.893","25.247","10.714","0.408","7.806","4.557","6.538","167.391"
"16","GTD","Spencer Pumpelly","1","2:07.854","2:07.854","Green","Track","9.759","27.550","25.409","11.746","0.435","8.239","4.657","7.251","157.001"
"97","GTD","Michael Marsal","1","2:08.720","2:08.720","Green","Track","10.668","29.596","28.787","11.864","0.473","9.802","4.836","8.359","144.388"
"10","P","Jordan Taylor","1","2:10.427","2:10.427","Green","Pit","0.000","30.426","30.322","13.017","0.535","10.582","7.555","13.592","127.655"
"27","GTD","Cedric Sbirrazzuoli","1","2:11.530","2:11.530","Green","Track","9.931","27.313","26.811","11.891","0.440","8.936","4.628","7.062","155.217"
"38","PC","Kyle Marcelli","1","2:16.017","2:16.017","Green","Track","9.780","28.819","26.344","11.674","0.466","8.336","4.603","6.729","146.557"
"20","PC","Matthew McMurry","1","2:26.153","2:26.153","Green","Track","12.945","35.682","25.282","11.240","0.425","7.979","4.341","6.544","160.695"
"0","P","Sean Rayhall","1","2:45.524","2:45.524","Green","Track","10.039","28.620","23.630","10.867","0.410","7.556","4.254","6.284","166.574"
"52","PC","Robert Alon","1","2:48.662","2:48.662","Green","Track","17.963","30.205","25.093","11.134","0.421","7.785","4.496","6.597","162.222"
