"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"73","GTD","Jorg Bergmeister","116","56.767","1:59:11.949","Green","Track","0.473","0.862","10.729","11.605","14.974","5.732","9.595","2.797","146.670"
"97","GTD","Markus Palttala","116","56.663","1:59:12.232","Green","Track","0.466","0.839","10.820","11.607","14.672","5.904","9.576","2.779","148.873"
"67","GTLM","Ryan Briscoe","120","52.681","1:59:12.294","Green","Track","0.464","0.825","9.827","10.545","13.584","5.423","9.293","2.720","149.515"
"66","GTLM","Dirk Mueller","120","52.759","1:59:12.982","Green","Track","0.469","0.831","10.090","10.580","13.581","5.362","9.103","2.743","147.921"
"3","GTLM","Antonio Garcia","120","52.913","1:59:13.212","Green","Track","0.474","0.842","10.275","10.656","13.577","5.362","9.045","2.682","146.361"
"22","GTD","Leh Keen","116","55.222","1:59:15.393","Green","Track","0.475","0.849","10.787","11.034","14.157","5.591","9.524","2.805","146.053"
"85","PC","Misha Goikhberg","85","53.349","1:59:16.670","Green","Track","0.440","0.785","9.883","10.881","13.915","5.824","8.990","2.631","157.670"
"96","GTD","Jens Klingmann","116","54.747","1:59:17.573","Green","Track","0.467","0.832","10.078","10.857","14.075","6.154","9.511","2.773","148.555"
"911","GTLM","Nick Tandy","112","52.840","1:59:17.825","Green","Track","0.464","0.826","9.795","10.411","13.969","5.407","9.212","2.756","149.515"
"8","PC","Renger van der Zande","121","50.377","1:59:18.921","Green","Track","0.437","0.784","9.470","10.244","13.166","5.152","8.552","2.572","158.753"
"63","GTD","Alessandro Balzan","115","54.125","1:59:20.629","Green","Track","0.469","0.836","10.042","10.807","13.985","5.718","9.470","2.798","147.921"
"52","PC","Tom Kimber-Smith","121","49.744","1:59:21.491","Green","Track","0.438","0.782","9.396","10.039","13.038","5.014","8.463","2.574","158.390"
"27","GTD","Cedric Sbirrazzuoli","114","55.312","1:59:31.059","Green","Track","0.469","0.835","10.461","11.074","14.235","5.708","9.718","2.812","147.921"
"88","PC","Remo Ruscitti","119","53.269","1:59:38.878","Green","Track","0.451","0.805","10.320","10.869","13.669","5.387","9.114","2.654","153.825"
"20","PC","Johnny Mowlem","121","53.270","1:59:59.865","Green","Track","0.456","0.813","10.312","10.880","13.772","5.402","8.973","2.662","152.138"
"540","GTD","Andy Pilgrim","116","55.438","2:00:00.810","Green","Track","0.476","0.847","10.553","11.079","14.199","5.623","9.817","2.844","145.746"
"33","GTD","Jeroen Bleekemolen","117","55.673","2:00:01.556","Green","Track","0.471","0.838","10.446","11.281","14.501","5.651","9.669","2.816","147.293"
"38","PC","Kyle Marcelli","121","53.578","2:00:01.626","Green","Track","0.451","0.803","10.171","10.900","13.665","5.537","9.345","2.706","153.825"
"23","GTD","Alex Riberas","117","55.497","2:00:01.805","Green","Track","0.477","0.848","10.432","11.372","14.327","5.624","9.580","2.837","145.440"
"6","GTD","Robin Liddell","117","55.643","2:00:02.266","Green","Track","0.476","0.847","10.558","11.173","14.412","5.729","9.636","2.812","145.746"
"48","GTD","Bryan Sellers","117","55.456","2:00:02.733","Green","Track","0.468","0.834","10.544","11.132","14.572","5.587","9.549","2.770","148.237"
"44","GTD","Andy Lally","117","55.487","2:00:02.939","Green","Track","0.473","0.841","10.584","11.252","14.505","5.522","9.515","2.795","146.670"
"16","GTD","Spencer Pumpelly","117","54.917","2:00:03.616","Green","Track","0.474","0.842","10.233","10.950","14.397","5.543","9.687","2.791","146.361"
"62","GTLM","Giancarlo Fisichella","121","54.110","2:00:03.750","Green","Track","0.459","0.818","10.002","10.651","14.237","5.550","9.634","2.759","151.144"
"4","GTLM","Oliver Gavin","121","53.616","2:00:03.887","Green","Track","0.458","0.818","10.115","10.804","14.052","5.385","9.167","2.817","151.474"
"9","GTD","Lawson Aschenbach","117","55.465","2:00:04.943","Green","Track","0.471","0.836","10.539","10.973","14.744","5.640","9.466","2.796","147.293"
