"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"67","GTLM","Richard Westbrook","21","1:20.347","29:06.064","Green","Track","0.636","7.091","7.345","11.241","8.083","10.448","11.918","16.414","1.720","5.451","129.717"
"100","GTLM","Lucas Luhr","20","1:19.485","29:11.051","Green","Track","0.645","7.170","7.186","10.930","8.112","10.188","12.051","15.903","1.764","5.536","127.907"
"85","PC","Misha Goikhberg","22","1:18.071","29:11.763","Green","Track","0.612","6.901","7.247","10.929","7.715","10.024","11.462","16.330","1.655","5.196","134.804"
"8","PC","Alex Popow","22","1:18.301","29:15.661","Green","Track","0.615","6.896","7.107","10.956","7.763","10.231","11.749","16.065","1.678","5.241","134.146"
"38","PC","James French","22","1:19.135","29:17.031","Green","Track","0.602","6.770","7.208","11.080","7.884","10.298","11.659","16.759","1.677","5.198","137.043"
"88","PC","Mark Kvamme","21","1:21.833","29:23.599","Green","Track","0.625","7.023","7.653","11.405","8.463","10.406","12.112","17.061","1.744","5.341","132.000"
"52","PC","Robert Alon","22","1:18.721","29:29.418","Green","Track","0.610","6.870","7.285","11.077","7.967","10.145","11.671","16.221","1.671","5.204","135.246"
"10","P","Ricky Taylor","23","1:16.761","29:36.084","Green","Track","0.596","6.732","6.937","10.915","7.677","9.846","11.491","15.869","1.614","5.084","138.423"
"5","P","Christian Fittipaldi","23","1:16.261","29:40.389","Green","Track","0.596","6.704","6.907","10.763","7.633","9.890","11.347","15.699","1.630","5.092","138.423"
"31","P","Eric Curran","23","1:19.295","29:51.013","Green","Track","0.596","6.721","7.962","11.856","7.915","10.223","11.390","15.962","1.598","5.072","138.423"
"70","P","Tom Long","23","1:20.476","29:52.157","Green","Track","0.595","6.778","7.766","12.451","8.030","10.438","11.684","16.033","1.646","5.055","138.655"
"20","PC","Tomy Drissi","22","1:22.931","29:54.049","Green","Track","0.613","6.891","7.912","11.796","8.310","10.961","12.513","16.929","1.740","5.266","134.584"
"912","GTLM","Earl Bamber","22","1:21.592","29:55.345","Green","Track","0.639","7.106","7.012","11.397","8.407","11.053","12.116","16.595","1.752","5.515","129.108"
"54","PC","Jonathan Bennett","22","1:22.797","29:55.604","Green","Track","0.622","6.933","7.706","11.589","8.359","10.784","11.999","17.844","1.695","5.266","132.637"
"55","P","Tristan Nunez","23","1:20.354","29:55.689","Green","Track","0.588","6.641","6.966","10.902","7.905","10.922","12.247","17.500","1.659","5.024","140.306"
"911","GTLM","Patrick Pilet","22","1:18.970","29:56.843","Green","Track","0.642","7.137","7.061","10.817","7.912","10.067","11.998","16.122","1.718","5.496","128.505"
"25","GTLM","Bill Auberlen","22","1:19.455","30:00.026","Green","Track","0.639","7.108","7.107","11.063","7.886","10.492","11.977","15.895","1.751","5.537","129.108"
"90","P","Marc Goossens","23","1:18.424","30:04.760","Green","Track","0.599","6.697","7.078","10.954","7.749","10.245","11.563","16.671","1.704","5.164","137.730"
"3","GTLM","Jan Magnussen","22","1:19.868","30:07.368","Green","Track","0.641","7.146","7.238","11.031","7.952","10.305","11.977","16.288","1.749","5.541","128.705"
"60","P","John Pew","23","1:18.638","30:07.394","Green","Track","0.595","6.677","7.454","11.146","8.156","9.939","11.478","16.303","1.699","5.191","138.655"
"0","P","Andy Meyrick","18","1:17.406","30:09.396","Green","Track","0.578","6.672","7.142","10.934","7.758","9.957","11.460","16.300","1.575","5.030","142.734"
"66","GTLM","Dirk Muller","19","1:19.580","30:11.209","Green","Track","0.642","7.091","7.602","11.032","7.912","10.107","11.916","16.064","1.749","5.465","128.505"
"4","GTLM","Oliver Gavin","22","1:31.508","30:15.537","Green","Pit","0.644","7.178","7.164","10.959","7.984","10.251","12.033","16.438","3.728","15.129","128.106"
"62","GTLM","Giancarlo Fisichella","22","1:19.660","30:19.469","Green","Track","0.645","7.242","7.021","10.990","7.954","10.350","12.064","16.140","1.731","5.523","127.907"
"68","GTLM","Daniel Serra","21","1:20.289","30:25.338","Green","Track","0.641","7.155","7.185","11.191","8.069","10.246","12.032","16.495","1.758","5.517","128.705"
"67","GTLM","Richard Westbrook","22","1:20.219","30:26.283","Green","Track","0.634","7.064","7.361","11.364","8.066","10.379","11.924","16.271","1.717","5.439","130.126"
"85","PC","Misha Goikhberg","23","1:18.997","30:30.760","Green","Track","0.608","6.814","7.321","11.255","7.736","10.116","11.536","16.755","1.653","5.203","135.691"
"100","GTLM","Lucas Luhr","21","1:20.664","30:31.715","Green","Track","0.640","7.122","7.053","10.940","8.081","10.222","12.050","17.287","1.737","5.532","128.906"
"8","PC","Alex Popow","23","1:18.519","30:34.180","Green","Track","0.612","6.884","7.113","10.913","7.983","10.213","11.721","16.121","1.707","5.252","134.804"
"38","PC","James French","23","1:18.655","30:35.686","Green","Track","0.607","6.822","7.292","10.997","7.814","10.292","11.665","16.338","1.642","5.186","135.914"
"88","PC","Mark Kvamme","22","1:20.977","30:44.576","Green","Track","0.625","7.000","7.538","11.396","8.068","10.413","11.947","16.815","1.743","5.432","132.000"
"52","PC","Robert Alon","23","1:19.453","30:48.871","Green","Track","0.609","6.817","7.396","11.196","7.955","10.224","11.876","16.431","1.696","5.253","135.468"
"10","P","Ricky Taylor","24","1:16.565","30:52.649","Green","Track","0.596","6.723","6.863","10.780","7.665","9.885","11.499","15.862","1.614","5.078","138.423"
"5","P","Christian Fittipaldi","24","1:16.463","30:56.852","Green","Track","0.601","6.718","6.920","10.829","7.641","9.929","11.344","15.757","1.632","5.092","137.271"
"31","P","Eric Curran","24","1:17.456","31:08.469","Green","Track","0.593","6.696","7.213","10.852","7.673","9.898","11.580","16.220","1.636","5.095","139.123"
"70","P","Tom Long","24","1:17.123","31:09.280","Green","Track","0.592","6.667","7.072","11.023","7.851","9.878","11.475","15.882","1.654","5.029","139.358"
"55","P","Tristan Nunez","24","1:17.046","31:12.735","Green","Track","0.585","6.827","7.023","10.939","7.929","10.092","11.237","15.726","1.656","5.032","141.026"
