"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"60","P","Oswaldo Negri Jr.","25","3:32.494","55:30.152","Green","Track","90.421","14.031","18.006","5.395","0.726","15.929","21.902","37.696","5.261","3.127","113.167"
"0","P","Katherine Legge","21","1:43.670","55:38.896","Green","Track","3.064","8.690","12.021","3.655","0.469","13.966","20.488","32.695","5.478","3.144","175.179"
"33","GTD","Ben Keating","21","1:47.637","55:46.354","Green","Track","3.283","8.844","12.861","3.958","0.503","14.526","22.116","32.084","6.044","3.418","163.338"
"6","GTD","Andrew Davis","23","3:15.346","55:54.578","Green","Pit","3.260","8.585","12.314","3.803","0.490","13.973","21.676","32.224","7.258","91.763","167.672"
"9","GTD","Matt Bell","25","1:46.283","55:55.101","Green","Track","3.309","8.752","12.291","3.819","0.492","14.092","21.856","32.472","5.794","3.406","166.990"
"85","PC","Stephen Simpson","24","1:40.813","55:56.393","Green","Track","3.171","8.478","11.722","3.732","0.483","12.882","20.258","31.300","5.560","3.227","170.102"
"73","GTD","Matthew McMurry","23","1:46.654","56:10.994","Green","Track","3.347","8.851","12.285","3.830","0.494","14.339","21.900","32.341","5.860","3.407","166.314"
"540","GTD","Nicky Catsburg","26","1:45.836","56:13.862","Green","Track","3.321","8.736","12.380","3.877","0.501","13.692","21.824","32.193","5.876","3.436","163.990"
"70","P","Ben Devlin","25","5:03.039","56:14.517","Green","Pit","162.065","12.638","18.002","4.606","0.693","17.312","25.235","38.421","8.235","15.832","118.556"
"5","P","Christian Fittipaldi","25","1:37.285","56:15.236","Green","Track","3.038","8.369","11.420","3.571","0.459","12.520","19.845","29.433","5.474","3.156","178.996"
"97","GTD","Markus Palttala","26","1:45.929","56:15.354","Green","Track","3.257","8.838","12.292","3.834","0.493","13.959","21.895","32.213","5.788","3.360","166.651"
"44","GTD","John Potter","26","1:47.351","56:24.777","Green","Track","3.303","9.636","12.869","3.896","0.500","14.274","21.619","31.931","5.896","3.427","164.318"
"23","GTD","Mario Farnbacher","23","1:45.275","56:27.696","Green","Track","3.297","8.818","12.335","3.859","0.496","13.597","21.703","32.017","5.755","3.398","165.643"
"4","GTLM","Tommy Milner","25","3:29.245","56:27.851","Green","Track","108.133","9.102","12.495","3.882","0.504","13.666","21.142","31.290","5.686","3.345","163.014"
