"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"96","GTD","Bret Curtis","6","1:46.659","11:50.939","Green","Track","21.688","16.082","12.837","15.757","11.089","0.508","23.051","5.425","0.222","161.059"
"16","GTD","Corey Lewis","6","1:45.718","11:51.259","Green","Track","21.622","15.893","12.731","15.379","11.013","0.501","22.959","5.400","0.220","163.310"
"27","GTD","Cedric Sbirrazzuoli","6","1:45.888","11:58.575","Green","Track","21.503","15.873","12.815","15.615","11.170","0.507","22.712","5.471","0.222","161.377"
"33","GTD","Ben Keating","6","2:32.583","12:06.197","Green","Pit","24.981","18.017","14.560","16.464","12.669","0.636","30.831","33.549","0.876","128.645"
"48","GTD","Madison Snow","6","1:55.340","12:09.747","Green","Track","21.404","15.735","13.067","21.477","13.322","0.639","24.026","5.447","0.223","128.041"
"9","GTD","Matt Bell","6","1:45.401","12:14.020","Green","Track","21.718","15.858","12.644","15.324","11.222","0.513","22.455","5.446","0.221","159.490"
"44","GTD","John Potter","7","1:46.559","13:09.047","Green","Track","21.789","16.106","12.721","15.461","11.304","0.517","22.914","5.521","0.226","158.256"
"6","GTD","Andrew Davis","7","1:45.302","13:16.250","Green","Track","21.570","15.908","12.621","15.380","11.257","0.516","22.336","5.490","0.224","158.562"
"63","GTD","Christina Nielsen","7","1:45.997","13:17.844","Green","Track","21.717","16.153","12.816","15.412","11.207","0.514","22.486","5.468","0.224","159.179"
"23","GTD","Mario Farnbacher","7","1:45.590","13:32.151","Green","Track","21.541","15.990","12.609","15.309","11.233","0.516","22.688","5.480","0.224","158.562"
"80","GTD","Dan Knox","7","1:50.464","13:39.663","Green","Track","22.251","17.779","13.350","15.873","11.057","0.508","23.992","5.433","0.221","161.059"
"27","GTD","Cedric Sbirrazzuoli","7","1:48.371","13:46.946","Green","Track","21.539","15.895","12.954","15.675","11.102","0.505","25.017","5.464","0.220","162.016"
"16","GTD","Corey Lewis","7","1:58.454","13:49.713","Green","Track","23.716","17.577","14.663","17.206","14.308","0.669","24.699","5.396","0.220","122.299"
"96","GTD","Bret Curtis","7","2:00.799","13:51.738","Green","Track","24.771","18.128","14.694","18.182","13.643","0.646","25.058","5.455","0.222","126.654"
"48","GTD","Madison Snow","7","1:47.558","13:57.305","Green","Track","21.397","15.733","12.725","15.414","11.082","0.504","25.055","5.427","0.221","162.338"
"33","GTD","Ben Keating","7","1:52.819","13:59.016","Green","Track","26.321","16.671","13.547","16.045","11.157","0.507","22.987","5.364","0.220","161.377"
"9","GTD","Matt Bell","7","1:45.408","13:59.428","Green","Track","21.659","15.757","12.511","15.391","11.177","0.511","22.746","5.435","0.221","160.114"
"80","GTD","Dan Knox","8","1:50.438","15:30.101","Finish","Track","22.482","16.739","12.833","16.078","11.023","0.509","25.078","5.473","0.223","160.743"
"16","GTD","Corey Lewis","8","1:49.345","15:39.058","Finish","Track","21.590","15.876","12.766","15.331","11.035","0.501","26.496","5.526","0.224","163.310"
"33","GTD","Ben Keating","8","1:45.680","15:44.696","Finish","Track","21.452","16.268","12.704","15.484","10.979","0.502","22.670","5.399","0.222","162.984"
"6","GTD","Andrew Davis","8","2:47.236","16:03.486","Finish","Track","21.400","63.700","14.585","15.854","11.287","0.513","0.000","0.000","0.330","159.490"
"4","GTLM","Oliver Gavin","1","25:06.422","25:06.422","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.929","0.000"
"3","GTLM","Antonio Garcia","1","25:07.627","25:07.627","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.892","0.000"
"62","GTLM","Giancarlo Fisichella","1","25:15.930","25:15.930","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.940","0.000"
"66","GTLM","Joey Hand","1","25:27.949","25:27.949","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","1007.212","0.845","0.000"
