"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"54","PC","Colin Braun","11","1:12.184","20:44.892","Green","Track","2.760","18.431","22.417","11.141","0.425","6.919","3.952","6.139","160.695"
"9","GTD","Lawson Aschenbach","8","1:19.012","20:55.086","Green","Track","3.081","20.734","24.311","11.908","0.445","7.548","4.330","6.655","153.473"
"16","GTD","Spencer Pumpelly","12","1:18.116","20:56.779","Green","Track","3.047","20.814","23.703","11.562","0.430","7.565","4.380","6.615","158.827"
"55","P","Jonathan Bomarito","13","1:11.264","21:08.836","Green","Track","2.724","17.946","22.215","10.693","0.411","6.851","3.791","6.633","166.169"
"63","GTD","Christina Nielsen","11","7:03.580","21:08.931","Green","Track","334.729","29.656","26.275","11.936","0.449","8.860","4.717","6.958","152.106"
"38","PC","Kyle Marcelli","11","1:13.841","21:09.459","Green","Track","2.841","18.969","22.822","11.175","0.426","7.230","4.154","6.224","160.318"
"67","GTLM","Ryan Briscoe","12","1:18.035","21:10.668","Green","Track","3.042","20.351","23.707","11.737","0.506","8.042","4.237","6.413","134.971"
"90","P","Ryan Dalziel","12","1:11.437","21:14.723","Green","Track","2.779","18.229","22.258","10.879","0.409","6.898","3.868","6.117","166.982"
"70","P","Tom Long","13","1:12.323","21:16.074","Green","Track","2.747","18.363","22.174","10.690","0.407","7.030","4.789","6.123","167.802"
"52","PC","Tom Kimber-Smith","14","1:13.289","21:23.503","Green","Track","2.819","18.546","22.842","11.117","0.420","7.289","4.018","6.238","162.608"
"31","P","Dane Cameron","14","4:58.286","21:27.823","Green","Track","226.257","21.349","22.483","10.827","0.408","7.032","3.906","6.024","167.391"
"911","GTLM","Nick Tandy","12","1:17.691","21:29.349","Green","Track","3.003","20.068","23.672","11.863","0.444","7.860","4.206","6.575","153.819"
"4","GTLM","Oliver Gavin","12","6:40.315","21:31.696","Green","Track","317.936","26.200","24.025","12.187","0.487","8.639","4.207","6.634","140.237"
"25","GTLM","Bill Auberlen","11","1:18.622","21:34.167","Green","Track","2.968","19.859","23.675","12.089","0.510","8.688","4.389","6.444","133.913"
"10","P","Ricky Taylor","14","1:12.671","21:34.312","Green","Track","2.863","18.419","22.374","10.716","0.406","7.385","4.252","6.256","168.215"
"100","GTLM","Lucas Luhr","12","1:16.693","21:35.248","Green","Track","3.043","19.743","23.325","11.546","0.432","7.717","4.335","6.552","158.091"
