"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"31","P","Eric Curran","1","2:16.885","2:16.885","Green","Track","0.000","25.011","25.157","9.932","9.178","0.436","4.508","0.482","23.557","24.059","7.911","153.904","139.216"
"55","P","Tristan Nunez","1","2:19.597","2:19.597","Green","Track","0.000","25.207","25.259","10.222","9.064","0.427","4.471","0.498","24.224","23.724","7.929","157.148","134.744"
"5","P","Joao Barbosa","1","2:21.099","2:21.099","Green","Track","0.000","24.248","24.080","9.532","9.087","0.434","4.412","0.433","22.991","23.535","7.975","154.614","154.971"
"70","P","Joel Miller","1","2:24.291","2:24.291","Green","Track","0.000","24.810","26.040","10.177","9.116","0.430","4.417","0.451","23.860","23.660","7.963","156.052","148.786"
"38","PC","James French","1","2:31.557","2:31.557","Green","Track","0.000","26.670","25.953","10.232","9.406","0.447","4.585","0.476","24.570","24.982","8.160","150.117","140.971"
"96","GTD","Jens Klingmann","1","2:33.751","2:33.751","Green","Track","0.000","26.403","26.060","10.080","9.938","0.470","4.771","0.441","24.087","25.657","8.594","142.771","152.159"
"10","P","Jordan Taylor","1","2:34.506","2:34.506","Green","Track","242.726","27.546","25.777","9.853","9.629","0.447","4.568","0.467","23.854","24.267","8.092","150.117","143.688"
"60","P","Oswaldo Negri Jr.","1","2:39.567","2:39.567","Green","Track","217.070","26.658","28.006","10.465","9.169","0.432","4.555","0.532","25.290","23.992","7.992","155.329","126.132"
"20","PC","Bruno Junqueira","1","2:46.229","2:46.229","Green","Track","6.737","26.863","27.266","10.425","9.447","0.443","4.565","0.459","25.068","27.187","8.283","151.472","146.192"
"26","PC","John Falb","1","2:47.743","2:47.743","Green","Track","0.000","29.072","28.708","11.153","9.619","0.457","4.791","0.566","26.815","28.819","8.511","146.832","118.555"
"8","PC","Renger van der Zande","1","2:48.041","2:48.041","Green","Track","254.961","26.110","26.050","10.213","9.459","0.450","4.606","0.426","23.965","24.704","8.088","149.116","157.517"
"7","PC","Gustavo Yacaman","1","2:48.757","2:48.757","Green","Track","237.217","25.488","26.447","10.098","9.451","0.447","4.581","0.442","23.924","24.771","8.090","150.117","151.815"
"4","GTLM","Oliver Gavin","1","2:53.312","2:53.312","Green","Track","250.557","26.848","28.597","10.103","9.953","0.471","4.810","0.510","24.699","25.609","8.717","142.468","131.573"
"90","P","Ryan Dalziel","1","2:54.414","2:54.414","Green","Track","6.648","26.496","25.997","10.047","9.133","0.437","4.648","0.532","24.587","24.185","7.954","153.552","126.132"
"911","GTLM","Patrick Pilet","1","2:56.486","2:56.486","Green","Track","6.932","27.418","26.382","9.781","9.945","0.468","4.873","0.557","24.599","25.070","8.525","143.381","120.471"
"52","PC","Tom Kimber-Smith","1","2:58.140","2:58.140","Green","Track","8.747","25.479","25.361","10.024","9.288","0.441","4.640","0.517","23.911","25.167","8.150","152.159","129.792"
"25","GTLM","Dirk Werner","1","2:58.143","2:58.143","Green","Track","7.899","26.388","26.115","9.838","9.872","0.464","4.735","0.447","24.292","25.193","8.560","144.617","150.117"
"100","GTLM","John Edwards","1","3:00.384","3:00.384","Green","Track","8.108","26.527","25.825","9.939","9.751","0.462","4.908","0.537","24.256","26.403","8.538","145.243","124.958"
"6","GTD","Andrew Davis","1","3:06.588","3:06.588","Green","Track","9.319","27.510","27.223","10.129","10.106","0.472","4.779","0.436","24.181","26.171","8.766","142.166","153.904"
"44","GTD","Andy Lally","1","3:09.999","3:09.999","Green","Track","5.986","27.906","27.129","9.893","10.301","0.486","4.940","0.441","24.066","26.072","8.700","138.071","152.159"
"27","GTD","Luca Persiani","1","3:28.606","3:28.606","Green","Track","6.145","27.554","28.042","10.302","10.108","0.479","5.121","0.524","25.516","26.866","8.741","140.088","128.058"
"23","GTD","Mario Farnbacher","1","3:31.709","3:31.709","Green","Track","7.637","32.338","30.253","12.048","13.318","0.775","6.700","0.630","28.800","27.881","10.133","86.584","106.512"
"97","GTD","Michael Marsal","1","3:34.421","3:34.421","Green","Track","6.052","27.948","26.887","9.843","10.074","0.470","4.775","0.447","25.467","27.681","8.630","142.771","150.117"
"80","GTD","Dan Knox","1","3:34.602","3:34.602","Green","Track","5.970","29.516","29.402","10.891","11.212","0.551","5.689","0.572","28.132","27.731","9.168","121.783","117.312"
"73","GTD","Patrick Lindsey","1","3:37.270","3:37.270","Green","Track","6.081","26.594","27.034","10.221","10.098","0.474","4.842","0.492","24.693","26.199","8.638","141.566","136.387"
"9","GTD","Lawson Aschenbach","1","3:44.867","3:44.867","Green","Pit","221.951","30.229","28.774","11.119","10.125","0.469","4.790","0.489","25.731","26.741","65.171","143.075","137.223"
"63","GTD","Alessandro Balzan","1","3:47.132","3:47.132","Green","Pit","8.123","32.817","31.524","10.988","10.085","0.468","4.909","0.556","27.586","30.271","52.765","143.381","120.688"
"88","PC","Mark Kvamme","1","3:48.575","3:48.575","Green","Track","0.000","29.005","27.563","10.939","9.691","0.451","4.642","0.489","25.379","26.613","8.538","148.786","137.223"
"62","GTLM","Toni Vilander","1","3:52.736","3:52.736","Green","Track","6.081","27.849","26.412","9.971","9.830","0.461","4.755","0.487","24.027","25.184","8.538","145.558","137.787"
"16","GTD","Corey Lewis","1","3:55.384","3:55.384","Green","Track","6.214","27.243","26.795","10.081","10.083","0.475","4.747","0.427","25.659","28.148","8.788","141.268","157.148"
"3","GTLM","Jan Magnussen","1","4:05.451","4:05.451","Green","Track","314.642","31.385","27.621","10.031","9.932","0.469","4.793","0.500","24.354","25.498","8.728","143.075","134.205"
