"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"68","GTLM","Daniel Serra","241","1:19.969","6:26:04.375","Green","Track","5.905","3.663","21.255","21.272","7.592","0.556","18.838","0.888","155.739"
"3","GTLM","Jan Magnussen","240","1:19.924","6:26:04.765","Green","Track","5.921","3.750","21.267","21.228","7.500","0.548","18.824","0.886","158.013"
"912","GTLM","Frederic Makowiecki","240","1:19.754","6:26:06.247","Green","Track","5.827","3.697","21.144","21.203","7.538","0.552","18.830","0.963","156.868"
"31","P","Dane Cameron","249","1:15.241","6:26:08.545","Green","Track","5.447","3.386","19.758","20.337","7.066","0.522","17.902","0.823","165.883"
"10","P","Ricky Taylor","249","1:16.204","6:26:11.926","Green","Track","5.570","3.453","20.574","20.284","7.039","0.520","17.940","0.824","166.521"
"67","GTLM","Scott Dixon","223","1:20.256","6:26:14.675","Green","Track","5.903","3.606","21.148","21.673","7.645","0.560","18.829","0.892","154.627"
"2","P","Johannes van Overbeek","249","1:17.347","6:26:16.809","Green","Track","5.457","3.404","20.744","21.180","7.123","0.528","18.083","0.828","163.998"
"70","P","Spencer Pigot","249","1:15.823","6:26:17.332","Green","Track","5.433","3.414","19.709","20.952","7.031","0.520","17.940","0.824","166.521"
"63","GTD","Alessandro Balzan","234","1:22.957","6:26:19.364","Green","Track","6.226","3.861","21.973","22.564","7.596","0.555","19.250","0.932","156.020"
"44","GTD","Andy Lally","234","1:22.849","6:26:19.910","Green","Track","5.989","3.931","22.029","22.327","7.657","0.558","19.451","0.907","155.181"
"23","GTD","Ian James","234","1:22.783","6:26:28.031","Green","Track","6.120","3.884","22.251","21.927","7.651","0.560","19.470","0.920","154.627"
"96","GTD","Jens Klingmann","234","1:22.804","6:26:28.328","Green","Track","6.091","3.896","22.307","22.070","7.587","0.553","19.394","0.906","156.584"
"33","GTD","Jeroen Bleekemolen","234","1:22.808","6:26:29.149","Green","Track","6.072","3.965","22.327","21.933","7.462","0.547","19.539","0.963","158.301"
"97","GTD","Cameron Lawrence","234","1:22.625","6:26:30.405","Green","Track","6.001","3.870","22.067","22.159","7.613","0.557","19.431","0.927","155.459"
"73","GTD","Jorg Bergmeister","234","1:22.661","6:26:31.291","Green","Track","6.103","3.957","21.852","22.162","7.679","0.561","19.414","0.933","154.351"
"9","GTD","Matt Bell","234","1:23.028","6:26:32.728","Green","Track","5.929","3.879","22.025","22.579","7.704","0.560","19.441","0.911","154.627"
"52","PC","Robert Alon","245","1:18.736","6:26:33.105","Green","Track","5.613","3.508","20.849","21.418","7.248","0.541","18.707","0.852","160.057"
"27","GTD","Luca Persiani","234","1:23.236","6:26:34.456","Green","Track","6.062","3.914","22.140","22.047","7.602","0.554","19.979","0.938","156.301"
"6","GTD","Andrew Davis","234","1:23.002","6:26:34.915","Green","Track","6.055","3.833","22.053","22.183","7.684","0.559","19.678","0.957","154.903"
"16","GTD","Richard Antinucci","201","1:23.754","6:26:36.689","Green","Track","6.046","3.994","22.590","22.243","7.574","0.549","19.822","0.936","157.725"
"38","PC","Kyle Marcelli","245","1:17.743","6:26:36.866","Green","Track","5.644","3.471","20.342","20.929","7.262","0.537","18.657","0.901","161.249"
"8","PC","David Heinemeier Hansson","229","1:16.921","6:26:46.052","Green","Track","5.664","3.465","19.944","20.594","7.380","0.549","18.464","0.861","157.725"
"88","PC","Richard Bradley","239","1:19.172","6:26:58.277","Green","Track","5.745","3.743","20.865","21.288","7.373","0.548","18.751","0.859","158.013"
"62","GTLM","Giancarlo Fisichella","242","1:19.560","6:26:59.040","Green","Track","5.932","3.753","20.973","21.257","7.575","0.556","18.628","0.886","155.739"
"66","GTLM","Sebastien Bourdais","242","1:19.415","6:26:59.821","Green","Track","5.820","3.594","20.933","21.310","7.573","0.555","18.744","0.886","156.020"
"5","P","Filipe Albuquerque","248","1:16.116","6:27:00.179","Green","Track","5.428","3.526","20.584","20.275","7.060","0.519","17.900","0.824","166.842"
"4","GTLM","Marcel Fassler","242","1:21.124","6:27:02.688","Green","Track","5.842","3.778","22.258","21.530","7.548","0.554","18.734","0.880","156.301"
"48","GTD","Bryce Miller","234","1:23.597","6:27:04.481","Green","Track","6.169","3.975","22.334","22.453","7.588","0.553","19.579","0.946","156.584"
"25","GTLM","Bill Auberlen","242","1:19.513","6:27:06.391","Green","Track","5.781","3.643","20.972","21.276","7.572","0.558","18.829","0.882","155.181"
"90","P","Marc Goossens","177","1:15.206","6:27:07.716","Green","Track","5.408","3.340","19.882","20.306","7.085","0.522","17.834","0.829","165.883"
"100","GTLM","Kuno Wittmer","236","1:19.616","6:27:09.449","Green","Track","5.821","3.620","20.980","21.269","7.604","0.557","18.874","0.891","155.459"
"60","P","Olivier Pla","250","1:16.079","6:27:15.901","Green","Track","5.406","3.563","20.977","20.116","7.016","0.521","17.660","0.820","166.201"
"85","PC","Chris Miller","244","1:19.556","6:27:18.626","Green","Track","5.706","3.658","21.138","21.553","7.347","0.547","18.749","0.858","158.301"
"68","GTLM","Daniel Serra","242","1:19.777","6:27:24.152","Green","Track","5.839","3.597","20.992","21.415","7.609","0.558","18.883","0.884","155.181"
"3","GTLM","Jan Magnussen","241","1:19.843","6:27:24.608","Green","Track","5.821","3.666","21.185","21.373","7.518","0.550","18.837","0.893","157.438"
"31","P","Dane Cameron","250","1:16.249","6:27:24.794","Green","Track","5.432","3.420","20.169","20.328","7.045","0.518","18.457","0.880","167.164"
"912","GTLM","Frederic Makowiecki","241","1:20.560","6:27:26.807","Green","Track","6.154","3.744","21.207","21.582","7.585","0.556","18.824","0.908","155.739"
"10","P","Ricky Taylor","250","1:15.388","6:27:27.314","Green","Track","5.441","3.436","19.846","20.281","7.010","0.518","18.030","0.826","167.164"
"2","P","Johannes van Overbeek","250","1:16.106","6:27:32.915","Green","Track","5.447","3.386","20.164","20.643","7.093","0.529","18.017","0.827","163.688"
"70","P","Spencer Pigot","250","1:17.145","6:27:34.477","Green","Track","5.525","3.491","19.960","20.911","7.001","0.519","18.878","0.860","166.842"
"20","PC","Don Yount","228","2:01.570","6:27:34.931","Green","Track","42.607","5.579","23.302","21.506","7.400","0.549","19.651","0.927","157.725"
"67","GTLM","Scott Dixon","224","1:20.781","6:27:35.456","Green","Track","5.892","3.625","21.329","21.795","7.569","0.554","19.091","0.926","156.301"
"63","GTD","Alessandro Balzan","235","1:22.013","6:27:41.377","Green","Track","6.035","3.870","21.867","21.791","7.621","0.558","19.327","0.944","155.181"
"44","GTD","Andy Lally","235","1:22.148","6:27:42.058","Green","Track","5.880","3.874","21.926","22.064","7.678","0.560","19.262","0.904","154.627"
"23","GTD","Ian James","235","1:22.863","6:27:50.894","Green","Track","6.096","3.935","22.207","22.055","7.653","0.561","19.430","0.926","154.351"
"96","GTD","Jens Klingmann","235","1:22.886","6:27:51.214","Green","Track","6.060","3.926","22.233","22.167","7.584","0.556","19.458","0.902","155.739"
"33","GTD","Jeroen Bleekemolen","235","1:22.790","6:27:51.939","Green","Track","6.113","3.982","22.323","21.913","7.441","0.546","19.529","0.943","158.591"
"52","PC","Robert Alon","246","1:19.014","6:27:52.119","Green","Track","5.788","3.759","21.022","21.171","7.244","0.536","18.624","0.870","161.550"
"97","GTD","Cameron Lawrence","235","1:22.820","6:27:53.225","Green","Track","6.073","3.835","21.941","22.134","7.621","0.553","19.732","0.931","156.584"
"73","GTD","Jorg Bergmeister","235","1:23.204","6:27:54.495","Green","Track","6.071","3.967","22.035","22.535","7.669","0.559","19.430","0.938","154.903"
"9","GTD","Matt Bell","235","1:23.151","6:27:55.879","Green","Track","5.931","3.906","22.502","22.118","7.684","0.559","19.519","0.932","154.903"
"38","PC","Kyle Marcelli","246","1:19.212","6:27:56.078","Green","Track","5.802","3.772","20.780","21.314","7.285","0.539","18.823","0.897","160.651"
"27","GTD","Luca Persiani","235","1:23.286","6:27:57.742","Green","Track","6.017","3.989","22.233","22.555","7.592","0.552","19.391","0.957","156.868"
"6","GTD","Andrew Davis","235","1:23.254","6:27:58.169","Green","Track","6.151","3.857","22.156","22.372","7.636","0.556","19.580","0.946","155.739"
"16","GTD","Richard Antinucci","202","1:22.858","6:27:59.547","Green","Track","6.090","4.076","22.243","22.036","7.532","0.549","19.386","0.946","157.725"
"8","PC","David Heinemeier Hansson","230","1:17.252","6:28:03.304","Green","Track","5.631","3.469","20.020","20.749","7.375","0.548","18.601","0.859","158.013"
"5","P","Filipe Albuquerque","249","1:16.161","6:28:16.340","Green","Track","5.466","3.680","20.355","20.489","7.026","0.518","17.802","0.825","167.164"
"88","PC","Richard Bradley","240","1:19.333","6:28:17.610","Green","Track","5.730","3.699","20.859","21.367","7.384","0.546","18.886","0.862","158.591"
"62","GTLM","Giancarlo Fisichella","243","1:19.519","6:28:18.559","Green","Track","5.816","3.683","20.910","21.534","7.584","0.554","18.556","0.882","156.301"
"66","GTLM","Sebastien Bourdais","243","1:19.900","6:28:19.721","Green","Track","6.005","3.778","21.158","21.223","7.586","0.553","18.711","0.886","156.584"
"90","P","Marc Goossens","178","1:17.496","6:28:25.212","Green","Track","5.426","3.373","20.777","21.491","7.123","0.525","17.948","0.833","164.935"
"25","GTLM","Bill Auberlen","243","1:20.286","6:28:26.677","Green","Track","5.793","3.671","21.290","21.514","7.598","0.559","18.977","0.884","154.903"
"48","GTD","Bryce Miller","235","1:23.812","6:28:28.293","Green","Track","6.123","4.004","22.375","22.655","7.568","0.552","19.589","0.946","156.868"
"100","GTLM","Kuno Wittmer","237","1:20.953","6:28:30.402","Green","Track","5.836","3.668","22.087","21.345","7.636","0.562","18.925","0.894","154.076"
"60","P","Olivier Pla","251","1:14.679","6:28:30.580","Green","Track","5.377","3.375","19.854","20.084","6.952","0.515","17.701","0.821","168.138"
"85","PC","Chris Miller","245","1:21.085","6:28:39.711","Green","Track","5.741","3.630","23.001","20.920","7.371","0.548","19.009","0.865","158.013"
"31","P","Dane Cameron","251","1:16.972","6:28:41.766","Green","Track","5.703","3.651","20.753","20.527","7.088","0.523","17.900","0.827","165.566"
