"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"9","GTD","Matt Bell","24","1:27.994","45:50.925","Finish","Track","1.769","0.502","4.060","26.571","20.394","14.851","8.732","11.115","132.198"
"007","GTD","James Davison","27","1:27.058","45:56.484","Finish","Track","1.710","0.485","3.998","26.255","20.210","14.784","8.693","10.923","136.832"
"6","GTD","Robin Liddell","26","1:26.739","46:01.579","Finish","Track","1.759","0.497","3.966","26.379","20.116","14.413","8.728","10.881","133.528"
"8","PC","Alex Popow","27","1:23.449","46:01.782","Finish","Track","1.642","0.464","3.897","25.091","19.445","14.060","8.282","10.568","143.025"
"44","GTD","Andy Lally","27","1:29.378","46:15.287","Finish","Track","1.757","0.497","4.029","26.833","20.830","15.390","8.932","11.110","133.528"
"96","GTD","Bret Curtis","25","1:30.528","46:16.200","Finish","Track","1.757","0.503","3.943","26.959","21.467","15.623","8.922","11.354","131.936"
"85","PC","Stephen Simpson","26","1:22.923","46:20.915","Finish","Track","1.629","0.465","3.767","24.932","19.599","13.754","8.177","10.600","142.717"
"38","PC","James French","28","1:24.975","46:21.171","Finish","Track","1.646","0.469","3.927","25.603","19.053","14.529","8.874","10.874","141.500"
"73","GTD","Patrick Lindsey","24","1:27.905","46:21.032","Finish","Track","1.739","0.495","4.027","26.472","20.393","14.964","8.739","11.076","134.068"
"22","GTD","Cooper MacNeil","21","1:29.400","46:24.612","Finish","Track","1.730","0.493","4.028","26.439","21.753","15.197","8.871","10.889","134.612"
