"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"5","P","Joao Barbosa","1","1:30.915","3:17.724","Green","Track","0.613","7.271","9.327","13.790","8.768","11.985","12.664","19.562","1.767","5.168","134.584"
"90","P","Marc Goossens","1","1:31.325","3:35.887","Green","Track","0.624","7.229","9.175","13.780","8.863","12.034","12.867","19.693","1.813","5.247","132.212"
"52","PC","Tom Kimber-Smith","1","1:33.143","3:40.571","Green","Track","0.626","7.159","9.091","14.012","8.956","11.794","13.530","20.696","1.870","5.409","131.789"
"10","P","Jordan Taylor","1","1:31.082","3:44.664","Green","Track","0.656","7.542","9.709","13.419","9.026","11.739","13.004","18.838","1.787","5.362","125.762"
"20","PC","Johnny Mowlem","1","1:33.679","3:58.936","Green","Track","0.618","7.200","10.146","14.295","8.987","11.805","12.806","20.607","1.873","5.342","133.495"
"68","GTLM","Daniel Serra","1","1:39.136","3:59.012","Green","Track","0.665","8.263","10.295","14.136","9.458","12.930","14.448","20.997","2.068","5.876","124.060"
"70","P","Joel Miller","1","1:34.250","3:59.323","Green","Track","0.607","6.952","9.805","13.735","8.986","12.315","13.212","21.512","1.888","5.238","135.914"
"85","PC","Stephen Simpson","1","1:43.506","4:06.459","Green","Track","0.707","8.423","10.829","15.413","10.365","13.647","14.520","21.916","2.090","5.596","116.690"
"54","PC","Jonathan Bennett","1","1:54.382","4:20.878","Green","Pit","0.730","8.673","9.442","14.622","9.923","12.948","14.505","22.841","5.227","15.471","113.014"
"8","PC","Renger van der Zande","1","1:33.177","4:22.696","Green","Track","0.653","7.853","9.114","13.281","8.915","12.231","13.172","20.646","1.936","5.376","126.340"
"38","PC","James French","1","1:53.418","4:23.444","Green","Pit","0.797","8.743","9.497","14.327","9.543","13.781","13.948","21.427","5.659","15.696","103.513"
"5","P","Joao Barbosa","2","1:24.252","4:41.976","Green","Track","0.597","6.726","8.780","12.417","8.087","10.933","12.005","17.932","1.689","5.086","138.191"
"90","P","Marc Goossens","2","1:26.159","5:02.046","Green","Track","0.601","6.875","8.592","12.599","8.333","11.481","12.397","18.315","1.770","5.196","137.271"
"10","P","Jordan Taylor","2","1:25.284","5:09.948","Green","Track","0.620","6.978","8.336","12.253","8.426","10.860","12.510","18.238","1.764","5.299","133.065"
"52","PC","Tom Kimber-Smith","2","1:29.443","5:10.014","Green","Track","0.622","6.997","8.512","13.017","8.641","11.253","12.916","20.173","1.905","5.407","132.637"
"20","PC","Johnny Mowlem","2","1:25.477","5:24.413","Green","Track","0.617","6.972","8.364","12.407","8.388","10.821","12.191","18.513","1.875","5.329","133.712"
"70","P","Joel Miller","2","1:27.233","5:26.556","Green","Track","0.596","6.723","8.915","12.835","8.515","11.641","12.388","18.493","1.889","5.238","138.423"
"68","GTLM","Daniel Serra","2","1:33.298","5:32.310","Green","Track","0.661","8.119","9.000","13.039","9.248","12.390","13.391","19.613","2.035","5.802","124.811"
"3","GTLM","Antonio Garcia","1","3:17.995","5:36.234","Green","Track","0.000","0.000","18.668","14.059","9.319","12.063","13.365","19.742","1.822","5.577","0.000"
"0","P","Andy Meyrick","1","3:16.757","5:42.663","Green","Pit","96.182","6.876","8.803","12.804","8.447","11.067","12.377","19.423","5.165","15.613","0.858"
"85","PC","Stephen Simpson","2","1:37.350","5:43.809","Green","Track","0.625","7.036","10.290","14.274","9.651","12.741","14.081","21.369","1.878","5.405","132.000"
"8","PC","Renger van der Zande","2","1:28.223","5:50.919","Green","Track","0.626","7.039","8.339","12.870","8.719","11.637","12.640","19.380","1.725","5.248","131.789"
"5","P","Joao Barbosa","3","1:20.805","6:02.781","Green","Track","0.592","6.688","7.397","11.763","8.005","10.370","11.826","17.426","1.655","5.083","139.358"
"90","P","Marc Goossens","3","1:24.259","6:26.305","Green","Track","0.599","6.829","8.364","12.395","8.186","10.960","12.313","17.713","1.730","5.170","137.730"
"911","GTLM","Nick Tandy","1","4:07.545","6:29.639","Green","Track","0.000","0.000","13.214","13.576","9.226","12.334","13.546","19.144","1.818","5.613","0.000"
"10","P","Jordan Taylor","3","1:22.550","6:32.498","Green","Track","0.610","6.817","7.837","12.342","8.153","10.350","12.024","17.573","1.703","5.141","135.246"
"52","PC","Tom Kimber-Smith","3","1:28.019","6:38.033","Green","Track","0.619","7.035","8.825","12.814","8.589","11.082","12.838","19.033","1.845","5.339","133.279"
"62","GTLM","Toni Vilander","1","4:01.238","6:41.359","Green","Track","0.000","0.000","14.360","14.671","10.406","12.012","13.899","19.704","1.868","5.656","0.000"
"4","GTLM","Tommy Milner","1","4:23.800","6:43.026","Green","Track","0.000","0.000","16.518","13.773","9.151","12.131","13.043","18.440","1.787","5.549","0.000"
"20","PC","Johnny Mowlem","3","1:24.309","6:48.722","Green","Track","0.610","6.838","8.024","12.244","8.248","10.854","12.172","18.228","1.797","5.294","135.246"
"70","P","Joel Miller","3","1:24.253","6:50.809","Green","Track","0.594","6.687","8.394","12.449","8.278","10.880","12.127","17.900","1.797","5.147","138.889"
"68","GTLM","Daniel Serra","3","1:31.611","7:03.921","Green","Track","0.654","7.309","8.665","12.552","9.492","11.460","13.162","20.739","1.898","5.680","126.147"
"3","GTLM","Antonio Garcia","2","1:30.065","7:06.299","Green","Track","0.647","7.266","8.725","12.484","9.110","11.440","13.329","19.702","1.799","5.563","127.512"
"66","GTLM","Dirk Muller","1","4:23.791","7:09.265","Green","Track","0.000","0.000","15.726","14.123","9.929","12.396","13.496","21.195","1.899","5.608","0.000"
"54","PC","Jonathan Bennett","2","2:49.051","7:09.929","Green","Track","0.000","0.000","15.100","15.470","9.751","13.194","14.474","22.593","2.425","6.367","0.000"
"85","PC","Stephen Simpson","3","1:33.031","7:16.840","Green","Track","0.618","6.924","9.101","13.235","9.018","12.852","13.665","20.316","1.914","5.388","133.495"
"60","P","Oswaldo Negri","1","5:14.890","7:17.169","Green","Pit","0.000","0.000","16.690","16.820","10.279","12.329","13.606","21.024","5.287","15.727","0.000"
"8","PC","Renger van der Zande","3","1:26.439","7:17.358","Green","Track","0.610","6.910","8.159","12.470","8.386","11.454","12.401","18.956","1.794","5.299","135.246"
"5","P","Joao Barbosa","4","1:21.018","7:23.799","Green","Track","0.592","6.666","7.681","11.634","8.004","10.538","12.162","17.006","1.663","5.072","139.358"
"31","P","Dane Cameron","1","1:29.797","7:26.990","Green","Track","0.602","6.933","8.913","13.367","8.542","11.698","13.469","19.459","1.708","5.106","137.043"
"912","GTLM","Frederic Makowiecki","1","5:16.764","7:37.880","Green","Track","0.000","0.000","15.426","13.797","8.953","11.941","12.986","18.914","1.819","5.596","0.000"
"88","PC","Ashley Freiberg","1","4:58.197","7:42.778","Green","Track","0.000","0.000","17.462","15.208","9.376","12.285","13.390","21.250","1.870","5.371","0.000"
"38","PC","James French","2","3:24.258","7:47.702","Green","Track","0.000","0.000","14.644","14.269","8.978","12.927","13.684","20.681","1.802","5.438","0.000"
"90","P","Marc Goossens","4","1:21.950","7:48.255","Green","Track","0.599","6.741","8.036","11.911","7.987","10.567","11.912","17.423","1.674","5.100","137.730"
"10","P","Jordan Taylor","4","1:20.639","7:53.137","Green","Track","0.600","6.772","7.613","11.457","8.002","10.340","11.937","17.142","1.665","5.111","137.500"
"911","GTLM","Nick Tandy","2","1:25.963","7:55.602","Green","Track","0.653","7.262","8.192","12.077","8.461","11.109","12.911","17.973","1.775","5.550","126.340"
"52","PC","Tom Kimber-Smith","4","1:25.624","8:03.657","Green","Track","0.617","6.931","8.277","12.208","8.362","10.823","12.454","18.760","1.847","5.345","133.712"
"4","GTLM","Tommy Milner","2","1:24.660","8:07.686","Green","Track","0.648","7.214","7.889","11.985","8.394","11.186","12.509","17.539","1.767","5.529","127.315"
"62","GTLM","Toni Vilander","2","1:29.297","8:10.656","Green","Track","0.651","7.278","8.418","12.268","8.490","12.603","13.402","18.775","1.820","5.592","126.728"
"20","PC","Johnny Mowlem","4","1:23.172","8:11.894","Green","Track","0.612","6.863","7.887","11.983","8.100","10.594","11.932","18.126","1.820","5.255","134.804"
"70","P","Joel Miller","4","1:22.463","8:13.272","Green","Track","0.592","6.663","7.639","11.942","8.219","10.754","11.913","17.760","1.821","5.160","139.358"
"68","GTLM","Daniel Serra","4","1:26.367","8:30.288","Green","Track","0.650","7.256","8.101","11.987","8.493","10.952","12.911","18.495","1.874","5.648","126.923"
"3","GTLM","Antonio Garcia","3","1:24.940","8:31.239","Green","Track","0.648","7.206","8.276","11.834","8.346","10.879","12.599","17.739","1.834","5.579","127.315"
"66","GTLM","Dirk Muller","2","1:25.930","8:35.195","Green","Track","0.647","7.222","8.447","12.458","8.628","10.957","12.491","17.718","1.821","5.541","127.512"
"8","PC","Renger van der Zande","4","1:26.892","8:44.250","Green","Track","0.610","6.873","8.583","12.794","8.403","11.077","12.253","19.395","1.696","5.208","135.246"
"54","PC","Jonathan Bennett","3","1:34.424","8:44.353","Green","Track","0.771","8.004","9.098","13.585","9.202","12.188","13.431","20.885","1.888","5.372","107.004"
