"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"20","PC","Johnny Mowlem","7","2:28.214","1:10:39.647","Green","Pit","13.993","29.633","25.808","8.244","6.548","6.633","14.923","8.064","6.644","13.368","0.000","0.000","0.000"
"26","PC","Ryan Eversley","7","2:28.567","1:10:48.285","Green","Pit","14.278","29.520","26.157","8.453","6.586","6.736","14.689","9.115","7.452","11.414","0.000","0.000","0.000"
"38","PC","James French","7","2:11.110","1:11:42.762","Green","Track","14.317","29.776","26.734","8.948","6.671","6.511","14.102","8.119","6.613","5.571","0.506","3.242","161.696"
"37","P","Mikhail Aleshin","1","13:35.625","1:19:34.660","Green","Track","687.207","38.000","28.840","8.198","6.713","7.273","16.102","7.992","6.325","5.248","0.479","3.248","170.810"
"2","P","Luis Felipe Derani","1","5:22.924","1:19:41.497","Green","Track","190.961","36.658","29.517","8.765","6.961","8.783","17.981","8.083","0.000","0.000","0.477","3.086","171.527"
"60","P","Oswaldo Negri","1","13:12.028","1:19:46.078","Green","Track","662.104","39.732","29.999","8.656","6.501","6.620","15.732","7.906","6.218","5.115","0.467","2.978","175.200"
"02","P","Scott Dixon","1","2:47.463","1:19:55.180","Green","Track","30.644","40.720","30.980","8.733","7.314","8.091","16.907","8.254","6.645","5.432","0.499","3.244","163.964"
"5","P","Joao Barbosa","1","2:48.431","1:20:04.092","Green","Track","31.060","36.548","31.623","9.507","7.226","8.161","16.449","9.596","7.966","6.054","0.565","3.676","144.811"
"10","P","Ricky Taylor","1","2:50.583","1:20:07.979","Green","Track","30.462","35.877","29.201","8.541","6.587","7.758","0.000","0.000","11.287","7.915","0.633","3.832","129.255"
"90","P","Ryan Dalziel","1","2:54.405","1:20:13.084","Green","Track","32.452","0.000","0.000","10.030","7.864","8.510","17.545","8.769","0.000","0.000","0.546","3.609","149.850"
"31","P","Dane Cameron","1","2:51.983","1:20:14.425","Green","Track","32.895","42.689","29.959","9.358","7.745","8.858","16.542","7.949","6.592","5.500","0.514","3.382","159.179"
"01","P","Alex Wurz","1","2:47.103","1:20:16.164","Green","Track","33.580","39.691","30.081","8.612","6.519","8.202","16.204","8.015","6.394","5.520","0.549","3.736","149.031"
"50","P","Dorsey Schroeder","1","16:38.323","1:20:20.153","Green","Track","860.175","41.074","30.869","8.821","6.860","7.542","16.186","8.725","7.396","6.302","0.587","3.786","139.384"
"70","P","Tom Long","1","21:27.032","1:20:38.266","Green","Track","1146.274","42.775","33.226","9.441","7.035","7.550","16.479","8.280","6.793","5.416","0.480","3.283","170.455"
"55","P","Tristan Nunez","1","25:06.338","1:20:54.314","Green","Track","1356.478","48.007","37.122","10.452","7.046","7.610","16.280","8.562","6.240","5.075","0.458","3.008","178.642"
"37","P","Mikhail Aleshin","2","2:14.336","1:21:48.996","Green","Track","16.714","33.130","27.520","7.936","6.126","6.238","14.465","7.453","6.147","5.133","0.470","3.004","174.081"
"2","P","Luis Felipe Derani","2","2:12.055","1:21:53.552","Green","Track","14.829","31.701","27.620","0.000","0.000","6.316","15.010","7.542","6.173","5.149","0.466","2.964","175.575"
"60","P","Oswaldo Negri","2","2:11.753","1:21:57.831","Green","Track","14.518","32.163","27.309","8.343","6.105","6.164","15.147","7.519","6.078","5.028","0.459","2.920","178.253"
"02","P","Scott Dixon","2","2:17.265","1:22:12.445","Green","Track","14.744","34.229","28.934","8.441","6.332","6.488","15.449","7.755","6.317","5.133","0.466","2.977","175.575"
