"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"912","GTLM","Earl Bamber","8","1:17.360","12:22.161","Green","Track","0.637","7.088","6.871","10.718","7.739","9.861","11.731","15.607","1.677","5.431","129.513"
"4","GTLM","Oliver Gavin","9","1:34.102","12:34.341","Green","Pit","0.638","7.141","6.921","10.705","7.808","10.078","12.578","18.283","4.806","15.144","129.310"
"911","GTLM","Patrick Pilet","9","1:21.209","12:41.667","Green","Track","0.635","7.125","6.925","10.672","7.853","10.151","12.828","17.901","1.674","5.445","129.921"
"66","GTLM","Joey Hand","9","1:18.120","12:52.455","Green","Track","0.636","7.092","7.037","10.902","7.833","9.947","11.752","15.805","1.693","5.423","129.717"
"68","GTLM","Alessandro Balzan","8","1:18.514","13:00.200","Green","Track","0.637","7.103","7.007","10.822","7.902","10.127","11.934","15.856","1.691","5.435","129.513"
"25","GTLM","Bill Auberlen","8","1:34.566","13:10.170","Green","Pit","0.631","7.024","6.952","10.961","8.415","10.686","12.769","17.634","4.383","15.111","130.745"
"100","GTLM","Lucas Luhr","7","1:34.546","13:19.402","Green","Pit","0.638","7.070","7.053","10.719","7.945","10.225","12.724","18.984","4.096","15.092","129.310"
"912","GTLM","Earl Bamber","9","1:17.275","13:39.436","Green","Track","0.638","7.102","6.825","10.649","7.707","9.797","11.738","15.706","1.674","5.439","129.310"
"3","GTLM","Jan Magnussen","10","1:36.467","13:43.867","Green","Pit","0.638","7.132","6.929","10.703","7.949","9.971","12.520","19.617","5.679","15.329","129.310"
"911","GTLM","Patrick Pilet","10","1:18.384","14:00.051","Green","Track","0.640","7.159","6.891","10.828","7.933","9.873","11.845","16.084","1.683","5.448","128.906"
"66","GTLM","Joey Hand","10","1:18.180","14:10.635","Green","Track","0.634","7.100","7.017","10.854","7.954","9.939","11.761","15.807","1.693","5.421","130.126"
"68","GTLM","Alessandro Balzan","9","1:34.782","14:34.982","Green","Pit","0.638","7.125","7.095","10.926","8.184","10.917","12.886","17.576","4.284","15.151","129.310"
"912","GTLM","Earl Bamber","10","1:18.699","14:58.135","Green","Track","0.639","7.127","6.803","10.769","7.889","10.244","11.963","16.115","1.696","5.454","129.108"
