"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"16","GTD","Corey Lewis","12","54.952","14:01.415","Green","Track","0.468","0.833","10.266","11.327","14.084","5.656","9.541","2.777","148.237"
"3","GTLM","Antonio Garcia","13","51.651","14:02.560","Green","Track","0.467","0.833","9.583","10.235","13.585","5.269","8.961","2.718","148.555"
"100","GTLM","John Edwards","12","1:28.674","14:05.295","Green","Pit","0.458","0.818","9.655","10.374","13.537","5.251","10.834","37.747","151.474"
"22","GTD","Leh Keen","14","53.498","14:10.175","Green","Track","0.472","0.847","9.960","10.831","13.849","5.410","9.345","2.784","146.981"
"97","GTD","Markus Palttala","15","53.464","14:11.584","Green","Track","0.464","0.827","9.940","10.852","13.821","5.466","9.334","2.760","149.515"
"52","PC","Tom Kimber-Smith","14","49.311","14:11.732","Green","Track","0.444","0.796","9.227","9.917","13.007","4.980","8.378","2.562","156.250"
"912","GTLM","Earl Bamber","14","51.460","14:14.721","Green","Track","0.464","0.827","9.531","10.359","13.371","5.221","8.978","2.709","149.515"
"911","GTLM","Nick Tandy","12","52.025","14:17.121","Green","Track","0.475","0.847","9.731","10.301","13.493","5.313","9.114","2.751","146.053"
"25","GTLM","Bill Auberlen","11","52.019","14:20.123","Green","Track","0.466","0.830","9.621","10.266","13.779","5.302","9.023","2.732","148.873"
"85","PC","Stephen Simpson","11","51.473","14:24.932","Green","Track","0.449","0.803","9.835","10.319","13.265","5.387","8.789","2.626","154.510"
"33","GTD","Jeroen Bleekemolen","11","50.993","14:25.859","Green","Pit","0.467","0.833","9.981","10.788","14.119","5.630","11.722","64.396","148.555"
"44","GTD","John Potter","13","54.206","14:29.245","Green","Track","0.476","0.848","10.219","10.737","14.065","5.539","9.514","2.808","145.746"
"66","GTLM","Dirk Mueller","13","51.524","14:31.350","Green","Track","0.461","0.825","9.634","10.370","13.456","5.230","8.862","2.686","150.488"
"38","PC","Kyle Marcelli","14","50.029","14:32.080","Green","Track","0.445","0.797","9.541","10.053","13.024","5.048","8.523","2.598","155.899"
"20","PC","Matthew McMurry","8","1:00.060","14:35.479","Green","Track","0.000","0.000","12.472","10.795","13.741","5.190","8.691","2.620","0.000"
"540","GTD","Andy Pilgrim","15","55.799","14:37.888","Green","Track","0.473","0.848","10.525","11.141","14.659","5.607","9.716","2.830","146.670"
"23","GTD","Alex Riberas","13","1:07.665","14:40.947","Green","Pit","0.474","0.847","10.674","11.222","13.848","5.551","13.191","11.858","146.361"
"96","GTD","Bret Curtis","13","54.576","14:43.104","Green","Track","0.469","0.834","10.393","11.109","14.015","5.491","9.482","2.783","147.921"
"9","GTD","Lawson Aschenbach","13","56.840","14:45.724","Green","Track","0.472","0.849","10.676","11.059","15.898","5.570","9.507","2.809","146.981"
"62","GTLM","Giancarlo Fisichella","15","53.729","14:47.880","Green","Track","0.458","0.820","9.448","10.367","13.879","5.850","10.048","2.859","151.474"
"7","PC","Jose Gutierrez","10","3:04.515","14:48.468","Green","Pit","0.466","0.828","10.119","10.060","13.383","5.396","11.601","132.662","148.873"
"6","GTD","Robin Liddell","14","56.749","14:49.087","Green","Track","0.478","0.850","10.064","10.770","14.449","5.918","11.174","3.046","145.136"
"27","GTD","Lawrence DeGeorge","12","1:01.301","14:49.410","Green","Track","0.511","0.929","12.257","11.772","15.180","5.915","11.295","3.442","135.763"
"4","GTLM","Oliver Gavin","15","51.884","14:51.395","Green","Track","0.458","0.819","9.665","10.369","13.709","5.197","8.960","2.707","151.474"
"8","PC","Renger van der Zande","12","1:05.615","14:55.089","Green","Track","0.000","0.000","12.857","13.111","15.486","5.612","9.261","2.725","0.000"
"3","GTLM","Antonio Garcia","14","53.366","14:55.926","Green","Track","0.461","0.825","9.695","10.489","14.240","5.740","9.200","2.716","150.488"
"16","GTD","Corey Lewis","13","55.440","14:56.855","Green","Track","0.466","0.830","10.226","10.962","14.744","5.824","9.613","2.775","148.873"
"52","PC","Tom Kimber-Smith","15","49.721","15:01.453","Green","Track","0.437","0.782","9.197","10.170","13.105","5.020","8.430","2.580","158.753"
"67","GTLM","Richard Westbrook","15","1:06.001","15:04.299","Green","Pit","0.470","0.846","10.107","10.670","13.760","6.548","11.990","11.610","147.606"
"22","GTD","Leh Keen","15","54.255","15:04.430","Green","Track","0.470","0.840","10.004","10.632","14.379","5.579","9.533","2.818","147.606"
"97","GTD","Markus Palttala","16","53.721","15:05.305","Green","Track","0.464","0.827","10.069","10.865","13.863","5.500","9.363","2.770","149.515"
"912","GTLM","Earl Bamber","15","51.747","15:06.468","Green","Track","0.460","0.821","9.501","10.392","13.450","5.335","9.071","2.717","150.815"
"100","GTLM","Lucas Luhr","13","1:04.412","15:09.707","Green","Track","0.000","0.000","12.866","10.612","13.746","5.624","12.349","2.794","0.000"
"911","GTLM","Nick Tandy","13","53.634","15:10.755","Green","Track","0.467","0.835","9.646","10.229","14.633","5.780","9.289","2.755","148.555"
"48","GTD","Bryan Sellers","11","2:15.204","15:10.997","Green","Pit","0.466","0.830","10.002","10.695","13.804","5.541","11.341","82.525","148.873"
"25","GTLM","Bill Auberlen","12","51.952","15:12.075","Green","Track","0.462","0.826","9.591","10.314","13.777","5.325","8.956","2.701","150.162"
"85","PC","Stephen Simpson","12","55.188","15:20.120","Green","Track","0.447","0.799","9.576","10.268","16.542","5.918","8.986","2.652","155.201"
"38","PC","Kyle Marcelli","15","51.291","15:23.371","Green","Track","0.442","0.789","9.528","10.247","13.185","5.349","9.122","2.629","156.957"
"44","GTD","John Potter","14","54.233","15:23.478","Green","Track","0.473","0.843","10.183","10.990","14.033","5.543","9.379","2.789","146.670"
"66","GTLM","Dirk Mueller","14","55.456","15:26.806","Green","Track","0.457","0.814","9.612","10.387","13.599","7.748","10.099","2.740","151.805"
"20","PC","Matthew McMurry","9","51.638","15:27.117","Green","Track","0.446","0.796","9.561","10.437","13.721","5.184","8.862","2.631","155.549"
"33","GTD","Jeroen Bleekemolen","12","1:03.323","15:29.182","Green","Track","0.000","0.000","12.639","11.034","14.630","5.594","9.623","2.797","0.000"
"540","GTD","Andy Pilgrim","16","54.767","15:32.655","Green","Track","0.476","0.848","10.271","11.050","14.122","5.604","9.582","2.814","145.746"
"96","GTD","Bret Curtis","14","54.963","15:38.067","Green","Track","0.468","0.833","10.083","11.303","14.315","5.623","9.540","2.798","148.237"
"9","GTD","Lawson Aschenbach","14","53.343","15:39.067","Green","Track","0.473","0.845","9.922","10.545","13.850","5.514","9.398","2.796","146.670"
"88","PC","Mark Kvamme","7","2:02.639","15:39.270","Green","Pit","0.458","0.827","9.978","10.455","13.814","5.464","13.080","68.563","151.474"
