"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"73","GTD","Jorg Bergmeister","1","1:13.670","1:13.670","Green","Track","0.000","0.000","13.446","12.258","16.830","7.645","11.089","3.064","0.000"
"63","GTD","Alessandro Balzan","1","1:17.658","1:17.658","Green","Track","0.000","0.000","14.509","13.185","16.467","6.524","10.886","2.986","0.000"
"9","GTD","Matt Bell","1","1:18.760","1:18.760","Green","Track","0.000","0.000","14.716","13.369","16.464","6.386","10.549","2.980","0.000"
"6","GTD","Andrew Davis","1","1:19.952","1:19.952","Green","Track","0.000","0.000","14.401","13.372","16.328","6.453","10.716","2.991","0.000"
"97","GTD","Michael Marsal","1","1:21.297","1:21.297","Green","Track","0.000","0.000","13.739","12.199","16.600","6.318","10.597","2.907","0.000"
"44","GTD","Andy Lally","1","1:23.950","1:23.950","Green","Track","0.000","0.000","14.646","13.028","16.097","6.228","10.654","3.004","0.000"
"52","PC","Tom Kimber-Smith","1","1:29.430","1:29.430","Green","Track","0.000","0.000","12.981","12.315","14.778","5.833","9.577","2.745","0.000"
"54","PC","Colin Braun","1","1:32.539","1:32.539","Green","Track","0.000","0.000","12.983","11.383","15.335","5.673","10.356","2.843","0.000"
"22","GTD","Leh Keen","1","1:32.973","1:32.973","Green","Track","0.000","0.000","13.431","12.093","16.286","6.132","10.167","2.881","0.000"
"67","GTLM","Ryan Briscoe","1","1:38.083","1:38.083","Green","Track","0.000","0.000","14.588","12.656","15.903","6.511","10.971","2.931","0.000"
"85","PC","Stephen Simpson","1","1:38.745","1:38.745","Green","Track","0.000","0.000","14.805","12.069","14.910","6.221","10.517","3.021","0.000"
"4","GTLM","Oliver Gavin","1","1:42.870","1:42.870","Green","Pit","0.000","0.000","13.240","12.474","15.963","6.265","13.687","12.201","0.000"
"3","GTLM","Jan Magnussen","1","1:43.983","1:43.983","Green","Pit","0.000","0.000","13.593","12.367","16.388","6.255","13.115","11.868","0.000"
