"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"62","GTLM","Toni Vilander","3","2:07.690","7:17.794","Green","Track","1.468","20.168","25.098","9.457","9.808","0.464","4.731","0.426","22.875","24.656","8.539","144.617","157.517"
"33","GTD","Jeroen Bleekemolen","3","2:09.254","7:23.518","Green","Track","1.429","20.554","25.267","9.521","9.633","0.452","4.600","0.412","23.662","25.298","8.426","148.456","162.870"
"48","GTD","Madison Snow","3","2:09.750","7:28.941","Green","Track","1.477","20.550","25.196","9.473","9.922","0.468","4.695","0.418","23.263","25.501","8.787","143.381","160.532"
"6","GTD","Andrew Davis","3","2:10.049","7:30.695","Green","Track","1.489","20.592","25.283","9.392","9.997","0.469","4.761","0.428","23.308","25.477","8.853","143.075","156.781"
"26","PC","Don Yount","3","2:10.740","7:31.762","Green","Track","1.401","21.201","26.360","9.735","9.442","0.444","4.547","0.449","23.790","24.921","8.450","151.131","149.448"
"16","GTD","Spencer Pumpelly","3","2:10.193","7:34.595","Green","Track","1.481","20.584","25.289","9.579","10.179","0.473","4.725","0.422","23.259","25.443","8.759","141.865","159.010"
"20","PC","Bruno Junqueira","2","3:29.541","7:40.565","Green","Pit","6.122","28.978","28.579","11.021","9.489","0.446","4.620","0.501","26.219","26.409","67.157","150.454","133.937"
"97","GTD","Michael Marsal","3","2:12.138","7:43.839","Green","Track","1.480","21.196","25.823","9.664","9.905","0.470","4.747","0.431","23.887","25.837","8.698","142.771","155.690"
"27","GTD","Paolo Ruberti","3","2:11.004","7:48.534","Green","Track","1.478","20.992","25.639","9.633","9.930","0.463","4.682","0.418","23.291","25.646","8.832","144.929","160.532"
"912","GTLM","Earl Bamber","3","2:06.552","7:57.036","Green","Track","1.479","20.254","24.158","9.315","9.841","0.468","4.743","0.424","22.691","24.488","8.691","143.381","158.260"
"66","GTLM","Dirk Mueller","3","2:06.834","8:12.333","Green","Track","1.465","19.998","24.448","9.888","9.820","0.463","4.717","0.423","22.894","24.218","8.500","144.929","158.634"
"38","PC","James French","3","2:05.569","8:18.524","Green","Track","1.399","19.606","24.838","9.401","9.375","0.451","4.593","0.436","23.459","23.853","8.158","148.786","153.904"
"60","P","Oswaldo Negri Jr.","4","2:01.900","8:31.343","Green","Track","1.361","19.205","23.034","9.269","9.097","0.432","4.435","0.401","22.590","24.065","8.011","155.329","167.337"
"23","GTD","Mario Farnbacher","3","2:19.277","8:32.656","Green","Track","6.067","23.815","25.531","9.548","9.952","0.474","4.792","0.430","23.778","26.155","8.735","141.566","156.052"
"67","GTLM","Ryan Briscoe","3","2:17.829","8:47.137","Green","Track","5.950","24.362","25.233","9.600","9.845","0.465","4.744","0.446","23.562","25.047","8.575","144.306","150.454"
"80","GTD","Mike Skeen","3","3:14.006","8:47.893","Green","Pit","1.466","20.901","25.774","9.740","9.800","0.462","4.688","0.429","24.362","25.614","70.770","145.243","156.416"
"8","PC","Renger van der Zande","3","2:43.764","8:58.165","Green","Track","33.018","24.737","24.672","9.916","9.484","0.450","4.615","0.454","23.875","24.292","8.251","149.116","147.802"
"90","P","Marc Goossens","4","2:02.644","9:00.153","Green","Track","1.373","19.238","24.151","9.180","9.114","0.436","4.446","0.403","22.756","23.499","8.048","153.904","166.507"
"7","PC","Jose Gutierrez","3","3:35.789","9:00.647","Green","Track","80.994","25.136","25.805","10.899","9.490","0.449","4.674","0.512","24.482","25.149","8.199","149.448","131.059"
"88","PC","Richard Bradley","4","2:04.619","9:06.443","Green","Track","1.401","19.525","23.860","9.321","9.390","0.445","4.575","0.416","23.248","24.150","8.288","150.792","161.304"
"96","GTD","Jens Klingmann","3","3:16.435","9:09.127","Green","Pit","1.471","20.487","25.004","9.567","9.853","0.465","4.721","0.423","23.581","23.902","76.961","144.306","158.634"
"4","GTLM","Oliver Gavin","4","2:08.056","9:15.032","Green","Track","1.456","20.080","24.906","9.361","9.755","0.462","4.664","0.421","23.933","24.524","8.494","145.243","159.388"
"0","P","Katherine Legge","4","2:03.151","9:16.755","Green","Track","1.322","19.472","24.257","9.645","8.847","0.419","4.329","0.395","22.755","23.968","7.742","160.149","169.879"
