"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"31","P","Dane Cameron","1","1:27.011","1:27.011","Green","Track","0.000","5.742","23.831","21.465","7.160","0.530","18.605","0.841","163.379"
"5","P","Joao Barbosa","1","1:35.921","1:35.921","Green","Track","0.000","5.200","25.396","25.554","7.243","0.532","21.114","0.876","162.765"
"10","P","Jordan Taylor","1","1:39.166","1:39.166","Green","Track","0.000","6.241","27.856","24.027","7.375","0.546","21.189","0.892","158.591"
"2","P","Scott Sharp","1","1:42.008","1:42.008","Green","Track","0.000","6.519","25.385","23.060","7.218","0.535","20.141","0.899","161.852"
"68","GTLM","Alessandro Pier Guidi","1","1:43.736","1:43.736","Green","Track","0.000","5.953","24.988","22.890","7.729","0.568","20.690","0.976","152.449"
"38","PC","Kenton Koch","1","1:43.916","1:43.916","Green","Track","0.000","5.464","23.251","21.820","7.449","0.558","20.144","1.001","155.181"
"6","GTD","Mike Skeen","1","1:53.184","1:53.184","Green","Track","0.000","6.043","26.844","24.079","7.875","0.573","21.383","1.024","151.119"
"63","GTD","Jeff Segal","1","1:55.299","1:55.299","Green","Track","0.000","5.906","26.807","23.540","7.729","0.567","21.458","1.056","152.718"
"70","P","Tom Long","1","1:55.897","1:55.897","Green","Track","0.000","6.249","27.084","22.495","7.119","0.529","19.970","0.894","163.688"
"20","PC","Johnny Mowlem","1","1:57.698","1:57.698","Green","Track","308.851","6.332","26.757","22.033","7.280","0.537","19.516","0.920","161.249"
"44","GTD","Marco Seefried","1","1:58.542","1:58.542","Green","Track","0.000","6.206","27.046","23.696","7.809","0.569","22.385","1.045","152.181"
"60","P","Oswaldo Negri Jr.","1","1:59.991","1:59.991","Green","Track","297.983","5.926","26.758","22.113","7.101","0.524","19.896","0.882","165.250"
"7","PC","James Dayson","1","2:06.377","2:06.377","Green","Track","350.417","6.680","29.010","24.725","7.573","0.605","23.058","1.165","143.125"
"8","PC","David Heinemeier Hansson","1","2:07.474","2:07.474","Green","Track","0.000","5.761","24.441","21.811","7.366","0.545","19.082","0.883","158.882"
"4","GTLM","Oliver Gavin","1","2:10.524","2:10.524","Green","Track","0.000","5.861","26.636","23.186","7.749","0.567","20.388","0.958","152.718"
"90","P","Marc Goossens","1","2:11.886","2:11.886","Green","Pit","125.006","6.210","26.441","23.234","7.146","0.528","20.549","9.449","163.998"
"52","PC","Jose Gutierrez","1","2:14.374","2:14.374","Green","Track","0.000","6.310","26.528","23.083","7.280","0.541","20.329","0.926","160.057"
"66","GTLM","Joey Hand","1","2:15.382","2:15.382","Green","Track","0.000","6.113","25.565","23.329","7.634","0.558","20.214","0.948","155.181"
"88","PC","Mark Kvamme","1","2:15.858","2:15.858","Green","Track","0.000","6.155","27.233","23.294","7.415","0.548","21.779","1.011","158.013"
"912","GTLM","Frederic Makowiecki","1","2:18.382","2:18.382","Green","Track","0.000","5.498","25.421","22.574","7.812","0.655","22.349","0.956","132.200"
"85","PC","Misha Goikhberg","1","2:19.805","2:19.805","Green","Track","0.000","5.482","25.890","22.963","7.420","0.549","21.141","0.957","157.725"
"25","GTLM","Bill Auberlen","1","2:21.289","2:21.289","Green","Track","0.000","5.713","25.876","22.809","7.622","0.559","20.442","0.958","154.903"
"33","GTD","Jeroen Bleekemolen","1","2:22.405","2:22.405","Green","Track","0.000","6.267","30.024","24.063","7.455","0.545","22.554","0.988","158.882"
"48","GTD","Madison Snow","1","2:23.064","2:23.064","Green","Track","0.000","6.197","25.977","23.323","7.767","0.607","22.142","0.989","142.654"
