"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"6","GTD","Andrew Davis","2","2:10.056","5:27.781","Green","Track","5.510","10.698","21.214","0.516","23.409","29.952","21.417","12.366","4.974","159.333"
"10","P","Jordan Taylor","2","2:50.945","5:31.762","Green","Track","51.905","12.779","20.406","0.490","22.413","27.277","19.899","11.253","4.523","167.788"
"66","GTLM","Dirk Mueller","2","2:05.618","5:38.201","Green","Track","5.423","10.064","20.624","0.507","22.427","28.975","20.659","12.036","4.903","162.162"
"54","PC","Colin Braun","2","2:02.463","5:44.891","Green","Track","5.281","9.841","20.250","0.495","22.927","27.501","19.950","11.520","4.698","166.093"
"52","PC","Robert Alon","2","2:07.221","5:51.240","Green","Track","5.261","9.867","19.998","0.495","23.423","29.746","21.566","12.164","4.701","166.093"
"100","GTLM","Lucas Luhr","2","3:04.518","5:51.497","Green","Track","52.256","14.032","22.582","0.530","24.857","30.512","22.084","12.698","4.967","155.124"
"97","GTD","Markus Palttala","2","2:13.935","5:52.960","Green","Track","5.528","11.155","21.392","0.516","24.194","30.928","22.625","12.666","4.931","159.333"
"96","GTD","Jens Klingmann","2","2:24.736","5:55.075","Green","Pit","5.506","10.518","21.013","0.513","23.140","29.369","21.984","14.119","18.574","160.265"
"5","P","Joao Barbosa","2","3:26.171","5:56.171","Green","Pit","63.121","15.040","20.967","0.589","23.759","28.410","20.856","14.433","18.996","139.586"
"912","GTLM","Frederic Makowiecki","2","3:00.693","6:01.273","Green","Track","53.355","12.911","21.471","0.519","23.983","29.843","21.480","12.210","4.921","158.412"
"31","P","Dane Cameron","2","3:14.109","6:06.676","Green","Pit","49.571","14.556","21.441","0.542","24.111","29.486","21.694","14.064","18.644","151.690"
"60","P","Oswaldo Negri Jr.","3","1:58.924","6:08.105","Green","Track","5.056","9.645","19.271","0.480","21.564","27.415","19.759","11.244","4.490","171.283"
"55","P","Tristan Nunez","3","1:57.404","6:13.146","Green","Track","5.068","9.790","19.388","0.480","21.452","26.002","19.376","11.355","4.493","171.283"
"20","PC","Bruno Junqueira","2","3:29.766","6:21.738","Green","Pit","69.098","13.312","21.218","0.502","23.635","28.657","20.740","13.363","19.241","163.777"
"0","P","Katherine Legge","3","2:01.121","6:24.002","Green","Track","5.057","9.580","19.425","0.480","22.150","28.386","20.037","11.502","4.504","171.283"
"90","P","Marc Goossens","3","2:00.457","6:25.315","Green","Track","5.024","9.468","19.475","0.474","21.808","27.530","20.707","11.469","4.502","173.451"
"7","PC","Jose Gutierrez","2","3:28.026","6:28.162","Green","Pit","62.908","13.541","21.723","0.505","24.600","30.425","21.457","14.052","18.815","162.804"
"23","GTD","Mario Farnbacher","2","2:33.611","6:28.559","Green","Track","24.909","13.121","21.414","0.521","23.893","30.347","21.959","12.469","4.978","157.804"
"8","PC","Renger van der Zande","3","2:01.896","6:39.566","Green","Track","5.285","9.599","19.746","0.499","21.792","28.531","20.290","11.481","4.673","164.761"
"44","GTD","Andy Lally","3","2:08.010","6:46.039","Green","Track","5.461","10.347","20.968","0.515","22.956","29.133","21.276","12.375","4.979","159.643"
"77","GTD","Gunnar Jeannette","3","2:08.692","6:52.203","Green","Track","5.467","10.289","21.029","0.513","22.983","29.904","21.300","12.275","4.932","160.265"
"4","GTLM","Oliver Gavin","3","2:06.450","6:52.411","Green","Track","5.403","10.120","20.745","0.507","22.600","28.735","21.209","12.269","4.862","162.162"
"85","PC","Stephen Simpson","3","2:02.367","6:53.932","Green","Track","5.279","10.060","20.046","0.492","22.423","27.551","20.286","11.525","4.705","167.106"
