"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"85","PC","Misha Goikhberg","6","2:05.385","13:38.839","Green","Track","1.419","20.296","23.488","9.319","9.380","0.444","4.519","0.407","22.982","24.740","8.391","151.131","164.870"
"66","GTLM","Joey Hand","6","2:05.388","13:46.219","Green","Track","1.469","20.169","23.670","9.161","9.716","0.457","4.642","0.416","22.978","24.158","8.552","146.832","161.304"
"4","GTLM","Tommy Milner","6","2:23.141","13:47.104","Green","Pit","1.472","20.495","24.476","9.304","9.790","0.461","4.659","0.420","23.008","24.030","25.026","145.558","159.767"
"38","PC","Nicholas Boulle","6","2:05.385","13:50.118","Green","Track","1.413","19.965","23.828","9.357","9.363","0.445","4.507","0.410","23.247","24.600","8.250","150.792","163.664"
"62","GTLM","Giancarlo Fisichella","6","2:06.325","13:53.856","Green","Track","1.469","20.091","24.112","9.342","9.746","0.456","4.628","0.414","22.838","24.651","8.578","147.154","162.083"
"88","PC","Mark Kvamme","6","2:11.278","14:05.825","Green","Track","1.419","21.486","25.373","9.771","9.441","0.449","4.527","0.404","23.949","26.108","8.351","149.448","166.095"
"97","GTD","Markus Palttala","6","2:10.513","14:15.858","Green","Track","1.481","20.799","24.877","9.583","9.830","0.460","4.635","0.414","23.723","25.956","8.755","145.875","162.083"
"33","GTD","Jeroen Bleekemolen","3","2:36.612","14:25.037","Green","Track","5.557","25.900","25.803","10.294","0.000","0.000","0.000","0.716","25.264","25.914","8.542","0.000","93.718"
"16","GTD","Corey Lewis","6","2:10.807","14:41.193","Green","Track","1.487","20.659","25.431","9.811","9.846","0.463","4.625","0.431","23.673","25.626","8.755","144.929","155.690"
"31","P","Dane Cameron","7","2:00.712","14:47.230","Green","Track","1.366","19.356","22.563","9.046","9.041","0.427","4.317","0.405","22.874","23.313","8.004","157.148","165.685"
"44","GTD","John Potter","6","2:29.422","14:52.246","Green","Track","1.507","20.674","39.851","10.336","10.187","0.472","4.769","0.477","25.531","26.709","8.909","142.166","140.676"
"3","GTLM","Antonio Garcia","6","2:25.426","14:56.784","Green","Pit","1.476","20.267","24.951","9.443","9.850","0.460","4.645","0.416","22.825","25.521","25.572","145.875","161.304"
"10","P","Jordan Taylor","5","6:25.181","14:59.423","Green","Pit","1.367","18.927","22.393","8.983","9.017","0.427","4.355","0.403","22.677","22.108","274.524","157.148","166.507"
"5","P","Joao Barbosa","5","6:15.041","15:02.022","Green","Track","247.876","24.395","23.398","10.593","9.147","0.428","4.365","0.438","22.552","23.872","7.977","156.781","153.202"
"100","GTLM","John Edwards","5","2:17.577","15:09.574","Green","Track","5.972","24.992","24.949","9.347","9.869","0.466","4.723","0.447","23.089","25.008","8.715","143.996","150.117"
"0","P","Katherine Legge","5","4:52.409","15:11.395","Green","Pit","1.348","19.723","26.351","9.327","8.927","0.420","4.332","0.453","22.800","26.819","171.909","159.767","148.129"
"25","GTLM","Bill Auberlen","5","5:41.056","15:14.486","Green","Pit","1.479","20.644","24.759","9.388","9.862","0.461","5.102","0.517","23.469","24.487","220.888","145.558","129.792"
"73","GTD","Jorg Bergmeister","4","7:36.616","15:20.678","Green","Pit","1.497","20.751","25.131","9.522","9.932","0.466","4.715","0.423","23.481","25.193","335.505","143.996","158.634"
"80","GTD","Mike Skeen","5","2:24.270","15:24.302","Green","Track","5.982","26.815","26.968","9.831","9.874","0.461","4.685","0.424","24.167","26.384","8.679","145.558","158.260"
"96","GTD","Jens Klingmann","6","2:17.987","15:27.201","Green","Track","6.014","24.024","24.890","9.525","9.827","0.462","4.677","0.419","23.955","25.517","8.677","145.243","160.149"
"7","PC","Jose Gutierrez","7","2:23.894","15:30.093","Green","Pit","1.420","19.767","23.640","9.354","9.430","0.444","4.518","0.406","23.034","26.358","25.523","151.131","165.277"
"26","PC","Don Yount","7","2:06.210","15:31.907","Green","Track","1.417","20.317","24.234","9.443","9.283","0.440","4.486","0.430","23.773","24.174","8.213","152.505","156.052"
"912","GTLM","Earl Bamber","7","2:05.233","15:36.858","Green","Track","1.489","19.831","23.671","9.185","9.791","0.464","4.700","0.420","22.610","24.383","8.689","144.617","159.767"
"911","GTLM","Nick Tandy","7","2:05.240","15:38.936","Green","Track","1.482","19.832","23.663","9.181","9.752","0.460","4.662","0.417","22.799","24.389","8.603","145.875","160.917"
"52","PC","Robert Alon","7","2:03.273","15:39.286","Green","Track","1.407","19.544","23.267","9.343","9.225","0.441","4.481","0.407","22.963","23.993","8.202","152.159","164.870"
