"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"60","P","Oswaldo Negri Jr.","54","1:13.209","1:08:11.797","Green","Track","2.759","18.447","23.048","11.227","0.415","7.108","4.009","6.196","164.567"
"33","GTD","Jeroen Bleekemolen","50","1:19.714","1:08:13.534","Green","Track","3.062","20.897","24.571","11.617","0.434","7.986","4.365","6.782","157.363"
"96","GTD","Jens Klingmann","50","1:19.579","1:08:13.774","Green","Track","3.086","20.812","24.587","11.622","0.432","7.880","4.384","6.776","158.091"
"67","GTLM","Ryan Briscoe","52","1:18.897","1:08:13.925","Green","Track","3.019","20.291","24.460","11.644","0.437","7.995","4.364","6.687","156.283"
"912","GTLM","Frederic Makowiecki","52","1:17.671","1:08:18.411","Green","Track","3.026","20.286","23.873","11.585","0.434","7.606","4.109","6.752","157.363"
"0","P","Katherine Legge","54","1:14.353","1:08:18.572","Green","Track","2.878","19.320","22.843","10.430","0.420","7.802","4.236","6.424","162.608"
"100","GTLM","John Edwards","41","1:16.124","1:08:23.319","Green","Track","2.975","19.802","23.451","11.576","0.436","7.315","4.120","6.449","156.641"
"20","PC","Matthew McMurry","53","1:16.122","1:08:25.975","Green","Track","2.865","19.813","24.347","11.190","0.425","7.155","3.938","6.389","160.695"
"9","GTD","Lawson Aschenbach","50","1:19.646","1:08:27.912","Green","Track","3.112","20.914","24.554","11.745","0.436","7.761","4.368","6.756","156.641"
"63","GTD","Alessandro Balzan","50","1:19.598","1:08:28.361","Green","Track","3.094","21.064","24.655","11.719","0.439","7.696","4.328","6.603","155.571"
"62","GTLM","Toni Vilander","52","1:16.961","1:08:30.351","Green","Track","3.054","20.029","23.563","11.722","0.440","7.561","4.096","6.496","155.217"
"38","PC","James French","54","1:13.329","1:08:31.800","Green","Track","2.894","18.816","22.709","11.124","0.423","7.048","3.961","6.354","161.455"
"8","PC","Alex Popow","54","1:14.367","1:08:36.303","Green","Track","2.832","18.840","23.720","11.220","0.426","7.040","4.068","6.221","160.318"
"27","GTD","Fabio Babini","50","1:20.456","1:08:38.938","Green","Track","3.226","21.340","25.010","11.638","0.433","7.841","4.219","6.749","157.726"
"52","PC","Robert Alon","54","1:13.586","1:08:40.270","Green","Track","2.910","19.180","22.905","11.069","0.421","6.884","3.951","6.266","162.222"
