"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"4","GTLM","Oliver Gavin","1","2:15.486","2:54.311","Green","Track","29.947","28.848","22.171","8.015","6.508","6.214","11.150","7.341","6.455","5.333","0.483","3.021","169.396"
"01","P","Alex Wurz","1","2:10.434","2:57.750","Green","Track","29.158","28.263","22.358","7.487","5.955","5.664","10.735","6.770","5.920","4.908","0.442","2.774","185.109"
"52","PC","Nicholas Boulle","1","2:19.628","3:04.546","Green","Track","29.697","30.818","24.499","8.064","6.366","6.327","11.657","7.047","6.353","5.310","0.481","3.009","170.100"
"48","GTD","Bryan Sellers","1","2:16.256","3:13.445","Green","Track","28.609","28.458","22.307","7.857","6.648","7.143","12.139","7.237","6.691","5.535","0.493","3.139","165.960"
"3","GTLM","Antonio Garcia","1","2:14.835","3:35.538","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"54","PC","Colin Braun","1","2:07.662","3:36.046","Green","Track","28.718","25.884","21.626","7.633","6.325","5.910","9.757","6.848","6.246","5.250","0.474","2.991","172.612"
"5","P","Scott Pruett","1","1:43.200","3:42.287","Green","Track","11.531","23.469","19.857","7.188","5.854","5.432","9.480","6.487","5.819","4.879","0.441","2.763","185.529"
"31","P","Dane Cameron","1","1:45.794","3:49.060","Green","Track","11.656","24.519","20.768","7.242","5.867","5.507","9.690","6.559","5.847","4.906","0.444","2.789","184.275"
"60","P","Oswaldo Negri","1","1:42.342","3:52.850","Green","Track","11.431","22.856","19.832","7.104","5.810","5.409","9.407","6.552","5.825","4.895","0.443","2.778","184.691"
"911","GTLM","Nick Tandy","1","2:13.451","3:54.933","Green","Track","27.836","28.528","22.880","8.096","6.512","6.086","10.833","7.270","6.469","5.400","0.488","3.053","167.660"
"67","GTLM","Stefan Muecke","1","2:23.871","3:58.713","Green","Track","30.130","34.580","24.374","8.247","6.576","6.117","11.274","7.349","6.422","5.314","0.481","3.007","170.100"
"0","P","Andy Meyrick","1","1:43.708","3:59.059","Green","Track","11.510","23.245","19.672","7.168","5.918","5.500","9.992","6.568","5.950","4.957","0.446","2.782","183.449"
"2","P","Scott Sharp","1","1:45.627","4:03.029","Green","Track","12.028","24.303","20.559","7.280","5.896","5.500","9.481","6.579","5.891","4.896","0.440","2.774","185.950"
"51","GTD","Marco Cioci","1","1:50.731","4:06.692","Green","Track","12.004","24.788","21.012","7.935","6.376","5.908","10.340","7.246","6.364","5.296","0.474","2.988","172.612"
"02","P","Kyle Larson","1","1:43.612","4:08.014","Green","Track","11.218","23.418","20.006","7.168","5.845","5.452","9.860","6.601","5.935","4.899","0.440","2.770","185.950"
"50","P","Dorsey Schroeder","1","1:50.842","4:08.464","Green","Track","13.883","25.044","21.363","7.330","5.898","5.562","10.631","6.838","6.045","4.994","0.448","2.806","182.630"
"007","GTD","Antonio Perez","1","1:51.944","4:08.715","Green","Track","11.929","24.599","21.436","7.885","6.410","6.001","10.845","7.348","6.505","5.431","0.490","3.065","166.976"
"63","GTD","Alessandro Balzan","1","2:19.378","4:09.216","Green","Track","30.339","30.191","23.139","8.589","6.632","6.051","11.343","7.576","6.469","5.526","0.489","3.034","167.317"
"85","PC","Chris Miller","1","1:50.675","4:10.871","Green","Track","12.137","24.625","21.624","7.577","6.271","5.932","10.372","7.024","6.347","5.296","0.476","2.994","171.887"
"10","P","Max Angelelli","1","1:56.506","4:13.209","Green","Track","13.513","25.442","21.808","8.063","6.525","7.088","11.693","7.327","6.371","5.193","0.472","3.011","173.344"
"100","GTLM","John Edwards","1","3:27.721","4:13.658","Green","Pit","29.827","30.011","22.325","7.957","6.455","6.109","10.811","7.288","6.447","8.854","0.000","0.000","0.000"
"8","PC","Alex Popow","1","1:47.374","4:18.988","Green","Track","11.692","23.768","20.238","7.504","6.255","5.867","10.012","6.901","6.328","5.322","0.481","3.006","170.100"
"38","PC","Josh Norman","1","1:52.023","4:21.092","Green","Track","13.042","24.869","21.312","7.599","6.311","6.015","10.519","7.047","6.413","5.373","0.486","3.037","168.350"
"30","GTD","Sven Mueller","1","1:50.307","4:29.197","Green","Track","11.875","24.786","20.742","7.899","6.384","5.921","10.307","7.202","6.385","5.324","0.479","3.003","170.810"
"98","GTD","Mathias Lauda","1","1:52.159","4:31.353","Green","Track","12.180","24.860","21.191","8.036","6.533","6.066","10.321","7.355","6.540","5.480","0.493","3.104","165.960"
"20","PC","Johnny Mowlem","1","1:48.244","4:32.961","Green","Track","11.871","23.822","20.842","7.549","6.261","5.913","9.966","6.904","6.325","5.301","0.481","3.009","170.100"
"33","GTD","Jeroen Bleekemolen","1","1:48.980","4:36.246","Green","Track","11.692","24.469","20.837","7.757","6.288","5.817","10.089","7.088","6.289","5.227","0.471","2.956","173.712"
"88","PC","Felix Rosenqvist","1","1:46.032","4:36.642","Green","Track","11.667","23.755","19.927","7.419","6.178","5.797","9.595","6.812","6.230","5.221","0.470","2.961","174.081"
"01","P","Alex Wurz","2","1:44.104","4:41.854","Green","Track","11.595","23.385","20.077","7.196","5.834","5.547","9.805","6.664","5.926","4.876","0.441","2.758","185.529"
"4","GTLM","Oliver Gavin","2","1:48.491","4:42.802","Green","Track","11.849","24.198","20.176","7.820","6.377","5.905","9.941","7.146","6.352","5.270","0.477","2.980","171.527"
"52","PC","Nicholas Boulle","2","1:49.234","4:53.780","Green","Track","12.795","24.071","20.515","7.520","6.244","5.925","10.177","6.913","6.308","5.291","0.479","2.996","170.810"
"26","PC","Don Yount","1","1:49.243","5:04.282","Green","Track","11.855","24.530","20.586","7.551","6.269","6.383","9.961","6.934","6.304","5.338","0.483","3.049","169.396"
"48","GTD","Bryan Sellers","2","1:51.179","5:04.624","Green","Track","12.183","24.520","20.899","7.822","6.609","5.961","10.292","7.093","6.538","5.603","0.507","3.152","161.377"
