"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"9","GTD","Matt Bell","7","2:30.429","16:03.692","Yellow","Track","5.495","10.587","21.113","0.511","25.333","35.899","29.230","15.383","6.878","160.892"
"27","GTD","Luca Persiani","7","2:33.076","16:08.226","Yellow","Track","5.419","10.544","20.870","0.502","25.831","37.049","29.271","15.823","7.767","163.777"
"48","GTD","Madison Snow","7","2:33.237","16:08.623","Yellow","Track","5.370","10.532","21.083","0.509","25.882","37.049","29.240","15.715","7.857","161.524"
"85","PC","Misha Goikhberg","7","2:31.895","16:09.233","Yellow","Track","5.320","10.224","20.020","0.528","25.789","37.250","29.109","15.711","7.944","155.712"
"73","GTD","Patrick Lindsey","7","2:31.410","16:10.775","Yellow","Track","5.384","10.725","21.284","0.523","26.173","34.648","28.709","16.071","7.893","157.201"
"55","P","Jonathan Bomarito","8","2:42.422","16:25.275","Yellow","Track","5.084","9.549","19.266","0.540","28.206","35.779","27.997","23.446","12.555","152.252"
"63","GTD","Christina Nielsen","7","2:46.773","16:25.900","Yellow","Track","5.539","10.896","21.673","0.531","28.763","35.626","27.762","23.807","12.176","154.832"
"5","P","Christian Fittipaldi","8","2:42.924","16:27.068","Yellow","Track","5.024","9.376","19.225","0.511","28.952","35.913","27.811","23.465","12.647","160.892"
"10","P","Ricky Taylor","8","2:42.580","16:29.113","Yellow","Track","5.030","9.678","20.246","0.546","26.884","35.924","28.192","22.545","13.535","150.579"
"96","GTD","Bret Curtis","7","2:46.515","16:30.307","Yellow","Track","5.484","10.650","21.572","0.577","28.092","35.472","28.100","22.909","13.659","142.489"
"22","GTD","Cooper MacNeil","7","2:47.899","16:32.239","Yellow","Track","5.495","10.542","21.547","0.589","28.260","35.500","28.525","22.865","14.576","139.586"
"97","GTD","Michael Marsal","7","2:48.295","16:33.149","Yellow","Track","5.432","10.672","21.688","0.624","28.487","35.249","28.828","22.741","14.574","131.756"
"44","GTD","John Potter","7","2:48.132","16:33.960","Yellow","Track","5.524","10.685","21.402","0.703","28.300","35.358","28.807","22.864","14.489","116.950"
"90","P","Marc Goossens","8","2:45.120","16:35.369","Yellow","Track","5.054","9.460","20.258","0.655","27.960","35.612","28.340","22.681","15.100","125.520"
"31","P","Eric Curran","8","2:42.038","16:36.633","Yellow","Track","5.048","9.444","19.538","0.572","25.572","36.157","28.103","22.198","15.406","143.734"
"16","GTD","Spencer Pumpelly","7","2:42.495","16:37.254","Yellow","Track","5.431","10.708","21.347","0.535","25.290","33.410","28.073","22.492","15.209","153.675"
"80","GTD","Dan Knox","7","2:42.876","16:39.003","Yellow","Track","5.457","10.781","21.761","0.549","25.932","32.388","28.003","22.140","15.865","149.756"
"0","P","Sean Rayhall","8","2:37.207","16:39.995","Yellow","Track","5.096","9.776","20.464","0.660","26.047","29.783","27.415","21.847","16.119","124.570"
"38","PC","James French","8","2:33.135","16:45.286","Yellow","Track","5.796","12.324","24.449","0.646","27.637","33.775","24.581","14.875","9.052","127.269"
"60","P","John Pew","8","2:28.598","16:45.873","Yellow","Track","5.097","10.061","23.266","0.665","27.643","33.527","24.480","14.709","9.150","123.633"
