"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"31","P","Eric Curran","1","1:48.221","3:46.981","Green","Track","11.769","25.118","21.783","7.239","5.923","5.665","10.127","6.620","5.870","4.859","0.440","2.808","185.950"
"5","P","Filipe Albuquerque","1","1:45.008","3:47.719","Green","Track","11.471","24.071","20.695","7.171","5.882","5.517","9.867","6.535","5.780","4.811","0.434","2.774","188.521"
"3","GTLM","Mike Rockenfeller","1","2:16.283","3:48.159","Green","Track","30.055","30.064","22.205","8.032","6.515","6.264","10.670","7.278","6.394","5.292","0.478","3.036","171.168"
"10","P","Jordan Taylor","1","1:45.457","3:51.086","Green","Track","11.193","24.566","20.485","7.168","5.857","5.628","10.097","6.606","5.804","4.833","0.437","2.783","187.227"
"52","PC","Tom Kimber-Smith","1","2:15.908","3:52.984","Green","Track","31.936","29.146","22.357","7.621","6.284","6.202","10.687","6.935","6.135","5.145","0.467","2.993","175.200"
"4","GTLM","Marcel Fassler","1","2:17.501","3:53.402","Green","Track","29.428","29.931","23.109","8.224","6.550","6.182","11.235","7.369","6.376","5.292","0.507","3.298","161.377"
"2","P","Johannes van Overbeek","1","1:46.073","3:53.696","Green","Track","11.383","23.667","21.856","7.299","5.956","5.534","10.017","6.546","5.832","4.793","0.430","2.760","190.275"
"48","GTD","Madison Snow","1","2:20.677","3:55.280","Green","Track","29.936","31.197","24.247","7.935","6.430","6.542","11.555","7.213","6.566","5.401","0.496","3.159","164.956"
"90","P","Marc Goossens","1","2:15.574","3:56.531","Green","Track","30.725","30.141","23.692","7.488","5.992","6.240","10.596","6.709","5.899","0.000","0.000","2.803","0.000"
"54","PC","Jonathan Bennett","1","2:16.337","3:56.746","Green","Track","30.155","30.204","22.632","7.973","6.425","6.104","10.733","7.048","6.294","0.000","0.000","3.037","0.000"
"912","GTLM","Earl Bamber","1","2:16.175","3:57.690","Green","Track","31.075","29.606","22.130","7.915","6.517","6.086","10.515","7.188","6.381","5.269","0.000","3.019","0.000"
"02","P","Scott Dixon","1","2:10.923","4:01.318","Green","Track","28.608","28.663","21.915","7.409","5.979","5.960","11.374","6.952","5.937","4.878","0.439","2.809","186.374"
"72","GTLM","Viktor Shaitar","1","2:16.941","4:04.972","Green","Track","30.202","29.440","23.110","8.015","6.459","6.111","11.063","7.445","6.363","5.250","0.473","3.010","172.977"
"100","GTLM","Lucas Luhr","1","2:17.115","4:05.973","Green","Track","33.668","27.852","22.402","7.925","6.425","6.118","10.638","7.171","6.262","5.201","0.469","2.984","174.452"
"16","GTD","Justin Marks","1","1:51.944","4:20.315","Green","Track","12.169","25.189","21.327","8.010","6.472","5.923","10.513","7.265","6.340","5.244","0.473","3.019","172.977"
"8","PC","Renger van der Zande","1","1:45.552","4:40.018","Green","Track","11.259","23.325","19.769","7.527","6.305","5.885","9.695","6.856","6.215","5.226","0.474","3.016","172.612"
"911","GTLM","Patrick Pilet","1","2:23.240","4:47.795","Green","Pit","27.442","26.387","21.002","8.051","6.558","6.150","10.722","7.341","6.442","9.348","0.000","0.000","0.000"
"85","PC","Chris Miller","1","2:11.546","5:17.748","Green","Track","29.933","27.238","21.439","7.683","6.437","6.130","10.449","7.029","6.330","5.322","0.481","3.075","170.100"
"68","GTLM","Alessandro Pier Guidi","1","2:12.167","5:19.559","Green","Track","29.469","27.147","21.147","7.857","7.114","6.563","10.680","7.132","6.310","5.250","0.473","3.025","172.977"
"31","P","Eric Curran","2","1:42.863","5:29.844","Green","Track","11.182","23.092","19.782","7.221","5.919","5.529","9.634","6.584","5.829","4.854","0.437","2.800","187.227"
"5","P","Filipe Albuquerque","2","1:42.389","5:30.108","Green","Track","11.093","22.947","19.838","7.183","5.862","5.478","9.648","6.550","5.784","4.811","0.429","2.766","190.718"
"10","P","Jordan Taylor","2","1:41.984","5:33.070","Green","Track","10.877","22.735","19.814","7.162","5.891","5.492","9.610","6.542","5.837","4.809","0.436","2.779","187.656"
"26","PC","Ryan Eversley","1","1:48.083","5:34.093","Green","Track","11.711","25.053","19.931","7.562","6.335","5.911","9.600","6.913","6.256","5.268","0.477","3.066","171.527"
"2","P","Johannes van Overbeek","2","1:42.162","5:35.858","Green","Track","11.230","22.958","19.800","7.146","5.855","5.451","9.479","6.516","5.754","4.772","0.432","2.769","189.394"
"3","GTLM","Mike Rockenfeller","2","1:47.837","5:35.996","Green","Track","11.601","23.963","20.116","7.816","6.401","5.954","9.914","7.117","6.283","5.206","0.472","2.994","173.344"
"52","PC","Tom Kimber-Smith","2","1:46.790","5:39.774","Green","Track","11.701","23.988","20.079","7.537","6.269","5.861","9.625","6.878","6.189","5.196","0.468","2.999","174.825"
"90","P","Marc Goossens","2","1:44.899","5:41.430","Green","Track","11.640","24.092","20.184","7.291","5.970","5.509","9.526","6.644","5.885","4.892","0.441","2.825","185.529"
"4","GTLM","Marcel Fassler","2","1:50.657","5:44.059","Green","Track","12.753","24.690","20.514","7.877","6.407","5.975","10.290","7.187","6.287","5.206","0.469","3.002","174.452"
"02","P","Scott Dixon","2","1:43.945","5:45.263","Green","Track","11.348","23.544","20.086","7.211","5.919","5.588","9.784","6.604","5.806","4.831","0.434","2.790","188.521"
"54","PC","Jonathan Bennett","2","1:49.152","5:45.898","Green","Track","12.034","24.583","20.827","7.646","6.364","5.917","9.878","6.949","6.248","5.227","0.470","3.009","174.081"
"912","GTLM","Earl Bamber","2","1:51.373","5:49.063","Green","Track","11.712","24.307","20.801","7.893","6.441","6.453","11.483","7.173","6.342","5.263","0.474","3.031","172.612"
"48","GTD","Madison Snow","2","1:55.076","5:50.356","Green","Track","12.703","25.160","22.316","7.819","6.374","6.487","11.575","7.128","6.377","5.463","0.496","3.178","164.956"
"88","PC","Mark Kvamme","1","1:53.359","5:56.007","Green","Track","13.241","25.248","21.173","7.767","6.354","6.024","11.441","7.149","6.265","5.218","0.471","3.008","173.712"
"100","GTLM","Lucas Luhr","2","1:50.158","5:56.131","Green","Track","11.942","25.163","20.108","7.823","6.341","5.999","10.690","7.185","6.232","5.192","0.472","3.011","173.344"
"72","GTLM","Viktor Shaitar","2","1:51.464","5:56.436","Green","Track","12.498","25.108","21.470","7.872","6.356","6.001","10.245","7.089","6.223","5.167","0.466","2.969","175.575"
"50","P","Jim Pace","1","2:02.326","6:04.477","Green","Track","15.616","28.879","23.395","7.665","6.112","7.415","12.076","6.901","5.979","4.962","0.447","2.879","183.038"
"16","GTD","Justin Marks","2","1:51.659","6:11.974","Green","Track","11.914","25.213","21.292","7.956","6.459","5.920","10.564","7.236","6.358","5.244","0.473","3.030","172.977"
"20","PC","Marc Drumwright","1","1:52.724","6:13.879","Green","Track","12.510","25.602","21.513","7.716","6.320","5.936","10.944","7.172","6.294","5.223","0.472","3.022","173.344"
"8","PC","Renger van der Zande","2","1:43.710","6:23.728","Green","Track","10.928","22.673","19.465","7.464","6.246","5.807","9.430","6.850","6.169","5.197","0.472","3.009","173.344"
"93","GTD","Gar Robinson","1","1:55.080","6:24.211","Green","Track","12.748","25.720","22.069","7.979","6.489","6.054","11.508","7.350","6.393","5.271","0.474","3.025","172.612"
"22","GTD","Cooper MacNeil","1","1:53.015","6:42.257","Green","Track","12.587","25.182","21.110","7.994","6.537","6.118","10.710","7.350","6.458","5.376","0.000","3.109","0.000"
"38","PC","James French","1","2:23.783","6:42.965","Green","Track","37.116","29.741","23.278","7.815","6.601","6.297","10.556","7.066","6.363","0.000","0.000","3.116","0.000"
"9","GTD","Tristan Vautier","1","1:53.275","6:45.661","Green","Track","12.741","25.317","21.810","7.942","6.460","5.978","10.699","7.228","6.354","0.000","0.000","3.022","0.000"
"911","GTLM","Patrick Pilet","2","2:02.896","6:50.691","Green","Track","26.044","24.412","20.022","7.903","6.470","5.961","9.673","7.232","6.362","0.000","0.000","3.055","0.000"
"28","GTD","Lance Willsey","1","2:24.492","7:02.021","Green","Track","32.730","32.209","24.038","8.256","6.533","6.179","12.128","7.322","6.370","0.000","0.000","3.035","0.000"
"85","PC","Chris Miller","2","1:47.450","7:05.198","Green","Track","11.553","24.188","20.182","7.597","6.370","5.954","9.589","6.938","6.273","0.000","0.000","3.054","0.000"
"68","GTLM","Alessandro Pier Guidi","2","1:49.987","7:09.546","Green","Track","11.016","23.395","20.067","8.419","8.288","7.136","9.761","7.002","6.222","5.201","0.000","3.011","0.000"
"31","P","Eric Curran","3","1:42.710","7:12.554","Green","Track","11.076","23.046","19.835","7.221","5.904","5.470","9.696","6.608","5.807","4.826","0.436","2.785","187.656"
"5","P","Filipe Albuquerque","3","1:43.719","7:13.827","Green","Track","11.175","23.163","19.902","7.164","5.866","6.262","9.912","6.515","5.759","4.803","0.434","2.764","188.521"
"10","P","Jordan Taylor","3","1:41.296","7:14.366","Green","Track","10.884","22.595","19.793","7.143","5.856","5.420","9.318","6.510","5.770","4.807","0.434","2.766","188.521"
"2","P","Johannes van Overbeek","3","1:41.455","7:17.313","Green","Track","10.888","22.559","19.883","7.189","5.878","5.433","9.388","6.485","5.751","4.794","0.434","2.773","188.521"
"26","PC","Ryan Eversley","2","1:46.372","7:20.465","Green","Track","11.226","23.410","20.119","7.617","6.407","5.888","9.751","6.933","6.260","5.237","0.475","3.049","172.249"
"3","GTLM","Mike Rockenfeller","3","1:46.778","7:22.774","Green","Track","11.475","23.720","19.816","7.769","6.379","5.906","9.701","7.062","6.267","5.208","0.470","3.005","174.081"
"90","P","Marc Goossens","3","1:42.881","7:24.311","Green","Track","11.071","22.972","19.858","7.264","5.895","5.466","9.619","6.699","5.919","4.868","0.440","2.810","185.950"
"52","PC","Tom Kimber-Smith","3","1:45.866","7:25.640","Green","Track","11.233","23.325","20.125","7.516","6.243","5.846","9.909","6.878","6.166","5.173","0.466","2.986","175.575"
