"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"02","P","Kyle Larson","3","7:26.823","14:41.140","Green","Pit","13.194","0.000","0.000","7.791","6.062","0.000","134.150","0.000","6.044","8.837","0.445","449.655","183.861"
"90","P","Ryan Dalziel","2","10:16.713","14:43.128","Green","Pit","13.812","28.266","24.931","7.809","6.098","6.242","11.976","6.984","5.997","11.179","0.449","619.563","182.223"
"007","GTD","Lars Viljoen","4","5:55.717","14:52.365","Green","Pit","13.782","31.343","27.291","9.499","7.470","7.613","0.000","0.000","7.056","9.358","0.000","358.792","0.000"
"25","GTLM","Dirk Werner","4","7:53.204","14:56.571","Green","Pit","12.324","26.483","22.994","7.981","6.500","6.140","127.440","7.243","6.349","8.357","0.480","476.276","170.455"
"31","P","Dane Cameron","4","7:12.159","15:03.056","Green","Pit","13.791","29.240","24.766","7.666","6.121","0.000","0.000","0.000","6.173","11.146","0.000","0.000","0.000"
"63","GTD","Jeff Segal","2","8:08.287","15:17.340","Green","Pit","14.864","0.000","0.000","8.437","6.651","0.000","146.691","0.000","6.470","10.389","0.484","491.361","169.046"
"3","GTLM","Jan Magnussen","4","8:16.223","15:21.037","Green","Pit","12.578","28.063","27.065","9.610","7.388","8.014","0.000","0.000","7.208","9.981","0.000","0.000","0.000"
"100","GTLM","John Edwards","4","8:21.084","15:29.132","Green","Pit","12.844","0.000","0.000","8.016","6.462","0.000","131.391","7.333","6.290","9.337","0.476","504.119","171.887"
"52","PC","Jose Gutierrez","3","7:46.419","15:30.289","Green","Pit","30.984","32.282","27.156","8.766","7.455","0.000","0.000","7.714","7.647","12.139","0.000","0.000","0.000"
"68","GTLM","Alessandro Pier Guidi","4","8:20.473","15:31.267","Green","Pit","13.424","0.000","0.000","8.165","6.583","0.000","129.864","7.263","6.331","10.821","0.473","503.477","172.977"
"38","PC","James French","4","7:12.463","15:32.592","Green","Pit","14.175","28.686","26.236","8.661","6.637","-119.804","15.000","7.954","0.000","14.102","0.000","0.000","0.000"
"67","GTLM","Ryan Briscoe","4","8:57.650","16:07.126","Green","Track","297.459","27.949","22.652","8.400","7.578","6.584","11.859","7.390","6.409","5.316","0.480","3.072","170.455"
"5","P","Joao Barbosa","3","9:06.684","16:16.633","Green","Track","291.440","30.978","0.000","8.197","6.231","0.000","0.000","0.000","0.000","5.031","0.000","2.897","0.000"
"6","GTD","Lawson Aschenbach","2","8:46.498","16:21.806","Green","Track","262.784","30.879","0.000","8.527","6.755","0.000","0.000","0.000","0.000","5.477","0.493","3.156","165.960"
"62","GTLM","Giancarlo Fisichella","4","7:35.280","16:27.907","Green","Track","209.001","27.768","0.000","7.942","6.468","0.000","345.177","0.000","337.158","5.281","0.479","3.057","170.810"
"4","GTLM","Oliver Gavin","4","9:19.658","16:28.847","Green","Track","187.716","28.048","0.000","7.956","6.494","0.000","327.125","0.000","0.000","5.252","0.477","3.035","171.527"
"28","GTD","Marc Basseng","4","7:44.700","16:39.844","Green","Track","208.168","31.011","0.000","8.293","0.000","0.000","353.946","7.588","6.404","0.000","0.000","2.997","0.000"
"540","GTD","Patrick Long","2","8:35.924","16:40.689","Green","Track","244.138","31.858","0.000","8.628","0.000","0.000","530.339","8.012","6.629","0.000","0.000","0.000","0.000"
"21","GTD","Emanuele Busnelli","2","10:02.617","16:45.032","Green","Track","246.612","35.216","0.000","0.000","0.000","0.000","0.000","7.832","6.958","0.000","0.000","3.583","0.000"
"98","GTD","Richie Stanaway","3","9:46.951","16:48.377","Green","Track","331.921","31.543","0.000","0.000","0.000","0.000","0.000","7.635","6.535","0.000","0.000","0.000","0.000"
"11","GTD","Townsend Bell","2","8:42.237","16:49.205","Green","Track","255.335","31.304","0.000","0.000","0.000","0.000","534.854","7.444","6.357","0.000","0.000","0.000","0.000"
"85","PC","Stephen Simpson","3","9:56.253","16:54.045","Green","Pit","13.945","29.791","26.084","8.900","7.483","8.182","0.000","0.000","7.553","10.556","0.000","0.000","0.000"
"37","P","Mikhail Aleshin","3","8:43.082","16:54.621","Green","Track","254.247","34.527","0.000","7.974","0.000","0.000","534.179","7.234","0.000","0.000","0.000","0.000","0.000"
"26","PC","Ryan Eversley","3","9:17.359","16:54.799","Green","Track","280.281","31.435","0.000","8.157","0.000","0.000","0.000","7.434","0.000","0.000","0.000","0.000","0.000"
"97","GTD","Markus Palttala","4","8:14.222","16:55.457","Green","Track","227.150","31.841","0.000","8.496","0.000","0.000","0.000","7.714","6.586","0.000","0.000","0.000","0.000"
"72","GTLM","James Calado","3","8:54.807","16:55.669","Green","Track","290.261","0.000","23.661","8.026","0.000","0.000","546.564","7.508","0.000","0.000","0.000","0.000","0.000"
"66","GTLM","Joey Hand","4","2:19.560","16:56.126","Green","Track","29.447","0.000","24.570","8.276","0.000","0.000","0.000","7.373","0.000","0.000","0.000","0.000","0.000"
"44","GTD","Andy Lally","3","9:29.611","16:56.725","Green","Track","307.080","32.191","0.000","8.499","0.000","0.000","0.000","7.737","0.000","0.000","0.000","0.000","0.000"
"96","GTD","Marco Wittman","4","9:15.644","16:59.121","Green","Track","295.796","31.390","0.000","8.980","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"10","P","Ricky Taylor","5","2:21.091","16:59.978","Green","Track","29.733","0.000","25.401","7.887","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"93","GTD","Damien Faulkner","3","9:29.616","17:01.017","Green","Track","307.588","0.000","27.609","8.503","0.000","0.000","0.000","7.831","0.000","0.000","0.000","0.000","0.000"
"51","GTD","Raffaele Gianmaria","3","9:46.924","17:02.587","Green","Track","325.567","0.000","26.479","8.580","0.000","0.000","0.000","468.599","0.000","0.000","0.000","3.025","0.000"
"02","P","Scott Dixon","4","2:24.432","17:05.572","Green","Track","31.347","0.000","25.857","7.930","0.000","0.000","13.115","0.000","0.000","0.000","0.000","2.863","0.000"
"90","P","Ryan Dalziel","3","2:26.656","17:09.784","Green","Track","31.133","0.000","26.554","7.943","0.000","0.000","0.000","0.000","6.236","0.000","0.446","2.836","183.449"
"25","GTLM","Dirk Werner","5","2:14.053","17:10.624","Green","Track","27.485","0.000","23.084","8.037","0.000","0.000","0.000","0.000","6.435","0.000","0.482","3.091","169.747"
"007","GTD","Lars Viljoen","5","2:28.440","17:20.805","Green","Track","30.661","0.000","26.229","8.442","0.000","6.529","13.570","0.000","6.568","5.508","0.000","3.848","0.000"
"01","P","Alex Wurz","5","2:40.566","17:21.275","Green","Track","30.825","0.000","30.072","8.479","0.000","6.432","0.000","0.000","6.425","5.258","0.000","4.058","0.000"
"3","GTLM","Jan Magnussen","5","2:15.407","17:36.444","Green","Track","28.614","0.000","23.294","8.182","0.000","0.000","11.769","0.000","6.385","5.299","0.000","3.089","0.000"
"22","GTD","Leh Keen","3","9:44.952","17:39.055","Green","Track","324.281","0.000","26.749","8.391","0.000","0.000","13.329","0.000","6.544","0.000","0.000","3.122","0.000"
"63","GTD","Jeff Segal","2","2:28.909","15:17.340","Green","Track","29.663","0.000","27.062","8.572","0.000","0.000","13.804","0.000","6.524","0.000","0.000","3.283","0.000"
"100","GTLM","John Edwards","4","2:17.448","15:29.132","Red","Track","28.035","0.000","23.552","0.000","0.000","0.000","0.000","0.000","6.398","0.000","0.000","0.000","0.000"
