"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"6","GTD","Andrew Davis","12","55.035","11:27.891","Green","Track","0.469","0.838","9.969","10.839","15.098","5.617","9.401","2.804","147.921"
"73","GTD","Patrick Lindsey","9","1:07.648","11:29.159","Green","Track","0.000","0.000","13.349","14.078","14.992","6.331","9.542","2.776","0.000"
"22","GTD","Cooper MacNeil","12","1:04.140","11:34.254","Green","Track","0.473","0.847","10.989","13.868","17.696","7.302","10.106","2.859","146.670"
"96","GTD","Bret Curtis","12","54.898","11:36.424","Green","Track","0.468","0.834","10.118","10.901","14.207","5.741","9.794","2.835","148.237"
"33","GTD","Ben Keating","12","55.265","11:48.574","Green","Track","0.474","0.844","10.113","10.783","14.994","5.774","9.497","2.786","146.361"
"97","GTD","Michael Marsal","12","54.156","11:50.148","Green","Track","0.468","0.835","9.945","10.741","14.256","5.555","9.572","2.784","148.237"
"48","GTD","Madison Snow","12","53.476","11:52.815","Green","Track","0.465","0.830","10.016","10.735","13.765","5.466","9.425","2.774","149.194"
"540","GTD","Timothy Pappas","12","55.872","12:01.559","Green","Track","0.474","0.846","10.345","11.061","14.622","5.839","9.864","2.821","146.361"
"27","GTD","Cedric Sbirrazzuoli","11","54.558","12:12.607","Green","Track","0.471","0.838","10.138","10.717","13.905","5.775","9.915","2.799","147.293"
"63","GTD","Christina Nielsen","13","53.824","12:14.743","Green","Track","0.478","0.852","10.198","10.629","13.861","5.413","9.582","2.811","145.136"
"9","GTD","Matt Bell","8","53.222","12:18.449","Green","Track","0.474","0.847","9.948","10.605","13.817","5.401","9.328","2.802","146.361"
"6","GTD","Andrew Davis","13","53.539","12:21.430","Green","Track","0.473","0.843","9.895","10.683","14.003","5.474","9.359","2.809","146.670"
"73","GTD","Patrick Lindsey","10","53.734","12:22.893","Green","Track","0.469","0.836","10.142","10.888","13.914","5.429","9.273","2.783","147.921"
