"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"63","GTD","Alessandro Balzan","9","7:36.771","20:27.446","Green","Track","371.933","7.336","25.615","23.083","7.657","0.560","19.620","0.967","154.627"
"88","PC","Maxwell Hanratty","10","1:19.528","20:28.040","Green","Track","5.831","3.641","20.972","21.295","7.283","0.540","19.086","0.880","160.354"
"16","GTD","Corey Lewis","11","1:22.069","20:32.927","Green","Track","5.958","3.932","21.896","22.019","7.503","0.544","19.284","0.933","159.174"
"33","GTD","Marc Miller","10","1:21.741","20:33.576","Green","Track","5.984","3.940","21.945","21.772","7.384","0.537","19.244","0.935","161.249"
"20","PC","Don Yount","13","1:18.870","20:33.859","Green","Track","5.700","3.691","20.965","21.093","7.178","0.531","18.827","0.885","163.071"
"66","GTLM","Dirk Mueller","12","1:21.768","20:34.410","Green","Track","5.840","3.683","21.862","21.959","7.571","0.000","0.000","0.890","0.000"
"3","GTLM","Antonio Garcia","12","1:31.393","20:35.444","Green","Pit","5.755","3.626","22.467","21.731","7.466","0.545","20.399","9.404","158.882"
"912","GTLM","Earl Bamber","11","1:18.511","20:38.734","Green","Track","5.717","3.642","20.705","20.993","7.496","0.549","18.537","0.872","157.725"
"48","GTD","Bryce Miller","12","1:22.038","20:47.533","Green","Track","6.125","3.893","21.792","21.721","7.534","0.550","19.475","0.948","157.438"
"31","P","Eric Curran","13","1:15.136","20:47.673","Green","Track","5.458","3.363","19.480","20.167","7.103","0.524","18.149","0.892","165.250"
"96","GTD","Jens Klingmann","9","1:21.076","20:55.105","Green","Track","5.905","3.838","21.452","21.739","7.532","0.551","19.135","0.924","157.152"
"97","GTD","Cameron Lawrence","12","1:22.106","20:59.487","Green","Track","5.994","3.895","21.771","21.989","7.540","0.551","19.449","0.917","157.152"
"73","GTD","Patrick Lindsey","11","1:21.509","21:00.689","Green","Track","5.943","3.823","21.727","21.723","7.574","0.553","19.255","0.911","156.584"
"8","PC","Alex Popow","13","1:17.465","21:00.893","Green","Track","5.648","3.407","20.060","20.641","7.247","0.536","19.016","0.910","161.550"
"7","PC","James Dayson","13","1:20.389","21:06.761","Green","Track","5.958","3.667","21.486","21.408","7.351","0.545","19.034","0.940","158.882"
"2","P","Scott Sharp","9","6:58.951","21:07.100","Green","Track","342.496","5.510","23.144","20.948","7.052","0.526","18.443","0.832","164.622"
"5","P","Filipe Albuquerque","13","1:15.019","21:08.093","Green","Track","5.423","3.325","19.678","20.492","7.018","0.519","17.744","0.820","166.842"
"38","PC","Kenton Koch","10","1:18.577","21:09.366","Green","Track","5.684","3.516","20.762","21.112","7.435","0.549","18.666","0.853","157.725"
"27","GTD","Paolo Ruberti","10","2:26.660","21:10.073","Green","Pit","6.216","4.028","22.900","22.285","7.892","0.593","22.461","60.285","146.022"
"25","GTLM","Bill Auberlen","11","1:21.540","21:10.954","Green","Track","5.817","3.634","21.381","21.203","8.342","0.613","19.672","0.878","141.258"
"0","P","Andy Meyrick","11","1:16.530","21:11.369","Green","Track","5.566","3.545","20.525","20.427","6.752","0.498","18.333","0.884","173.877"
"70","P","Joel Miller","11","1:16.290","21:11.560","Green","Track","5.422","3.506","20.523","20.624","6.827","0.503","18.066","0.819","172.149"
"911","GTLM","Nick Tandy","12","1:18.549","21:18.108","Green","Track","5.812","3.632","20.670","20.957","7.518","0.551","18.523","0.886","157.152"
"100","GTLM","Lucas Luhr","10","1:18.601","21:19.037","Green","Track","5.713","3.571","20.646","21.036","7.504","0.551","18.697","0.883","157.152"
"60","P","John Pew","14","1:16.016","21:19.877","Green","Track","5.519","3.375","20.255","20.307","6.969","0.000","0.000","0.819","0.000"
"62","GTLM","Toni Vilander","11","1:18.456","21:24.666","Green","Track","5.795","3.611","20.697","20.982","7.508","0.551","18.433","0.879","157.152"
"67","GTLM","Scott Dixon","11","1:19.141","21:26.642","Green","Track","5.918","3.629","20.833","21.141","7.557","0.554","18.625","0.884","156.301"
"44","GTD","Andy Lally","11","1:20.430","21:33.189","Green","Track","5.844","3.704","21.241","21.579","7.629","0.557","18.982","0.894","155.459"
"52","PC","Jose Gutierrez","12","1:18.488","21:33.559","Green","Track","5.765","3.567","20.696","20.999","7.255","0.542","18.809","0.855","159.762"
"55","P","Spencer Pigot","14","1:17.355","21:40.063","Green","Track","5.488","3.411","21.937","20.307","6.975","0.518","17.902","0.817","167.164"
"68","GTLM","Daniel Serra","12","1:20.823","21:42.851","Green","Track","5.752","3.504","22.123","21.632","7.554","0.555","18.815","0.888","156.020"
"4","GTLM","Tommy Milner","12","1:28.273","21:42.995","Green","Pit","5.738","3.545","20.676","21.165","7.520","0.549","19.704","9.376","157.725"
"23","GTD","Ian James","10","2:33.560","21:44.291","Green","Track","69.579","5.881","24.876","22.446","7.662","0.611","21.533","0.972","141.720"
"9","GTD","Matt Bell","13","1:21.328","21:46.412","Green","Track","5.898","3.760","21.612","21.823","7.605","0.555","19.166","0.909","156.020"
"88","PC","Maxwell Hanratty","11","1:21.861","21:49.901","Green","Track","5.947","3.883","22.114","21.975","7.315","0.543","19.206","0.878","159.468"
"63","GTD","Alessandro Balzan","10","1:23.474","21:50.920","Green","Track","6.214","3.952","22.038","22.043","7.601","0.561","20.105","0.960","154.351"
"20","PC","Don Yount","14","1:20.315","21:54.174","Green","Track","5.850","3.807","21.444","21.241","7.219","0.537","19.338","0.879","161.249"
"31","P","Eric Curran","14","1:16.307","22:03.980","Green","Track","5.761","3.400","19.455","20.165","7.100","0.525","19.078","0.823","164.935"
"66","GTLM","Dirk Mueller","13","1:31.213","22:05.623","Green","Pit","5.961","3.712","23.444","21.594","7.518","0.551","19.218","9.215","157.152"
"912","GTLM","Earl Bamber","12","1:28.337","22:07.071","Green","Track","5.708","3.554","20.562","27.290","9.308","0.694","20.350","0.871","124.771"
"33","GTD","Marc Miller","11","1:34.683","22:08.259","Green","Pit","6.153","4.087","24.229","22.087","7.408","0.541","20.714","9.464","160.057"
"48","GTD","Bryce Miller","13","1:33.098","22:20.631","Green","Pit","6.094","4.180","22.433","22.291","7.546","0.548","20.631","9.375","158.013"
"8","PC","Alex Popow","14","1:20.994","22:21.887","Green","Track","5.867","4.065","20.729","21.286","7.894","0.648","19.654","0.851","133.628"
"97","GTD","Cameron Lawrence","13","1:23.603","22:23.090","Green","Track","6.041","3.863","21.818","22.682","7.500","0.548","20.224","0.927","158.013"
"2","P","Scott Sharp","10","1:16.492","22:23.592","Green","Track","5.581","3.544","20.176","20.445","7.039","0.527","18.349","0.831","164.309"
"96","GTD","Jens Klingmann","10","1:30.739","22:25.844","Green","Pit","5.998","3.780","21.365","21.856","7.521","0.550","20.235","9.434","157.438"
"5","P","Filipe Albuquerque","14","1:18.790","22:26.883","Green","Track","5.454","3.396","19.890","20.474","7.041","0.596","21.119","0.820","145.287"
"7","PC","James Dayson","14","1:21.424","22:28.185","Green","Track","6.096","3.837","22.050","20.972","7.322","0.544","19.628","0.975","159.174"
"38","PC","Kenton Koch","11","1:18.938","22:28.304","Green","Track","5.703","3.479","20.766","21.011","7.304","0.541","19.183","0.951","160.057"
"0","P","Andy Meyrick","12","1:21.026","22:32.395","Green","Track","5.779","3.877","21.013","20.763","7.961","0.639","20.157","0.837","135.510"
"25","GTLM","Bill Auberlen","12","1:23.247","22:34.201","Green","Track","5.819","3.609","20.883","22.187","8.655","0.752","20.467","0.875","115.147"
"911","GTLM","Nick Tandy","13","1:18.559","22:36.667","Green","Track","5.746","3.572","20.774","20.922","7.507","0.551","18.609","0.878","157.152"
"60","P","John Pew","15","1:17.127","22:37.004","Green","Track","5.566","3.440","20.623","20.685","6.941","0.000","0.000","0.819","0.000"
"70","P","Joel Miller","12","1:25.864","22:37.424","Green","Pit","5.474","3.652","20.720","20.213","6.956","0.515","18.994","9.340","168.138"
"100","GTLM","Lucas Luhr","11","1:18.854","22:37.891","Green","Track","5.733","3.547","20.698","21.022","7.527","0.554","18.889","0.884","156.301"
"62","GTLM","Toni Vilander","12","1:18.294","22:42.960","Green","Track","5.787","3.533","20.673","20.882","7.489","0.551","18.502","0.877","157.152"
"67","GTLM","Scott Dixon","12","1:18.474","22:45.116","Green","Track","5.876","3.598","20.549","20.984","7.524","0.551","18.508","0.884","157.152"
"52","PC","Jose Gutierrez","13","1:16.962","22:50.521","Green","Track","5.685","3.516","20.002","20.724","7.287","0.540","18.360","0.848","160.354"
"27","GTD","Paolo Ruberti","11","1:43.228","22:53.301","Green","Track","23.363","5.444","23.422","22.696","7.571","0.552","19.236","0.944","156.868"
"16","GTD","Corey Lewis","12","2:20.953","22:53.880","Green","Pit","5.984","3.947","21.892","22.406","7.475","0.544","20.187","58.518","159.174"
"55","P","Spencer Pigot","15","1:14.838","22:54.901","Green","Track","5.424","3.292","19.315","20.482","6.946","0.514","18.042","0.823","168.465"
"6","GTD","Robin Liddell","12","2:54.210","22:57.663","Green","Track","94.949","5.191","23.113","22.237","7.655","0.558","19.564","0.943","155.181"
"90","P","Ryan Dalziel","11","3:32.717","22:58.464","Green","Track","136.448","6.150","23.205","20.475","7.090","0.523","17.999","0.827","165.566"
"68","GTLM","Daniel Serra","13","1:18.743","23:01.594","Green","Track","5.792","3.510","20.768","20.944","7.528","0.555","18.763","0.883","156.020"
"44","GTD","Andy Lally","12","1:30.203","23:03.392","Green","Pit","6.538","3.844","21.601","21.711","7.598","0.556","18.985","9.370","155.739"
"23","GTD","Ian James","11","1:22.709","23:07.000","Green","Track","6.249","3.920","21.981","21.980","7.592","0.558","19.498","0.931","155.181"
"88","PC","Maxwell Hanratty","12","1:19.429","23:09.330","Green","Track","5.769","3.628","21.139","21.159","7.294","0.543","19.031","0.866","159.468"
"20","PC","Don Yount","15","1:18.876","23:13.050","Green","Track","5.779","3.517","20.742","21.458","7.183","0.530","18.805","0.862","163.379"
"63","GTD","Alessandro Balzan","11","1:23.128","23:14.048","Green","Track","6.235","4.103","22.184","21.791","7.562","0.558","19.748","0.947","155.181"
