"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"66","GTLM","Dirk Mueller","18","51.856","27:31.858","Green","Track","0.475","0.846","9.787","10.422","13.464","5.216","8.933","2.713","146.053"
"7","PC","Sean Rayhall","18","50.046","27:33.490","Green","Track","0.446","0.798","9.519","10.060","13.144","5.050","8.442","2.587","155.549"
"20","PC","Johnny Mowlem","24","7:33.659","27:35.043","Green","Pit","0.443","0.789","9.905","10.386","13.785","5.363","11.661","401.327","156.603"
"3","GTLM","Antonio Garcia","19","52.063","27:45.353","Green","Track","0.466","0.832","9.722","10.425","13.687","5.237","8.972","2.722","148.873"
"52","PC","Tom Kimber-Smith","29","1:01.788","27:46.948","Green","Pit","0.447","0.796","9.431","10.141","13.168","5.104","10.930","11.771","155.201"
"73","GTD","Jorg Bergmeister","15","1:02.734","27:47.153","Green","Track","0.000","0.000","12.784","11.502","14.148","5.492","9.426","2.806","0.000"
"23","GTD","Alex Riberas","22","54.344","27:48.256","Green","Track","0.477","0.848","10.270","10.973","13.946","5.516","9.485","2.829","145.440"
"85","PC","Misha Goikhberg","29","52.177","27:50.978","Green","Track","0.445","0.795","9.755","10.577","13.682","5.244","8.985","2.694","155.899"
"44","GTD","John Potter","30","54.766","27:55.067","Green","Track","0.476","0.848","10.299","11.052","14.206","5.582","9.493","2.810","145.746"
"62","GTLM","Toni Vilander","24","52.130","27:56.471","Green","Track","0.464","0.000","0.000","0.000","0.000","0.000","0.000","0.000","149.515"
"4","GTLM","Tommy Milner","22","53.090","27:57.467","Green","Track","0.484","0.889","10.300","10.440","13.843","5.304","9.090","2.740","143.337"
"912","GTLM","Frederic Makowiecki","28","53.301","28:00.052","Green","Track","0.465","0.829","9.976","10.458","14.098","5.492","9.226","2.757","149.194"
"97","GTD","Markus Palttala","26","1:06.261","28:03.658","Green","Track","0.000","0.000","15.584","11.187","14.062","6.089","10.011","2.806","0.000"
"27","GTD","Lawrence DeGeorge","22","59.140","28:03.809","Green","Track","0.545","0.970","11.448","11.931","14.840","6.117","10.215","3.074","127.294"
"16","GTD","Corey Lewis","20","53.915","28:09.788","Green","Track","0.468","0.834","10.065","10.901","13.878","5.537","9.443","2.789","148.237"
"22","GTD","Leh Keen","26","53.908","28:16.251","Green","Track","0.475","0.847","10.260","10.708","13.882","5.467","9.439","2.830","146.053"
"25","GTLM","Dirk Werner","23","52.154","28:18.157","Green","Track","0.460","0.822","9.661","10.693","13.569","5.224","9.008","2.717","150.815"
"100","GTLM","Lucas Luhr","22","54.899","28:18.192","Green","Track","0.468","0.837","9.962","10.505","13.827","6.388","9.921","2.991","148.237"
"54","PC","Colin Braun","29","51.014","28:18.688","Green","Track","0.456","0.812","9.634","10.534","13.196","5.071","8.697","2.614","152.138"
"88","PC","Mark Kvamme","26","1:09.407","28:22.781","Green","Track","0.000","0.000","16.356","12.559","15.196","5.869","10.042","2.817","0.000"
