"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"85","PC","Stephen Simpson","65","1:24.181","1:37:06.245","Green","Track","1.649","0.471","3.892","25.168","19.348","14.634","8.420","10.599","140.899"
"38","PC","Kyle Marcelli","65","1:24.352","1:37:06.971","Green","Track","1.624","0.467","3.844","24.990","19.311","14.907","8.667","10.542","142.106"
"88","PC","Ashley Freiberg","63","1:26.237","1:37:07.338","Green","Track","1.637","0.468","4.089","25.549","19.587","15.167","8.945","10.795","141.803"
"97","GTD","Markus Palttala","62","1:28.016","1:37:13.056","Green","Track","1.761","0.506","4.063","26.394","20.214","14.997","8.923","11.158","131.153"
"80","GTD","Mike Skeen","62","1:28.485","1:37:16.469","Green","Track","1.727","0.492","4.004","26.680","20.352","15.187","8.943","11.100","134.885"
"44","GTD","Andy Lally","62","1:28.052","1:37:18.205","Green","Track","1.784","0.508","4.049","26.562","20.401","14.636","8.980","11.132","130.637"
"23","GTD","Mario Farnbacher","63","1:27.694","1:37:18.484","Green","Track","1.746","0.499","4.075","26.319","20.387","14.820","8.890","10.958","132.993"
"63","GTD","Alessandro Balzan","63","1:27.500","1:37:19.503","Green","Track","1.723","0.492","3.998","26.308","20.115","14.939","8.908","11.017","134.885"
"54","PC","Colin Braun","65","1:22.884","1:37:20.923","Green","Track","1.633","0.470","3.885","24.531","19.447","14.280","8.183","10.455","141.199"
"96","GTD","Jens Klingmann","63","1:27.689","1:37:23.287","Green","Track","1.764","0.505","4.014","26.333","20.351","14.744","8.792","11.186","131.413"
"007","GTD","James Davison","63","1:27.825","1:37:30.975","Green","Track","1.742","0.493","4.076","26.557","20.149","14.912","8.900","10.996","134.612"
"6","GTD","Robin Liddell","63","1:27.931","1:37:35.016","Green","Track","1.780","0.502","4.061","26.453","20.416","14.863","8.821","11.035","132.198"
"20","PC","Johnny Mowlem","65","1:26.030","1:37:37.316","Green","Track","1.646","0.470","4.047","26.312","19.578","14.590","8.733","10.654","141.199"
"33","GTD","Jeroen Bleekemolen","63","1:28.270","1:37:38.032","Green","Track","1.719","0.491","3.988","26.527","20.201","15.094","9.202","11.048","135.160"
"48","GTD","Bryan Sellers","63","1:28.188","1:37:40.371","Green","Track","1.753","0.501","4.072","26.571","20.361","14.906","8.935","11.089","132.462"
"22","GTD","Leh Keen","63","1:28.708","1:37:41.220","Green","Track","1.736","0.499","4.120","26.631","20.325","15.234","8.866","11.297","132.993"
"9","GTD","Lawson Aschenbach","63","1:28.509","1:37:41.501","Green","Track","1.771","0.502","4.089","26.742","20.305","15.007","8.926","11.167","132.198"
"11","GTD","Townsend Bell","63","1:27.735","1:37:46.961","Green","Track","1.761","0.505","4.044","26.623","20.163","14.690","8.877","11.072","131.413"
"16","GTD","Spencer Pumpelly","63","1:27.393","1:37:49.577","Green","Track","1.765","0.501","4.036","26.391","20.139","14.698","8.845","11.018","132.462"
"73","GTD","Jorg Bergmeister","63","1:28.487","1:37:54.190","Green","Track","1.746","0.498","4.016","26.959","20.412","14.953","8.814","11.089","133.260"
"540","GTD","Nicky Catsburg","39","1:26.903","1:38:00.790","Green","Track","1.755","0.503","4.104","26.138","20.085","14.478","8.899","10.941","131.936"
"52","PC","Tom Kimber-Smith","66","1:21.813","1:38:19.523","Green","Track","1.652","0.473","3.883","24.623","18.705","14.007","8.087","10.383","140.304"
"8","PC","Renger Van DerZande","66","1:22.209","1:38:22.342","Green","Track","1.640","0.466","3.865","24.536","18.885","14.146","8.186","10.485","142.411"
"85","PC","Stephen Simpson","66","1:24.149","1:38:30.394","Green","Track","1.656","0.473","3.908","25.481","19.537","14.046","8.402","10.646","140.304"
"38","PC","Kyle Marcelli","66","1:23.541","1:38:30.512","Green","Track","1.637","0.468","3.899","24.959","19.690","14.100","8.378","10.410","141.803"
"88","PC","Ashley Freiberg","64","1:26.191","1:38:33.529","Green","Track","1.634","0.467","4.175","25.748","19.990","14.925","8.632","10.620","142.106"
"27","GTD","Cedric Sbirrazzuoli","53","1:33.200","1:38:37.097","Green","Track","1.778","0.510","4.104","28.125","22.321","15.714","9.314","11.334","130.125"
"97","GTD","Markus Palttala","63","1:27.801","1:38:40.857","Green","Track","1.767","0.508","4.046","26.314","20.332","14.836","8.875","11.123","130.637"
"54","PC","Colin Braun","66","1:23.471","1:38:44.394","Green","Track","1.632","0.465","3.819","25.217","19.168","14.301","8.210","10.659","142.717"
"80","GTD","Mike Skeen","63","1:28.407","1:38:44.876","Green","Track","1.727","0.492","3.971","26.645","20.371","15.115","8.933","11.153","134.885"
"44","GTD","Andy Lally","63","1:28.595","1:38:46.800","Green","Track","1.781","0.506","4.066","26.558","20.267","15.241","9.038","11.138","131.153"
"23","GTD","Mario Farnbacher","64","1:28.496","1:38:46.980","Green","Track","1.741","0.498","4.060","26.683","20.462","15.050","8.965","11.037","133.260"
"63","GTD","Alessandro Balzan","64","1:28.210","1:38:47.713","Green","Track","1.722","0.490","4.009","26.475","20.388","15.231","8.909","10.986","135.436"
"96","GTD","Jens Klingmann","64","1:27.960","1:38:51.247","Green","Track","1.768","0.507","4.015","26.522","20.305","14.782","8.816","11.245","130.895"
"007","GTD","James Davison","64","1:27.872","1:38:58.847","Green","Track","1.736","0.492","4.011","26.612","20.232","14.898","8.877","11.014","134.885"
"20","PC","Johnny Mowlem","66","1:25.278","1:39:02.594","Green","Track","1.658","0.474","3.934","25.459","19.308","15.087","8.799","10.559","140.008"
"6","GTD","Robin Liddell","64","1:28.620","1:39:03.636","Green","Track","1.782","0.505","4.054","26.404","20.245","15.122","9.345","11.163","131.413"
"33","GTD","Jeroen Bleekemolen","64","1:28.092","1:39:06.124","Green","Track","1.713","0.489","3.984","26.601","20.305","15.075","8.982","10.943","135.713"
"48","GTD","Bryan Sellers","64","1:27.872","1:39:08.243","Green","Track","1.754","0.500","4.034","26.482","20.282","14.836","8.897","11.087","132.727"
"22","GTD","Leh Keen","64","1:27.939","1:39:09.159","Green","Track","1.732","0.497","4.086","26.603","20.245","14.925","8.807","11.044","133.528"
"9","GTD","Lawson Aschenbach","64","1:28.350","1:39:09.851","Green","Track","1.762","0.500","4.110","26.780","20.444","14.877","8.782","11.095","132.727"
"11","GTD","Townsend Bell","64","1:28.151","1:39:15.112","Green","Track","1.757","0.504","4.032","26.617","20.204","15.056","8.867","11.114","131.674"
"16","GTD","Spencer Pumpelly","64","1:27.689","1:39:17.266","Green","Track","1.757","0.501","4.009","26.392","20.230","14.778","8.977","11.045","132.462"
"73","GTD","Jorg Bergmeister","64","1:27.912","1:39:22.102","Green","Track","1.741","0.497","4.051","26.481","20.271","14.972","8.886","11.013","133.528"
"540","GTD","Nicky Catsburg","40","1:27.155","1:39:27.945","Green","Track","1.749","0.501","4.064","26.162","20.125","14.624","9.031","10.899","132.462"
"52","PC","Tom Kimber-Smith","67","1:21.909","1:39:41.432","Green","Track","1.646","0.472","3.842","24.661","18.788","13.979","8.123","10.398","140.601"
"8","PC","Renger Van DerZande","67","1:22.174","1:39:44.516","Green","Track","1.636","0.467","3.854","24.560","18.662","14.341","8.162","10.492","142.106"
"85","PC","Stephen Simpson","67","1:23.342","1:39:53.736","Green","Track","1.650","0.470","3.968","25.403","19.012","13.957","8.324","10.558","141.199"
"38","PC","Kyle Marcelli","67","1:24.765","1:39:55.277","Green","Track","1.613","0.463","3.895","26.990","19.085","13.956","8.278","10.485","143.334"
