"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"912","GTLM","Frederic Makowiecki","27","1:45.322","47:16.526","Green","Track","21.461","15.660","13.321","15.342","11.128","0.509","22.303","5.377","0.221","160.743"
"63","GTD","Christina Nielsen","26","1:49.684","47:18.386","Green","Track","22.261","16.876","13.627","16.210","11.304","0.517","23.155","5.508","0.226","158.256"
"25","GTLM","Dirk Werner","27","1:44.416","47:21.584","Green","Track","21.543","15.655","12.496","15.206","11.166","0.513","22.258","5.358","0.221","159.490"
"67","GTLM","Richard Westbrook","27","1:44.499","47:22.079","Green","Track","21.448","15.762","12.499","15.192","11.046","0.506","22.482","5.347","0.217","161.696"
"100","GTLM","John Edwards","26","1:44.037","47:23.847","Green","Track","21.444","15.578","12.380","15.181","11.136","0.510","22.216","5.372","0.220","160.428"
"23","GTD","Mario Farnbacher","26","1:46.942","47:44.223","Green","Track","21.884","16.100","12.741","15.598","11.338","0.520","23.012","5.524","0.225","157.343"
"80","GTD","Mike Skeen","26","1:46.312","48:05.731","Green","Track","22.076","16.105","12.602","15.382","11.115","0.511","22.871","5.427","0.223","160.114"
"4","GTLM","Tommy Milner","27","1:52.150","48:10.476","Green","Track","26.108","16.843","13.062","15.517","11.227","0.512","23.235","5.424","0.222","159.801"
"96","GTD","Bret Curtis","15","1:52.511","48:17.617","Green","Track","23.114","17.287","13.913","16.532","11.197","0.510","24.235","5.499","0.224","160.428"
"6","GTD","Andrew Davis","27","1:46.460","48:22.268","Green","Track","21.851","16.083","12.774","15.611","11.236","0.511","22.728","5.443","0.223","160.114"
"27","GTD","Cedric Sbirrazzuoli","26","1:46.717","48:40.234","Green","Track","21.775","16.136","13.143","15.512","11.131","0.507","22.881","5.413","0.219","161.377"
"3","GTLM","Jan Magnussen","28","1:44.569","48:50.099","Green","Track","21.634","15.802","12.442","15.151","10.977","0.503","22.518","5.324","0.218","162.660"
"66","GTLM","Joey Hand","28","1:45.145","48:52.204","Green","Track","21.786","16.570","12.558","15.108","11.103","0.510","21.959","5.330","0.221","160.428"
"62","GTLM","Giancarlo Fisichella","28","1:44.366","48:58.322","Green","Track","21.538","15.521","12.663","15.242","11.070","0.507","22.263","5.343","0.219","161.377"
"911","GTLM","Nick Tandy","28","1:44.387","48:59.287","Green","Track","21.303","15.653","12.459","15.493","11.062","0.503","22.354","5.343","0.217","162.660"
"912","GTLM","Frederic Makowiecki","28","1:44.189","49:00.715","Green","Track","21.286","15.503","12.439","15.116","11.036","0.506","22.730","5.353","0.220","161.696"
"48","GTD","Madison Snow","27","2:50.996","49:04.088","Green","Pit","21.747","15.833","12.964","15.393","11.088","0.504","26.176","66.388","0.903","162.338"
"25","GTLM","Dirk Werner","28","1:45.155","49:06.739","Green","Track","21.285","15.656","13.061","15.539","11.169","0.514","22.323","5.387","0.221","159.179"
"67","GTLM","Richard Westbrook","28","1:45.442","49:07.521","Green","Track","21.372","15.691","13.792","15.218","11.075","0.506","22.238","5.332","0.218","161.696"
"100","GTLM","John Edwards","27","1:45.062","49:08.909","Green","Track","21.331","15.776","13.131","15.304","11.094","0.508","22.342","5.356","0.220","161.059"
"9","GTD","Matt Bell","27","2:49.552","49:10.806","Green","Pit","21.977","15.925","12.546","15.334","11.168","0.508","25.525","65.750","0.819","161.059"
"23","GTD","Mario Farnbacher","27","1:46.334","49:30.557","Green","Track","21.837","15.999","12.679","15.561","11.331","0.520","22.715","5.468","0.224","157.343"
"16","GTD","Corey Lewis","27","2:54.488","49:30.627","Green","Pit","22.048","16.092","12.846","15.672","11.025","0.514","25.739","69.693","0.859","159.179"
"80","GTD","Mike Skeen","27","1:46.136","49:51.867","Green","Track","22.090","15.999","12.615","15.334","11.107","0.512","22.847","5.410","0.222","159.801"
"97","GTD","Michael Marsal","27","2:49.413","49:56.306","Green","Pit","22.793","16.692","13.745","15.846","11.197","0.512","27.044","60.669","0.915","159.801"
"4","GTLM","Tommy Milner","28","1:46.597","49:57.073","Green","Track","21.960","16.133","12.585","15.612","11.189","0.512","22.970","5.414","0.222","159.801"
"44","GTD","John Potter","27","2:48.967","50:00.643","Green","Pit","22.269","16.594","12.894","16.391","11.237","0.506","27.144","61.094","0.838","161.696"
"33","GTD","Ben Keating","27","3:02.355","50:07.744","Green","Pit","22.991","29.821","16.406","16.696","11.050","0.504","26.345","57.607","0.935","162.338"
"96","GTD","Bret Curtis","16","1:50.139","50:07.756","Green","Track","22.678","16.708","13.201","16.232","11.147","0.511","23.971","5.468","0.223","160.114"
"63","GTD","Christina Nielsen","27","2:54.329","50:12.715","Green","Pit","22.589","16.994","0.000","0.000","11.476","0.527","26.452","57.742","0.938","155.253"
"27","GTD","Cedric Sbirrazzuoli","27","1:46.920","50:27.154","Green","Track","21.828","16.126","13.151","15.628","11.115","0.508","22.924","5.421","0.219","161.059"
"66","GTLM","Joey Hand","29","1:43.123","50:35.327","Green","Track","21.202","15.425","12.277","15.032","11.084","0.507","22.035","5.341","0.220","161.377"
"62","GTLM","Giancarlo Fisichella","29","1:44.392","50:42.714","Green","Track","21.553","15.597","12.601","15.172","11.098","0.511","22.289","5.351","0.220","160.114"
"911","GTLM","Nick Tandy","29","1:43.887","50:43.174","Green","Track","21.239","15.497","12.468","15.176","10.993","0.503","22.460","5.333","0.218","162.660"
"912","GTLM","Frederic Makowiecki","29","1:43.581","50:44.296","Green","Track","21.264","15.602","12.461","15.041","11.065","0.507","22.093","5.329","0.219","161.377"
"25","GTLM","Dirk Werner","29","1:44.097","50:50.836","Green","Track","21.347","15.607","12.434","15.178","11.135","0.514","22.290","5.371","0.221","159.179"
"67","GTLM","Richard Westbrook","29","1:43.919","50:51.440","Green","Track","21.195","15.571","12.461","15.246","11.052","0.505","22.353","5.318","0.218","162.016"
"100","GTLM","John Edwards","28","1:43.905","50:52.814","Green","Track","21.507","15.483","12.412","15.087","11.066","0.509","22.275","5.346","0.220","160.743"
"48","GTD","Madison Snow","28","1:55.296","50:59.384","Green","Track","27.117","16.454","13.643","16.002","11.188","0.509","24.536","5.621","0.226","160.743"
"9","GTD","Lawson Aschenbach","28","1:52.776","51:03.582","Green","Track","25.883","16.923","13.056","15.795","11.306","0.517","23.590","5.486","0.220","158.256"
"6","GTD","Andrew Davis","28","2:50.925","51:13.193","Green","Pit","21.860","16.262","12.685","15.599","11.235","0.514","25.885","66.043","0.842","159.179"
"23","GTD","Mario Farnbacher","28","1:46.562","51:17.119","Green","Track","21.906","16.026","12.699","15.572","11.324","0.521","22.813","5.475","0.226","157.041"
"3","GTLM","Jan Magnussen","29","2:31.378","51:21.477","Green","Pit","21.493","15.676","12.378","15.063","10.961","0.504","24.830","49.595","0.878","162.338"
"16","GTD","Spencer Pumpelly","28","1:51.733","51:22.360","Green","Track","26.214","16.333","13.103","15.752","11.161","0.506","23.032","5.412","0.220","161.696"
"80","GTD","Mike Skeen","28","1:46.754","51:38.621","Green","Track","21.922","16.050","12.593","15.373","11.110","0.514","23.529","5.440","0.223","159.179"
"97","GTD","Markus Palttala","28","1:54.748","51:51.054","Green","Track","26.742","17.005","13.488","16.343","11.341","0.520","23.577","5.507","0.225","157.343"
"44","GTD","Andy Lally","28","1:54.951","51:55.594","Green","Track","26.103","17.369","13.703","16.307","11.542","0.528","23.661","5.513","0.225","154.959"
"96","GTD","Bret Curtis","17","1:49.804","51:57.560","Green","Track","22.336","16.670","13.130","16.307","11.122","0.509","24.051","5.456","0.223","160.743"
"4","GTLM","Tommy Milner","29","2:03.485","52:00.558","Green","Pit","21.817","15.818","12.463","15.203","11.193","0.513","24.603","20.989","0.886","159.490"
"33","GTD","Jeroen Bleekemolen","28","1:54.225","52:01.969","Green","Track","26.699","17.043","13.478","16.030","11.127","0.511","23.696","5.419","0.222","160.114"
"63","GTD","Alessandro Balzan","28","1:54.585","52:07.300","Green","Track","27.078","16.971","13.500","16.040","11.418","0.522","23.334","5.496","0.226","156.740"
"27","GTD","Cedric Sbirrazzuoli","28","1:46.916","52:14.070","Green","Track","21.891","16.182","13.064","15.524","11.109","0.505","22.979","5.442","0.220","162.016"
"62","GTLM","Giancarlo Fisichella","30","1:44.617","52:27.331","Green","Track","21.335","15.779","12.795","15.184","11.101","0.510","22.326","5.367","0.220","160.428"
"912","GTLM","Frederic Makowiecki","30","1:44.217","52:28.513","Green","Track","21.202","15.667","12.498","15.027","10.963","0.501","22.751","5.388","0.220","163.310"
"67","GTLM","Richard Westbrook","30","1:44.566","52:36.006","Green","Track","21.383","15.690","12.490","15.330","11.050","0.506","22.503","5.393","0.221","161.696"
"100","GTLM","John Edwards","29","1:44.091","52:36.905","Green","Track","21.310","15.630","12.435","15.147","11.116","0.510","22.338","5.384","0.221","160.428"
"48","GTD","Madison Snow","29","1:49.219","52:48.603","Green","Track","22.616","16.375","13.464","15.765","11.211","0.509","23.566","5.491","0.222","160.743"
"9","GTD","Lawson Aschenbach","29","1:48.698","52:52.280","Green","Track","22.748","16.692","12.967","15.666","11.323","0.517","23.077","5.485","0.223","158.256"
"6","GTD","Robin Liddell","29","1:52.258","53:05.451","Green","Track","26.255","16.556","13.206","15.511","11.394","0.520","23.079","5.513","0.224","157.343"
"23","GTD","Mario Farnbacher","29","1:48.524","53:05.643","Green","Track","22.509","16.493","13.332","15.748","11.288","0.517","22.946","5.467","0.224","158.256"
"66","GTLM","Joey Hand","30","2:31.217","53:06.544","Green","Pit","21.257","15.479","12.352","15.104","11.117","0.511","24.018","50.550","0.829","160.114"
"16","GTD","Spencer Pumpelly","29","1:46.627","53:08.987","Green","Track","21.994","16.019","12.948","15.648","11.133","0.505","22.749","5.411","0.220","162.016"
"3","GTLM","Antonio Garcia","30","1:51.413","53:12.890","Green","Track","26.136","16.512","12.868","15.707","11.149","0.509","22.923","5.388","0.221","160.743"
"911","GTLM","Nick Tandy","30","2:31.128","53:14.302","Green","Pit","21.375","15.543","12.749","15.333","10.990","0.502","24.985","48.828","0.823","162.984"
"80","GTD","Mike Skeen","29","1:46.387","53:25.008","Green","Track","21.934","16.116","12.639","15.528","11.134","0.513","22.871","5.428","0.224","159.490"
"25","GTLM","Dirk Werner","30","2:34.090","53:24.926","Green","Pit","21.553","15.581","12.536","15.253","11.165","0.515","25.025","51.595","0.867","158.870"
"97","GTD","Markus Palttala","29","1:52.259","53:43.313","Green","Track","22.851","18.120","13.879","16.347","11.339","0.519","23.480","5.499","0.225","157.646"
"44","GTD","Andy Lally","29","1:49.583","53:45.177","Green","Track","22.063","17.793","13.241","15.764","11.374","0.520","23.101","5.502","0.225","157.343"
"96","GTD","Bret Curtis","18","1:49.824","53:47.384","Green","Track","22.451","16.976","13.227","16.085","11.133","0.510","23.737","5.481","0.224","160.428"
"33","GTD","Jeroen Bleekemolen","29","1:48.363","53:50.332","Green","Track","21.956","16.340","13.504","15.881","11.101","0.509","23.435","5.417","0.220","160.743"
"4","GTLM","Tommy Milner","30","1:49.960","53:50.518","Green","Track","24.925","15.834","12.727","15.818","11.114","0.507","23.375","5.438","0.222","161.377"
"63","GTD","Alessandro Balzan","29","1:48.035","53:55.335","Green","Track","22.197","16.249","12.955","15.675","11.304","0.519","23.424","5.487","0.225","157.646"
"27","GTD","Cedric Sbirrazzuoli","29","1:46.984","54:01.054","Green","Track","21.832","16.226","13.145","15.542","11.095","0.505","22.968","5.451","0.220","162.016"
"100","GTLM","John Edwards","30","1:44.543","54:21.448","Green","Track","21.447","15.694","12.357","15.354","11.151","0.512","22.393","5.412","0.223","159.801"
"48","GTD","Madison Snow","30","1:47.419","54:36.022","Green","Track","22.138","16.008","13.224","15.652","11.165","0.508","23.053","5.448","0.223","161.059"
"9","GTD","Lawson Aschenbach","30","1:46.693","54:38.973","Green","Track","21.888","16.114","12.817","15.559","11.299","0.516","22.818","5.459","0.223","158.562"
"23","GTD","Mario Farnbacher","30","1:46.240","54:51.883","Green","Track","21.969","15.892","12.639","15.376","11.317","0.520","22.789","5.512","0.226","157.343"
"6","GTD","Robin Liddell","30","1:49.378","54:54.829","Green","Track","23.448","16.385","13.187","15.695","11.400","0.519","22.986","5.533","0.225","157.646"
"16","GTD","Spencer Pumpelly","30","1:46.379","54:55.366","Green","Track","21.837","16.158","12.805","15.522","11.110","0.502","22.805","5.420","0.220","162.984"
"912","GTLM","Frederic Makowiecki","31","2:29.909","54:58.422","Green","Pit","21.331","15.617","12.429","15.066","11.009","0.506","24.180","48.965","0.806","161.696"
"3","GTLM","Antonio Garcia","31","1:46.222","54:59.112","Green","Track","21.682","15.805","12.374","16.335","11.102","0.505","22.845","5.356","0.218","162.016"
"66","GTLM","Dirk Mueller","31","1:52.598","54:59.142","Green","Track","26.144","16.615","12.974","15.796","11.286","0.517","23.572","5.469","0.225","158.256"
"62","GTLM","Giancarlo Fisichella","31","2:34.359","55:01.690","Green","Pit","21.501","15.625","12.562","15.078","11.134","0.511","23.801","53.275","0.872","160.114"
"911","GTLM","Patrick Pilet","31","1:53.087","55:07.389","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"67","GTLM","Richard Westbrook","31","2:33.154","55:09.160","Green","Pit","21.680","15.646","12.426","15.140","11.112","0.510","24.658","51.141","0.841","160.428"
"80","GTD","Mike Skeen","30","1:46.482","55:11.490","Green","Track","22.019","16.216","12.568","15.440","11.143","0.513","22.928","5.431","0.224","159.490"
"25","GTLM","Bill Auberlen","31","1:56.002","55:20.928","Green","Track","25.968","17.789","13.758","16.522","11.412","0.522","24.268","5.535","0.228","156.740"
"97","GTD","Markus Palttala","30","1:48.388","55:31.701","Green","Track","22.155","16.442","13.005","15.831","11.373","0.521","23.360","5.476","0.225","157.041"
"44","GTD","Andy Lally","30","1:47.607","55:32.784","Green","Track","22.009","16.642","12.864","15.653","11.320","0.518","22.897","5.479","0.225","157.950"
"4","GTLM","Tommy Milner","31","1:46.249","55:36.767","Green","Track","22.149","15.724","12.470","15.389","11.115","0.507","23.278","5.396","0.221","161.377"
"96","GTD","Bret Curtis","19","1:49.586","55:36.970","Green","Track","22.413","16.656","13.121","16.078","11.126","0.508","23.799","5.655","0.230","161.059"
"33","GTD","Jeroen Bleekemolen","30","1:48.243","55:38.575","Green","Track","22.952","16.205","12.892","15.601","11.054","0.506","23.413","5.399","0.221","161.696"
"63","GTD","Alessandro Balzan","30","1:47.159","55:42.494","Green","Track","22.037","16.145","12.899","15.627","11.275","0.517","22.919","5.514","0.226","158.256"
"27","GTD","Cedric Sbirrazzuoli","30","1:46.939","55:47.993","Green","Track","21.984","16.161","13.078","15.553","11.103","0.505","22.912","5.423","0.220","162.016"
"100","GTLM","John Edwards","31","1:44.461","56:05.909","Green","Track","21.589","15.623","12.445","15.223","11.177","0.513","22.278","5.391","0.222","159.490"
"48","GTD","Madison Snow","31","1:46.277","56:22.299","Green","Track","21.698","16.044","13.012","15.360","11.132","0.507","22.859","5.443","0.222","161.377"
"9","GTD","Lawson Aschenbach","31","1:46.777","56:25.750","Green","Track","21.890","16.157","12.844","15.565","11.287","0.514","22.837","5.460","0.223","159.179"
"23","GTD","Mario Farnbacher","31","1:45.958","56:37.841","Green","Track","21.877","15.939","12.676","15.381","11.271","0.518","22.585","5.485","0.226","157.950"
"6","GTD","Robin Liddell","31","1:47.824","56:42.653","Green","Track","22.296","16.327","13.062","15.544","11.340","0.517","23.004","5.509","0.225","158.256"
"16","GTD","Spencer Pumpelly","31","1:47.444","56:42.810","Green","Track","22.048","16.686","12.927","15.630","11.084","0.501","22.949","5.399","0.220","163.310"
