"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"007","GTD","James Davison","1","1:50.447","1:55.845","Green","Track","6.146","1.025","9.415","32.151","22.836","17.036","10.065","11.773","64.745"
"9x007","X2","GTD ","1","1:50.116","1:55.905","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9x6","X2","GTD ","1","1:53.694","1:56.575","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"11","GTD","Townsend Bell","1","1:51.197","1:58.568","Green","Track","2.900","0.000","0.000","32.047","23.803","17.498","9.929","11.495","0.000"
"9x11","X2","GTD ","1","1:51.246","1:58.557","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9x44","X2","GTD ","1","1:56.222","2:18.106","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"44","GTD","Andy Lally","1","1:56.291","2:18.080","Green","Track","2.562","0.000","0.000","35.553","25.131","18.169","10.261","11.414","0.000"
"85","PC","Misha Goikhberg","1","1:58.215","2:20.785","Green","Track","2.762","0.000","0.000","33.590","26.450","17.893","10.951","11.497","0.000"
"9x540","X2","GTD ","1","1:54.477","2:23.856","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"540","GTD","Nicky Catsburg","1","1:54.502","2:23.846","Green","Track","2.422","3.700","9.648","32.048","25.019","18.832","11.138","11.695","17.936"
"9x63","X2","GTD ","1","1:59.342","2:24.255","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","1","1:58.041","2:24.410","Green","Track","2.454","0.000","0.000","33.636","25.680","19.551","10.966","11.581","0.000"
"23","GTD","Alex Riberas","1","1:52.914","2:26.757","Green","Track","2.430","4.401","9.709","32.924","23.455","17.932","10.321","11.742","15.079"
"9x23","X2","GTD ","1","1:52.897","2:26.765","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"22","GTD","Leh Keen","1","1:53.394","2:28.335","Green","Track","2.451","4.264","10.324","33.207","24.080","17.287","9.979","11.802","15.564"
"9x22","X2","GTD ","1","1:53.374","2:28.343","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9x27","X2","GTD ","1","1:58.077","2:38.047","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"27","GTD","Cedric Sbirrazzuoli","1","1:58.065","2:38.055","Green","Track","2.498","0.000","0.000","33.539","24.667","19.965","11.700","12.123","0.000"
"9x96","X2","GTD ","1","2:31.692","2:42.131","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"96","GTD","Jens Klingmann","1","2:31.702","2:42.081","Green","Pit","5.484","1.046","8.932","31.414","22.963","17.336","11.709","52.818","63.445"
"8","PC","Renger van der Zande","1","1:46.732","2:43.595","Green","Track","5.432","1.108","8.518","31.157","23.397","16.383","9.670","11.067","59.895"
"16","GTD","Spencer Pumpelly","1","1:46.734","3:03.768","Green","Track","5.271","0.000","0.000","30.949","23.530","17.566","9.987","11.760","0.000"
"9x16","X2","GTD ","1","1:46.746","3:03.763","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"80","GTD","Dan Knox","1","2:02.912","3:08.607","Green","Track","6.266","1.707","11.759","34.281","25.303","19.009","12.111","12.476","38.877"
"9x80","X2","GTD ","1","2:02.869","3:08.626","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"73","GTD","Jorg Bergmeister","1","1:33.315","3:22.731","Green","Track","1.766","0.510","5.284","28.382","21.664","15.658","9.195","10.856","130.125"
"6","GTD","Robin Liddell","1","1:32.487","3:29.035","Green","Track","1.787","0.507","4.219","27.775","21.252","16.904","9.028","11.015","130.895"
"11","GTD","Townsend Bell","2","1:32.960","3:31.528","Green","Track","1.771","0.504","4.436","28.255","21.297","16.376","9.196","11.125","131.674"
"38","PC","James French","1","3:31.364","3:43.705","Green","Pit","2.680","4.243","9.939","32.370","24.415","18.376","15.088","104.253","15.641"
"44","GTD","Andy Lally","2","1:36.635","3:54.715","Green","Track","1.817","0.516","4.405","29.418","21.992","17.036","10.031","11.420","128.612"
"85","PC","Misha Goikhberg","2","1:36.060","3:56.845","Green","Track","1.669","0.492","5.553","28.929","21.812","16.721","9.956","10.928","134.885"
