"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"55","P","Tristan Nunez","2","1:24.235","5:53.656","Green","Track","1.611","0.462","4.215","25.874","19.402","14.306","8.208","10.157","143.644"
"5","P","Christian Fittipaldi","3","1:22.140","5:54.380","Green","Track","1.633","0.468","3.848","24.363","18.912","14.638","7.994","10.284","141.803"
"31","P","Eric Curran","3","1:21.343","5:59.509","Green","Track","1.627","0.467","3.826","24.392","18.609","14.162","8.092","10.168","142.106"
"10","P","Jordan Taylor","3","1:20.453","6:02.238","Green","Track","1.637","0.466","3.767","24.391","18.448","13.634","7.924","10.186","142.411"
"70","P","Tom Long","4","1:20.921","6:05.370","Green","Track","1.603","0.460","3.892","24.267","18.733","14.061","7.853","10.052","144.269"
"4","GTLM","Oliver Gavin","4","1:24.718","6:17.581","Green","Track","1.759","0.501","4.103","25.605","19.450","14.277","8.313","10.710","132.462"
"3","GTLM","Jan Magnussen","4","1:25.640","6:22.412","Green","Track","1.752","0.498","4.010","25.828","19.867","14.419","8.476","10.790","133.260"
"100","GTLM","John Edwards","4","1:25.563","6:24.965","Green","Track","1.739","0.493","4.053","25.696","19.709","14.616","8.426","10.831","134.612"
"62","GTLM","Giancarlo Fisichella","4","1:25.245","6:26.281","Green","Track","1.748","0.500","3.979","25.980","19.577","14.397","8.277","10.787","132.727"
"25","GTLM","Bill Auberlen","4","1:27.678","6:28.037","Green","Track","1.732","0.491","3.973","26.865","20.036","14.909","8.635","11.037","135.160"
"911","GTLM","Patrick Pilet","4","1:25.800","6:28.746","Green","Track","1.749","0.496","4.096","25.814","19.705","14.581","8.727","10.632","133.798"
"90","P","Marc Goossens","4","1:24.161","6:28.823","Green","Track","1.630","0.461","4.030","25.280","19.282","14.368","8.667","10.443","143.956"
"912","GTLM","Frederic Makowiecki","4","1:30.317","6:31.385","Green","Track","1.800","0.575","5.249","28.790","20.139","14.510","8.646","10.608","115.415"
"66","GTLM","Dirk Muller","4","1:24.598","6:31.838","Green","Track","1.734","0.494","3.986","25.405","19.445","14.119","8.706","10.709","134.339"
"68","GTLM","Daniel Serra","3","3:02.713","6:34.538","Green","Pit","1.756","0.496","4.111","25.868","19.846","14.340","10.026","106.270","133.798"
"67","GTLM","Ryan Briscoe","4","1:25.071","6:36.956","Green","Track","1.752","0.497","4.037","25.605","19.698","14.255","8.457","10.770","133.528"
"60","P","Oswaldo Negri","5","1:19.065","7:07.243","Green","Track","1.610","0.462","3.767","23.824","17.893","13.657","7.752","10.100","143.644"
"5","P","Christian Fittipaldi","4","1:20.620","7:15.000","Green","Track","1.623","0.469","3.831","24.360","18.420","13.860","7.870","10.187","141.500"
"31","P","Eric Curran","4","1:20.585","7:20.094","Green","Track","1.607","0.466","3.752","24.170","18.310","14.096","8.008","10.176","142.411"
"10","P","Jordan Taylor","4","1:19.444","7:21.682","Green","Track","1.617","0.463","3.713","23.969","18.201","13.499","7.847","10.135","143.334"
"70","P","Tom Long","5","1:19.567","7:24.937","Green","Track","1.594","0.459","3.775","23.903","18.139","13.901","7.819","9.977","144.583"
"4","GTLM","Oliver Gavin","5","1:24.195","7:41.776","Green","Track","1.748","0.505","4.005","25.420","19.395","14.065","8.324","10.733","131.413"
