"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"23","GTD","Mario Farnbacher","6","3:07.127","12:58.956","Green","Pit","21.757","16.078","12.752","15.572","11.302","0.520","25.262","83.013","0.871","157.343"
"100","GTLM","John Edwards","7","1:42.693","12:59.502","Green","Track","20.826","15.266","12.234","14.901","10.954","0.504","22.480","5.310","0.218","162.338"
"44","GTD","Andy Lally","7","1:45.062","13:06.697","Green","Track","21.786","15.836","12.547","15.303","11.187","0.513","22.279","5.391","0.220","159.490"
"62","GTLM","Toni Vilander","7","1:46.583","13:10.326","Green","Track","21.489","15.627","12.617","15.210","12.127","0.579","23.339","5.375","0.220","141.309"
"33","GTD","Ben Keating","6","3:35.728","13:22.602","Green","Pit","22.069","16.862","13.140","16.305","11.056","0.507","26.618","108.226","0.945","161.377"
"97","GTD","Michael Marsal","7","1:45.797","13:34.576","Green","Track","21.595","15.891","12.801","15.476","11.147","0.512","22.761","5.392","0.222","159.801"
"27","GTD","Cedric Sbirrazzuoli","7","1:46.476","13:45.852","Green","Track","21.791","15.898","13.170","15.527","11.040","0.504","22.909","5.417","0.220","162.338"
"96","GTD","Jens Klingmann","7","1:51.417","13:50.452","Green","Track","24.530","15.691","12.651","15.223","13.440","0.716","23.595","5.352","0.219","114.271"
"67","GTLM","Ryan Briscoe","8","1:42.729","14:10.413","Green","Track","21.042","15.434","12.359","14.996","11.101","0.510","21.751","5.318","0.218","160.428"
"912","GTLM","Frederic Makowiecki","7","1:42.257","14:12.926","Green","Track","20.971","15.245","12.317","14.845","11.053","0.508","21.771","5.329","0.218","161.059"
"16","GTD","Spencer Pumpelly","8","1:46.320","14:21.946","Green","Track","21.504","15.771","12.626","15.850","11.173","0.505","23.297","5.376","0.218","162.016"
"4","GTLM","Tommy Milner","7","1:50.663","14:27.069","Green","Track","26.056","16.412","12.745","15.472","11.019","0.506","22.934","5.303","0.216","161.696"
"9","GTD","Lawson Aschenbach","7","1:52.459","14:34.456","Green","Track","26.185","16.495","12.737","15.643","12.000","0.567","23.223","5.391","0.218","144.300"
"80","GTD","Dan Knox","7","1:50.134","14:37.060","Green","Track","22.401","16.586","13.903","16.149","11.065","0.508","23.915","5.387","0.220","161.059"
"100","GTLM","John Edwards","8","1:42.566","14:42.068","Green","Track","20.887","15.235","12.270","15.009","10.994","0.506","22.149","5.298","0.218","161.696"
"23","GTD","Mario Farnbacher","7","1:49.317","14:48.273","Green","Track","25.268","15.877","12.670","15.409","11.288","0.520","22.608","5.453","0.224","157.343"
"44","GTD","Andy Lally","8","1:44.562","14:51.259","Green","Track","21.339","15.839","12.490","15.168","11.178","0.512","22.433","5.383","0.220","159.801"
"62","GTLM","Toni Vilander","8","1:43.832","14:54.158","Green","Track","21.256","15.424","12.489","15.105","11.095","0.511","22.381","5.352","0.219","160.114"
"6","GTD","Robin Liddell","6","5:11.734","14:56.627","Green","Pit","21.664","15.909","13.094","15.458","11.247","0.515","25.245","207.680","0.922","158.870"
"33","GTD","Ben Keating","7","1:52.511","15:15.113","Green","Track","26.834","16.646","12.916","15.792","11.051","0.507","23.151","5.393","0.221","161.377"
"97","GTD","Michael Marsal","8","1:46.965","15:21.541","Green","Track","22.491","15.974","12.833","15.740","11.139","0.512","22.697","5.360","0.219","159.801"
"27","GTD","Cedric Sbirrazzuoli","8","1:45.321","15:31.173","Green","Track","21.354","16.036","12.970","15.373","11.053","0.505","22.412","5.399","0.219","162.016"
