"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"51","GTD","Marco Cioci","3","2:01.923","19:30.033","Green","Track","14.199","28.746","24.266","8.243","6.513","6.148","11.258","7.406","6.362","5.274","0.476","3.032","171.887"
"6","GTD","Davis/Liddell/Aschenbach/ M.Bell","1","3:15.262","19:33.583","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","7","1:57.986","19:36.661","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"50","P","Jim Pace","4","2:17.827","20:12.922","Green","Pit","12.857","26.170","24.338","7.977","6.142","5.928","11.719","7.034","6.257","11.598","0.000","0.000","0.000"
"73","GTD","Patrick Lindsey","1","2:27.205","20:25.684","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"31","P","Eric Curran","4","5:36.161","20:31.515","Green","Pit","12.365","25.214","21.796","7.342","5.918","5.749","10.712","6.683","6.267","9.805","0.000","0.000","0.000"
"48","GTD","Bryce Miller","5","1:55.608","20:38.351","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"5","P","Christian Fittipaldi","7","1:42.986","20:42.404","Green","Track","11.085","22.933","20.050","7.241","5.853","5.458","9.856","6.556","5.792","4.886","0.441","2.835","185.529"
"4","GTLM","Gavin/Milner/Fassler ","3","3:58.245","20:44.366","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","1","9:49.406","20:47.305","Green","Track","478.930","30.585","24.086","8.166","6.530","6.522","12.047","7.321","6.357","5.312","0.481","3.069","170.100"
"26","PC","Ryan Eversley","9","1:50.760","20:55.865","Green","Pit","255.421","28.883","23.304","7.882","6.357","6.493","12.422","7.191","6.332","11.906","0.000","0.000","0.000"
"10","P","Ricky Taylor","3","1:48.622","21:13.718","Green","Track","12.185","24.106","21.979","7.412","5.915","5.546","10.850","6.673","5.823","4.876","0.442","2.815","185.109"
"63","GTD","Alessandro Balzan","3","2:04.784","21:20.692","Green","Track","14.092","30.256","24.667","8.260","6.479","6.400","12.079","7.336","6.347","5.317","0.481","3.070","170.100"
"51","GTD","Marco Cioci","4","1:56.920","21:26.953","Green","Track","13.123","26.909","22.470","8.219","6.490","6.158","11.138","7.319","6.322","5.267","0.474","3.031","172.612"
"007","GTD","Kevin Buckler","3","2:26.746","21:30.415","Green","Track","36.076","31.186","23.520","8.315","6.624","6.350","11.692","7.440","6.481","5.420","0.493","3.149","165.960"
"37","P","Nicolas Minassian","2","7:25.355","21:34.585","Green","Track","336.315","32.924","22.409","7.602","6.450","6.211","11.451","6.882","6.215","5.397","0.478","3.021","171.168"
"25","GTLM","Auberlen/Werner/Farfus/ Spengler","1","18:00.483","21:51.132","Green","Track","13.164","27.545","23.023","8.089","6.488","6.531","12.251","7.328","6.418","11.446","0.000","0.000","0.000"
"2","P","Johannes van Overbeek","1","16:40.521","22:05.393","Green","Track","878.135","37.420","28.474","8.249","6.145","6.479","13.878","7.295","6.065","5.021","0.455","2.905","179.820"
"73","GTD","Patrick Lindsey","2","1:59.418","22:25.102","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"5","P","Christian Fittipaldi","8","1:43.257","22:25.661","Green","Track","11.031","23.421","20.027","7.223","5.878","5.484","9.807","6.513","5.762","4.856","0.438","2.817","186.800"
"48","GTD","Bryce Miller","6","1:57.613","22:35.964","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","2","1:53.058","22:40.363","Green","Track","12.612","25.593","21.447","7.915","6.421","5.976","10.861","7.148","6.289","5.268","0.477","3.051","171.527"
"31","P","Eric Curran","5","2:11.660","22:43.175","Green","Track","30.107","28.448","22.473","7.360","5.945","5.884","10.788","6.655","5.839","4.888","0.443","2.830","184.691"
"26","PC","Ryan Eversley","10","1:49.526","22:45.391","Green","Pit","255.421","28.883","23.304","7.882","6.357","6.493","12.422","7.191","6.332","11.906","0.000","0.000","0.000"
"4","GTLM","Gavin/Milner/Fassler ","4","2:10.549","22:54.915","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"90","P","Marc Goossens","4","7:33.831","22:55.167","Green","Pit","13.329","25.840","22.676","7.646","6.044","6.598","12.406","6.905","6.010","8.915","0.000","0.000","0.000"
"10","P","Ricky Taylor","4","1:44.824","22:58.542","Green","Track","11.549","23.270","20.458","7.286","5.890","5.551","10.340","6.609","5.792","4.845","0.438","2.796","186.800"
"63","GTD","Alessandro Balzan","4","1:58.290","23:18.982","Green","Track","13.097","27.518","23.023","8.123","6.455","6.235","11.422","7.286","6.317","5.282","0.478","3.054","171.168"
"51","GTD","Marco Cioci","5","1:54.455","23:21.408","Green","Track","13.114","25.889","21.746","8.127","6.480","6.078","10.727","7.256","6.314","5.235","0.471","3.018","173.712"
"85","PC","Stephen Simpson","1","23:02.032","23:21.684","Green","Pit","31.424","34.444","27.055","10.215","8.423","7.670","14.177","8.709","7.616","11.466","0.000","0.000","0.000"
"007","GTD","Kevin Buckler","4","1:57.796","23:28.211","Green","Track","13.290","26.622","22.744","8.238","6.607","6.191","11.206","7.399","6.457","5.410","0.491","3.141","166.636"
"37","P","Nicolas Minassian","2","2:15.319","21:34.585","Red","Pit","13.119","27.549","23.843","7.871","6.854","6.567","11.844","6.911","6.615","9.765","0.000","0.000","0.000"
"70","P","Tom Long","0","12:07.504","12:01.244","Red","Pit","594.136","35.906","26.772","7.723","6.046","6.561","13.062","6.876","5.964","10.259","0.000","0.000","0.000"
"2","P","Johannes van Overbeek","1","2:25.242","22:05.393","Red","Pit","14.530","29.691","24.851","7.731","6.053","6.137","12.765","8.070","7.912","13.005","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","2","2:21.633","22:40.363","Red","Pit","11.962","24.584","21.658","8.518","7.239","8.431","13.637","8.367","8.553","14.121","0.000","0.000","0.000"
"31","P","Eric Curran","5","2:20.414","22:43.175","Red","Pit","11.633","23.983","20.968","8.008","7.284","8.606","13.458","8.434","8.619","14.507","0.000","0.000","0.000"
"26","PC","Ryan Eversley","10","2:19.634","22:45.391","Red","Pit","255.421","28.883","23.304","7.882","6.357","6.493","12.422","7.191","6.332","11.906","0.000","0.000","0.000"
"4","GTLM","Gavin/Milner/Fassler ","4","2:13.335","22:54.915","Red","","0.000","0.000","0.000","0.000","0.000","0.000","493.233","0.000","0.000","984.188","0.000","0.000","0.000"
"22","GTD","D.MacNeil/C.MacNeil/L.Keen/ vanGisbergen/Jeannette","2","11:24.035","13:49.784","Red","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"51","GTD","Marco Cioci","5","2:20.774","23:21.408","Red","Pit","12.365","29.191","24.704","8.280","6.535","6.580","12.168","7.402","6.725","12.926","0.000","0.000","0.000"
"72","GTLM","James Calado","2","7:39.162","18:19.768","Red","Pit","316.811","36.892","22.391","9.652","9.423","7.411","11.847","8.897","9.623","12.338","0.000","0.000","0.000"
"85","PC","Stephen Simpson","1","2:48.058","23:21.684","Red","Pit","32.083","33.341","24.228","8.719","7.579","7.325","13.342","8.074","7.135","12.024","0.000","0.000","0.000"
"01","P","Alex Wurz","6","8:58.546","28:01.977","Green","Pit","12.566","27.180","22.580","7.539","6.116","6.078","11.265","6.860","6.074","10.641","0.000","0.000","0.000"
"5","P","Filipe Albuquerque","9","5:56.991","28:22.652","Green","Pit","11.184","22.883","19.996","7.190","5.878","5.521","10.032","6.994","8.439","13.998","0.000","0.000","0.000"
"02","P","Jamie McMurray","4","14:58.756","28:33.326","Green","Pit","12.742","25.757","22.408","7.587","6.087","5.871","11.067","6.785","6.001","9.894","0.000","0.000","0.000"
"48","GTD","Bryce Miller","7","6:01.370","28:37.334","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"25","GTLM","Auberlen/Werner/Farfus/ Spengler","2","7:03.051","28:54.183","Green","Pit","13.164","27.545","23.023","8.089","6.488","6.531","12.251","7.328","6.418","11.446","0.000","0.000","0.000"
"31","P","Eric Curran","6","6:44.358","29:27.533","Green","Track","164.086","28.005","21.445","7.281","5.952","5.764","10.674","6.665","5.857","4.920","0.444","2.851","184.275"
"4","GTLM","Gavin/Milner/Fassler ","5","6:36.380","29:31.295","Green","","0.000","0.000","0.000","0.000","0.000","0.000","493.233","0.000","0.000","984.188","0.000","0.000","0.000"
