"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"55","P","Jonathan Bomarito","32","2:45.373","1:00:33.704","Yellow","Track","4.650","21.562","1.824","23.747","15.864","21.746","1.471","27.361","16.384","14.958","4.720","11.086","43.361","55.157"
"60","P","Oswaldo Negri Jr.","32","2:39.235","1:00:34.518","Yellow","Track","4.316","17.639","2.100","23.594","16.337","21.511","2.124","27.426","15.695","14.288","3.949","10.256","37.662","38.200"
"8","PC","Renger Van Der Zande","32","2:37.220","1:00:35.390","Yellow","Track","3.964","17.374","1.772","23.367","16.286","21.907","2.199","28.366","14.248","14.001","3.523","10.213","44.634","36.897"
"44","GTD","Andy Lally","31","2:31.606","1:00:35.805","Yellow","Track","4.258","16.755","1.796","24.386","15.424","24.478","1.678","27.211","15.478","11.586","2.569","5.987","44.037","48.353"
"52","PC","Tom Kimber-Smith","32","2:36.028","1:00:36.528","Yellow","Track","4.048","16.684","1.819","23.193","16.474","21.715","2.081","29.074","13.926","13.515","3.528","9.971","43.480","38.989"
"70","P","Joel Miller","32","2:35.710","1:00:37.277","Yellow","Track","4.125","16.874","1.564","22.857","16.603","21.797","2.021","29.109","13.954","13.397","3.357","10.052","50.570","40.147"
"38","PC","Kyle Marcelli","32","2:36.291","1:00:38.595","Yellow","Track","4.135","17.032","1.623","23.390","16.245","21.576","2.078","29.428","14.070","14.537","2.703","9.474","48.731","39.045"
"20","PC","Johnny Mowlem","32","2:35.847","1:00:39.214","Yellow","Track","4.255","16.866","1.739","23.988","15.817","24.397","1.439","27.173","17.241","11.918","2.486","8.528","45.481","56.384"
"27","GTD","Cedric Sbirrazzuoli","31","2:34.363","1:00:39.315","Yellow","Track","4.214","16.589","1.819","24.741","15.107","24.758","1.972","26.846","16.053","11.781","2.500","7.983","43.480","41.144"
"31","P","Dane Cameron","15","2:24.419","1:00:40.825","Yellow","Track","3.350","12.889","0.862","20.498","15.400","25.498","1.793","27.289","14.574","12.062","2.764","7.440","91.753","45.252"
"85","PC","Misha Goikhberg","9","1:46.922","1:01:08.914","Yellow","Track","4.401","14.153","0.671","16.057","11.910","11.380","0.858","16.651","11.563","11.593","2.497","5.188","117.870","94.565"
"33","GTD","Jeroen Bleekemolen","32","1:47.280","1:01:10.052","Yellow","Track","4.393","14.135","0.624","16.202","12.207","11.521","0.967","16.711","11.757","11.245","2.481","5.037","126.748","83.905"
"73","GTD","Jorg Bergmeister","32","1:43.408","1:02:05.150","Yellow","Track","3.870","13.235","0.575","14.724","11.222","11.614","1.191","18.410","11.108","10.598","2.419","4.442","137.549","68.125"
"63","GTD","Alessandro Balzan","32","1:43.181","1:02:06.976","Yellow","Track","3.933","13.639","0.575","14.408","11.370","10.826","1.020","18.383","11.521","10.662","2.405","4.439","137.549","79.545"
"23","GTD","Alex Riberas","32","1:43.774","1:02:08.625","Yellow","Track","3.902","13.370","0.587","15.160","11.223","10.446","0.898","18.055","11.627","11.446","2.514","4.546","134.737","90.352"
"6","GTD","Andrew Davis","32","1:43.845","1:02:09.152","Yellow","Track","4.083","13.704","0.589","14.776","11.208","10.746","0.892","17.930","11.609","11.101","2.555","4.652","134.280","90.960"
"16","GTD","Corey Lewis","32","1:45.214","1:02:11.235","Yellow","Track","3.986","14.479","0.653","14.681","11.181","10.985","0.794","17.599","11.490","11.328","2.700","5.338","121.119","102.187"
"22","GTD","Leh Keen","32","1:46.395","1:02:13.024","Yellow","Track","4.147","14.323","0.717","15.442","11.183","10.922","1.026","17.788","11.731","11.304","2.666","5.146","110.308","79.080"
"48","GTD","Madison Snow","32","1:44.082","1:02:13.627","Yellow","Track","4.064","13.649","0.603","14.917","11.026","11.268","1.129","17.612","10.986","11.131","2.575","5.122","131.162","71.866"
