"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"73","GTD","Patrick Lindsey","6","2:12.726","15:27.065","Green","Track","5.438","10.754","21.768","0.511","23.618","30.586","21.938","13.010","5.103","160.892"
"54","PC","Colin Braun","5","5:18.367","15:27.181","Green","Track","187.481","12.078","26.288","0.648","24.730","30.682","20.187","11.624","4.649","126.876"
"33","GTD","Jeroen Bleekemolen","5","2:24.502","15:29.972","Green","Pit","5.379","10.413","20.799","0.509","22.964","29.438","21.762","14.766","18.472","161.524"
"911","GTLM","Nick Tandy","7","2:05.712","15:31.407","Green","Track","5.407","9.907","20.549","0.509","22.313","28.721","21.299","12.095","4.912","161.524"
"48","GTD","Madison Snow","6","2:09.609","15:32.253","Green","Track","5.389","10.533","21.013","0.506","22.994","29.710","22.124","12.428","4.912","162.482"
"5","P","Christian Fittipaldi","6","5:08.213","15:35.516","Green","Track","188.057","12.718","20.154","0.478","22.550","27.233","21.491","11.052","4.480","172.000"
"4","GTLM","Tommy Milner","7","2:20.276","15:35.677","Green","Pit","5.342","10.008","20.783","0.510","22.427","28.173","20.801","13.733","18.499","161.208"
"20","PC","Bruno Junqueira","6","4:40.732","15:38.793","Green","Track","154.658","14.092","21.527","0.503","23.693","29.305","20.724","11.568","4.662","163.451"
"912","GTLM","Frederic Makowiecki","6","2:08.292","15:42.340","Green","Track","5.424","10.189","20.944","0.508","22.804","28.952","22.491","12.106","4.874","161.842"
"22","GTD","Sven Muller","6","2:31.469","15:52.209","Green","Track","23.329","13.936","22.032","0.518","23.375","29.532","21.474","12.321","4.952","158.718"
"60","P","Oswaldo Negri Jr.","7","2:17.985","15:52.927","Green","Pit","5.006","9.827","19.544","0.479","22.986","28.025","19.818","13.332","18.968","171.641"
"100","GTLM","Lucas Luhr","7","2:26.411","15:57.043","Green","Pit","5.402","10.388","20.539","0.510","22.820","30.138","22.913","15.359","18.342","161.208"
"96","GTD","Jens Klingmann","5","6:27.942","15:59.922","Green","Track","260.675","13.000","21.404","0.522","23.364","29.758","21.897","12.390","4.932","157.502"
"9","GTD","Matt Bell","5","2:09.963","16:01.434","Green","Track","5.396","10.618","21.165","0.508","23.250","29.598","22.006","12.481","4.941","161.842"
"88","PC","Mark Kvamme","6","2:10.383","16:04.708","Green","Track","5.271","10.865","20.657","0.508","24.385","29.813","21.904","12.286","4.694","161.842"
"6","GTD","Andrew Davis","5","2:09.633","16:10.297","Green","Track","5.381","10.659","20.974","0.509","23.462","29.785","21.398","12.515","4.950","161.524"
"26","PC","Don Yount","7","2:24.719","16:19.132","Green","Pit","5.136","10.236","20.592","0.494","23.806","28.930","21.618","15.159","18.748","166.429"
"44","GTD","John Potter","7","2:09.841","16:20.049","Green","Track","5.470","10.477","21.161","0.516","23.491","29.577","21.563","12.591","4.995","159.333"
"38","PC","Kyle Marcelli","7","2:19.845","16:20.097","Green","Pit","5.186","9.721","19.584","0.492","22.531","28.155","20.522","14.898","18.756","167.106"
