"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"02","P","Jamie McMurray","1","2:08.987","2:32.411","Green","Track","29.244","27.031","21.723","7.280","5.918","5.995","11.053","6.705","5.880","4.921","0.445","2.792","183.861"
"4","GTLM","Marcel Fassler","1","2:17.534","2:37.424","Green","Track","29.148","29.922","23.611","8.240","6.542","6.223","11.297","7.333","6.395","5.318","0.484","3.021","169.046"
"911","GTLM","Kevin Estre","1","2:10.443","2:37.898","Green","Track","28.298","26.872","21.494","7.975","6.459","6.131","10.656","7.259","6.452","5.337","0.483","3.027","169.396"
"912","GTLM","Michael Christensen","1","2:11.544","2:40.385","Green","Track","28.472","27.452","21.791","8.026","6.509","6.082","10.700","7.215","6.412","5.358","0.485","3.042","168.697"
"01","P","Lance Stroll","1","2:14.024","2:44.981","Green","Track","29.764","30.690","23.225","7.521","5.957","5.635","10.522","6.688","5.888","4.910","0.445","2.779","183.861"
"3","GTLM","Jan Magnussen","1","2:15.958","3:16.732","Green","Track","29.329","29.353","22.698","8.038","6.458","6.252","11.385","7.326","6.378","5.279","0.476","2.986","171.887"
"5","P","Christian Fittipaldi","1","1:42.687","3:38.640","Green","Track","11.300","23.156","19.867","7.181","5.849","5.415","9.469","6.517","5.808","4.894","0.443","2.788","184.691"
"31","P","Eric Curran","1","1:43.508","3:44.649","Green","Track","11.453","23.423","20.094","7.184","5.873","5.506","9.475","6.527","5.834","4.909","0.442","2.788","185.109"
"2","P","Luis Felipe Derani","1","1:45.048","3:46.452","Green","Track","11.503","23.757","20.619","7.136","5.823","5.980","9.897","6.452","5.788","4.872","0.440","2.781","185.950"
"52","PC","Robert Alon","1","2:21.880","3:53.240","Green","Track","34.545","29.936","23.716","7.757","6.347","6.133","10.951","7.002","6.377","5.513","0.500","3.103","163.636"
"38","PC","James French","1","1:47.872","3:58.125","Green","Track","11.832","23.759","20.025","7.628","6.424","6.062","9.637","6.954","6.421","5.481","0.499","3.150","163.964"
"51","GTD","Raffaele Gianmaria","1","1:50.584","4:01.841","Green","Track","12.005","24.641","21.346","7.866","6.337","5.812","10.436","7.214","6.289","5.219","0.469","2.950","174.452"
"0","P","Katherine Legge","1","1:42.426","4:06.771","Green","Track","11.249","22.346","19.377","7.108","5.885","5.495","10.366","6.474","5.898","4.967","0.451","2.810","181.415"
"02","P","Jamie McMurray","2","1:43.464","4:15.875","Green","Track","11.269","23.394","20.316","7.175","5.873","5.483","9.490","6.526","5.831","4.890","0.442","2.775","185.109"
"50","P","DeFoor/Schroeder/Hinton/ Gruber/Pace","1","1:48.051","4:17.585","Green","Track","12.377","24.899","20.930","7.293","5.922","5.634","10.164","6.649","5.939","4.975","0.449","2.820","182.223"
"911","GTLM","Kevin Estre","2","1:47.932","4:25.830","Green","Track","11.878","24.060","20.042","7.808","6.368","5.875","9.693","7.043","6.356","5.302","0.479","3.028","170.810"
"33","GTD","Marc Miller","1","1:51.995","4:25.911","Green","Track","12.166","25.071","21.529","7.890","6.374","5.859","10.540","7.094","6.397","5.466","0.497","3.112","164.624"
"4","GTLM","Marcel Fassler","2","1:49.874","4:27.298","Green","Track","12.030","25.030","20.577","7.836","6.362","5.892","10.013","7.136","6.311","5.240","0.471","2.976","173.712"
"912","GTLM","Michael Christensen","2","1:47.696","4:28.081","Green","Track","11.454","24.024","20.179","7.790","6.377","5.881","9.785","7.092","6.352","5.289","0.477","2.996","171.527"
"01","P","Lance Stroll","2","1:44.228","4:29.209","Green","Track","11.552","23.544","20.271","7.216","5.859","5.488","9.788","6.610","5.838","4.869","0.440","2.753","185.950"
"60","P","John Pew","1","1:44.894","4:34.918","Green","Track","11.823","23.858","20.311","7.210","5.882","5.536","9.732","6.540","5.850","4.920","0.445","2.787","183.861"
"22","GTD","Shane van Gisbergen","1","1:50.770","5:01.884","Green","Track","12.172","24.654","20.903","7.881","6.435","5.967","10.205","7.235","6.408","5.381","0.486","3.043","168.350"
"93","GTD","Gar Robinson","1","1:52.913","5:03.302","Green","Track","12.602","25.536","21.600","7.919","6.414","5.934","10.640","7.172","6.333","5.308","0.478","2.977","171.168"
"26","PC","Ryan Eversley","1","1:49.249","5:03.415","Green","Track","11.725","24.601","21.089","7.602","6.308","5.944","9.941","6.925","6.319","5.317","0.480","0.000","170.455"
"20","PC","Brian Alder","1","1:51.306","5:04.294","Green","Track","12.387","24.884","22.026","7.611","6.256","6.156","10.213","6.838","6.232","5.245","0.475","2.983","172.249"
"3","GTLM","Jan Magnussen","2","1:49.997","5:06.729","Green","Track","12.027","24.685","20.936","7.837","6.350","5.896","10.246","7.098","6.283","5.221","0.470","2.948","174.081"
"10","P","Max Angelelli","1","4:28.446","5:07.990","Green","Pit","30.848","35.910","28.433","11.198","9.246","9.619","13.679","9.930","9.279","12.721","0.000","0.000","0.000"
"5","P","Christian Fittipaldi","2","1:41.057","5:19.697","Green","Track","10.998","22.655","19.479","7.124","5.836","5.388","9.222","6.476","5.793","4.876","0.440","2.770","185.950"
"31","P","Eric Curran","2","1:41.411","5:26.060","Green","Track","10.997","22.674","19.521","7.154","5.862","5.459","9.319","6.488","5.830","4.888","0.443","2.776","184.691"
"2","P","Luis Felipe Derani","2","1:40.268","5:26.720","Green","Track","10.735","22.234","19.356","7.089","5.798","5.375","9.317","6.481","5.802","4.837","0.437","2.807","187.227"
"52","PC","Robert Alon","2","1:48.826","5:42.066","Green","Track","13.162","23.856","20.537","7.500","6.279","5.887","9.726","6.849","6.272","5.280","0.478","3.000","171.168"
"38","PC","James French","2","1:46.309","5:44.434","Green","Track","11.539","23.238","19.737","7.602","6.397","5.998","9.469","6.930","6.385","5.417","0.492","3.105","166.297"
"0","P","Katherine Legge","2","1:41.936","5:48.707","Green","Track","10.835","23.087","19.664","7.061","5.919","5.466","9.486","6.421","5.851","4.914","0.443","2.789","184.691"
"51","GTD","Raffaele Gianmaria","2","1:49.609","5:51.450","Green","Track","11.709","24.890","20.956","7.857","6.328","5.780","10.208","7.153","6.218","5.145","0.462","2.903","177.096"
"37","P","Mauizio Mediani","1","2:15.611","5:54.917","Green","Track","29.086","29.535","25.235","7.615","6.001","5.755","11.239","6.824","6.004","5.030","0.451","2.836","181.415"
"02","P","Jamie McMurray","3","1:41.229","5:57.104","Green","Track","10.881","22.733","19.416","7.145","5.860","5.458","9.319","6.509","5.855","4.851","0.440","2.762","185.950"
"63","GTD","Jeff Segal","1","2:11.629","5:58.083","Green","Track","28.830","27.759","21.769","7.918","6.404","5.968","10.842","7.140","6.303","5.254","0.473","2.969","172.977"
"50","P","DeFoor/Schroeder/Hinton/ Gruber/Pace","2","1:46.370","6:03.955","Green","Track","11.812","23.735","20.585","7.370","6.001","5.710","10.377","6.657","5.920","4.950","0.447","2.806","183.038"
"88","PC","Mark Kvamme","1","1:53.905","6:10.666","Green","Track","12.925","26.463","21.749","7.741","6.355","5.960","10.560","7.014","6.308","5.314","0.482","3.034","169.747"
"911","GTLM","Kevin Estre","3","1:46.750","6:12.580","Green","Track","11.256","23.711","19.927","7.806","6.379","5.865","9.663","7.105","6.300","5.263","0.477","2.998","171.527"
"01","P","Lance Stroll","3","1:44.082","6:13.291","Green","Track","11.245","23.469","20.479","7.145","5.881","5.681","9.698","6.612","5.845","4.838","0.438","2.751","186.800"
"4","GTLM","Marcel Fassler","3","1:47.038","6:14.336","Green","Track","11.334","23.940","20.038","7.768","6.356","5.867","9.749","7.102","6.264","5.196","0.469","2.955","174.452"
"912","GTLM","Michael Christensen","3","1:47.555","6:15.636","Green","Track","11.220","0.000","0.000","7.775","6.384","5.992","9.917","7.121","6.324","5.266","0.474","2.989","172.612"
"60","P","John Pew","2","1:42.004","6:16.922","Green","Track","11.355","22.708","19.658","7.165","5.846","5.454","9.421","6.491","5.831","4.867","0.441","2.767","185.529"
"33","GTD","Marc Miller","2","1:51.728","6:17.639","Green","Track","12.142","25.019","22.065","7.825","6.327","5.856","10.529","7.108","6.253","5.196","0.468","2.940","174.825"
"26","PC","Ryan Eversley","2","1:47.215","6:50.630","Green","Track","120.919","23.603","20.334","7.576","6.343","5.917","9.681","6.940","6.309","5.317","0.484","3.041","169.046"
"20","PC","Brian Alder","2","1:47.546","6:51.840","Green","Track","11.889","23.689","20.586","7.579","6.245","5.862","9.723","6.876","6.319","5.280","0.479","3.019","170.810"
"22","GTD","Shane van Gisbergen","2","1:50.329","6:52.213","Green","Track","12.293","24.119","21.059","7.839","6.407","5.906","10.086","7.221","6.415","5.446","0.488","3.050","167.660"
"3","GTLM","Jan Magnussen","3","1:48.110","6:54.839","Green","Track","11.559","23.745","20.537","7.800","6.352","5.845","10.368","7.075","6.238","5.184","0.467","2.940","175.200"
"93","GTD","Gar Robinson","2","1:52.761","6:56.063","Green","Track","12.321","25.247","21.532","7.766","6.390","5.892","11.439","7.190","6.304","5.238","0.473","2.969","172.977"
"5","P","Christian Fittipaldi","3","1:40.449","7:00.146","Green","Track","10.860","22.438","19.320","7.106","5.818","5.383","9.276","6.448","5.767","4.843","0.439","2.751","186.374"
"2","P","Luis Felipe Derani","3","1:44.278","7:10.998","Green","Track","12.799","23.932","19.498","7.134","5.813","5.476","9.357","6.437","5.747","4.837","0.437","2.811","187.227"
"0","P","Katherine Legge","3","1:41.009","7:29.716","Green","Track","10.880","22.214","19.056","7.058","5.895","5.378","9.866","6.571","5.900","4.945","0.446","2.800","183.449"
"52","PC","Robert Alon","3","1:49.086","7:31.152","Green","Track","11.578","23.368","20.031","7.579","6.279","6.090","12.218","7.056","6.220","5.220","0.472","2.975","173.344"
"38","PC","James French","3","1:47.603","7:32.037","Green","Track","11.294","23.620","19.844","7.717","6.500","6.129","10.124","7.001","6.384","5.403","0.487","3.100","168.004"
"67","GTLM","Richard Westbrook","1","2:28.618","7:32.668","Green","Track","30.118","35.096","25.691","8.296","6.580","6.466","13.174","7.861","6.518","5.318","0.480","3.020","170.455"
"02","P","Jamie McMurray","4","1:42.375","7:39.479","Green","Track","10.920","23.069","20.290","7.135","5.848","5.448","9.245","6.482","5.854","4.878","0.440","2.766","185.950"
"51","GTD","Raffaele Gianmaria","3","1:49.326","7:40.776","Green","Track","11.663","24.557","21.012","7.850","6.303","5.769","10.196","7.150","6.293","5.163","0.463","2.907","176.713"
"90","P","Ryan Dalziel","1","5:34.561","7:41.013","Green","Pit","11.504","23.388","19.976","7.145","5.831","5.840","10.767","8.010","8.358","13.027","0.000","0.000","0.000"
"37","P","Mauizio Mediani","2","1:46.971","7:41.888","Green","Track","12.064","23.864","21.859","7.288","5.888","5.507","9.905","6.648","5.889","4.869","0.438","2.752","186.800"
"10","P","Max Angelelli","2","2:37.319","7:45.309","Green","Track","30.116","32.756","25.816","10.351","8.480","8.458","12.274","8.945","8.088","7.117","0.689","4.229","118.749"
"63","GTD","Jeff Segal","2","1:49.760","7:47.843","Green","Track","11.933","24.694","20.841","7.805","6.333","5.875","10.287","7.079","6.274","5.226","0.471","2.942","173.712"
"50","P","DeFoor/Schroeder/Hinton/ Gruber/Pace","3","1:45.422","7:49.377","Green","Track","11.424","23.729","20.424","7.393","5.947","5.597","10.191","6.632","5.917","4.934","0.444","2.790","184.275"
"66","GTLM","Dirk Mueller","1","2:18.834","7:56.300","Green","Track","28.507","31.810","24.677","8.017","6.398","6.155","11.011","7.193","6.327","5.273","0.477","2.989","171.527"
"01","P","Lance Stroll","4","1:44.939","7:58.230","Green","Track","11.326","25.301","19.767","7.155","5.858","5.573","9.483","6.576","5.856","4.849","0.440","2.755","185.950"
"911","GTLM","Kevin Estre","4","1:46.894","7:59.474","Green","Track","11.270","23.945","19.896","7.767","6.381","5.855","9.620","7.063","6.333","5.283","0.478","3.003","171.168"
