"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"5","P","Joao Barbosa","1","2:25.771","2:25.771","Green","Track","0.000","25.640","24.888","10.257","9.349","0.438","4.836","0.564","24.893","25.134","8.439","153.202","118.976"
"31","P","Dane Cameron","1","2:27.033","2:27.033","Green","Track","0.000","25.213","25.559","10.431","9.270","0.436","4.752","0.564","24.662","24.863","8.546","153.904","118.976"
"55","P","Jonathan Bomarito","1","2:26.966","2:26.966","Green","Track","0.000","26.871","24.905","10.315","9.358","0.435","4.518","0.500","24.339","24.997","11.223","154.258","134.205"
"70","P","Joel Miller","1","2:29.942","2:29.942","Green","Track","0.000","25.786","26.304","10.761","9.208","0.429","4.658","0.574","25.082","24.821","8.029","156.416","116.903"
"9","GTD","Lawson Aschenbach","1","2:45.691","2:45.691","Green","Track","0.000","30.408","29.322","10.786","10.182","0.471","4.932","0.564","25.689","27.460","8.846","142.468","118.976"
"20","PC","Bruno Junqueira","1","2:46.870","2:46.870","Green","Track","351.622","29.337","30.480","11.138","9.562","0.445","4.607","0.491","25.234","26.109","8.359","150.792","136.665"
"7","PC","Jose Gutierrez","1","2:54.193","2:54.193","Green","Track","0.000","27.982","27.456","10.708","9.506","0.448","4.694","0.530","24.751","27.032","8.453","149.782","126.608"
"6","GTD","Andrew Davis","1","2:59.688","2:59.688","Red","Track","0.000","31.691","31.123","12.539","12.246","0.579","6.988","0.636","27.471","29.064","9.174","115.893","105.507"
"90","P","Ryan Dalziel","1","3:00.506","3:00.506","Red","Track","8.824","29.296","26.910","10.543","9.374","0.433","4.885","0.580","26.363","25.551","8.087","154.971","115.694"
"8","PC","Renger van der Zande","1","3:07.043","3:07.043","Red","Pit","0.000","26.597","26.635","10.511","9.546","0.449","4.943","0.589","25.047","25.694","25.553","149.448","113.926"
"4","GTLM","Tommy Milner","1","3:07.795","3:07.795","Red","Pit","0.000","27.387","27.747","11.258","10.057","0.473","5.186","0.612","25.612","26.786","25.297","141.865","109.644"
"3","GTLM","Jan Magnussen","1","3:09.021","3:09.021","Red","Pit","0.000","27.611","26.830","10.537","10.121","0.471","5.004","0.594","25.271","27.327","25.192","142.468","112.967"
"88","PC","Richard Bradley","1","3:12.782","3:12.782","Red","Pit","0.000","29.106","27.517","10.486","9.332","0.443","4.751","0.562","25.065","27.674","26.881","151.472","119.399"
"16","GTD","Spencer Pumpelly","1","3:18.447","3:18.447","Red","Track","6.210","28.138","29.089","10.741","10.010","0.466","4.861","0.563","25.967","27.384","9.652","143.996","119.187"
"23","GTD","Mario Farnbacher","1","3:36.527","3:36.527","Red","Pit","8.551","29.272","30.019","11.023","10.953","0.518","5.335","0.568","26.615","29.857","25.714","129.541","118.138"
"97","GTD","Michael Marsal","1","4:04.939","4:04.939","Red","Pit","6.182","30.609","31.116","11.611","11.126","0.514","5.190","0.507","26.592","32.936","25.421","130.549","132.352"
"5","P","Joao Barbosa","2","2:22.850","4:48.621","Red","Pit","1.522","20.100","23.297","9.931","9.016","0.429","4.397","0.439","24.680","23.859","25.180","156.416","152.853"
"31","P","Dane Cameron","2","2:23.916","4:50.949","Red","Pit","1.590","20.687","23.452","9.786","9.164","0.432","4.702","0.519","24.041","24.343","25.200","155.329","129.291"
"70","P","Joel Miller","2","2:23.216","4:53.158","Red","Pit","1.356","20.824","23.705","9.663","9.162","0.430","4.427","0.482","23.725","23.754","25.688","156.052","139.216"
"9","GTD","Lawson Aschenbach","2","2:29.566","5:15.257","Red","Pit","1.498","21.985","25.814","10.081","10.051","0.468","4.741","0.436","24.096","25.400","24.996","143.381","153.904"
"7","PC","Jose Gutierrez","2","2:35.445","5:29.638","Red","Pit","1.413","21.148","25.035","10.425","11.093","0.577","5.870","0.597","25.118","26.440","27.729","116.295","112.399"
"63","GTD","Alessandro Balzan","1","30:09.757","30:09.757","Green","Pit","9.178","29.976","29.336","11.091","10.005","0.468","5.046","0.620","27.252","27.704","1634.189","143.381","108.229"
"912","GTLM","Frederic Makowiecki","1","30:10.267","30:10.267","Green","Pit","9.007","28.022","29.269","11.186","10.123","0.474","5.105","0.587","26.526","28.140","1635.613","141.566","114.314"
"911","GTLM","Patrick Pilet","1","30:11.270","30:11.270","Green","Pit","8.979","29.382","28.902","11.059","9.992","0.464","4.924","0.580","27.249","27.993","1634.370","144.617","115.694"
"10","P","Jordan Taylor","1","30:12.808","30:12.808","Green","Pit","0.000","29.015","28.233","10.654","10.049","0.472","4.928","0.559","25.624","25.183","1662.091","142.166","120.040"
"33","GTD","Jeroen Bleekemolen","1","30:13.726","30:13.726","Green","Pit","8.907","31.988","30.422","11.495","10.016","0.460","5.436","0.725","27.739","27.461","1630.650","145.875","92.555"
"25","GTLM","Dirk Werner","1","30:14.350","30:14.350","Green","Pit","8.805","29.114","28.216","10.764","10.027","0.467","5.164","0.597","25.435","28.057","1636.973","143.688","112.399"
"90","P","Ryan Dalziel","2","27:14.180","30:14.686","Green","Pit","1.445","22.888","27.924","10.708","9.272","0.435","4.547","0.492","23.899","25.134","1507.436","154.258","136.387"
"52","PC","Tom Kimber-Smith","1","30:16.072","30:16.072","Green","Pit","8.860","28.632","29.780","11.407","9.492","0.443","5.139","0.676","27.187","26.639","1634.868","151.472","99.264"
"85","PC","Stephen Simpson","1","30:18.440","30:18.440","Green","Pit","9.094","27.547","28.998","10.604","9.500","0.451","4.705","0.520","24.818","27.771","1640.179","148.786","129.043"
"20","PC","Bruno Junqueira","2","27:35.900","30:22.770","Green","Pit","1.401","21.270","26.128","10.158","12.063","0.536","5.086","0.472","24.214","25.138","1529.434","125.191","142.166"
"44","GTD","Andy Lally","1","30:23.640","30:23.640","Green","Pit","7.124","30.320","28.943","10.359","10.861","0.570","6.003","0.576","27.718","29.068","1625.590","117.723","116.497"
"0","P","Katherine Legge","1","30:24.601","30:24.601","Green","Pit","6.700","30.398","29.043","12.220","9.798","0.630","6.627","0.624","26.217","29.865","1624.699","106.512","107.536"
"66","GTLM","Dirk Mueller","1","30:25.542","30:25.542","Green","Pit","5.980","29.266","28.129","10.843","10.264","0.480","5.030","0.552","25.654","27.619","1638.301","139.796","121.562"
"73","GTD","Patrick Lindsey","1","30:28.301","30:28.301","Green","Pit","0.000","30.806","30.571","11.336","10.209","0.475","5.329","0.600","25.618","26.024","1667.435","141.268","111.837"
"80","GTD","Mike Skeen","1","30:29.397","30:29.397","Green","Pit","6.004","28.049","29.897","11.103","9.991","0.467","4.914","0.546","26.923","28.811","1627.786","143.688","122.898"
"6","GTD","Andrew Davis","2","27:34.072","30:33.760","Green","Pit","1.512","23.230","27.994","10.735","10.161","0.471","5.032","0.566","25.538","28.973","1519.860","142.468","118.555"
"48","GTD","Bryan Sellers","1","30:34.619","30:34.619","Green","Pit","6.098","27.437","28.682","12.343","10.088","0.473","4.749","0.433","27.315","26.987","1627.688","141.865","154.971"
"007","GTD","Ben Barker","1","30:43.230","30:43.230","Green","Pit","6.863","30.661","31.460","11.163","10.442","0.486","5.134","0.602","28.221","31.823","1625.587","138.071","111.466"
"100","GTLM","John Edwards","1","30:45.575","30:45.575","Green","Pit","8.862","29.281","28.920","11.141","9.999","0.469","5.740","0.702","25.816","27.229","1665.850","143.075","95.587"
"26","PC","John Falb","1","30:48.319","30:48.319","Green","Pit","6.830","31.274","29.242","11.667","10.240","0.530","5.374","0.590","27.385","30.771","1627.478","126.608","113.733"
"62","GTLM","Toni Vilander","1","30:53.397","30:53.397","Green","Pit","8.884","29.411","29.338","11.099","10.476","0.498","5.290","0.576","25.606","28.319","1668.139","134.744","116.497"
"16","GTD","Spencer Pumpelly","2","27:38.309","30:56.756","Green","Pit","1.764","23.080","27.315","10.469","10.019","0.468","4.825","0.527","24.563","27.412","1527.867","143.381","127.329"
"67","GTLM","Richard Westbrook","1","31:17.767","31:17.767","Green","Pit","6.380","28.148","27.668","10.493","9.976","0.470","4.900","0.515","25.347","29.066","1688.665","142.771","130.296"
"5","P","Joao Barbosa","3","27:22.391","32:11.012","Green","Track","1513.689","25.294","24.395","9.907","9.158","0.000","0.000","0.472","23.030","23.626","7.947","0.000","142.166"
"70","P","Joel Miller","3","27:20.816","32:13.974","Green","Track","1511.158","25.274","24.025","9.614","9.175","0.000","0.000","0.516","23.968","24.000","8.157","0.000","130.043"
"23","GTD","Mario Farnbacher","2","28:41.018","32:17.545","Green","Track","1580.358","28.266","26.714","10.470","9.950","0.000","0.000","0.529","24.777","25.894","8.762","0.000","126.847"
"31","P","Dane Cameron","3","27:27.358","32:18.307","Green","Track","1520.441","22.992","24.405","9.647","9.144","0.000","0.000","0.499","23.346","23.522","8.398","0.000","134.473"
"8","PC","Renger van der Zande","2","29:16.223","32:23.266","Green","Track","1626.482","23.501","25.388","9.540","9.488","0.448","4.711","0.506","23.881","24.132","8.146","149.782","132.613"
"4","GTLM","Tommy Milner","2","29:21.878","32:29.673","Green","Track","1625.122","25.384","25.561","10.326","10.039","0.473","4.885","0.535","24.303","26.496","8.754","141.865","125.425"
"88","PC","Richard Bradley","2","29:17.193","32:29.975","Green","Track","1622.794","26.228","25.298","10.568","9.337","0.438","4.476","0.446","23.917","25.389","8.302","153.202","150.454"
"912","GTLM","Frederic Makowiecki","2","2:20.301","32:30.568","Green","Track","6.150","24.925","25.584","9.801","9.985","0.471","4.787","0.488","24.217","25.368","8.525","142.468","137.505"
"97","GTD","Michael Marsal","2","28:25.859","32:30.798","Green","Track","1556.165","30.620","28.274","10.380","11.168","0.523","5.389","0.516","25.654","27.714","9.456","128.303","130.043"
"3","GTLM","Jan Magnussen","2","29:22.634","32:31.655","Green","Track","1625.560","26.113","26.058","10.575","9.993","0.470","4.794","0.508","24.314","25.431","8.818","142.771","132.091"
"10","P","Jordan Taylor","2","2:19.162","32:31.970","Green","Track","6.530","26.263","25.116","9.566","9.322","0.438","4.524","0.470","24.186","24.824","7.923","153.202","142.771"
"911","GTLM","Patrick Pilet","2","2:20.887","32:32.157","Green","Track","6.506","25.087","25.056","10.030","9.888","0.464","4.741","0.493","24.329","25.645","8.648","144.617","136.110"
"90","P","Ryan Dalziel","3","2:21.317","32:36.003","Green","Track","6.944","26.221","25.857","10.042","9.202","0.433","4.734","0.588","24.456","24.819","8.021","154.971","114.120"
"52","PC","Tom Kimber-Smith","2","2:20.510","32:36.582","Green","Track","6.683","25.355","26.315","10.085","9.365","0.441","4.741","0.566","24.147","24.647","8.165","152.159","118.555"
"85","PC","Stephen Simpson","2","2:20.782","32:39.222","Green","Track","6.110","24.903","26.686","10.277","9.452","0.448","4.662","0.518","24.577","24.826","8.323","149.782","129.541"
"25","GTLM","Dirk Werner","2","2:26.396","32:40.746","Green","Track","6.664","26.593","27.167","10.522","9.936","0.465","4.797","0.526","24.831","25.977","8.918","144.306","127.571"
"33","GTD","Jeroen Bleekemolen","2","2:28.799","32:42.525","Green","Track","6.707","28.599","26.920","10.853","9.640","0.448","4.648","0.534","25.844","26.043","8.563","149.782","125.660"
"20","PC","Bruno Junqueira","3","2:20.587","32:43.357","Green","Track","6.078","25.892","26.140","9.754","9.375","0.444","4.558","0.474","24.174","25.499","8.199","151.131","141.566"
"63","GTD","Alessandro Balzan","2","2:33.624","32:43.381","Green","Track","7.437","28.012","29.329","11.510","9.946","0.467","4.784","0.515","26.943","26.032","8.649","143.688","130.296"
"66","GTLM","Dirk Mueller","2","2:25.450","32:50.992","Green","Track","5.977","25.217","25.888","12.254","10.256","0.470","4.827","0.518","25.565","25.935","8.543","142.771","129.541"
"0","P","Katherine Legge","2","2:26.730","32:51.331","Green","Track","6.199","25.412","25.756","10.893","10.256","0.570","5.614","0.742","25.754","27.672","7.862","117.723","90.434"
"73","GTD","Patrick Lindsey","2","2:24.408","32:52.709","Green","Track","6.090","25.430","26.374","10.093","10.079","0.474","4.906","0.535","25.104","26.543","8.780","141.566","125.425"
"44","GTD","Andy Lally","2","2:31.989","32:55.629","Green","Track","5.931","25.973","25.899","10.031","10.448","0.493","4.985","0.453","29.178","29.926","8.672","136.110","148.129"
