POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
34;57;Stevenson Motorsports;Lawson Aschenbach;Andrew Davis;Matt Bell;Robin Liddell;Audi R8 LMS GT3;C;GTD;;;Classified;32;1:02'22.978;2 Laps;3.780;19;1'48.273;190.5;
35;86;Michael Shank Racing w/ Curb-Agajanian;Jeff Segal;Oswaldo Negri Jr.;Tom Dyer;Ryan Hunter-Reay;Acura NSX GT3;C;GTD;;;Classified;31;1:00'36.451;3 Laps;1 Laps;25;1'47.936;191.1;
36;51;Spirit of Race;Peter Mann;Maurizio Mediani;Alessandro Pier Guidi;Davide Rigon;Ferrari 488 GT3;C;GTD;;;Classified;31;1:00'39.609;3 Laps;3.158;10;1'46.972;192.8;
37;96;Turner Motorsport;Justin Marks;Jens Klingmann;Maxime Martin;Jesse Krohn;BMW M6 GT3;C;GTD;;;Classified;31;1:00'41.278;3 Laps;1.669;18;1'48.498;190.1;
38;14;3GT Racing;Scott Pruett;Sage Karam;Ian James;Gustavo Menezes;Lexus RCF GT3;C;GTD;;;Classified;31;1:00'41.885;3 Laps;0.607;10;1'48.372;190.3;
39;59;Manthey Racing;Steve Smith;Matteo Cairoli;Reinhold Renger;Harald Proczyk;Porsche 911 GT3 R;C;GTD;;;Classified;31;1:00'42.967;3 Laps;1.082;26;1'47.037;192.7;
40;61;GRT Grasser Racing Team;Christian Engelhart;Rolf Ineichen;Roberto Pampanini;Michele Beretta;Lamborghini Huracan GT3;C;GTD;;;Classified;31;1:00'43.952;3 Laps;0.985;10;1'47.912;191.1;
41;23;Alex Job Racing;Bill Sweedler;Townsend Bell;Frank Montecalvo;Pierre Kaffer;Audi R8 LMS GT3;C;GTD;;;Classified;31;1:00'48.449;3 Laps;4.497;19;1'47.550;191.8;
42;33;Riley Motorsports - Team AMG;Ben Keating;Jeroen Bleekemolen;Mario Farnbacher;Adam Christodoulou;Mercedes  - AMG GT3;C;GTD;;;Classified;31;1:00'48.771;3 Laps;0.322;24;1'48.948;189.3;
43;50;Riley Motorsports - WeatherTech Racing;Cooper MacNeil;Gunnar Jeannette;Shane Van Gisbergen;Thomas Jaeger;Mercedes  - AMG GT3;C;GTD;;;Classified;31;1:00'49.347;3 Laps;0.576;24;1'48.288;190.5;
