POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;31;Whelen Engineering Racing;Dane Cameron;Eric Curran;Michael Conway;Seb Morris;Cadillac DPi;C;P;;DPi;Classified;99;3:01'00.238;;;68;1'37.045;212.5;
2;5;Mustang Sampling Racing;Joao Barbosa;Christian Fittipaldi;Filipe Albuquerque;;Cadillac DPi;C;P;;DPi;Classified;99;3:01'22.508;22.270;22.270;69;1'37.002;212.6;
3;10;Konica Minolta Cadillac DPi-V.R;Ricky Taylor;Jordan Taylor;Max Angelelli;Jeff Gordon;Cadillac DPi;C;P;;DPi;Classified;99;3:01'51.778;51.540;29.270;20;1'36.909;212.8;
4;90;VisitFlorida Racing;Marc Goossens;Renger Van Der Zande;Rene Rast;;Multimatic/Riley;C;P;;;Classified;98;3:02'07.345;1 Laps;1 Laps;80;1'39.706;206.9;
5;55;Mazda Motorsports;Tristan Nunez;Jonathan Bomarito;Spencer Pigot;;Mazda DPi;C;P;;DPi;Classified;98;3:02'21.125;1 Laps;13.780;15;1'39.457;207.4;
6;81;DragonSpeed;Henrik Hedman;Nicolas Lapierre;Ben Hanley;Loic Duval;ORECA;C;P;;;Classified;98;3:02'26.492;1 Laps;5.367;33;1'37.907;210.7;
7;22;Tequila Patron ESM;Ed Brown;Johannes van Overbeek;Bruno Senna Lalli;Brendon Hartley;Nissan DPi;C;P;;DPi;Classified;97;3:01'34.231;2 Laps;1 Laps;36;1'37.832;210.8;
8;85;JDC-Miller Motorsports;Chris Miller;Stephen Simpson;Misha Goikhberg;Mathias Beche;ORECA;C;P;;;Classified;97;3:02'01.576;2 Laps;27.345;14;1'38.542;209.3;
9;2;Tequila Patron ESM;Scott Sharp;Ryan Dalziel;Luis Felipe Derani;;Nissan DPi;C;P;;DPi;Classified;96;3:01'01.417;3 Laps;1 Laps;72;1'39.235;207.8;
10;70;Mazda Motorsports;Tom Long;Joel Miller;James Hinchcliffe;;Mazda DPi;C;P;;DPi;Classified;96;3:01'48.847;3 Laps;47.430;32;1'39.646;207.0;
11;66;Ford Chip Ganassi Racing;Dirk Mueller;Joey Hand;Sebastien Bourdais;;Ford GT;M;GTLM;;;Classified;95;3:01'23.899;4 Laps;1 Laps;95;1'43.522;199.2;
12;67;Ford Chip Ganassi Racing;Ryan Briscoe;Richard Westbrook;Scott Dixon;;Ford GT;M;GTLM;;;Classified;95;3:01'28.524;4 Laps;4.625;53;1'43.385;199.5;
13;62;Risi Competizione;Giancarlo Fisichella;James Calado;Toni Vilander;;Ferrari 488 GTE;M;GTLM;;;Classified;95;3:01'31.099;4 Laps;2.575;75;1'43.805;198.7;
14;69;Ford Chip Ganassi Team UK;Harry Tincknell;Andy Priaulx;Tony Kanaan;;Ford GT;M;GTLM;;;Classified;95;3:01'42.217;4 Laps;11.118;69;1'43.453;199.4;
15;38;Performance Tech Motorsports;James French;Patricio O'Ward;Kyle Masson;Nicholas Boulle;ORECA FLM09;C;PC;;;Classified;95;3:01'42.222;4 Laps;0.005;75;1'42.716;200.8;
16;3;Corvette Racing;Antonio Garcia;Jan Magnussen;Mike Rockenfeller;;Chevrolet Corvette C7.R;M;GTLM;;;Classified;95;3:01'44.624;4 Laps;2.402;95;1'43.992;198.3;
17;68;Ford Chip Ganassi Team UK;Stefan Mucke;Olivier Pla;Billy Johnson;;Ford GT;M;GTLM;;;Classified;95;3:01'48.138;4 Laps;3.514;71;1'43.610;199.1;
18;4;Corvette Racing;Oliver Gavin;Tommy Milner;Marcel Fassler;;Chevrolet Corvette C7.R;M;GTLM;;;Classified;95;3:01'49.407;4 Laps;1.269;36;1'44.040;198.2;
19;912;Porsche GT Team;Kevin Estre;Laurens Vanthoor;Richard Lietz;;Porsche 911 RSR;M;GTLM;;;Classified;95;3:02'13.096;4 Laps;23.689;52;1'43.979;198.4;
20;19;BMW Team RLL;Bill Auberlen;Alexander Sims;Augusto Farfus;Bruno Spengler;BMW M6 GTLM;M;GTLM;;;Classified;94;3:00'53.904;5 Laps;1 Laps;47;1'44.247;197.8;
21;911;Porsche GT Team;Patrick Pilet;Dirk Werner;Frederic Makowiecki;;Porsche 911 RSR;M;GTLM;;;Classified;94;3:01'06.690;5 Laps;12.786;13;1'43.971;198.4;
22;88;Starworks Motorsport;Scott Mayer;James Dayson;Alex Popow;Sean Rayhall;ORECA FLM09;C;PC;;;Classified;94;3:01'11.464;5 Laps;4.774;86;1'43.400;199.5;
23;8;Starworks Motorsport;Ben Keating;Robert Wickens;Chris Cumming;John Falb;ORECA FLM09;C;PC;;;Classified;94;3:01'39.206;5 Laps;27.742;22;1'44.298;197.7;
24;20;BAR1 Motorsports;Don Yount;Buddy Rice;Mark Kvamme;Chapman Ducote;ORECA FLM09;C;PC;;;Classified;93;3:01'27.890;6 Laps;1 Laps;13;1'43.322;199.6;
